t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603262,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603265,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603268,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603271,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603274,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603277,17,0.614846,0.000000,0.000000,0.000000,events/second
1594603280,17,0.553559,0.000000,0.000000,0.000000,events/second
1594603283,17,0.505522,0.000000,0.000000,0.000000,events/second
1594603286,17,0.464084,0.000000,0.000000,0.000000,events/second
1594603289,17,0.403395,0.000000,0.000000,0.000000,events/second
1594603292,17,0.397054,0.000000,0.000000,0.000000,events/second
1594603295,17,0.371974,0.000000,0.000000,0.000000,events/second
1594603298,17,0.349929,0.000000,0.000000,0.000000,events/second
1594603301,17,0.329446,0.000000,0.000000,0.000000,events/second
1594603304,17,0.311071,0.000000,0.000000,0.000000,events/second
1594603307,17,0.295174,0.000000,0.000000,0.000000,events/second
1594603310,17,0.280569,0.000000,0.000000,0.000000,events/second
1594603313,17,0.265859,0.000000,0.000000,0.000000,events/second
1594603316,17,0.255249,0.000000,0.000000,0.000000,events/second
1594603319,17,0.244271,0.000000,0.000000,0.000000,events/second
1594603322,17,0.234285,0.000000,0.000000,0.000000,events/second
1594603325,17,0.224986,0.000000,0.000000,0.000000,events/second
1594603328,17,0.216396,0.000000,0.000000,0.000000,events/second
1594603331,17,0.208357,0.000000,0.000000,0.000000,events/second
1594603334,17,0.201014,0.000000,0.000000,0.000000,events/second
1594603337,17,0.194088,0.000000,0.000000,0.000000,events/second
1594603340,17,0.187703,0.000000,0.000000,0.000000,events/second
1594603343,17,0.181702,0.000000,0.000000,0.000000,events/second
1594603346,17,0.176064,0.000000,0.000000,0.000000,events/second
1594603349,17,0.170761,0.000000,0.000000,0.000000,events/second
1594603352,17,0.165750,0.000000,0.000000,0.000000,events/second
1594603355,17,0.161054,0.000000,0.000000,0.000000,events/second
1594603358,17,0.156602,0.000000,0.000000,0.000000,events/second
1594603361,17,0.152342,0.000000,0.000000,0.000000,events/second
1594603364,17,0.148344,0.000000,0.000000,0.000000,events/second
1594603367,17,0.144543,0.000000,0.000000,0.000000,events/second
1594603370,17,0.140972,0.000000,0.000000,0.000000,events/second
1594603373,17,0.137590,0.000000,0.000000,0.000000,events/second
1594603376,17,0.134331,0.000000,0.000000,0.000000,events/second
1594603379,17,0.131212,0.000000,0.000000,0.000000,events/second
1594603382,17,0.128242,0.000000,0.000000,0.000000,events/second
1594603385,17,0.125397,0.000000,0.000000,0.000000,events/second
1594603388,17,0.122667,0.000000,0.000000,0.000000,events/second
1594603391,17,0.120083,0.000000,0.000000,0.000000,events/second
1594603394,17,0.117584,0.000000,0.000000,0.000000,events/second
1594603397,17,0.115209,0.000000,0.000000,0.000000,events/second
1594603400,17,0.112897,0.000000,0.000000,0.000000,events/second
1594603403,17,0.110680,0.000000,0.000000,0.000000,events/second
1594603406,17,0.108372,0.000000,0.000000,0.000000,events/second
