t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,1,0.136855,0.000000,0.000000,0.000000,events/second
1594603259,1,0.103067,0.000000,0.000000,0.000000,events/second
1594603262,1,0.078935,0.000000,0.000000,0.000000,events/second
1594603265,1,0.063942,0.000000,0.000000,0.000000,events/second
1594603268,1,0.053167,0.000000,0.000000,0.000000,events/second
1594603271,1,0.045924,0.000000,0.000000,0.000000,events/second
1594603274,1,0.040534,0.000000,0.000000,0.000000,events/second
1594603277,18,0.650983,0.000000,0.000000,0.000000,events/second
1594603280,18,0.586109,0.000000,0.000000,0.000000,events/second
1594603283,18,0.535241,0.000000,0.000000,0.000000,events/second
1594603286,18,0.491376,0.000000,0.000000,0.000000,events/second
1594603289,18,0.427109,0.000000,0.000000,0.000000,events/second
1594603292,18,0.420406,0.000000,0.000000,0.000000,events/second
1594603295,18,0.393847,0.000000,0.000000,0.000000,events/second
1594603298,18,0.370498,0.000000,0.000000,0.000000,events/second
1594603301,18,0.348822,0.000000,0.000000,0.000000,events/second
1594603304,18,0.329365,0.000000,0.000000,0.000000,events/second
1594603307,18,0.312535,0.000000,0.000000,0.000000,events/second
1594603310,18,0.297071,0.000000,0.000000,0.000000,events/second
1594603313,18,0.281489,0.000000,0.000000,0.000000,events/second
1594603316,18,0.270261,0.000000,0.000000,0.000000,events/second
1594603319,18,0.258639,0.000000,0.000000,0.000000,events/second
1594603322,18,0.248065,0.000000,0.000000,0.000000,events/second
1594603325,18,0.238219,0.000000,0.000000,0.000000,events/second
1594603328,18,0.229124,0.000000,0.000000,0.000000,events/second
1594603331,18,0.220611,0.000000,0.000000,0.000000,events/second
1594603334,18,0.212836,0.000000,0.000000,0.000000,events/second
1594603337,18,0.205503,0.000000,0.000000,0.000000,events/second
1594603340,18,0.198743,0.000000,0.000000,0.000000,events/second
1594603343,18,0.192389,0.000000,0.000000,0.000000,events/second
1594603346,18,0.186420,0.000000,0.000000,0.000000,events/second
1594603349,18,0.180805,0.000000,0.000000,0.000000,events/second
1594603352,18,0.175499,0.000000,0.000000,0.000000,events/second
1594603355,18,0.170527,0.000000,0.000000,0.000000,events/second
1594603358,18,0.165814,0.000000,0.000000,0.000000,events/second
1594603361,18,0.161303,0.000000,0.000000,0.000000,events/second
1594603364,18,0.157070,0.000000,0.000000,0.000000,events/second
1594603367,18,0.153045,0.000000,0.000000,0.000000,events/second
1594603370,18,0.149262,0.000000,0.000000,0.000000,events/second
1594603373,18,0.145683,0.000000,0.000000,0.000000,events/second
1594603376,18,0.142232,0.000000,0.000000,0.000000,events/second
1594603379,18,0.138928,0.000000,0.000000,0.000000,events/second
1594603382,18,0.135785,0.000000,0.000000,0.000000,events/second
1594603385,18,0.132773,0.000000,0.000000,0.000000,events/second
1594603388,18,0.129883,0.000000,0.000000,0.000000,events/second
1594603391,18,0.127147,0.000000,0.000000,0.000000,events/second
1594603394,18,0.124501,0.000000,0.000000,0.000000,events/second
1594603397,18,0.121986,0.000000,0.000000,0.000000,events/second
1594603400,18,0.119537,0.000000,0.000000,0.000000,events/second
1594603403,18,0.117191,0.000000,0.000000,0.000000,events/second
1594603406,18,0.114746,0.000000,0.000000,0.000000,events/second
1594603409,18,0.112802,0.000000,0.000000,0.000000,events/second
1594603412,18,0.110724,0.000000,0.000000,0.000000,events/second
1594603415,18,0.108719,0.000000,0.000000,0.000000,events/second
1594603418,18,0.106767,0.000000,0.000000,0.000000,events/second
1594603421,18,0.104921,0.000000,0.000000,0.000000,events/second
1594603424,18,0.103107,0.000000,0.000000,0.000000,events/second
1594603427,18,0.101363,0.000000,0.000000,0.000000,events/second
1594603430,18,0.099692,0.000000,0.000000,0.000000,events/second
1594603433,18,0.098056,0.000000,0.000000,0.000000,events/second
1594603436,18,0.096485,0.000000,0.000000,0.000000,events/second
1594603439,18,0.094949,0.000000,0.000000,0.000000,events/second
1594603442,18,0.093474,0.000000,0.000000,0.000000,events/second
1594603445,18,0.092020,0.000000,0.000000,0.000000,events/second
1594603448,18,0.090634,0.000000,0.000000,0.000000,events/second
1594603451,18,0.089297,0.000000,0.000000,0.000000,events/second
1594603454,18,0.087988,0.000000,0.000000,0.000000,events/second
1594603457,18,0.086721,0.000000,0.000000,0.000000,events/second
1594603460,18,0.085488,0.000000,0.000000,0.000000,events/second
1594603463,18,0.084282,0.000000,0.000000,0.000000,events/second
1594603466,18,0.083117,0.000000,0.000000,0.000000,events/second
1594603469,18,0.081972,0.000000,0.000000,0.000000,events/second
1594603472,18,0.080875,0.000000,0.000000,0.000000,events/second
1594603475,18,0.079799,0.000000,0.000000,0.000000,events/second
1594603478,18,0.078747,0.000000,0.000000,0.000000,events/second
1594603481,18,0.077729,0.000000,0.000000,0.000000,events/second
1594603484,18,0.076736,0.000000,0.000000,0.000000,events/second
1594603487,18,0.075762,0.000000,0.000000,0.000000,events/second
1594603490,18,0.074824,0.000000,0.000000,0.000000,events/second
1594603493,18,0.073895,0.000000,0.000000,0.000000,events/second
1594603496,18,0.073002,0.000000,0.000000,0.000000,events/second
1594603499,18,0.072121,0.000000,0.000000,0.000000,events/second
1594603502,18,0.071266,0.000000,0.000000,0.000000,events/second
1594603505,18,0.070431,0.000000,0.000000,0.000000,events/second
1594603508,18,0.069609,0.000000,0.000000,0.000000,events/second
1594603511,18,0.068811,0.000000,0.000000,0.000000,events/second
1594603514,18,0.068040,0.000000,0.000000,0.000000,events/second
1594603517,18,0.067272,0.000000,0.000000,0.000000,events/second
1594603520,18,0.066522,0.000000,0.000000,0.000000,events/second
1594603523,18,0.065801,0.000000,0.000000,0.000000,events/second
1594603526,18,0.065083,0.000000,0.000000,0.000000,events/second
1594603529,18,0.064389,0.000000,0.000000,0.000000,events/second
1594603532,18,0.063702,0.000000,0.000000,0.000000,events/second
1594603535,18,0.063036,0.000000,0.000000,0.000000,events/second
1594603538,18,0.062377,0.000000,0.000000,0.000000,events/second
1594603541,18,0.061733,0.000000,0.000000,0.000000,events/second
1594603544,18,0.061109,0.000000,0.000000,0.000000,events/second
1594603547,18,0.060472,0.000000,0.000000,0.000000,events/second
1594603550,18,0.059884,0.000000,0.000000,0.000000,events/second
