t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603262,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603265,1,0.063931,0.000000,0.000000,0.000000,events/second
1594603268,1,0.053158,0.000000,0.000000,0.000000,events/second
1594603271,1,0.045918,0.000000,0.000000,0.000000,events/second
1594603274,1,0.040530,0.000000,0.000000,0.000000,events/second
1594603277,2,0.072298,0.000000,0.000000,0.000000,events/second
1594603280,2,0.065119,0.000000,0.000000,0.000000,events/second
1594603283,2,0.059467,0.000000,0.000000,0.000000,events/second
1594603286,2,0.054595,0.000000,0.000000,0.000000,events/second
1594603289,2,0.047453,0.000000,0.000000,0.000000,events/second
1594603292,2,0.046710,0.000000,0.000000,0.000000,events/second
1594603295,2,0.043758,0.000000,0.000000,0.000000,events/second
1594603298,2,0.041165,0.000000,0.000000,0.000000,events/second
1594603301,2,0.038757,0.000000,0.000000,0.000000,events/second
1594603304,2,0.036595,0.000000,0.000000,0.000000,events/second
1594603307,2,0.034725,0.000000,0.000000,0.000000,events/second
1594603310,2,0.033007,0.000000,0.000000,0.000000,events/second
1594603313,2,0.031274,0.000000,0.000000,0.000000,events/second
1594603316,2,0.030028,0.000000,0.000000,0.000000,events/second
1594603319,2,0.028737,0.000000,0.000000,0.000000,events/second
1594603322,2,0.027562,0.000000,0.000000,0.000000,events/second
1594603325,2,0.026468,0.000000,0.000000,0.000000,events/second
1594603328,2,0.025458,0.000000,0.000000,0.000000,events/second
1594603331,2,0.024512,0.000000,0.000000,0.000000,events/second
1594603334,2,0.023648,0.000000,0.000000,0.000000,events/second
1594603337,2,0.022833,0.000000,0.000000,0.000000,events/second
1594603340,2,0.022082,0.000000,0.000000,0.000000,events/second
1594603343,2,0.021376,0.000000,0.000000,0.000000,events/second
1594603346,2,0.020713,0.000000,0.000000,0.000000,events/second
1594603349,2,0.020089,0.000000,0.000000,0.000000,events/second
1594603352,2,0.019500,0.000000,0.000000,0.000000,events/second
1594603355,2,0.018947,0.000000,0.000000,0.000000,events/second
1594603358,2,0.018424,0.000000,0.000000,0.000000,events/second
1594603361,2,0.017922,0.000000,0.000000,0.000000,events/second
1594603364,2,0.017452,0.000000,0.000000,0.000000,events/second
1594603367,2,0.017005,0.000000,0.000000,0.000000,events/second
1594603370,2,0.016584,0.000000,0.000000,0.000000,events/second
1594603373,2,0.016187,0.000000,0.000000,0.000000,events/second
1594603376,2,0.015803,0.000000,0.000000,0.000000,events/second
1594603379,2,0.015436,0.000000,0.000000,0.000000,events/second
1594603382,2,0.015087,0.000000,0.000000,0.000000,events/second
1594603385,2,0.014752,0.000000,0.000000,0.000000,events/second
1594603388,2,0.014431,0.000000,0.000000,0.000000,events/second
1594603391,2,0.014127,0.000000,0.000000,0.000000,events/second
1594603394,2,0.013833,0.000000,0.000000,0.000000,events/second
1594603397,2,0.013554,0.000000,0.000000,0.000000,events/second
1594603400,2,0.013282,0.000000,0.000000,0.000000,events/second
1594603403,2,0.013021,0.000000,0.000000,0.000000,events/second
1594603406,2,0.012749,0.000000,0.000000,0.000000,events/second
