t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603259,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603262,0,0.000000,0.000000,0.000000,0.000000,events/second
1594603265,1,0.063914,0.000000,0.000000,0.000000,events/second
1594603268,5,0.265726,0.000000,0.000000,0.000000,events/second
1594603271,6,0.275450,0.000000,0.000000,0.000000,events/second
1594603274,7,0.283664,0.000000,0.000000,0.000000,events/second
1594603277,23,0.831259,0.000000,0.000000,0.000000,events/second
1594603280,23,0.748564,0.000000,0.000000,0.000000,events/second
1594603283,23,0.683808,0.000000,0.000000,0.000000,events/second
1594603286,23,0.627800,0.000000,0.000000,0.000000,events/second
1594603289,23,0.545663,0.000000,0.000000,0.000000,events/second
1594603292,23,0.537121,0.000000,0.000000,0.000000,events/second
1594603295,23,0.502787,0.000000,0.000000,0.000000,events/second
1594603298,23,0.473366,0.000000,0.000000,0.000000,events/second
1594603301,23,0.445678,0.000000,0.000000,0.000000,events/second
1594603304,23,0.420820,0.000000,0.000000,0.000000,events/second
1594603307,23,0.399323,0.000000,0.000000,0.000000,events/second
1594603310,23,0.379566,0.000000,0.000000,0.000000,events/second
1594603313,23,0.359607,0.000000,0.000000,0.000000,events/second
1594603316,23,0.345304,0.000000,0.000000,0.000000,events/second
1594603319,23,0.330467,0.000000,0.000000,0.000000,events/second
1594603322,23,0.316957,0.000000,0.000000,0.000000,events/second
1594603325,23,0.304379,0.000000,0.000000,0.000000,events/second
1594603328,23,0.292759,0.000000,0.000000,0.000000,events/second
1594603331,23,0.281878,0.000000,0.000000,0.000000,events/second
1594603334,23,0.271947,0.000000,0.000000,0.000000,events/second
1594603337,23,0.262577,0.000000,0.000000,0.000000,events/second
1594603340,23,0.253938,0.000000,0.000000,0.000000,events/second
1594603343,23,0.245819,0.000000,0.000000,0.000000,events/second
1594603346,23,0.238196,0.000000,0.000000,0.000000,events/second
1594603349,23,0.231022,0.000000,0.000000,0.000000,events/second
1594603352,23,0.224242,0.000000,0.000000,0.000000,events/second
1594603355,23,0.217890,0.000000,0.000000,0.000000,events/second
1594603358,23,0.211868,0.000000,0.000000,0.000000,events/second
1594603361,23,0.206104,0.000000,0.000000,0.000000,events/second
1594603364,23,0.200695,0.000000,0.000000,0.000000,events/second
1594603367,23,0.195553,0.000000,0.000000,0.000000,events/second
1594603370,23,0.190717,0.000000,0.000000,0.000000,events/second
1594603373,23,0.186146,0.000000,0.000000,0.000000,events/second
1594603376,23,0.181737,0.000000,0.000000,0.000000,events/second
1594603379,23,0.177513,0.000000,0.000000,0.000000,events/second
1594603382,23,0.173499,0.000000,0.000000,0.000000,events/second
1594603385,23,0.169649,0.000000,0.000000,0.000000,events/second
1594603388,23,0.165957,0.000000,0.000000,0.000000,events/second
1594603391,23,0.162462,0.000000,0.000000,0.000000,events/second
1594603394,23,0.159081,0.000000,0.000000,0.000000,events/second
1594603397,23,0.155868,0.000000,0.000000,0.000000,events/second
1594603400,23,0.152738,0.000000,0.000000,0.000000,events/second
1594603403,23,0.149740,0.000000,0.000000,0.000000,events/second
1594603406,25,0.159366,0.000000,0.000000,0.000000,events/second
