t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,49152,12915.681454,0.000000,0.000000,0.000000,events/second
1594603259,49152,7960.864010,0.000000,0.000000,0.000000,events/second
1594603262,49152,5378.971891,0.000000,0.000000,0.000000,events/second
1594603265,49152,4060.354621,0.000000,0.000000,0.000000,events/second
1594603268,49152,3217.949517,0.000000,0.000000,0.000000,events/second
1594603271,49152,2694.604032,0.000000,0.000000,0.000000,events/second
1594603274,49152,2324.765283,0.000000,0.000000,0.000000,events/second
1594603277,49152,2037.099320,0.000000,0.000000,0.000000,events/second
1594603280,49152,1808.071430,0.000000,0.000000,0.000000,events/second
1594603283,49152,1633.445580,0.000000,0.000000,0.000000,events/second
1594603286,49152,1485.319744,0.000000,0.000000,0.000000,events/second
1594603289,49152,1273.163981,0.000000,0.000000,0.000000,events/second
1594603292,49152,1251.420897,0.000000,0.000000,0.000000,events/second
1594603295,49152,1164.723784,0.000000,0.000000,0.000000,events/second
1594603298,49152,1091.123555,0.000000,0.000000,0.000000,events/second
1594603301,49152,1022.627283,0.000000,0.000000,0.000000,events/second
1594603304,49152,961.641829,0.000000,0.000000,0.000000,events/second
1594603307,49152,909.309393,0.000000,0.000000,0.000000,events/second
1594603310,49152,861.539046,0.000000,0.000000,0.000000,events/second
1594603313,49152,813.410038,0.000000,0.000000,0.000000,events/second
1594603316,49152,779.393371,0.000000,0.000000,0.000000,events/second
1594603319,49152,744.112993,0.000000,0.000000,0.000000,events/second
1594603322,49152,712.134219,0.000000,0.000000,0.000000,events/second
1594603325,49152,682.485533,0.000000,0.000000,0.000000,events/second
1594603328,49152,655.201186,0.000000,0.000000,0.000000,events/second
1594603331,49152,629.727101,0.000000,0.000000,0.000000,events/second
1594603334,49152,606.580074,0.000000,0.000000,0.000000,events/second
1594603337,49152,584.799987,0.000000,0.000000,0.000000,events/second
1594603340,49152,564.778892,0.000000,0.000000,0.000000,events/second
1594603343,49152,546.007567,0.000000,0.000000,0.000000,events/second
1594603346,49152,528.433128,0.000000,0.000000,0.000000,events/second
1594603349,49152,511.931481,0.000000,0.000000,0.000000,events/second
1594603352,49152,496.368015,0.000000,0.000000,0.000000,events/second
1594603355,49152,481.818771,0.000000,0.000000,0.000000,events/second
1594603358,49152,468.053934,0.000000,0.000000,0.000000,events/second
1594603361,49152,454.902838,0.000000,0.000000,0.000000,events/second
1594603364,49152,442.583286,0.000000,0.000000,0.000000,events/second
1594603367,49152,430.892133,0.000000,0.000000,0.000000,events/second
1594603370,49152,419.910327,0.000000,0.000000,0.000000,events/second
1594603373,49152,409.550692,0.000000,0.000000,0.000000,events/second
1594603376,49152,399.571899,0.000000,0.000000,0.000000,events/second
1594603379,49152,390.022436,0.000000,0.000000,0.000000,events/second
1594603382,49152,380.960335,0.000000,0.000000,0.000000,events/second
1594603385,49152,372.281939,0.000000,0.000000,0.000000,events/second
1594603388,49152,363.965386,0.000000,0.000000,0.000000,events/second
1594603391,49152,356.104972,0.000000,0.000000,0.000000,events/second
