t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,3325786,872474.412963,0.000000,0.000000,0.000000,events/second
1594603259,3325786,538652.120719,0.000000,0.000000,0.000000,events/second
1594603262,3325786,363947.269734,0.000000,0.000000,0.000000,events/second
1594603265,3325786,274720.149250,0.000000,0.000000,0.000000,events/second
1594603268,3325786,217738.876917,0.000000,0.000000,0.000000,events/second
1594603271,3325786,182278.931842,0.000000,0.000000,0.000000,events/second
1594603274,3325786,157297.964321,0.000000,0.000000,0.000000,events/second
1594603277,3325786,137826.883271,0.000000,0.000000,0.000000,events/second
1594603280,3325786,122341.898351,0.000000,0.000000,0.000000,events/second
1594603283,3325786,110526.357156,0.000000,0.000000,0.000000,events/second
1594603286,3325786,100503.147318,0.000000,0.000000,0.000000,events/second
1594603289,3325786,86147.931207,0.000000,0.000000,0.000000,events/second
1594603292,3325786,84676.529279,0.000000,0.000000,0.000000,events/second
1594603295,3325786,78810.343730,0.000000,0.000000,0.000000,events/second
1594603298,3325786,73826.513656,0.000000,0.000000,0.000000,events/second
1594603301,3325786,69194.970717,0.000000,0.000000,0.000000,events/second
1594603304,3325786,65068.441691,0.000000,0.000000,0.000000,events/second
1594603307,3325786,61527.523456,0.000000,0.000000,0.000000,events/second
1594603310,3325786,58295.110579,0.000000,0.000000,0.000000,events/second
1594603313,3325786,55038.360448,0.000000,0.000000,0.000000,events/second
1594603316,3325786,52736.725521,0.000000,0.000000,0.000000,events/second
1594603319,3325786,50349.588056,0.000000,0.000000,0.000000,events/second
1594603322,3325786,48185.830055,0.000000,0.000000,0.000000,events/second
1594603325,3325786,46179.665878,0.000000,0.000000,0.000000,events/second
1594603328,3325786,44333.506265,0.000000,0.000000,0.000000,events/second
1594603331,3325786,42609.627459,0.000000,0.000000,0.000000,events/second
1594603334,3325786,41043.446738,0.000000,0.000000,0.000000,events/second
1594603337,3325786,39569.805326,0.000000,0.000000,0.000000,events/second
1594603340,3325786,38215.094857,0.000000,0.000000,0.000000,events/second
1594603343,3325786,36944.880409,0.000000,0.000000,0.000000,events/second
1594603346,3325786,35755.787681,0.000000,0.000000,0.000000,events/second
1594603349,3325786,34639.232731,0.000000,0.000000,0.000000,events/second
1594603352,3325786,33586.135625,0.000000,0.000000,0.000000,events/second
1594603355,3325786,32601.672414,0.000000,0.000000,0.000000,events/second
1594603358,3325786,31670.299915,0.000000,0.000000,0.000000,events/second
1594603361,3325786,30780.431244,0.000000,0.000000,0.000000,events/second
1594603364,3325786,29946.837395,0.000000,0.000000,0.000000,events/second
1594603367,3325786,29155.765057,0.000000,0.000000,0.000000,events/second
1594603370,3325786,28412.686483,0.000000,0.000000,0.000000,events/second
1594603373,3325786,27711.712744,0.000000,0.000000,0.000000,events/second
1594603376,3325786,27036.511134,0.000000,0.000000,0.000000,events/second
1594603379,3325786,26390.339064,0.000000,0.000000,0.000000,events/second
1594603382,3325786,25777.141518,0.000000,0.000000,0.000000,events/second
1594603385,3325786,25189.963424,0.000000,0.000000,0.000000,events/second
1594603388,3325786,24627.202578,0.000000,0.000000,0.000000,events/second
1594603391,3325786,24095.368394,0.000000,0.000000,0.000000,events/second
1594603394,3325786,23581.334730,0.000000,0.000000,0.000000,events/second
1594603397,3325786,23092.881157,0.000000,0.000000,0.000000,events/second
1594603400,3325786,22618.236504,0.000000,0.000000,0.000000,events/second
1594603403,3325786,22163.661578,0.000000,0.000000,0.000000,events/second
1594603406,3325786,21684.857156,0.000000,0.000000,0.000000,events/second
1594603409,3325786,21315.164490,0.000000,0.000000,0.000000,events/second
1594603412,3325786,20913.658594,0.000000,0.000000,0.000000,events/second
1594603415,3325786,20526.747404,0.000000,0.000000,0.000000,events/second
1594603418,3325786,20150.193002,0.000000,0.000000,0.000000,events/second
1594603421,3325786,19794.500143,0.000000,0.000000,0.000000,events/second
1594603424,3325786,19445.327674,0.000000,0.000000,0.000000,events/second
1594603427,3325786,19109.325143,0.000000,0.000000,0.000000,events/second
1594603430,3325786,18788.295691,0.000000,0.000000,0.000000,events/second
1594603433,3325786,18473.681901,0.000000,0.000000,0.000000,events/second
1594603436,3325786,18172.188120,0.000000,0.000000,0.000000,events/second
1594603439,3325786,17877.410262,0.000000,0.000000,0.000000,events/second
1594603442,3325786,17594.334224,0.000000,0.000000,0.000000,events/second
1594603445,3325786,17313.942041,0.000000,0.000000,0.000000,events/second
1594603448,3325786,17050.148383,0.000000,0.000000,0.000000,events/second
1594603451,3325786,16793.848879,0.000000,0.000000,0.000000,events/second
1594603454,3325786,16543.499188,0.000000,0.000000,0.000000,events/second
1594603457,3325786,16301.321966,0.000000,0.000000,0.000000,events/second
1594603460,3325786,16065.467885,0.000000,0.000000,0.000000,events/second
1594603463,3325786,15835.170134,0.000000,0.000000,0.000000,events/second
1594603466,3325786,15612.526061,0.000000,0.000000,0.000000,events/second
1594603469,3325786,15393.950919,0.000000,0.000000,0.000000,events/second
1594603472,3325786,15184.691385,0.000000,0.000000,0.000000,events/second
1594603475,3325786,14979.293841,0.000000,0.000000,0.000000,events/second
1594603478,3325786,14778.805080,0.000000,0.000000,0.000000,events/second
1594603481,3325786,14584.780668,0.000000,0.000000,0.000000,events/second
1594603484,3325786,14395.661893,0.000000,0.000000,0.000000,events/second
1594603487,3325786,14210.130255,0.000000,0.000000,0.000000,events/second
1594603490,3325786,14031.560310,0.000000,0.000000,0.000000,events/second
1594603493,3325786,13854.735508,0.000000,0.000000,0.000000,events/second
1594603496,3325786,13684.826556,0.000000,0.000000,0.000000,events/second
1594603499,3325786,13517.311708,0.000000,0.000000,0.000000,events/second
1594603502,3325786,13354.793193,0.000000,0.000000,0.000000,events/second
1594603505,3325786,13196.165144,0.000000,0.000000,0.000000,events/second
1594603508,3325786,13040.048723,0.000000,0.000000,0.000000,events/second
1594603511,3325786,12888.520197,0.000000,0.000000,0.000000,events/second
1594603514,3325786,12742.015822,0.000000,0.000000,0.000000,events/second
1594603517,3325786,12596.420154,0.000000,0.000000,0.000000,events/second
1594603520,3325786,12453.834804,0.000000,0.000000,0.000000,events/second
1594603523,3325786,12317.127350,0.000000,0.000000,0.000000,events/second
1594603526,3325786,12181.157010,0.000000,0.000000,0.000000,events/second
1594603529,3325786,12049.493054,0.000000,0.000000,0.000000,events/second
1594603532,3325786,11919.338887,0.000000,0.000000,0.000000,events/second
1594603535,3325786,11793.212659,0.000000,0.000000,0.000000,events/second
1594603538,3325786,11668.470772,0.000000,0.000000,0.000000,events/second
1594603541,3325786,11546.404481,0.000000,0.000000,0.000000,events/second
