t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,406,105.726647,0.000000,0.000000,0.000000,events/second
1594603259,406,65.582380,0.000000,0.000000,0.000000,events/second
1594603262,406,44.336081,0.000000,0.000000,0.000000,events/second
1594603265,406,33.493772,0.000000,0.000000,0.000000,events/second
1594603268,406,26.553449,0.000000,0.000000,0.000000,events/second
1594603271,406,22.232165,0.000000,0.000000,0.000000,events/second
1594603274,406,19.188197,0.000000,0.000000,0.000000,events/second
1594603277,406,16.814313,0.000000,0.000000,0.000000,events/second
1594603280,406,14.893127,0.000000,0.000000,0.000000,events/second
1594603283,406,13.485966,0.000000,0.000000,0.000000,events/second
1594603286,406,12.263607,0.000000,0.000000,0.000000,events/second
1594603289,406,10.512801,0.000000,0.000000,0.000000,events/second
1594603292,406,10.333167,0.000000,0.000000,0.000000,events/second
1594603295,406,9.617687,0.000000,0.000000,0.000000,events/second
1594603298,406,9.008982,0.000000,0.000000,0.000000,events/second
1594603301,406,8.444515,0.000000,0.000000,0.000000,events/second
1594603304,406,7.941020,0.000000,0.000000,0.000000,events/second
1594603307,406,7.509089,0.000000,0.000000,0.000000,events/second
1594603310,406,7.114710,0.000000,0.000000,0.000000,events/second
1594603313,406,6.717123,0.000000,0.000000,0.000000,events/second
1594603316,406,6.436399,0.000000,0.000000,0.000000,events/second
1594603319,406,6.145179,0.000000,0.000000,0.000000,events/second
1594603322,406,5.881171,0.000000,0.000000,0.000000,events/second
1594603325,406,5.636356,0.000000,0.000000,0.000000,events/second
1594603328,406,5.411076,0.000000,0.000000,0.000000,events/second
1594603331,406,5.200648,0.000000,0.000000,0.000000,events/second
1594603334,406,5.009540,0.000000,0.000000,0.000000,events/second
1594603337,406,4.829730,0.000000,0.000000,0.000000,events/second
1594603340,406,4.664410,0.000000,0.000000,0.000000,events/second
1594603343,406,4.509377,0.000000,0.000000,0.000000,events/second
1594603346,406,4.364282,0.000000,0.000000,0.000000,events/second
1594603349,406,4.228012,0.000000,0.000000,0.000000,events/second
1594603352,406,4.099460,0.000000,0.000000,0.000000,events/second
1594603355,406,3.979347,0.000000,0.000000,0.000000,events/second
1594603358,406,3.865690,0.000000,0.000000,0.000000,events/second
1594603361,406,3.757079,0.000000,0.000000,0.000000,events/second
1594603364,406,3.655346,0.000000,0.000000,0.000000,events/second
1594603367,406,3.558799,0.000000,0.000000,0.000000,events/second
1594603370,406,3.468079,0.000000,0.000000,0.000000,events/second
1594603373,406,3.382554,0.000000,0.000000,0.000000,events/second
1594603376,406,3.300147,0.000000,0.000000,0.000000,events/second
1594603379,406,3.221271,0.000000,0.000000,0.000000,events/second
1594603382,406,3.146437,0.000000,0.000000,0.000000,events/second
1594603385,406,3.074779,0.000000,0.000000,0.000000,events/second
1594603388,406,3.006085,0.000000,0.000000,0.000000,events/second
1594603391,406,2.941180,0.000000,0.000000,0.000000,events/second
1594603394,406,2.878443,0.000000,0.000000,0.000000,events/second
1594603397,406,2.818822,0.000000,0.000000,0.000000,events/second
1594603400,406,2.760882,0.000000,0.000000,0.000000,events/second
1594603403,406,2.705402,0.000000,0.000000,0.000000,events/second
1594603406,406,2.646965,0.000000,0.000000,0.000000,events/second
1594603409,406,2.601847,0.000000,0.000000,0.000000,events/second
1594603412,406,2.552842,0.000000,0.000000,0.000000,events/second
1594603415,406,2.505616,0.000000,0.000000,0.000000,events/second
1594603418,406,2.459649,0.000000,0.000000,0.000000,events/second
1594603421,406,2.416241,0.000000,0.000000,0.000000,events/second
1594603424,406,2.373623,0.000000,0.000000,0.000000,events/second
1594603427,406,2.332611,0.000000,0.000000,0.000000,events/second
1594603430,406,2.293414,0.000000,0.000000,0.000000,events/second
1594603433,406,2.255025,0.000000,0.000000,0.000000,events/second
1594603436,406,2.218228,0.000000,0.000000,0.000000,events/second
1594603439,406,2.182248,0.000000,0.000000,0.000000,events/second
1594603442,406,2.147693,0.000000,0.000000,0.000000,events/second
1594603445,406,2.113449,0.000000,0.000000,0.000000,events/second
1594603448,406,2.081265,0.000000,0.000000,0.000000,events/second
