t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,1568,407.784014,0.000000,0.000000,0.000000,events/second
1594603259,1574,254.154276,0.000000,0.000000,0.000000,events/second
1594603262,1628,177.735081,0.000000,0.000000,0.000000,events/second
1594603265,1630,134.446454,0.000000,0.000000,0.000000,events/second
1594603268,1640,107.030827,0.000000,0.000000,0.000000,events/second
1594603271,1643,89.957041,0.000000,0.000000,0.000000,events/second
1594603274,1645,77.738053,0.000000,0.000000,0.000000,events/second
1594603277,2763,114.417528,0.000000,0.000000,0.000000,events/second
1594603280,2763,101.346566,0.000000,0.000000,0.000000,events/second
1594603283,2763,91.764804,0.000000,0.000000,0.000000,events/second
1594603286,2763,83.454287,0.000000,0.000000,0.000000,events/second
1594603289,2763,71.541078,0.000000,0.000000,0.000000,events/second
1594603292,2763,70.318234,0.000000,0.000000,0.000000,events/second
1594603295,2763,65.450033,0.000000,0.000000,0.000000,events/second
1594603298,2763,61.306071,0.000000,0.000000,0.000000,events/second
1594603301,2763,57.466471,0.000000,0.000000,0.000000,events/second
1594603304,2888,56.484936,0.000000,0.000000,0.000000,events/second
1594603307,2888,53.412423,0.000000,0.000000,0.000000,events/second
1594603310,2888,50.607669,0.000000,0.000000,0.000000,events/second
1594603313,2999,49.615589,0.000000,0.000000,0.000000,events/second
1594603316,2999,47.542383,0.000000,0.000000,0.000000,events/second
1594603319,2999,45.391537,0.000000,0.000000,0.000000,events/second
1594603322,2999,43.441488,0.000000,0.000000,0.000000,events/second
1594603325,2999,41.633187,0.000000,0.000000,0.000000,events/second
1594603328,2999,39.969203,0.000000,0.000000,0.000000,events/second
1594603331,2999,38.414697,0.000000,0.000000,0.000000,events/second
1594603334,2999,37.003143,0.000000,0.000000,0.000000,events/second
1594603337,2999,35.675007,0.000000,0.000000,0.000000,events/second
1594603340,2999,34.453956,0.000000,0.000000,0.000000,events/second
1594603343,2999,33.308795,0.000000,0.000000,0.000000,events/second
1594603346,2999,32.237111,0.000000,0.000000,0.000000,events/second
1594603349,2999,31.230529,0.000000,0.000000,0.000000,events/second
1594603352,2999,30.280979,0.000000,0.000000,0.000000,events/second
1594603355,2999,29.393789,0.000000,0.000000,0.000000,events/second
1594603358,2999,28.554291,0.000000,0.000000,0.000000,events/second
1594603361,2999,27.752026,0.000000,0.000000,0.000000,events/second
1594603364,3124,28.125974,0.000000,0.000000,0.000000,events/second
1594603367,3124,27.383110,0.000000,0.000000,0.000000,events/second
1594603370,3124,26.685024,0.000000,0.000000,0.000000,events/second
1594603373,3235,26.951782,0.000000,0.000000,0.000000,events/second
1594603376,3235,26.295171,0.000000,0.000000,0.000000,events/second
1594603379,3235,25.666655,0.000000,0.000000,0.000000,events/second
1594603382,3235,25.070444,0.000000,0.000000,0.000000,events/second
1594603385,3235,24.499499,0.000000,0.000000,0.000000,events/second
1594603388,3235,23.952146,0.000000,0.000000,0.000000,events/second
1594603391,3235,23.434995,0.000000,0.000000,0.000000,events/second
1594603394,3235,22.935132,0.000000,0.000000,0.000000,events/second
1594603397,3235,22.460088,0.000000,0.000000,0.000000,events/second
1594603400,3235,21.998132,0.000000,0.000000,0.000000,events/second
1594603403,3235,21.556343,0.000000,0.000000,0.000000,events/second
1594603406,3255,21.221135,0.000000,0.000000,0.000000,events/second
