t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,66,17.127855,0.000000,0.000000,0.000000,events/second
1594603259,66,10.648058,0.000000,0.000000,0.000000,events/second
1594603262,66,7.201381,0.000000,0.000000,0.000000,events/second
1594603265,66,5.441525,0.000000,0.000000,0.000000,events/second
1594603268,66,4.305764,0.000000,0.000000,0.000000,events/second
1594603271,66,3.612567,0.000000,0.000000,0.000000,events/second
1594603274,66,3.118245,0.000000,0.000000,0.000000,events/second
1594603277,77,3.187904,0.000000,0.000000,0.000000,events/second
1594603280,77,2.823857,0.000000,0.000000,0.000000,events/second
1594603283,77,2.556803,0.000000,0.000000,0.000000,events/second
1594603286,77,2.325391,0.000000,0.000000,0.000000,events/second
1594603289,77,1.993487,0.000000,0.000000,0.000000,events/second
1594603292,77,1.959411,0.000000,0.000000,0.000000,events/second
1594603295,77,1.823782,0.000000,0.000000,0.000000,events/second
1594603298,77,1.708300,0.000000,0.000000,0.000000,events/second
1594603301,77,1.601335,0.000000,0.000000,0.000000,events/second
1594603304,77,1.505863,0.000000,0.000000,0.000000,events/second
1594603307,77,1.423936,0.000000,0.000000,0.000000,events/second
1594603310,77,1.349196,0.000000,0.000000,0.000000,events/second
1594603313,77,1.273787,0.000000,0.000000,0.000000,events/second
1594603316,77,1.220568,0.000000,0.000000,0.000000,events/second
1594603319,77,1.165357,0.000000,0.000000,0.000000,events/second
1594603322,77,1.115297,0.000000,0.000000,0.000000,events/second
1594603325,77,1.068874,0.000000,0.000000,0.000000,events/second
1594603328,77,1.026156,0.000000,0.000000,0.000000,events/second
1594603331,77,0.986245,0.000000,0.000000,0.000000,events/second
1594603334,77,0.950007,0.000000,0.000000,0.000000,events/second
1594603337,77,0.915912,0.000000,0.000000,0.000000,events/second
1594603340,77,0.884565,0.000000,0.000000,0.000000,events/second
1594603343,77,0.855166,0.000000,0.000000,0.000000,events/second
1594603346,77,0.827654,0.000000,0.000000,0.000000,events/second
1594603349,77,0.801813,0.000000,0.000000,0.000000,events/second
1594603352,77,0.777435,0.000000,0.000000,0.000000,events/second
1594603355,77,0.754658,0.000000,0.000000,0.000000,events/second
1594603358,77,0.733106,0.000000,0.000000,0.000000,events/second
1594603361,77,0.712510,0.000000,0.000000,0.000000,events/second
1594603364,77,0.693217,0.000000,0.000000,0.000000,events/second
1594603367,77,0.674908,0.000000,0.000000,0.000000,events/second
1594603370,77,0.657703,0.000000,0.000000,0.000000,events/second
1594603373,77,0.641486,0.000000,0.000000,0.000000,events/second
1594603376,77,0.625859,0.000000,0.000000,0.000000,events/second
1594603379,77,0.610899,0.000000,0.000000,0.000000,events/second
1594603382,77,0.596710,0.000000,0.000000,0.000000,events/second
1594603385,77,0.583121,0.000000,0.000000,0.000000,events/second
