t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,1634,423.824212,0.000000,0.000000,0.000000,events/second
1594603259,1640,264.593164,0.000000,0.000000,0.000000,events/second
1594603262,1694,184.848789,0.000000,0.000000,0.000000,events/second
1594603265,1696,139.840730,0.000000,0.000000,0.000000,events/second
1594603268,1706,111.300887,0.000000,0.000000,0.000000,events/second
1594603271,1709,93.547794,0.000000,0.000000,0.000000,events/second
1594603274,1711,80.842131,0.000000,0.000000,0.000000,events/second
1594603277,2840,117.583307,0.000000,0.000000,0.000000,events/second
1594603280,2840,104.157505,0.000000,0.000000,0.000000,events/second
1594603283,2840,94.300799,0.000000,0.000000,0.000000,events/second
1594603286,2840,85.770510,0.000000,0.000000,0.000000,events/second
1594603289,2840,73.528466,0.000000,0.000000,0.000000,events/second
1594603292,2840,72.271727,0.000000,0.000000,0.000000,events/second
1594603295,2840,67.269149,0.000000,0.000000,0.000000,events/second
1594603298,2840,63.009168,0.000000,0.000000,0.000000,events/second
1594603301,2840,59.063891,0.000000,0.000000,0.000000,events/second
1594603304,2965,57.987005,0.000000,0.000000,0.000000,events/second
1594603307,2965,54.831658,0.000000,0.000000,0.000000,events/second
1594603310,2965,51.954139,0.000000,0.000000,0.000000,events/second
1594603313,3076,50.886374,0.000000,0.000000,0.000000,events/second
1594603316,3076,48.760250,0.000000,0.000000,0.000000,events/second
1594603319,3076,46.554779,0.000000,0.000000,0.000000,events/second
1594603322,3076,44.554909,0.000000,0.000000,0.000000,events/second
1594603325,3076,42.700338,0.000000,0.000000,0.000000,events/second
1594603328,3076,40.993757,0.000000,0.000000,0.000000,events/second
1594603331,3076,39.399001,0.000000,0.000000,0.000000,events/second
1594603334,3076,37.951545,0.000000,0.000000,0.000000,events/second
1594603337,3076,36.589489,0.000000,0.000000,0.000000,events/second
1594603340,3076,35.337201,0.000000,0.000000,0.000000,events/second
1594603343,3076,34.162772,0.000000,0.000000,0.000000,events/second
1594603346,3076,33.063712,0.000000,0.000000,0.000000,events/second
1594603349,3076,32.031341,0.000000,0.000000,0.000000,events/second
1594603352,3076,31.057485,0.000000,0.000000,0.000000,events/second
1594603355,3076,30.147570,0.000000,0.000000,0.000000,events/second
1594603358,3076,29.286571,0.000000,0.000000,0.000000,events/second
1594603361,3076,28.463757,0.000000,0.000000,0.000000,events/second
1594603364,3201,28.818433,0.000000,0.000000,0.000000,events/second
1594603367,3201,28.057248,0.000000,0.000000,0.000000,events/second
1594603370,3201,27.341972,0.000000,0.000000,0.000000,events/second
1594603373,3312,27.592600,0.000000,0.000000,0.000000,events/second
1594603376,3312,26.920388,0.000000,0.000000,0.000000,events/second
1594603379,3312,26.276871,0.000000,0.000000,0.000000,events/second
1594603382,3312,25.666562,0.000000,0.000000,0.000000,events/second
1594603385,3312,25.082073,0.000000,0.000000,0.000000,events/second
1594603388,3312,24.521680,0.000000,0.000000,0.000000,events/second
1594603391,3312,23.992284,0.000000,0.000000,0.000000,events/second
1594603394,3312,23.480543,0.000000,0.000000,0.000000,events/second
1594603397,3312,22.994202,0.000000,0.000000,0.000000,events/second
1594603400,3312,22.521193,0.000000,0.000000,0.000000,events/second
1594603403,3312,22.068954,0.000000,0.000000,0.000000,events/second
1594603406,3332,21.722674,0.000000,0.000000,0.000000,events/second
1594603409,3332,21.352476,0.000000,0.000000,0.000000,events/second
1594603412,3332,20.950323,0.000000,0.000000,0.000000,events/second
1594603415,3332,20.562758,0.000000,0.000000,0.000000,events/second
1594603418,3332,20.185497,0.000000,0.000000,0.000000,events/second
1594603421,3332,19.829313,0.000000,0.000000,0.000000,events/second
1594603424,3457,20.210334,0.000000,0.000000,0.000000,events/second
1594603427,3457,19.861146,0.000000,0.000000,0.000000,events/second
1594603430,3457,19.527415,0.000000,0.000000,0.000000,events/second
1594603433,3568,19.817010,0.000000,0.000000,0.000000,events/second
1594603436,3568,19.493694,0.000000,0.000000,0.000000,events/second
1594603439,3568,19.177508,0.000000,0.000000,0.000000,events/second
1594603442,3568,18.873803,0.000000,0.000000,0.000000,events/second
1594603445,3568,18.572679,0.000000,0.000000,0.000000,events/second
1594603448,3568,18.289826,0.000000,0.000000,0.000000,events/second
1594603451,3568,18.015043,0.000000,0.000000,0.000000,events/second
1594603454,3568,17.746724,0.000000,0.000000,0.000000,events/second
1594603457,3588,17.584967,0.000000,0.000000,0.000000,events/second
1594603460,3588,17.330577,0.000000,0.000000,0.000000,events/second
1594603463,3588,17.082179,0.000000,0.000000,0.000000,events/second
1594603466,3588,16.842002,0.000000,0.000000,0.000000,events/second
1594603469,3588,16.606247,0.000000,0.000000,0.000000,events/second
1594603472,3588,16.380527,0.000000,0.000000,0.000000,events/second
1594603475,3588,16.158979,0.000000,0.000000,0.000000,events/second
1594603478,3588,15.942715,0.000000,0.000000,0.000000,events/second
1594603481,3588,15.733443,0.000000,0.000000,0.000000,events/second
1594603484,3713,16.070435,0.000000,0.000000,0.000000,events/second
1594603487,3713,15.863314,0.000000,0.000000,0.000000,events/second
1594603490,3713,15.663847,0.000000,0.000000,0.000000,events/second
1594603493,3824,15.929002,0.000000,0.000000,0.000000,events/second
1594603496,3824,15.733576,0.000000,0.000000,0.000000,events/second
1594603499,3824,15.541071,0.000000,0.000000,0.000000,events/second
