t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,1633,422.934015,0.000000,0.000000,0.000000,events/second
1594603259,1639,264.367268,0.000000,0.000000,0.000000,events/second
1594603262,1693,184.734818,0.000000,0.000000,0.000000,events/second
1594603265,1695,139.758142,0.000000,0.000000,0.000000,events/second
1594603268,1705,111.212891,0.000000,0.000000,0.000000,events/second
1594603271,1708,93.492616,0.000000,0.000000,0.000000,events/second
1594603274,1710,80.795601,0.000000,0.000000,0.000000,events/second
1594603277,2839,117.539557,0.000000,0.000000,0.000000,events/second
1594603280,2839,104.122514,0.000000,0.000000,0.000000,events/second
1594603283,2839,94.254737,0.000000,0.000000,0.000000,events/second
1594603286,2839,85.740956,0.000000,0.000000,0.000000,events/second
1594603289,2839,73.503004,0.000000,0.000000,0.000000,events/second
1594603292,2839,72.246836,0.000000,0.000000,0.000000,events/second
1594603295,2839,67.246456,0.000000,0.000000,0.000000,events/second
1594603298,2839,62.987532,0.000000,0.000000,0.000000,events/second
1594603301,2839,59.043127,0.000000,0.000000,0.000000,events/second
1594603304,2964,57.967887,0.000000,0.000000,0.000000,events/second
1594603307,2964,54.813504,0.000000,0.000000,0.000000,events/second
1594603310,2964,51.937126,0.000000,0.000000,0.000000,events/second
1594603313,3075,50.870115,0.000000,0.000000,0.000000,events/second
1594603316,3075,48.744679,0.000000,0.000000,0.000000,events/second
1594603319,3075,46.540041,0.000000,0.000000,0.000000,events/second
1594603322,3075,44.540823,0.000000,0.000000,0.000000,events/second
1594603325,3075,42.686822,0.000000,0.000000,0.000000,events/second
1594603328,3075,40.980766,0.000000,0.000000,0.000000,events/second
1594603331,3075,39.386262,0.000000,0.000000,0.000000,events/second
1594603334,3075,37.939438,0.000000,0.000000,0.000000,events/second
1594603337,3075,36.577799,0.000000,0.000000,0.000000,events/second
1594603340,3075,35.325738,0.000000,0.000000,0.000000,events/second
1594603343,3075,34.151797,0.000000,0.000000,0.000000,events/second
1594603346,3075,33.053125,0.000000,0.000000,0.000000,events/second
1594603349,3075,32.021125,0.000000,0.000000,0.000000,events/second
1594603352,3075,31.047566,0.000000,0.000000,0.000000,events/second
1594603355,3075,30.137941,0.000000,0.000000,0.000000,events/second
1594603358,3075,29.277231,0.000000,0.000000,0.000000,events/second
1594603361,3075,28.454655,0.000000,0.000000,0.000000,events/second
1594603364,3200,28.809590,0.000000,0.000000,0.000000,events/second
1594603367,3200,28.048628,0.000000,0.000000,0.000000,events/second
1594603370,3200,27.333564,0.000000,0.000000,0.000000,events/second
1594603373,3311,27.584402,0.000000,0.000000,0.000000,events/second
1594603376,3311,26.912395,0.000000,0.000000,0.000000,events/second
1594603379,3311,26.269046,0.000000,0.000000,0.000000,events/second
1594603382,3311,25.658934,0.000000,0.000000,0.000000,events/second
1594603385,3311,25.074619,0.000000,0.000000,0.000000,events/second
1594603388,3311,24.514372,0.000000,0.000000,0.000000,events/second
1594603391,3311,23.985151,0.000000,0.000000,0.000000,events/second
1594603394,3311,23.473558,0.000000,0.000000,0.000000,events/second
1594603397,3311,22.987358,0.000000,0.000000,0.000000,events/second
1594603400,3311,22.514416,0.000000,0.000000,0.000000,events/second
1594603403,3311,22.062360,0.000000,0.000000,0.000000,events/second
1594603406,3331,21.716223,0.000000,0.000000,0.000000,events/second
1594603409,3331,21.346154,0.000000,0.000000,0.000000,events/second
1594603412,3331,20.944120,0.000000,0.000000,0.000000,events/second
1594603415,3331,20.556659,0.000000,0.000000,0.000000,events/second
1594603418,3331,20.179503,0.000000,0.000000,0.000000,events/second
1594603421,3331,19.823438,0.000000,0.000000,0.000000,events/second
1594603424,3456,20.204564,0.000000,0.000000,0.000000,events/second
1594603427,3456,19.855473,0.000000,0.000000,0.000000,events/second
1594603430,3456,19.521836,0.000000,0.000000,0.000000,events/second
1594603433,3567,19.811511,0.000000,0.000000,0.000000,events/second
1594603436,3567,19.488202,0.000000,0.000000,0.000000,events/second
1594603439,3567,19.172199,0.000000,0.000000,0.000000,events/second
1594603442,3567,18.868563,0.000000,0.000000,0.000000,events/second
1594603445,3567,18.567312,0.000000,0.000000,0.000000,events/second
1594603448,3567,18.284738,0.000000,0.000000,0.000000,events/second
1594603451,3567,18.010050,0.000000,0.000000,0.000000,events/second
1594603454,3567,17.741804,0.000000,0.000000,0.000000,events/second
1594603457,3587,17.580119,0.000000,0.000000,0.000000,events/second
1594603460,3587,17.325798,0.000000,0.000000,0.000000,events/second
1594603463,3587,17.077470,0.000000,0.000000,0.000000,events/second
1594603466,3587,16.837353,0.000000,0.000000,0.000000,events/second
1594603469,3587,16.601667,0.000000,0.000000,0.000000,events/second
1594603472,3587,16.376009,0.000000,0.000000,0.000000,events/second
1594603475,3587,16.154523,0.000000,0.000000,0.000000,events/second
1594603478,3587,15.938318,0.000000,0.000000,0.000000,events/second
1594603481,3587,15.729106,0.000000,0.000000,0.000000,events/second
1594603484,3712,16.066149,0.000000,0.000000,0.000000,events/second
1594603487,3712,15.859082,0.000000,0.000000,0.000000,events/second
1594603490,3712,15.659668,0.000000,0.000000,0.000000,events/second
1594603493,3823,15.924878,0.000000,0.000000,0.000000,events/second
1594603496,3823,15.729495,0.000000,0.000000,0.000000,events/second
1594603499,3823,15.537047,0.000000,0.000000,0.000000,events/second
1594603502,3823,15.350278,0.000000,0.000000,0.000000,events/second
1594603505,3823,15.167940,0.000000,0.000000,0.000000,events/second
