t,value
1594603256,8
1594603259,8
1594603262,8
1594603265,8
1594603268,8
1594603271,8
1594603274,8
1594603277,8
1594603280,8
1594603283,8
1594603286,8
1594603289,8
1594603292,8
1594603295,8
1594603298,8
1594603301,8
1594603304,8
1594603307,8
1594603310,8
1594603313,8
1594603316,8
1594603319,8
1594603322,8
1594603325,8
1594603328,8
1594603331,8
1594603334,8
1594603337,8
1594603340,8
1594603343,8
1594603346,8
1594603349,8
1594603352,8
1594603355,8
1594603358,8
1594603361,8
1594603364,8
1594603367,8
1594603370,8
1594603373,8
1594603376,8
1594603379,8
1594603382,8
1594603385,8
1594603388,8
1594603391,8
1594603394,8
1594603397,8
1594603400,8
1594603403,8
1594603406,8
1594603409,8
1594603412,8
1594603415,8
1594603418,8
1594603421,8
1594603424,8
1594603427,8
1594603430,8
1594603433,8
1594603436,8
1594603439,8
1594603442,8
1594603445,8
1594603448,8
1594603451,8
1594603454,8
1594603457,8
1594603460,8
1594603463,8
1594603466,8
1594603469,8
1594603472,8
1594603475,8
1594603478,8
1594603481,8
1594603484,8
1594603487,8
1594603490,8
1594603493,8
1594603496,8
1594603499,8
1594603502,8
1594603505,8
1594603508,8
1594603511,8
1594603514,8
1594603517,8
1594603520,8
1594603523,8
1594603526,8
1594603529,8
1594603532,8
1594603535,8
1594603538,8
1594603541,8
1594603544,8
1594603547,8
1594603550,8
1594603553,8
1594603556,8
1594603559,8
1594603562,8
1594603565,8
1594603568,8
1594603571,8
1594603574,8
1594603577,8
1594603580,8
1594603583,8
1594603586,8
1594603589,8
1594603592,8
1594603595,8
1594603598,8
1594603601,8
1594603604,8
1594603607,8
1594603610,8
1594603613,8
1594603616,8
1594603619,8
1594603622,8
1594603625,8
1594603628,8
1594603631,8
1594603634,8
1594603637,8
1594603640,8
1594603643,8
1594603646,8
1594603649,8
1594603652,8
1594603655,8
1594603658,8
1594603661,8
1594603664,8
1594603667,8
1594603670,8
1594603673,8
1594603676,8
1594603679,8
1594603682,8
1594603685,8
1594603688,8
1594603691,8
