t,value
1594603256,8
1594603259,4
1594603262,4
1594603265,4
1594603268,4
1594603271,4
1594603274,4
1594603277,4
1594603280,4
1594603283,4
1594603286,4
1594603289,4
1594603292,4
1594603295,4
1594603298,4
1594603301,4
1594603304,4
1594603307,4
1594603310,4
1594603313,4
1594603316,4
1594603319,5
1594603322,5
1594603325,5
1594603328,5
1594603331,5
1594603334,5
1594603337,5
1594603340,5
1594603343,5
1594603346,5
1594603349,5
1594603352,5
1594603355,5
1594603358,5
1594603361,5
1594603364,5
1594603367,5
1594603370,5
1594603373,5
1594603376,5
1594603379,5
1594603382,5
1594603385,5
1594603388,5
1594603391,5
1594603394,5
1594603397,5
1594603400,5
1594603403,5
1594603406,5
1594603409,5
1594603412,5
1594603415,5
1594603418,5
1594603421,5
1594603424,5
1594603427,5
1594603430,5
1594603433,5
1594603436,5
1594603439,5
1594603442,5
1594603445,5
1594603448,5
1594603451,5
1594603454,5
1594603457,5
1594603460,5
1594603463,5
1594603466,5
1594603469,5
1594603472,5
1594603475,5
1594603478,5
1594603481,5
1594603484,5
1594603487,5
1594603490,5
1594603493,5
1594603496,5
1594603499,5
1594603502,5
1594603505,5
1594603508,5
1594603511,5
1594603514,5
1594603517,5
1594603520,5
1594603523,5
1594603526,5
1594603529,5
1594603532,5
1594603535,5
1594603538,5
1594603541,5
1594603544,5
1594603547,5
1594603550,5
1594603553,5
1594603556,5
1594603559,5
1594603562,5
1594603565,5
1594603568,5
1594603571,5
1594603574,5
1594603577,5
1594603580,5
1594603583,5
1594603586,5
1594603589,5
1594603592,5
1594603595,5
1594603598,5
1594603601,5
1594603604,5
1594603607,5
1594603610,5
1594603613,5
1594603616,5
1594603619,5
1594603622,5
1594603625,5
1594603628,5
1594603631,5
1594603634,5
1594603637,5
1594603640,5
1594603643,5
1594603646,5
1594603649,5
1594603652,5
1594603655,5
1594603658,5
1594603661,5
1594603664,5
1594603667,5
1594603670,5
1594603673,5
1594603676,5
1594603679,5
1594603682,5
1594603685,5
1594603688,5
1594603691,5
1594603694,5
1594603697,5
1594603700,5
1594603703,5
1594603706,5
1594603709,5
1594603712,5
1594603715,5
1594603718,5
1594603721,5
1594603724,5
1594603727,5
1594603730,5
1594603733,5
1594603736,5
1594603739,5
1594603742,5
1594603745,5
1594603748,5
