t,value
1594603256,80
1594603259,80
1594603262,80
1594603265,80
1594603268,80
1594603271,80
1594603274,80
1594603277,80
1594603280,80
1594603283,80
1594603286,80
1594603289,80
1594603292,80
1594603295,80
1594603298,80
1594603301,80
1594603304,80
1594603307,80
1594603310,80
1594603313,80
1594603316,80
1594603319,80
1594603322,80
1594603325,80
1594603328,80
1594603331,80
1594603334,80
1594603337,80
1594603340,80
1594603343,80
1594603346,80
1594603349,80
1594603352,80
1594603355,80
1594603358,80
1594603361,80
1594603364,80
1594603367,80
1594603370,80
1594603373,80
1594603376,80
1594603379,80
1594603382,80
1594603385,80
1594603388,80
1594603391,80
1594603394,80
1594603397,80
1594603400,80
1594603403,80
1594603406,80
1594603409,80
1594603412,80
1594603415,80
1594603418,80
1594603421,80
1594603424,80
1594603427,80
1594603430,80
1594603433,80
1594603436,80
1594603439,80
1594603442,80
1594603445,80
1594603448,80
1594603451,80
1594603454,80
1594603457,80
1594603460,80
1594603463,80
1594603466,80
1594603469,80
1594603472,80
1594603475,80
1594603478,80
1594603481,80
1594603484,80
1594603487,80
1594603490,80
1594603493,80
1594603496,80
1594603499,80
1594603502,80
1594603505,80
1594603508,80
1594603511,80
1594603514,80
1594603517,80
1594603520,80
1594603523,80
1594603526,80
1594603529,80
1594603532,80
1594603535,80
1594603538,80
1594603541,80
1594603544,80
1594603547,80
1594603550,80
1594603553,80
1594603556,80
1594603559,80
1594603562,80
1594603565,80
1594603568,80
1594603571,80
1594603574,80
1594603577,80
1594603580,80
1594603583,80
1594603586,80
1594603589,80
1594603592,80
1594603595,80
1594603598,80
1594603601,80
1594603604,80
1594603607,80
1594603610,80
1594603613,80
1594603616,80
1594603619,80
1594603622,80
1594603625,80
1594603628,80
1594603631,80
1594603634,80
1594603637,80
1594603640,80
1594603643,80
1594603646,80
1594603649,80
1594603652,80
1594603655,80
1594603658,80
1594603661,80
1594603664,80
1594603667,80
1594603670,80
1594603673,80
1594603676,80
1594603679,80
1594603682,80
1594603685,80
1594603688,80
1594603691,80
1594603694,80
1594603697,80
1594603700,80
1594603703,80
1594603706,80
1594603709,80
1594603712,80
1594603715,80
1594603718,80
1594603721,80
1594603724,80
1594603727,80
1594603730,80
1594603733,80
1594603736,80
1594603739,80
1594603742,80
1594603745,80
1594603748,80
1594603751,80
1594603754,80
1594603757,80
1594603760,80
1594603763,80
1594603766,80
1594603769,80
1594603772,80
1594603775,80
1594603778,80
1594603781,80
1594603784,80
1594603787,80
1594603790,80
1594603793,80
1594603796,80
1594603799,80
1594603802,80
1594603805,80
1594603808,80
1594603811,80
1594603814,80
1594603817,80
1594603820,80
1594603823,80
1594603826,80
1594603829,80
1594603832,80
1594603835,80
1594603838,80
1594603841,80
1594603844,80
1594603847,80
1594603850,80
1594603853,80
1594603856,80
1594603859,80
1594603862,80
1594603865,80
1594603868,80
1594603871,80
1594603874,80
1594603877,80
1594603880,80
1594603883,80
1594603886,80
1594603889,80
1594603892,80
1594603895,80
1594603898,80
1594603901,80
1594603904,80
