t,value
1594603256,61
1594603259,61
1594603262,61
1594603265,61
1594603268,61
1594603271,61
1594603274,61
1594603277,61
1594603280,61
1594603283,61
1594603286,61
1594603289,61
1594603292,61
1594603295,61
1594603298,61
1594603301,61
1594603304,61
1594603307,61
1594603310,61
1594603313,61
1594603316,61
1594603319,61
1594603322,61
1594603325,61
1594603328,61
1594603331,61
1594603334,61
1594603337,61
1594603340,61
1594603343,61
1594603346,61
1594603349,61
1594603352,61
1594603355,61
1594603358,61
1594603361,61
1594603364,61
1594603367,61
1594603370,61
1594603373,61
1594603376,61
1594603379,61
1594603382,61
1594603385,61
1594603388,61
1594603391,61
1594603394,61
1594603397,61
1594603400,61
1594603403,61
1594603406,61
1594603409,61
1594603412,61
1594603415,61
1594603418,61
1594603421,61
1594603424,61
1594603427,61
1594603430,61
1594603433,61
1594603436,61
1594603439,61
1594603442,61
1594603445,61
1594603448,61
1594603451,61
1594603454,61
1594603457,61
1594603460,61
1594603463,61
1594603466,61
1594603469,61
1594603472,61
1594603475,61
1594603478,61
1594603481,61
1594603484,61
1594603487,61
1594603490,61
1594603493,61
1594603496,61
1594603499,61
1594603502,61
1594603505,61
1594603508,61
1594603511,61
1594603514,61
1594603517,61
1594603520,61
1594603523,61
1594603526,61
1594603529,61
1594603532,61
1594603535,61
1594603538,61
1594603541,61
1594603544,61
1594603547,61
1594603550,61
1594603553,61
1594603556,61
1594603559,61
1594603562,61
1594603565,61
1594603568,61
1594603571,61
1594603574,61
1594603577,61
1594603580,61
1594603583,61
1594603586,61
1594603589,61
1594603592,61
1594603595,61
1594603598,61
1594603601,61
1594603604,61
1594603607,61
1594603610,61
1594603613,61
1594603616,61
1594603619,61
1594603622,61
1594603625,61
1594603628,61
1594603631,61
1594603634,61
1594603637,61
1594603640,61
1594603643,61
1594603646,61
1594603649,61
1594603652,61
1594603655,61
1594603658,61
1594603661,61
1594603664,61
1594603667,61
1594603670,61
1594603673,61
1594603676,61
1594603679,61
1594603682,61
1594603685,61
1594603688,61
1594603691,61
1594603694,61
1594603697,61
1594603700,61
1594603703,61
1594603706,61
1594603709,61
1594603712,61
1594603715,61
1594603718,61
1594603721,61
1594603724,61
1594603727,61
1594603730,61
1594603733,61
1594603736,61
1594603739,61
1594603742,61
1594603745,61
1594603748,61
1594603751,61
1594603754,61
1594603757,61
1594603760,61
1594603763,61
1594603766,61
1594603769,61
1594603772,61
1594603775,61
1594603778,61
1594603781,61
1594603784,61
1594603787,61
1594603790,61
1594603793,61
1594603796,61
1594603799,61
1594603802,61
1594603805,61
1594603808,61
1594603811,61
1594603814,61
1594603817,61
1594603820,61
1594603823,61
1594603826,61
1594603829,61
1594603832,61
1594603835,61
1594603838,61
1594603841,61
1594603844,61
1594603847,61
1594603850,61
1594603853,61
1594603856,61
1594603859,61
1594603862,61
1594603865,61
1594603868,61
1594603871,61
1594603874,61
1594603877,61
1594603880,61
1594603883,61
1594603886,61
1594603889,61
1594603892,61
1594603895,61
1594603898,61
1594603901,61
1594603904,61
1594603907,61
1594603910,61
1594603913,61
1594603916,61
1594603919,61
1594603922,61
