t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,32466,2213.520227,0.000000,0.000000,0.000000,events/second
1594603259,32466,1911.129533,0.000000,0.000000,0.000000,events/second
1594603262,32466,1627.188134,0.000000,0.000000,0.000000,events/second
1594603265,32466,1416.802199,0.000000,0.000000,0.000000,events/second
1594603268,32466,1242.940638,0.000000,0.000000,0.000000,events/second
1594603271,32466,1117.265501,0.000000,0.000000,0.000000,events/second
1594603274,32466,1016.056866,0.000000,0.000000,0.000000,events/second
1594603277,32466,928.650001,0.000000,0.000000,0.000000,events/second
1594603280,32466,853.225422,0.000000,0.000000,0.000000,events/second
1594603283,32466,793.614480,0.000000,0.000000,0.000000,events/second
1594603286,32466,739.603486,0.000000,0.000000,0.000000,events/second
1594603289,32466,657.065060,0.000000,0.000000,0.000000,events/second
1594603292,32466,648.268437,0.000000,0.000000,0.000000,events/second
1594603295,32466,612.542072,0.000000,0.000000,0.000000,events/second
1594603298,32466,581.203020,0.000000,0.000000,0.000000,events/second
1594603301,32466,551.396516,0.000000,0.000000,0.000000,events/second
1594603304,32466,524.344378,0.000000,0.000000,0.000000,events/second
1594603307,32466,500.566454,0.000000,0.000000,0.000000,events/second
1594603310,32466,478.471079,0.000000,0.000000,0.000000,events/second
1594603313,32466,455.747146,0.000000,0.000000,0.000000,events/second
1594603316,32466,439.506505,0.000000,0.000000,0.000000,events/second
1594603319,32466,422.416638,0.000000,0.000000,0.000000,events/second
1594603322,32466,406.728297,0.000000,0.000000,0.000000,events/second
1594603325,32466,392.001363,0.000000,0.000000,0.000000,events/second
1594603328,32466,378.306101,0.000000,0.000000,0.000000,events/second
1594603331,32466,365.368386,0.000000,0.000000,0.000000,events/second
1594603334,32466,353.524481,0.000000,0.000000,0.000000,events/second
1594603337,32466,342.278233,0.000000,0.000000,0.000000,events/second
1594603340,32466,331.853531,0.000000,0.000000,0.000000,events/second
1594603343,32466,322.005914,0.000000,0.000000,0.000000,events/second
1594603346,32466,312.723181,0.000000,0.000000,0.000000,events/second
1594603349,32466,303.946458,0.000000,0.000000,0.000000,events/second
1594603352,32466,295.612142,0.000000,0.000000,0.000000,events/second
1594603355,32466,287.780443,0.000000,0.000000,0.000000,events/second
1594603358,32466,280.327758,0.000000,0.000000,0.000000,events/second
1594603361,32466,273.165941,0.000000,0.000000,0.000000,events/second
1594603364,32466,266.424137,0.000000,0.000000,0.000000,events/second
1594603367,32466,259.994749,0.000000,0.000000,0.000000,events/second
1594603370,32466,253.925405,0.000000,0.000000,0.000000,events/second
1594603373,32466,248.180971,0.000000,0.000000,0.000000,events/second
1594603376,32466,242.622204,0.000000,0.000000,0.000000,events/second
