t,value
1594603256,32
1594603259,32
1594603262,32
1594603265,32
1594603268,32
1594603271,32
1594603274,32
1594603277,32
1594603280,32
1594603283,32
1594603286,32
1594603289,32
1594603292,32
1594603295,32
1594603298,32
1594603301,32
1594603304,32
1594603307,32
1594603310,32
1594603313,32
1594603316,32
1594603319,32
1594603322,32
1594603325,32
1594603328,32
1594603331,32
1594603334,32
1594603337,32
1594603340,32
1594603343,32
1594603346,32
1594603349,32
1594603352,32
1594603355,32
1594603358,32
1594603361,32
1594603364,32
1594603367,32
1594603370,32
1594603373,32
1594603376,32
1594603379,32
1594603382,32
1594603385,32
1594603388,32
1594603391,32
1594603394,32
1594603397,32
1594603400,32
1594603403,32
1594603406,32
1594603409,32
1594603412,32
1594603415,32
1594603418,32
1594603421,32
1594603424,32
1594603427,32
1594603430,32
1594603433,32
1594603436,32
1594603439,32
1594603442,32
1594603445,32
1594603448,32
1594603451,32
1594603454,32
1594603457,32
1594603460,32
1594603463,32
1594603466,32
1594603469,32
1594603472,32
1594603475,32
1594603478,32
1594603481,32
1594603484,32
1594603487,32
1594603490,32
1594603493,32
1594603496,32
1594603499,32
1594603502,32
1594603505,32
1594603508,32
1594603511,32
1594603514,32
1594603517,32
1594603520,32
1594603523,32
1594603526,32
1594603529,32
1594603532,32
1594603535,32
1594603538,32
1594603541,32
1594603544,32
1594603547,32
1594603550,32
1594603553,32
1594603556,32
1594603559,32
1594603562,32
1594603565,32
1594603568,32
1594603571,32
1594603574,32
1594603577,32
1594603580,32
1594603583,32
1594603586,32
1594603589,32
1594603592,32
1594603595,32
1594603598,32
1594603601,32
1594603604,32
1594603607,32
1594603610,32
1594603613,32
1594603616,32
1594603619,32
1594603622,32
1594603625,32
1594603628,32
1594603631,32
1594603634,32
1594603637,32
1594603640,32
1594603643,32
1594603646,32
1594603649,32
1594603652,32
1594603655,32
1594603658,32
1594603661,32
1594603664,32
1594603667,32
1594603670,32
1594603673,32
1594603676,32
1594603679,32
1594603682,32
1594603685,32
1594603688,32
1594603691,32
1594603694,32
1594603697,32
1594603700,32
1594603703,32
1594603706,32
1594603709,32
1594603712,32
1594603715,32
1594603718,32
1594603721,32
1594603724,32
1594603727,32
1594603730,32
1594603733,32
1594603736,32
1594603739,32
1594603742,32
1594603745,32
1594603748,32
1594603751,32
1594603754,32
1594603757,32
1594603760,32
1594603763,32
1594603766,32
1594603769,32
1594603772,32
1594603775,32
1594603778,32
1594603781,32
1594603784,32
1594603787,32
1594603790,32
1594603793,32
1594603796,32
1594603799,32
1594603802,32
1594603805,32
1594603808,32
1594603811,32
1594603814,32
1594603817,32
1594603820,32
1594603823,32
1594603826,32
1594603829,32
1594603832,32
1594603835,32
1594603838,32
1594603841,32
1594603844,32
1594603847,32
1594603850,32
1594603853,32
1594603856,32
1594603859,32
1594603862,32
1594603865,32
1594603868,32
1594603871,32
1594603874,32
1594603877,32
1594603880,32
1594603883,32
1594603886,32
1594603889,32
1594603892,32
1594603895,32
1594603898,32
1594603901,32
1594603904,32
1594603907,32
1594603910,32
1594603913,32
1594603916,32
1594603919,32
1594603922,32
1594603925,32
1594603928,32
1594603931,32
1594603934,32
1594603937,32
1594603940,32
1594603943,32
1594603946,32
1594603949,32
1594603952,32
1594603955,32
1594603958,32
1594603961,32
1594603964,32
1594603967,32
1594603970,32
1594603973,32
1594603976,32
1594603979,32
1594603982,32
1594603985,32
1594603988,32
1594603991,32
1594603994,32
1594603997,32
1594604000,32
1594604003,32
1594604006,32
1594604009,32
1594604012,32
