t,value
1594603256,1048576
1594603259,1048576
1594603262,1048576
1594603265,1048576
1594603268,1048576
1594603271,1048576
1594603274,1048576
1594603277,1048576
1594603280,1048576
1594603283,1048576
1594603286,1048576
1594603289,1048576
1594603292,1048576
1594603295,1048576
1594603298,1048576
1594603301,1048576
1594603304,1048576
1594603307,1048576
1594603310,1048576
1594603313,1048576
1594603316,1048576
1594603319,1048576
1594603322,1048576
1594603325,1048576
1594603328,1048576
1594603331,1048576
1594603334,1048576
1594603337,1048576
1594603340,1048576
1594603343,1048576
1594603346,1048576
1594603349,1048576
1594603352,1048576
1594603355,1048576
1594603358,1048576
1594603361,1048576
1594603364,1048576
1594603367,1048576
1594603370,1048576
1594603373,1048576
1594603376,1048576
1594603379,1048576
1594603382,1048576
1594603385,1048576
1594603388,1048576
1594603391,1048576
1594603394,1048576
1594603397,1048576
1594603400,1048576
1594603403,1048576
1594603406,1048576
1594603409,1048576
1594603412,1048576
1594603415,1048576
1594603418,1048576
1594603421,1048576
1594603424,1048576
1594603427,1048576
1594603430,1048576
1594603433,1048576
1594603436,1048576
1594603439,1048576
1594603442,1048576
1594603445,1048576
1594603448,1048576
1594603451,1048576
1594603454,1048576
1594603457,1048576
1594603460,1048576
1594603463,1048576
1594603466,1048576
1594603469,1048576
1594603472,1048576
1594603475,1048576
1594603478,1048576
1594603481,1048576
1594603484,1048576
1594603487,1048576
1594603490,1048576
1594603493,1048576
1594603496,1048576
1594603499,1048576
1594603502,1048576
1594603505,1048576
1594603508,1048576
1594603511,1048576
1594603514,1048576
1594603517,1048576
1594603520,1048576
1594603523,1048576
1594603526,1048576
1594603529,1048576
1594603532,1048576
1594603535,1048576
1594603538,1048576
1594603541,1048576
1594603544,1048576
1594603547,1048576
1594603550,1048576
1594603553,1048576
1594603556,1048576
1594603559,1048576
1594603562,1048576
1594603565,1048576
1594603568,1048576
1594603571,1048576
1594603574,1048576
1594603577,1048576
1594603580,1048576
1594603583,1048576
1594603586,1048576
1594603589,1048576
1594603592,1048576
1594603595,1048576
1594603598,1048576
1594603601,1048576
1594603604,1048576
1594603607,1048576
1594603610,1048576
1594603613,1048576
1594603616,1048576
1594603619,1048576
1594603622,1048576
1594603625,1048576
1594603628,1048576
1594603631,1048576
1594603634,1048576
1594603637,1048576
1594603640,1048576
1594603643,1048576
1594603646,1048576
1594603649,1048576
1594603652,1048576
1594603655,1048576
1594603658,1048576
1594603661,1048576
1594603664,1048576
1594603667,1048576
1594603670,1048576
1594603673,1048576
1594603676,1048576
1594603679,1048576
1594603682,1048576
1594603685,1048576
1594603688,1048576
1594603691,1048576
1594603694,1048576
1594603697,1048576
1594603700,1048576
1594603703,1048576
1594603706,1048576
1594603709,1048576
1594603712,1048576
1594603715,1048576
1594603718,1048576
1594603721,1048576
1594603724,1048576
1594603727,1048576
1594603730,1048576
1594603733,1048576
1594603736,1048576
1594603739,1048576
1594603742,1048576
1594603745,1048576
1594603748,1048576
1594603751,1048576
1594603754,1048576
1594603757,1048576
1594603760,1048576
1594603763,1048576
1594603766,1048576
1594603769,1048576
1594603772,1048576
1594603775,1048576
1594603778,1048576
1594603781,1048576
1594603784,1048576
1594603787,1048576
1594603790,1048576
1594603793,1048576
1594603796,1048576
1594603799,1048576
1594603802,1048576
1594603805,1048576
1594603808,1048576
1594603811,1048576
1594603814,1048576
1594603817,1048576
1594603820,1048576
1594603823,1048576
1594603826,1048576
1594603829,1048576
1594603832,1048576
1594603835,1048576
1594603838,1048576
1594603841,1048576
1594603844,1048576
1594603847,1048576
1594603850,1048576
1594603853,1048576
1594603856,1048576
1594603859,1048576
1594603862,1048576
1594603865,1048576
1594603868,1048576
1594603871,1048576
1594603874,1048576
1594603877,1048576
1594603880,1048576
1594603883,1048576
1594603886,1048576
1594603889,1048576
1594603892,1048576
1594603895,1048576
1594603898,1048576
1594603901,1048576
1594603904,1048576
1594603907,1048576
1594603910,1048576
1594603913,1048576
1594603916,1048576
1594603919,1048576
1594603922,1048576
1594603925,1048576
1594603928,1048576
1594603931,1048576
1594603934,1048576
1594603937,1048576
1594603940,1048576
1594603943,1048576
1594603946,1048576
1594603949,1048576
1594603952,1048576
1594603955,1048576
1594603958,1048576
1594603961,1048576
1594603964,1048576
1594603967,1048576
1594603970,1048576
1594603973,1048576
1594603976,1048576
1594603979,1048576
1594603982,1048576
1594603985,1048576
1594603988,1048576
1594603991,1048576
1594603994,1048576
1594603997,1048576
1594604000,1048576
1594604003,1048576
1594604006,1048576
1594604009,1048576
1594604012,1048576
1594604015,1048576
1594604018,1048576
1594604021,1048576
1594604024,1048576
1594604027,1048576
1594604030,1048576
1594604033,1048576
1594604036,1048576
1594604039,1048576
1594604042,1048576
1594604045,1048576
1594604048,1048576
1594604051,1048576
1594604054,1048576
1594604057,1048576
1594604060,1048576
1594604063,1048576
1594604066,1048576
1594604069,1048576
1594604072,1048576
1594604075,1048576
1594604078,1048576
1594604081,1048576
1594604084,1048576
1594604087,1048576
1594604090,1048576
1594604093,1048576
1594604096,1048576
1594604099,1048576
1594604102,1048576
1594604105,1048576
1594604108,1048576
1594604111,1048576
1594604114,1048576
1594604117,1048576
1594604120,1048576
1594604123,1048576
1594604126,1048576
1594604129,1048576
1594604132,1048576
1594604135,1048576
1594604138,1048576
1594604141,1048576
1594604144,1048576
1594604147,1048576
1594604150,1048576
1594604153,1048576
1594604156,1048576
1594604159,1048576
1594604162,1048576
1594604165,1048576
1594604168,1048576
1594604171,1048576
1594604174,1048576
1594604177,1048576
1594604180,1048576
1594604183,1048576
1594604186,1048576
1594604189,1048576
1594604192,1048576
1594604195,1048576
1594604198,1048576
1594604201,1048576
1594604204,1048576
1594604207,1048576
1594604210,1048576
1594604213,1048576
1594604216,1048576
1594604219,1048576
1594604222,1048576
1594604225,1048576
1594604228,1048576
1594604231,1048576
1594604234,1048576
1594604237,1048576
1594604240,1048576
1594604243,1048576
1594604246,1048576
1594604249,1048576
1594604252,1048576
1594604255,1048576
1594604258,1048576
1594604261,1048576
1594604264,1048576
1594604267,1048576
1594604270,1048576
1594604273,1048576
1594604276,1048576
1594604279,1048576
1594604282,1048576
1594604285,1048576
1594604288,1048576
1594604291,1048576
1594604294,1048576
1594604297,1048576
1594604300,1048576
1594604303,1048576
1594604306,1048576
1594604309,1048576
1594604312,1048576
1594604315,1048576
1594604318,1048576
1594604321,1048576
1594604324,1048576
1594604327,1048576
1594604330,1048576
1594604333,1048576
1594604336,1048576
1594604339,1048576
1594604342,1048576
1594604345,1048576
1594604348,1048576
1594604351,1048576
1594604354,1048576
1594604357,1048576
1594604360,1048576
1594604363,1048576
1594604366,1048576
1594604369,1048576
1594604372,1048576
1594604375,1048576
1594604378,1048576
1594604381,1048576
1594604384,1048576
1594604387,1048576
1594604390,1048576
1594604393,1048576
1594604396,1048576
1594604399,1048576
1594604402,1048576
1594604405,1048576
1594604408,1048576
1594604411,1048576
1594604414,1048576
1594604417,1048576
1594604420,1048576
1594604423,1048576
1594604426,1048576
1594604429,1048576
1594604432,1048576
1594604435,1048576
1594604438,1048576
1594604441,1048576
1594604444,1048576
1594604447,1048576
1594604450,1048576
1594604453,1048576
1594604456,1048576
1594604459,1048576
1594604462,1048576
1594604465,1048576
1594604468,1048576
1594604471,1048576
1594604474,1048576
1594604477,1048576
1594604480,1048576
1594604483,1048576
1594604486,1048576
1594604489,1048576
1594604492,1048576
1594604495,1048576
1594604498,1048576
1594604501,1048576
1594604504,1048576
1594604507,1048576
1594604510,1048576
1594604513,1048576
1594604516,1048576
1594604519,1048576
1594604522,1048576
1594604525,1048576
1594604528,1048576
1594604531,1048576
1594604534,1048576
1594604537,1048576
1594604540,1048576
1594604543,1048576
1594604546,1048576
1594604549,1048576
1594604552,1048576
1594604555,1048576
1594604558,1048576
1594604561,1048576
1594604564,1048576
1594604567,1048576
1594604570,1048576
1594604573,1048576
1594604576,1048576
1594604579,1048576
1594604582,1048576
1594604585,1048576
1594604588,1048576
1594604591,1048576
1594604594,1048576
1594604597,1048576
1594604600,1048576
1594604603,1048576
1594604606,1048576
1594604609,1048576
1594604612,1048576
1594604615,1048576
1594604618,1048576
1594604621,1048576
1594604624,1048576
1594604627,1048576
1594604630,1048576
1594604633,1048576
1594604636,1048576
1594604639,1048576
1594604642,1048576
1594604645,1048576
1594604648,1048576
1594604651,1048576
1594604654,1048576
1594604657,1048576
1594604660,1048576
1594604663,1048576
1594604666,1048576
1594604669,1048576
1594604672,1048576
1594604675,1048576
1594604678,1048576
1594604681,1048576
1594604684,1048576
1594604687,1048576
1594604690,1048576
1594604693,1048576
1594604696,1048576
1594604699,1048576
1594604702,1048576
1594604705,1048576
1594604708,1048576
1594604711,1048576
1594604714,1048576
1594604717,1048576
1594604720,1048576
1594604723,1048576
1594604726,1048576
1594604729,1048576
1594604732,1048576
1594604735,1048576
1594604738,1048576
1594604741,1048576
1594604744,1048576
1594604747,1048576
1594604750,1048576
1594604753,1048576
1594604756,1048576
1594604759,1048576
1594604762,1048576
1594604765,1048576
1594604768,1048576
1594604771,1048576
1594604774,1048576
1594604777,1048576
1594604780,1048576
1594604783,1048576
1594604786,1048576
1594604789,1048576
1594604792,1048576
1594604795,1048576
1594604798,1048576
1594604801,1048576
1594604804,1048576
1594604807,1048576
1594604810,1048576
1594604813,1048576
1594604816,1048576
1594604819,1048576
1594604822,1048576
1594604825,1048576
1594604828,1048576
1594604831,1048576
1594604834,1048576
1594604837,1048576
1594604840,1048576
1594604843,1048576
1594604846,1048576
1594604849,1048576
1594604852,1048576
1594604855,1048576
1594604858,1048576
1594604861,1048576
1594604864,1048576
1594604867,1048576
1594604870,1048576
1594604873,1048576
1594604876,1048576
1594604879,1048576
1594604882,1048576
1594604885,1048576
1594604888,1048576
1594604891,1048576
1594604894,1048576
1594604897,1048576
1594604900,1048576
1594604903,1048576
1594604906,1048576
1594604909,1048576
1594604912,1048576
1594604915,1048576
1594604918,1048576
1594604921,1048576
1594604924,1048576
1594604927,1048576
1594604930,1048576
1594604933,1048576
1594604936,1048576
1594604939,1048576
1594604942,1048576
1594604945,1048576
1594604948,1048576
1594604951,1048576
1594604954,1048576
1594604957,1048576
1594604960,1048576
1594604963,1048576
1594604966,1048576
1594604969,1048576
1594604972,1048576
1594604975,1048576
1594604978,1048576
1594604981,1048576
1594604984,1048576
1594604987,1048576
1594604990,1048576
1594604993,1048576
1594604996,1048576
1594604999,1048576
1594605002,1048576
1594605005,1048576
1594605008,1048576
1594605011,1048576
1594605014,1048576
1594605017,1048576
1594605020,1048576
1594605023,1048576
1594605026,1048576
1594605029,1048576
1594605032,1048576
1594605035,1048576
1594605038,1048576
1594605041,1048576
1594605044,1048576
1594605047,1048576
1594605050,1048576
1594605053,1048576
1594605056,1048576
1594605059,1048576
1594605062,1048576
1594605065,1048576
1594605068,1048576
1594605071,1048576
1594605074,1048576
1594605077,1048576
1594605080,1048576
1594605083,1048576
1594605086,1048576
1594605089,1048576
1594605092,1048576
1594605095,1048576
1594605098,1048576
1594605101,1048576
1594605104,1048576
1594605107,1048576
1594605110,1048576
1594605113,1048576
1594605116,1048576
1594605119,1048576
1594605122,1048576
1594605125,1048576
1594605128,1048576
1594605131,1048576
1594605134,1048576
1594605137,1048576
1594605140,1048576
1594605143,1048576
1594605146,1048576
1594605149,1048576
1594605152,1048576
1594605155,1048576
1594605158,1048576
1594605161,1048576
1594605164,1048576
1594605167,1048576
1594605170,1048576
1594605173,1048576
1594605176,1048576
1594605179,1048576
1594605182,1048576
1594605185,1048576
1594605188,1048576
1594605191,1048576
1594605194,1048576
1594605197,1048576
1594605200,1048576
1594605203,1048576
1594605206,1048576
1594605209,1048576
1594605212,1048576
1594605215,1048576
1594605218,1048576
1594605221,1048576
1594605224,1048576
1594605227,1048576
1594605230,1048576
