t,value
1594603256,810925
1594603259,810925
1594603262,810925
1594603265,810925
1594603268,810925
1594603271,810925
1594603274,810925
1594603277,810925
1594603280,810925
1594603283,810925
1594603286,810925
1594603289,810925
1594603292,810925
1594603295,810925
1594603298,810925
1594603301,810925
1594603304,810925
1594603307,810925
1594603310,810925
1594603313,810925
1594603316,810925
1594603319,810925
1594603322,810925
1594603325,810925
1594603328,810925
1594603331,810925
1594603334,810925
1594603337,810925
1594603340,810925
1594603343,810925
1594603346,810925
1594603349,810925
1594603352,810925
1594603355,810925
1594603358,810925
1594603361,810925
1594603364,810925
1594603367,810925
1594603370,810925
1594603373,810925
1594603376,810925
1594603379,810925
1594603382,810925
1594603385,810925
1594603388,810925
1594603391,810925
1594603394,810925
1594603397,810925
1594603400,810925
1594603403,810925
1594603406,810925
1594603409,810925
1594603412,810925
1594603415,810925
1594603418,810925
1594603421,810925
1594603424,810925
1594603427,810925
1594603430,810925
1594603433,810925
1594603436,810925
1594603439,810925
1594603442,810925
1594603445,810925
1594603448,810925
1594603451,810925
1594603454,810925
1594603457,810925
1594603460,810925
1594603463,810925
1594603466,810925
1594603469,810925
1594603472,810925
1594603475,810925
1594603478,810925
1594603481,810925
1594603484,810925
1594603487,810925
1594603490,810925
1594603493,810925
1594603496,810925
1594603499,810925
1594603502,810925
1594603505,810925
1594603508,810925
1594603511,810925
1594603514,810925
1594603517,810925
1594603520,810925
1594603523,810925
1594603526,810925
1594603529,810925
1594603532,810925
1594603535,810925
1594603538,810925
1594603541,810925
1594603544,810925
1594603547,810925
1594603550,810925
1594603553,810925
1594603556,810925
1594603559,810925
1594603562,810925
1594603565,810925
1594603568,810925
1594603571,810925
1594603574,810925
1594603577,810925
1594603580,810925
1594603583,810925
1594603586,810925
1594603589,810925
1594603592,810925
1594603595,810925
1594603598,810925
1594603601,810925
1594603604,810925
1594603607,810925
1594603610,810925
1594603613,810925
1594603616,810925
1594603619,810925
1594603622,810925
1594603625,810925
1594603628,810925
1594603631,810925
1594603634,810925
1594603637,810925
1594603640,810925
1594603643,810925
1594603646,810925
1594603649,810925
1594603652,810925
1594603655,810925
1594603658,810925
1594603661,810925
1594603664,810925
1594603667,810925
1594603670,810925
1594603673,810925
1594603676,810925
1594603679,810925
1594603682,810925
1594603685,810925
1594603688,810925
1594603691,810925
1594603694,810925
1594603697,810925
1594603700,810925
1594603703,810925
1594603706,810925
1594603709,810925
1594603712,810925
1594603715,810925
1594603718,810925
1594603721,810925
1594603724,810925
1594603727,810925
1594603730,810925
1594603733,810925
1594603736,810925
1594603739,810925
1594603742,810925
1594603745,810925
1594603748,810925
1594603751,810925
1594603754,810925
1594603757,810925
1594603760,810925
1594603763,810925
1594603766,810925
1594603769,810925
1594603772,810925
1594603775,810925
1594603778,810925
1594603781,810925
1594603784,810925
1594603787,810925
1594603790,810925
1594603793,810925
1594603796,810925
1594603799,810925
1594603802,810925
1594603805,810925
1594603808,810925
1594603811,810925
1594603814,810925
1594603817,810925
1594603820,810925
1594603823,810925
1594603826,810925
1594603829,810925
1594603832,810925
1594603835,810925
1594603838,810925
1594603841,810925
1594603844,942753
1594603847,942753
1594603850,942753
1594603853,942753
1594603856,942753
1594603859,942753
1594603862,942753
1594603865,942753
1594603868,942753
1594603871,942753
1594603874,942753
1594603877,942753
1594603880,942753
1594603883,942753
1594603886,942753
1594603889,942753
1594603892,942753
1594603895,942753
1594603898,942753
1594603901,942753
1594603904,942753
1594603907,942753
1594603910,942753
1594603913,942753
1594603916,942753
1594603919,942753
1594603922,942753
1594603925,942753
1594603928,942753
1594603931,942753
1594603934,942753
1594603937,942753
1594603940,942753
1594603943,942753
1594603946,942753
1594603949,942753
1594603952,942753
1594603955,942753
1594603958,942753
1594603961,942753
1594603964,942753
1594603967,942753
1594603970,942753
1594603973,942753
1594603976,942753
1594603979,942753
1594603982,942753
1594603985,942753
1594603988,942753
1594603991,942753
1594603994,942753
1594603997,942753
1594604000,942753
1594604003,942753
1594604006,942753
1594604009,942753
1594604012,942753
1594604015,942753
1594604018,942753
1594604021,942753
1594604024,942753
1594604027,942753
1594604030,942753
1594604033,942753
1594604036,942753
1594604039,942753
