t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,140,9.523421,0.000000,0.000000,0.000000,events/second
1594603259,141,8.289199,0.000000,0.000000,0.000000,events/second
1594603262,143,7.158075,0.000000,0.000000,0.000000,events/second
1594603265,143,6.233696,0.000000,0.000000,0.000000,events/second
1594603268,143,5.470053,0.000000,0.000000,0.000000,events/second
1594603271,143,4.917451,0.000000,0.000000,0.000000,events/second
1594603274,143,4.472341,0.000000,0.000000,0.000000,events/second
1594603277,143,4.087728,0.000000,0.000000,0.000000,events/second
1594603280,143,3.756099,0.000000,0.000000,0.000000,events/second
1594603283,143,3.493783,0.000000,0.000000,0.000000,events/second
1594603286,143,3.256186,0.000000,0.000000,0.000000,events/second
1594603289,143,2.892896,0.000000,0.000000,0.000000,events/second
1594603292,143,2.854232,0.000000,0.000000,0.000000,events/second
1594603295,143,2.697011,0.000000,0.000000,0.000000,events/second
1594603298,143,2.559050,0.000000,0.000000,0.000000,events/second
1594603301,143,2.427822,0.000000,0.000000,0.000000,events/second
1594603304,143,2.308772,0.000000,0.000000,0.000000,events/second
1594603307,143,2.204136,0.000000,0.000000,0.000000,events/second
1594603310,143,2.106815,0.000000,0.000000,0.000000,events/second
1594603313,143,2.006730,0.000000,0.000000,0.000000,events/second
1594603316,143,1.935308,0.000000,0.000000,0.000000,events/second
1594603319,143,1.860106,0.000000,0.000000,0.000000,events/second
1594603322,143,1.791042,0.000000,0.000000,0.000000,events/second
1594603325,143,1.726196,0.000000,0.000000,0.000000,events/second
1594603328,143,1.665897,0.000000,0.000000,0.000000,events/second
1594603331,143,1.608939,0.000000,0.000000,0.000000,events/second
1594603334,143,1.556781,0.000000,0.000000,0.000000,events/second
1594603337,143,1.507278,0.000000,0.000000,0.000000,events/second
1594603340,143,1.461391,0.000000,0.000000,0.000000,events/second
1594603343,143,1.418034,0.000000,0.000000,0.000000,events/second
1594603346,143,1.377165,0.000000,0.000000,0.000000,events/second
1594603349,143,1.338518,0.000000,0.000000,0.000000,events/second
1594603352,143,1.301821,0.000000,0.000000,0.000000,events/second
1594603355,143,1.267342,0.000000,0.000000,0.000000,events/second
1594603358,143,1.234527,0.000000,0.000000,0.000000,events/second
1594603361,143,1.202990,0.000000,0.000000,0.000000,events/second
1594603364,143,1.173306,0.000000,0.000000,0.000000,events/second
1594603367,143,1.144997,0.000000,0.000000,0.000000,events/second
1594603370,143,1.118271,0.000000,0.000000,0.000000,events/second
1594603373,143,1.092977,0.000000,0.000000,0.000000,events/second
1594603376,143,1.068499,0.000000,0.000000,0.000000,events/second
1594603379,143,1.044968,0.000000,0.000000,0.000000,events/second
1594603382,143,1.022578,0.000000,0.000000,0.000000,events/second
1594603385,143,1.001054,0.000000,0.000000,0.000000,events/second
1594603388,143,0.980325,0.000000,0.000000,0.000000,events/second
1594603391,143,0.960718,0.000000,0.000000,0.000000,events/second
1594603394,143,0.941669,0.000000,0.000000,0.000000,events/second
1594603397,143,0.923539,0.000000,0.000000,0.000000,events/second
1594603400,143,0.905830,0.000000,0.000000,0.000000,events/second
1594603403,144,0.895081,0.000000,0.000000,0.000000,events/second
1594603406,151,0.919599,0.000000,0.000000,0.000000,events/second
1594603409,153,0.916989,0.000000,0.000000,0.000000,events/second
1594603412,153,0.900813,0.000000,0.000000,0.000000,events/second
1594603415,153,0.885186,0.000000,0.000000,0.000000,events/second
1594603418,153,0.869945,0.000000,0.000000,0.000000,events/second
1594603421,153,0.855528,0.000000,0.000000,0.000000,events/second
1594603424,153,0.841334,0.000000,0.000000,0.000000,events/second
1594603427,153,0.827647,0.000000,0.000000,0.000000,events/second
1594603430,153,0.814540,0.000000,0.000000,0.000000,events/second
