t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,95,6.458049,0.000000,0.000000,0.000000,events/second
1594603259,96,5.643515,0.000000,0.000000,0.000000,events/second
1594603262,98,4.905347,0.000000,0.000000,0.000000,events/second
1594603265,98,4.271969,0.000000,0.000000,0.000000,events/second
1594603268,98,3.748589,0.000000,0.000000,0.000000,events/second
1594603271,98,3.369938,0.000000,0.000000,0.000000,events/second
1594603274,98,3.064936,0.000000,0.000000,0.000000,events/second
1594603277,98,2.801307,0.000000,0.000000,0.000000,events/second
1594603280,98,2.574111,0.000000,0.000000,0.000000,events/second
1594603283,98,2.394292,0.000000,0.000000,0.000000,events/second
1594603286,98,2.231516,0.000000,0.000000,0.000000,events/second
1594603289,98,1.982543,0.000000,0.000000,0.000000,events/second
1594603292,98,1.956046,0.000000,0.000000,0.000000,events/second
1594603295,98,1.848307,0.000000,0.000000,0.000000,events/second
1594603298,98,1.753754,0.000000,0.000000,0.000000,events/second
1594603301,98,1.663819,0.000000,0.000000,0.000000,events/second
1594603304,98,1.582229,0.000000,0.000000,0.000000,events/second
1594603307,98,1.510527,0.000000,0.000000,0.000000,events/second
1594603310,98,1.443830,0.000000,0.000000,0.000000,events/second
1594603313,98,1.375238,0.000000,0.000000,0.000000,events/second
1594603316,98,1.326294,0.000000,0.000000,0.000000,events/second
1594603319,98,1.274760,0.000000,0.000000,0.000000,events/second
1594603322,98,1.227431,0.000000,0.000000,0.000000,events/second
1594603325,98,1.182990,0.000000,0.000000,0.000000,events/second
1594603328,98,1.141665,0.000000,0.000000,0.000000,events/second
1594603331,98,1.102627,0.000000,0.000000,0.000000,events/second
1594603334,98,1.066886,0.000000,0.000000,0.000000,events/second
1594603337,98,1.032957,0.000000,0.000000,0.000000,events/second
1594603340,98,1.001515,0.000000,0.000000,0.000000,events/second
1594603343,98,0.971800,0.000000,0.000000,0.000000,events/second
1594603346,98,0.943794,0.000000,0.000000,0.000000,events/second
1594603349,98,0.917307,0.000000,0.000000,0.000000,events/second
1594603352,98,0.892159,0.000000,0.000000,0.000000,events/second
1594603355,98,0.868530,0.000000,0.000000,0.000000,events/second
1594603358,98,0.846041,0.000000,0.000000,0.000000,events/second
1594603361,98,0.824424,0.000000,0.000000,0.000000,events/second
1594603364,98,0.804085,0.000000,0.000000,0.000000,events/second
1594603367,98,0.784684,0.000000,0.000000,0.000000,events/second
1594603370,98,0.766369,0.000000,0.000000,0.000000,events/second
1594603373,98,0.749034,0.000000,0.000000,0.000000,events/second
1594603376,98,0.732259,0.000000,0.000000,0.000000,events/second
1594603379,98,0.716132,0.000000,0.000000,0.000000,events/second
1594603382,98,0.700789,0.000000,0.000000,0.000000,events/second
1594603385,98,0.686038,0.000000,0.000000,0.000000,events/second
1594603388,98,0.671832,0.000000,0.000000,0.000000,events/second
1594603391,98,0.658395,0.000000,0.000000,0.000000,events/second
1594603394,98,0.645341,0.000000,0.000000,0.000000,events/second
1594603397,98,0.632916,0.000000,0.000000,0.000000,events/second
1594603400,98,0.620779,0.000000,0.000000,0.000000,events/second
1594603403,99,0.615369,0.000000,0.000000,0.000000,events/second
1594603406,106,0.645547,0.000000,0.000000,0.000000,events/second
1594603409,108,0.647287,0.000000,0.000000,0.000000,events/second
1594603412,108,0.635869,0.000000,0.000000,0.000000,events/second
1594603415,108,0.624838,0.000000,0.000000,0.000000,events/second
1594603418,108,0.614080,0.000000,0.000000,0.000000,events/second
1594603421,108,0.603903,0.000000,0.000000,0.000000,events/second
1594603424,108,0.593884,0.000000,0.000000,0.000000,events/second
1594603427,108,0.584222,0.000000,0.000000,0.000000,events/second
1594603430,108,0.574970,0.000000,0.000000,0.000000,events/second
1594603433,108,0.565889,0.000000,0.000000,0.000000,events/second
1594603436,108,0.557164,0.000000,0.000000,0.000000,events/second
1594603439,108,0.548630,0.000000,0.000000,0.000000,events/second
1594603442,108,0.540409,0.000000,0.000000,0.000000,events/second
1594603445,108,0.532095,0.000000,0.000000,0.000000,events/second
1594603448,108,0.524564,0.000000,0.000000,0.000000,events/second
1594603451,108,0.517094,0.000000,0.000000,0.000000,events/second
1594603454,109,0.514505,0.000000,0.000000,0.000000,events/second
1594603457,120,0.558551,0.000000,0.000000,0.000000,events/second
1594603460,120,0.550870,0.000000,0.000000,0.000000,events/second
1594603463,120,0.543365,0.000000,0.000000,0.000000,events/second
1594603466,120,0.536093,0.000000,0.000000,0.000000,events/second
1594603469,120,0.528943,0.000000,0.000000,0.000000,events/second
1594603472,120,0.522094,0.000000,0.000000,0.000000,events/second
1594603475,120,0.515362,0.000000,0.000000,0.000000,events/second
1594603478,120,0.508781,0.000000,0.000000,0.000000,events/second
1594603481,120,0.502404,0.000000,0.000000,0.000000,events/second
1594603484,120,0.496178,0.000000,0.000000,0.000000,events/second
1594603487,120,0.490065,0.000000,0.000000,0.000000,events/second
1594603490,120,0.484172,0.000000,0.000000,0.000000,events/second
1594603493,120,0.478337,0.000000,0.000000,0.000000,events/second
1594603496,120,0.472719,0.000000,0.000000,0.000000,events/second
1594603499,120,0.467180,0.000000,0.000000,0.000000,events/second
1594603502,120,0.461798,0.000000,0.000000,0.000000,events/second
1594603505,120,0.456538,0.000000,0.000000,0.000000,events/second
1594603508,120,0.451357,0.000000,0.000000,0.000000,events/second
1594603511,120,0.446320,0.000000,0.000000,0.000000,events/second
1594603514,120,0.441450,0.000000,0.000000,0.000000,events/second
1594603517,120,0.436607,0.000000,0.000000,0.000000,events/second
1594603520,120,0.431844,0.000000,0.000000,0.000000,events/second
1594603523,120,0.427296,0.000000,0.000000,0.000000,events/second
1594603526,120,0.422762,0.000000,0.000000,0.000000,events/second
1594603529,120,0.418364,0.000000,0.000000,0.000000,events/second
1594603532,120,0.414014,0.000000,0.000000,0.000000,events/second
1594603535,120,0.409795,0.000000,0.000000,0.000000,events/second
1594603538,120,0.405618,0.000000,0.000000,0.000000,events/second
1594603541,120,0.401529,0.000000,0.000000,0.000000,events/second
1594603544,120,0.397556,0.000000,0.000000,0.000000,events/second
1594603547,120,0.393498,0.000000,0.000000,0.000000,events/second
1594603550,120,0.389787,0.000000,0.000000,0.000000,events/second
1594603553,120,0.386024,0.000000,0.000000,0.000000,events/second
1594603556,120,0.382351,0.000000,0.000000,0.000000,events/second
1594603559,120,0.378746,0.000000,0.000000,0.000000,events/second
1594603562,120,0.375201,0.000000,0.000000,0.000000,events/second
1594603565,120,0.371714,0.000000,0.000000,0.000000,events/second
1594603568,120,0.368206,0.000000,0.000000,0.000000,events/second
1594603571,120,0.364907,0.000000,0.000000,0.000000,events/second
1594603574,120,0.361622,0.000000,0.000000,0.000000,events/second
1594603577,120,0.358390,0.000000,0.000000,0.000000,events/second
1594603580,120,0.355198,0.000000,0.000000,0.000000,events/second
1594603583,120,0.352083,0.000000,0.000000,0.000000,events/second
1594603586,120,0.349010,0.000000,0.000000,0.000000,events/second
1594603589,120,0.345976,0.000000,0.000000,0.000000,events/second
1594603592,120,0.343008,0.000000,0.000000,0.000000,events/second
1594603595,120,0.340093,0.000000,0.000000,0.000000,events/second
