t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,45,3.058166,0.000000,0.000000,0.000000,events/second
1594603259,45,2.645329,0.000000,0.000000,0.000000,events/second
1594603262,45,2.252395,0.000000,0.000000,0.000000,events/second
1594603265,45,1.961117,0.000000,0.000000,0.000000,events/second
1594603268,45,1.721033,0.000000,0.000000,0.000000,events/second
1594603271,45,1.547399,0.000000,0.000000,0.000000,events/second
1594603274,45,1.407362,0.000000,0.000000,0.000000,events/second
1594603277,45,1.286288,0.000000,0.000000,0.000000,events/second
1594603280,45,1.181995,0.000000,0.000000,0.000000,events/second
1594603283,45,1.099416,0.000000,0.000000,0.000000,events/second
1594603286,45,1.024680,0.000000,0.000000,0.000000,events/second
1594603289,45,0.910352,0.000000,0.000000,0.000000,events/second
1594603292,45,0.898187,0.000000,0.000000,0.000000,events/second
1594603295,45,0.848717,0.000000,0.000000,0.000000,events/second
1594603298,45,0.805294,0.000000,0.000000,0.000000,events/second
1594603301,45,0.763998,0.000000,0.000000,0.000000,events/second
1594603304,45,0.726509,0.000000,0.000000,0.000000,events/second
1594603307,45,0.693611,0.000000,0.000000,0.000000,events/second
1594603310,45,0.662985,0.000000,0.000000,0.000000,events/second
1594603313,45,0.631485,0.000000,0.000000,0.000000,events/second
1594603316,45,0.609014,0.000000,0.000000,0.000000,events/second
1594603319,45,0.585350,0.000000,0.000000,0.000000,events/second
1594603322,45,0.563618,0.000000,0.000000,0.000000,events/second
1594603325,45,0.543211,0.000000,0.000000,0.000000,events/second
1594603328,45,0.524235,0.000000,0.000000,0.000000,events/second
1594603331,45,0.506308,0.000000,0.000000,0.000000,events/second
1594603334,45,0.489897,0.000000,0.000000,0.000000,events/second
1594603337,45,0.474317,0.000000,0.000000,0.000000,events/second
1594603340,45,0.459881,0.000000,0.000000,0.000000,events/second
1594603343,45,0.446236,0.000000,0.000000,0.000000,events/second
1594603346,45,0.433376,0.000000,0.000000,0.000000,events/second
1594603349,45,0.421213,0.000000,0.000000,0.000000,events/second
1594603352,45,0.409666,0.000000,0.000000,0.000000,events/second
1594603355,45,0.398816,0.000000,0.000000,0.000000,events/second
1594603358,45,0.388490,0.000000,0.000000,0.000000,events/second
1594603361,45,0.378562,0.000000,0.000000,0.000000,events/second
1594603364,45,0.369224,0.000000,0.000000,0.000000,events/second
1594603367,45,0.360315,0.000000,0.000000,0.000000,events/second
1594603370,45,0.351905,0.000000,0.000000,0.000000,events/second
1594603373,45,0.343945,0.000000,0.000000,0.000000,events/second
1594603376,45,0.336242,0.000000,0.000000,0.000000,events/second
1594603379,45,0.328837,0.000000,0.000000,0.000000,events/second
1594603382,45,0.321791,0.000000,0.000000,0.000000,events/second
1594603385,45,0.315018,0.000000,0.000000,0.000000,events/second
1594603388,45,0.308495,0.000000,0.000000,0.000000,events/second
1594603391,45,0.302325,0.000000,0.000000,0.000000,events/second
1594603394,45,0.296331,0.000000,0.000000,0.000000,events/second
1594603397,45,0.290625,0.000000,0.000000,0.000000,events/second
1594603400,45,0.285052,0.000000,0.000000,0.000000,events/second
1594603403,45,0.279713,0.000000,0.000000,0.000000,events/second
1594603406,45,0.274053,0.000000,0.000000,0.000000,events/second
1594603409,45,0.269703,0.000000,0.000000,0.000000,events/second
1594603412,45,0.264946,0.000000,0.000000,0.000000,events/second
1594603415,45,0.260350,0.000000,0.000000,0.000000,events/second
1594603418,45,0.255867,0.000000,0.000000,0.000000,events/second
1594603421,45,0.251627,0.000000,0.000000,0.000000,events/second
1594603424,45,0.247452,0.000000,0.000000,0.000000,events/second
1594603427,45,0.243426,0.000000,0.000000,0.000000,events/second
1594603430,45,0.239571,0.000000,0.000000,0.000000,events/second
1594603433,45,0.235787,0.000000,0.000000,0.000000,events/second
1594603436,45,0.232152,0.000000,0.000000,0.000000,events/second
1594603439,45,0.228596,0.000000,0.000000,0.000000,events/second
1594603442,45,0.225171,0.000000,0.000000,0.000000,events/second
1594603445,45,0.221706,0.000000,0.000000,0.000000,events/second
1594603448,45,0.218569,0.000000,0.000000,0.000000,events/second
1594603451,45,0.215456,0.000000,0.000000,0.000000,events/second
1594603454,45,0.212411,0.000000,0.000000,0.000000,events/second
1594603457,45,0.209457,0.000000,0.000000,0.000000,events/second
1594603460,45,0.206576,0.000000,0.000000,0.000000,events/second
1594603463,45,0.203762,0.000000,0.000000,0.000000,events/second
1594603466,45,0.201035,0.000000,0.000000,0.000000,events/second
1594603469,45,0.198354,0.000000,0.000000,0.000000,events/second
1594603472,45,0.195786,0.000000,0.000000,0.000000,events/second
1594603475,45,0.193261,0.000000,0.000000,0.000000,events/second
1594603478,45,0.190793,0.000000,0.000000,0.000000,events/second
1594603481,45,0.188402,0.000000,0.000000,0.000000,events/second
1594603484,45,0.186067,0.000000,0.000000,0.000000,events/second
1594603487,45,0.183775,0.000000,0.000000,0.000000,events/second
1594603490,45,0.181564,0.000000,0.000000,0.000000,events/second
1594603493,45,0.179377,0.000000,0.000000,0.000000,events/second
1594603496,45,0.177270,0.000000,0.000000,0.000000,events/second
1594603499,45,0.175193,0.000000,0.000000,0.000000,events/second
1594603502,45,0.173174,0.000000,0.000000,0.000000,events/second
1594603505,45,0.171202,0.000000,0.000000,0.000000,events/second
1594603508,45,0.169259,0.000000,0.000000,0.000000,events/second
1594603511,45,0.167370,0.000000,0.000000,0.000000,events/second
1594603514,45,0.165544,0.000000,0.000000,0.000000,events/second
1594603517,45,0.163728,0.000000,0.000000,0.000000,events/second
1594603520,45,0.161941,0.000000,0.000000,0.000000,events/second
1594603523,45,0.160236,0.000000,0.000000,0.000000,events/second
1594603526,45,0.158536,0.000000,0.000000,0.000000,events/second
1594603529,45,0.156887,0.000000,0.000000,0.000000,events/second
1594603532,45,0.155256,0.000000,0.000000,0.000000,events/second
1594603535,45,0.153673,0.000000,0.000000,0.000000,events/second
1594603538,45,0.152107,0.000000,0.000000,0.000000,events/second
1594603541,45,0.150574,0.000000,0.000000,0.000000,events/second
1594603544,45,0.149082,0.000000,0.000000,0.000000,events/second
1594603547,45,0.147562,0.000000,0.000000,0.000000,events/second
1594603550,45,0.146170,0.000000,0.000000,0.000000,events/second
1594603553,45,0.144759,0.000000,0.000000,0.000000,events/second
1594603556,45,0.143382,0.000000,0.000000,0.000000,events/second
1594603559,45,0.142029,0.000000,0.000000,0.000000,events/second
1594603562,45,0.140701,0.000000,0.000000,0.000000,events/second
1594603565,45,0.139393,0.000000,0.000000,0.000000,events/second
1594603568,45,0.138077,0.000000,0.000000,0.000000,events/second
1594603571,45,0.136840,0.000000,0.000000,0.000000,events/second
1594603574,45,0.135608,0.000000,0.000000,0.000000,events/second
1594603577,45,0.134396,0.000000,0.000000,0.000000,events/second
1594603580,45,0.133199,0.000000,0.000000,0.000000,events/second
1594603583,45,0.132031,0.000000,0.000000,0.000000,events/second
1594603586,45,0.130879,0.000000,0.000000,0.000000,events/second
1594603589,45,0.129741,0.000000,0.000000,0.000000,events/second
1594603592,45,0.128628,0.000000,0.000000,0.000000,events/second
1594603595,45,0.127535,0.000000,0.000000,0.000000,events/second
1594603598,45,0.126465,0.000000,0.000000,0.000000,events/second
1594603601,45,0.125388,0.000000,0.000000,0.000000,events/second
1594603604,45,0.124367,0.000000,0.000000,0.000000,events/second
1594603607,45,0.123344,0.000000,0.000000,0.000000,events/second
