t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,46,3.125167,0.000000,0.000000,0.000000,events/second
1594603259,46,2.704917,0.000000,0.000000,0.000000,events/second
1594603262,46,2.303388,0.000000,0.000000,0.000000,events/second
1594603265,46,2.005395,0.000000,0.000000,0.000000,events/second
1594603268,46,1.759817,0.000000,0.000000,0.000000,events/second
1594603271,46,1.582226,0.000000,0.000000,0.000000,events/second
1594603274,46,1.439031,0.000000,0.000000,0.000000,events/second
1594603277,46,1.315173,0.000000,0.000000,0.000000,events/second
1594603280,46,1.208561,0.000000,0.000000,0.000000,events/second
1594603283,46,1.124090,0.000000,0.000000,0.000000,events/second
1594603286,46,1.047681,0.000000,0.000000,0.000000,events/second
1594603289,46,0.930756,0.000000,0.000000,0.000000,events/second
1594603292,46,0.918317,0.000000,0.000000,0.000000,events/second
1594603295,46,0.867728,0.000000,0.000000,0.000000,events/second
1594603298,46,0.823322,0.000000,0.000000,0.000000,events/second
1594603301,46,0.781088,0.000000,0.000000,0.000000,events/second
1594603304,46,0.742761,0.000000,0.000000,0.000000,events/second
1594603307,46,0.709126,0.000000,0.000000,0.000000,events/second
1594603310,46,0.677812,0.000000,0.000000,0.000000,events/second
1594603313,46,0.645601,0.000000,0.000000,0.000000,events/second
1594603316,46,0.622621,0.000000,0.000000,0.000000,events/second
1594603319,46,0.598431,0.000000,0.000000,0.000000,events/second
1594603322,46,0.576214,0.000000,0.000000,0.000000,events/second
1594603325,46,0.555347,0.000000,0.000000,0.000000,events/second
1594603328,46,0.535946,0.000000,0.000000,0.000000,events/second
1594603331,46,0.517612,0.000000,0.000000,0.000000,events/second
1594603334,46,0.500832,0.000000,0.000000,0.000000,events/second
1594603337,46,0.484905,0.000000,0.000000,0.000000,events/second
1594603340,46,0.470147,0.000000,0.000000,0.000000,events/second
1594603343,46,0.456195,0.000000,0.000000,0.000000,events/second
1594603346,46,0.443048,0.000000,0.000000,0.000000,events/second
1594603349,46,0.430612,0.000000,0.000000,0.000000,events/second
1594603352,46,0.418807,0.000000,0.000000,0.000000,events/second
1594603355,46,0.407714,0.000000,0.000000,0.000000,events/second
1594603358,46,0.397156,0.000000,0.000000,0.000000,events/second
1594603361,46,0.387006,0.000000,0.000000,0.000000,events/second
1594603364,46,0.377459,0.000000,0.000000,0.000000,events/second
1594603367,46,0.368351,0.000000,0.000000,0.000000,events/second
1594603370,46,0.359752,0.000000,0.000000,0.000000,events/second
1594603373,46,0.351614,0.000000,0.000000,0.000000,events/second
1594603376,46,0.343739,0.000000,0.000000,0.000000,events/second
1594603379,46,0.336168,0.000000,0.000000,0.000000,events/second
1594603382,46,0.328962,0.000000,0.000000,0.000000,events/second
1594603385,46,0.322041,0.000000,0.000000,0.000000,events/second
1594603388,46,0.315371,0.000000,0.000000,0.000000,events/second
1594603391,46,0.309064,0.000000,0.000000,0.000000,events/second
1594603394,46,0.302935,0.000000,0.000000,0.000000,events/second
1594603397,46,0.297102,0.000000,0.000000,0.000000,events/second
1594603400,46,0.291404,0.000000,0.000000,0.000000,events/second
1594603403,46,0.285946,0.000000,0.000000,0.000000,events/second
1594603406,46,0.280159,0.000000,0.000000,0.000000,events/second
1594603409,46,0.275713,0.000000,0.000000,0.000000,events/second
1594603412,46,0.270849,0.000000,0.000000,0.000000,events/second
1594603415,46,0.266150,0.000000,0.000000,0.000000,events/second
1594603418,46,0.261567,0.000000,0.000000,0.000000,events/second
1594603421,46,0.257233,0.000000,0.000000,0.000000,events/second
1594603424,46,0.252965,0.000000,0.000000,0.000000,events/second
1594603427,46,0.248849,0.000000,0.000000,0.000000,events/second
1594603430,46,0.244908,0.000000,0.000000,0.000000,events/second
1594603433,46,0.241040,0.000000,0.000000,0.000000,events/second
1594603436,46,0.237323,0.000000,0.000000,0.000000,events/second
1594603439,46,0.233688,0.000000,0.000000,0.000000,events/second
1594603442,46,0.230186,0.000000,0.000000,0.000000,events/second
1594603445,46,0.226644,0.000000,0.000000,0.000000,events/second
1594603448,46,0.223436,0.000000,0.000000,0.000000,events/second
1594603451,46,0.220254,0.000000,0.000000,0.000000,events/second
1594603454,46,0.217141,0.000000,0.000000,0.000000,events/second
1594603457,46,0.214121,0.000000,0.000000,0.000000,events/second
1594603460,46,0.211177,0.000000,0.000000,0.000000,events/second
1594603463,46,0.208300,0.000000,0.000000,0.000000,events/second
1594603466,46,0.205512,0.000000,0.000000,0.000000,events/second
1594603469,46,0.202771,0.000000,0.000000,0.000000,events/second
1594603472,46,0.200145,0.000000,0.000000,0.000000,events/second
1594603475,46,0.197564,0.000000,0.000000,0.000000,events/second
1594603478,46,0.195041,0.000000,0.000000,0.000000,events/second
1594603481,46,0.192596,0.000000,0.000000,0.000000,events/second
1594603484,46,0.190210,0.000000,0.000000,0.000000,events/second
1594603487,46,0.187866,0.000000,0.000000,0.000000,events/second
1594603490,46,0.185606,0.000000,0.000000,0.000000,events/second
1594603493,46,0.183370,0.000000,0.000000,0.000000,events/second
1594603496,46,0.181216,0.000000,0.000000,0.000000,events/second
1594603499,46,0.179093,0.000000,0.000000,0.000000,events/second
1594603502,46,0.177029,0.000000,0.000000,0.000000,events/second
1594603505,46,0.175013,0.000000,0.000000,0.000000,events/second
1594603508,46,0.173027,0.000000,0.000000,0.000000,events/second
1594603511,46,0.171096,0.000000,0.000000,0.000000,events/second
1594603514,46,0.169229,0.000000,0.000000,0.000000,events/second
1594603517,46,0.167372,0.000000,0.000000,0.000000,events/second
1594603520,46,0.165546,0.000000,0.000000,0.000000,events/second
1594603523,46,0.163802,0.000000,0.000000,0.000000,events/second
1594603526,46,0.162064,0.000000,0.000000,0.000000,events/second
1594603529,46,0.160378,0.000000,0.000000,0.000000,events/second
1594603532,46,0.158711,0.000000,0.000000,0.000000,events/second
1594603535,46,0.157093,0.000000,0.000000,0.000000,events/second
1594603538,46,0.155492,0.000000,0.000000,0.000000,events/second
1594603541,46,0.153925,0.000000,0.000000,0.000000,events/second
1594603544,46,0.152399,0.000000,0.000000,0.000000,events/second
1594603547,46,0.150845,0.000000,0.000000,0.000000,events/second
1594603550,46,0.149423,0.000000,0.000000,0.000000,events/second
1594603553,46,0.147981,0.000000,0.000000,0.000000,events/second
1594603556,46,0.146573,0.000000,0.000000,0.000000,events/second
1594603559,46,0.145190,0.000000,0.000000,0.000000,events/second
1594603562,46,0.143832,0.000000,0.000000,0.000000,events/second
1594603565,46,0.142495,0.000000,0.000000,0.000000,events/second
1594603568,46,0.141150,0.000000,0.000000,0.000000,events/second
1594603571,46,0.139885,0.000000,0.000000,0.000000,events/second
1594603574,46,0.138626,0.000000,0.000000,0.000000,events/second
1594603577,46,0.137387,0.000000,0.000000,0.000000,events/second
1594603580,46,0.136163,0.000000,0.000000,0.000000,events/second
1594603583,46,0.134969,0.000000,0.000000,0.000000,events/second
1594603586,46,0.133791,0.000000,0.000000,0.000000,events/second
1594603589,46,0.132628,0.000000,0.000000,0.000000,events/second
1594603592,46,0.131490,0.000000,0.000000,0.000000,events/second
1594603595,46,0.130373,0.000000,0.000000,0.000000,events/second
1594603598,46,0.129279,0.000000,0.000000,0.000000,events/second
1594603601,46,0.128178,0.000000,0.000000,0.000000,events/second
1594603604,46,0.127134,0.000000,0.000000,0.000000,events/second
1594603607,46,0.126088,0.000000,0.000000,0.000000,events/second
1594603610,46,0.125061,0.000000,0.000000,0.000000,events/second
1594603613,46,0.124047,0.000000,0.000000,0.000000,events/second
1594603616,46,0.123055,0.000000,0.000000,0.000000,events/second
1594603619,46,0.122069,0.000000,0.000000,0.000000,events/second
1594603622,46,0.121073,0.000000,0.000000,0.000000,events/second
1594603625,46,0.120154,0.000000,0.000000,0.000000,events/second
1594603628,46,0.119221,0.000000,0.000000,0.000000,events/second
1594603631,46,0.118304,0.000000,0.000000,0.000000,events/second
1594603634,46,0.117398,0.000000,0.000000,0.000000,events/second
1594603637,46,0.116499,0.000000,0.000000,0.000000,events/second
1594603640,46,0.115626,0.000000,0.000000,0.000000,events/second
1594603643,46,0.114765,0.000000,0.000000,0.000000,events/second
1594603646,46,0.113890,0.000000,0.000000,0.000000,events/second
1594603649,46,0.113060,0.000000,0.000000,0.000000,events/second
1594603652,46,0.112238,0.000000,0.000000,0.000000,events/second
1594603655,46,0.111427,0.000000,0.000000,0.000000,events/second
1594603658,46,0.110618,0.000000,0.000000,0.000000,events/second
1594603661,46,0.109825,0.000000,0.000000,0.000000,events/second
1594603664,46,0.109046,0.000000,0.000000,0.000000,events/second
1594603667,46,0.108280,0.000000,0.000000,0.000000,events/second
1594603670,46,0.107517,0.000000,0.000000,0.000000,events/second
1594603673,46,0.106769,0.000000,0.000000,0.000000,events/second
1594603676,46,0.106031,0.000000,0.000000,0.000000,events/second
1594603679,46,0.105302,0.000000,0.000000,0.000000,events/second
1594603682,46,0.104582,0.000000,0.000000,0.000000,events/second
1594603685,46,0.103875,0.000000,0.000000,0.000000,events/second
1594603688,46,0.103179,0.000000,0.000000,0.000000,events/second
1594603691,46,0.102492,0.000000,0.000000,0.000000,events/second
1594603694,46,0.101808,0.000000,0.000000,0.000000,events/second
1594603697,46,0.101140,0.000000,0.000000,0.000000,events/second
1594603700,46,0.100477,0.000000,0.000000,0.000000,events/second
1594603703,46,0.099817,0.000000,0.000000,0.000000,events/second
1594603706,46,0.099175,0.000000,0.000000,0.000000,events/second
1594603709,46,0.098536,0.000000,0.000000,0.000000,events/second
1594603712,46,0.097905,0.000000,0.000000,0.000000,events/second
1594603715,46,0.097286,0.000000,0.000000,0.000000,events/second
1594603718,46,0.096675,0.000000,0.000000,0.000000,events/second
1594603721,46,0.096071,0.000000,0.000000,0.000000,events/second
1594603724,46,0.095469,0.000000,0.000000,0.000000,events/second
1594603727,46,0.094879,0.000000,0.000000,0.000000,events/second
1594603730,46,0.094296,0.000000,0.000000,0.000000,events/second
1594603733,46,0.093719,0.000000,0.000000,0.000000,events/second
1594603736,46,0.093152,0.000000,0.000000,0.000000,events/second
1594603739,46,0.092587,0.000000,0.000000,0.000000,events/second
1594603742,46,0.092032,0.000000,0.000000,0.000000,events/second
1594603745,46,0.091480,0.000000,0.000000,0.000000,events/second
1594603748,46,0.090934,0.000000,0.000000,0.000000,events/second
1594603751,46,0.090405,0.000000,0.000000,0.000000,events/second
1594603754,46,0.089875,0.000000,0.000000,0.000000,events/second
1594603757,46,0.089352,0.000000,0.000000,0.000000,events/second
1594603760,46,0.088832,0.000000,0.000000,0.000000,events/second
1594603763,46,0.088321,0.000000,0.000000,0.000000,events/second
1594603766,46,0.087807,0.000000,0.000000,0.000000,events/second
1594603769,46,0.087312,0.000000,0.000000,0.000000,events/second
1594603772,46,0.086820,0.000000,0.000000,0.000000,events/second
