t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,2,0.135294,0.000000,0.000000,0.000000,events/second
1594603259,2,0.117190,0.000000,0.000000,0.000000,events/second
1594603262,2,0.099844,0.000000,0.000000,0.000000,events/second
1594603265,2,0.086947,0.000000,0.000000,0.000000,events/second
1594603268,2,0.076335,0.000000,0.000000,0.000000,events/second
1594603271,2,0.068650,0.000000,0.000000,0.000000,events/second
1594603274,2,0.062449,0.000000,0.000000,0.000000,events/second
1594603277,2,0.057082,0.000000,0.000000,0.000000,events/second
1594603280,2,0.052464,0.000000,0.000000,0.000000,events/second
1594603283,2,0.048802,0.000000,0.000000,0.000000,events/second
1594603286,2,0.045489,0.000000,0.000000,0.000000,events/second
1594603289,2,0.040419,0.000000,0.000000,0.000000,events/second
1594603292,2,0.039879,0.000000,0.000000,0.000000,events/second
1594603295,2,0.037685,0.000000,0.000000,0.000000,events/second
1594603298,2,0.035758,0.000000,0.000000,0.000000,events/second
1594603301,2,0.033925,0.000000,0.000000,0.000000,events/second
1594603304,2,0.032263,0.000000,0.000000,0.000000,events/second
1594603307,2,0.030803,0.000000,0.000000,0.000000,events/second
1594603310,2,0.029444,0.000000,0.000000,0.000000,events/second
1594603313,2,0.028046,0.000000,0.000000,0.000000,events/second
1594603316,2,0.027049,0.000000,0.000000,0.000000,events/second
1594603319,2,0.025999,0.000000,0.000000,0.000000,events/second
1594603322,2,0.025034,0.000000,0.000000,0.000000,events/second
1594603325,2,0.024128,0.000000,0.000000,0.000000,events/second
1594603328,2,0.023286,0.000000,0.000000,0.000000,events/second
1594603331,2,0.022490,0.000000,0.000000,0.000000,events/second
1594603334,2,0.021761,0.000000,0.000000,0.000000,events/second
1594603337,2,0.021070,0.000000,0.000000,0.000000,events/second
1594603340,2,0.020429,0.000000,0.000000,0.000000,events/second
1594603343,2,0.019823,0.000000,0.000000,0.000000,events/second
1594603346,2,0.019252,0.000000,0.000000,0.000000,events/second
1594603349,2,0.018712,0.000000,0.000000,0.000000,events/second
1594603352,2,0.018199,0.000000,0.000000,0.000000,events/second
1594603355,2,0.017717,0.000000,0.000000,0.000000,events/second
1594603358,2,0.017259,0.000000,0.000000,0.000000,events/second
1594603361,2,0.016818,0.000000,0.000000,0.000000,events/second
1594603364,2,0.016403,0.000000,0.000000,0.000000,events/second
1594603367,2,0.016008,0.000000,0.000000,0.000000,events/second
1594603370,2,0.015634,0.000000,0.000000,0.000000,events/second
1594603373,2,0.015281,0.000000,0.000000,0.000000,events/second
1594603376,2,0.014939,0.000000,0.000000,0.000000,events/second
1594603379,2,0.014610,0.000000,0.000000,0.000000,events/second
1594603382,2,0.014297,0.000000,0.000000,0.000000,events/second
1594603385,2,0.013996,0.000000,0.000000,0.000000,events/second
1594603388,2,0.013706,0.000000,0.000000,0.000000,events/second
1594603391,2,0.013432,0.000000,0.000000,0.000000,events/second
1594603394,2,0.013166,0.000000,0.000000,0.000000,events/second
1594603397,2,0.012913,0.000000,0.000000,0.000000,events/second
1594603400,2,0.012665,0.000000,0.000000,0.000000,events/second
1594603403,2,0.012428,0.000000,0.000000,0.000000,events/second
1594603406,2,0.012176,0.000000,0.000000,0.000000,events/second
1594603409,2,0.011983,0.000000,0.000000,0.000000,events/second
1594603412,2,0.011772,0.000000,0.000000,0.000000,events/second
1594603415,2,0.011568,0.000000,0.000000,0.000000,events/second
1594603418,2,0.011369,0.000000,0.000000,0.000000,events/second
1594603421,2,0.011180,0.000000,0.000000,0.000000,events/second
1594603424,2,0.010995,0.000000,0.000000,0.000000,events/second
1594603427,2,0.010816,0.000000,0.000000,0.000000,events/second
1594603430,2,0.010645,0.000000,0.000000,0.000000,events/second
1594603433,2,0.010477,0.000000,0.000000,0.000000,events/second
1594603436,2,0.010315,0.000000,0.000000,0.000000,events/second
1594603439,2,0.010157,0.000000,0.000000,0.000000,events/second
1594603442,2,0.010005,0.000000,0.000000,0.000000,events/second
1594603445,2,0.009851,0.000000,0.000000,0.000000,events/second
1594603448,2,0.009712,0.000000,0.000000,0.000000,events/second
1594603451,2,0.009574,0.000000,0.000000,0.000000,events/second
