t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,1,0.067852,0.000000,0.000000,0.000000,events/second
1594603259,1,0.058776,0.000000,0.000000,0.000000,events/second
1594603262,1,0.050052,0.000000,0.000000,0.000000,events/second
1594603265,1,0.043570,0.000000,0.000000,0.000000,events/second
1594603268,1,0.038243,0.000000,0.000000,0.000000,events/second
1594603271,1,0.034385,0.000000,0.000000,0.000000,events/second
1594603274,1,0.031276,0.000000,0.000000,0.000000,events/second
1594603277,1,0.028583,0.000000,0.000000,0.000000,events/second
1594603280,1,0.026269,0.000000,0.000000,0.000000,events/second
1594603283,1,0.024432,0.000000,0.000000,0.000000,events/second
1594603286,1,0.022772,0.000000,0.000000,0.000000,events/second
1594603289,1,0.020231,0.000000,0.000000,0.000000,events/second
1594603292,1,0.019961,0.000000,0.000000,0.000000,events/second
1594603295,1,0.018862,0.000000,0.000000,0.000000,events/second
1594603298,1,0.017896,0.000000,0.000000,0.000000,events/second
1594603301,1,0.016977,0.000000,0.000000,0.000000,events/second
1594603304,1,0.016145,0.000000,0.000000,0.000000,events/second
1594603307,1,0.015414,0.000000,0.000000,0.000000,events/second
1594603310,1,0.014734,0.000000,0.000000,0.000000,events/second
1594603313,1,0.014033,0.000000,0.000000,0.000000,events/second
1594603316,1,0.013534,0.000000,0.000000,0.000000,events/second
1594603319,1,0.013008,0.000000,0.000000,0.000000,events/second
1594603322,1,0.012525,0.000000,0.000000,0.000000,events/second
1594603325,1,0.012072,0.000000,0.000000,0.000000,events/second
1594603328,1,0.011650,0.000000,0.000000,0.000000,events/second
1594603331,1,0.011252,0.000000,0.000000,0.000000,events/second
1594603334,1,0.010887,0.000000,0.000000,0.000000,events/second
1594603337,1,0.010541,0.000000,0.000000,0.000000,events/second
1594603340,1,0.010220,0.000000,0.000000,0.000000,events/second
1594603343,1,0.009917,0.000000,0.000000,0.000000,events/second
1594603346,1,0.009631,0.000000,0.000000,0.000000,events/second
1594603349,1,0.009361,0.000000,0.000000,0.000000,events/second
1594603352,1,0.009104,0.000000,0.000000,0.000000,events/second
1594603355,1,0.008863,0.000000,0.000000,0.000000,events/second
1594603358,1,0.008633,0.000000,0.000000,0.000000,events/second
1594603361,1,0.008413,0.000000,0.000000,0.000000,events/second
1594603364,1,0.008205,0.000000,0.000000,0.000000,events/second
1594603367,1,0.008007,0.000000,0.000000,0.000000,events/second
1594603370,1,0.007820,0.000000,0.000000,0.000000,events/second
1594603373,1,0.007643,0.000000,0.000000,0.000000,events/second
1594603376,1,0.007472,0.000000,0.000000,0.000000,events/second
1594603379,1,0.007308,0.000000,0.000000,0.000000,events/second
1594603382,1,0.007151,0.000000,0.000000,0.000000,events/second
1594603385,1,0.007001,0.000000,0.000000,0.000000,events/second
1594603388,1,0.006856,0.000000,0.000000,0.000000,events/second
1594603391,1,0.006719,0.000000,0.000000,0.000000,events/second
1594603394,1,0.006585,0.000000,0.000000,0.000000,events/second
1594603397,1,0.006459,0.000000,0.000000,0.000000,events/second
1594603400,1,0.006335,0.000000,0.000000,0.000000,events/second
1594603403,1,0.006216,0.000000,0.000000,0.000000,events/second
1594603406,1,0.006090,0.000000,0.000000,0.000000,events/second
1594603409,1,0.005994,0.000000,0.000000,0.000000,events/second
1594603412,1,0.005888,0.000000,0.000000,0.000000,events/second
1594603415,1,0.005786,0.000000,0.000000,0.000000,events/second
1594603418,1,0.005686,0.000000,0.000000,0.000000,events/second
1594603421,1,0.005592,0.000000,0.000000,0.000000,events/second
1594603424,1,0.005499,0.000000,0.000000,0.000000,events/second
1594603427,1,0.005410,0.000000,0.000000,0.000000,events/second
1594603430,1,0.005324,0.000000,0.000000,0.000000,events/second
1594603433,1,0.005240,0.000000,0.000000,0.000000,events/second
1594603436,1,0.005159,0.000000,0.000000,0.000000,events/second
1594603439,1,0.005080,0.000000,0.000000,0.000000,events/second
1594603442,1,0.005004,0.000000,0.000000,0.000000,events/second
1594603445,1,0.004927,0.000000,0.000000,0.000000,events/second
1594603448,1,0.004857,0.000000,0.000000,0.000000,events/second
1594603451,1,0.004788,0.000000,0.000000,0.000000,events/second
1594603454,1,0.004720,0.000000,0.000000,0.000000,events/second
1594603457,1,0.004655,0.000000,0.000000,0.000000,events/second
1594603460,1,0.004591,0.000000,0.000000,0.000000,events/second
1594603463,1,0.004528,0.000000,0.000000,0.000000,events/second
1594603466,1,0.004468,0.000000,0.000000,0.000000,events/second
1594603469,1,0.004408,0.000000,0.000000,0.000000,events/second
1594603472,1,0.004351,0.000000,0.000000,0.000000,events/second
1594603475,1,0.004295,0.000000,0.000000,0.000000,events/second
1594603478,1,0.004240,0.000000,0.000000,0.000000,events/second
1594603481,1,0.004187,0.000000,0.000000,0.000000,events/second
1594603484,1,0.004135,0.000000,0.000000,0.000000,events/second
1594603487,1,0.004084,0.000000,0.000000,0.000000,events/second
1594603490,1,0.004035,0.000000,0.000000,0.000000,events/second
1594603493,1,0.003986,0.000000,0.000000,0.000000,events/second
1594603496,1,0.003939,0.000000,0.000000,0.000000,events/second
1594603499,1,0.003893,0.000000,0.000000,0.000000,events/second
1594603502,1,0.003848,0.000000,0.000000,0.000000,events/second
1594603505,1,0.003805,0.000000,0.000000,0.000000,events/second
1594603508,1,0.003761,0.000000,0.000000,0.000000,events/second
1594603511,1,0.003719,0.000000,0.000000,0.000000,events/second
1594603514,1,0.003679,0.000000,0.000000,0.000000,events/second
1594603517,1,0.003638,0.000000,0.000000,0.000000,events/second
1594603520,1,0.003599,0.000000,0.000000,0.000000,events/second
1594603523,1,0.003561,0.000000,0.000000,0.000000,events/second
1594603526,1,0.003523,0.000000,0.000000,0.000000,events/second
1594603529,1,0.003486,0.000000,0.000000,0.000000,events/second
1594603532,1,0.003450,0.000000,0.000000,0.000000,events/second
1594603535,1,0.003415,0.000000,0.000000,0.000000,events/second
1594603538,1,0.003380,0.000000,0.000000,0.000000,events/second
1594603541,1,0.003346,0.000000,0.000000,0.000000,events/second
1594603544,1,0.003313,0.000000,0.000000,0.000000,events/second
1594603547,1,0.003279,0.000000,0.000000,0.000000,events/second
1594603550,1,0.003248,0.000000,0.000000,0.000000,events/second
1594603553,1,0.003217,0.000000,0.000000,0.000000,events/second
1594603556,1,0.003186,0.000000,0.000000,0.000000,events/second
1594603559,1,0.003156,0.000000,0.000000,0.000000,events/second
1594603562,1,0.003127,0.000000,0.000000,0.000000,events/second
1594603565,1,0.003098,0.000000,0.000000,0.000000,events/second
1594603568,1,0.003068,0.000000,0.000000,0.000000,events/second
1594603571,1,0.003041,0.000000,0.000000,0.000000,events/second
1594603574,1,0.003014,0.000000,0.000000,0.000000,events/second
1594603577,1,0.002987,0.000000,0.000000,0.000000,events/second
1594603580,1,0.002960,0.000000,0.000000,0.000000,events/second
1594603583,1,0.002934,0.000000,0.000000,0.000000,events/second
1594603586,1,0.002908,0.000000,0.000000,0.000000,events/second
1594603589,1,0.002883,0.000000,0.000000,0.000000,events/second
1594603592,1,0.002858,0.000000,0.000000,0.000000,events/second
1594603595,1,0.002834,0.000000,0.000000,0.000000,events/second
1594603598,1,0.002810,0.000000,0.000000,0.000000,events/second
1594603601,1,0.002786,0.000000,0.000000,0.000000,events/second
1594603604,1,0.002764,0.000000,0.000000,0.000000,events/second
1594603607,1,0.002741,0.000000,0.000000,0.000000,events/second
1594603610,1,0.002719,0.000000,0.000000,0.000000,events/second
1594603613,1,0.002697,0.000000,0.000000,0.000000,events/second
1594603616,1,0.002675,0.000000,0.000000,0.000000,events/second
1594603619,1,0.002654,0.000000,0.000000,0.000000,events/second
1594603622,1,0.002632,0.000000,0.000000,0.000000,events/second
1594603625,1,0.002612,0.000000,0.000000,0.000000,events/second
1594603628,1,0.002592,0.000000,0.000000,0.000000,events/second
1594603631,1,0.002572,0.000000,0.000000,0.000000,events/second
1594603634,1,0.002552,0.000000,0.000000,0.000000,events/second
1594603637,1,0.002533,0.000000,0.000000,0.000000,events/second
1594603640,1,0.002514,0.000000,0.000000,0.000000,events/second
1594603643,1,0.002495,0.000000,0.000000,0.000000,events/second
1594603646,1,0.002476,0.000000,0.000000,0.000000,events/second
1594603649,1,0.002458,0.000000,0.000000,0.000000,events/second
1594603652,1,0.002440,0.000000,0.000000,0.000000,events/second
1594603655,1,0.002422,0.000000,0.000000,0.000000,events/second
1594603658,1,0.002405,0.000000,0.000000,0.000000,events/second
1594603661,1,0.002387,0.000000,0.000000,0.000000,events/second
1594603664,1,0.002371,0.000000,0.000000,0.000000,events/second
1594603667,1,0.002354,0.000000,0.000000,0.000000,events/second
1594603670,1,0.002337,0.000000,0.000000,0.000000,events/second
1594603673,1,0.002321,0.000000,0.000000,0.000000,events/second
1594603676,1,0.002305,0.000000,0.000000,0.000000,events/second
1594603679,1,0.002289,0.000000,0.000000,0.000000,events/second
1594603682,1,0.002273,0.000000,0.000000,0.000000,events/second
1594603685,1,0.002258,0.000000,0.000000,0.000000,events/second
1594603688,1,0.002243,0.000000,0.000000,0.000000,events/second
1594603691,1,0.002228,0.000000,0.000000,0.000000,events/second
1594603694,1,0.002213,0.000000,0.000000,0.000000,events/second
1594603697,1,0.002199,0.000000,0.000000,0.000000,events/second
1594603700,1,0.002184,0.000000,0.000000,0.000000,events/second
1594603703,1,0.002170,0.000000,0.000000,0.000000,events/second
1594603706,1,0.002156,0.000000,0.000000,0.000000,events/second
1594603709,1,0.002142,0.000000,0.000000,0.000000,events/second
1594603712,1,0.002128,0.000000,0.000000,0.000000,events/second
1594603715,1,0.002115,0.000000,0.000000,0.000000,events/second
1594603718,1,0.002102,0.000000,0.000000,0.000000,events/second
1594603721,1,0.002088,0.000000,0.000000,0.000000,events/second
1594603724,1,0.002075,0.000000,0.000000,0.000000,events/second
1594603727,1,0.002063,0.000000,0.000000,0.000000,events/second
1594603730,1,0.002050,0.000000,0.000000,0.000000,events/second
1594603733,1,0.002037,0.000000,0.000000,0.000000,events/second
1594603736,1,0.002025,0.000000,0.000000,0.000000,events/second
1594603739,1,0.002013,0.000000,0.000000,0.000000,events/second
1594603742,1,0.002001,0.000000,0.000000,0.000000,events/second
1594603745,1,0.001989,0.000000,0.000000,0.000000,events/second
1594603748,1,0.001977,0.000000,0.000000,0.000000,events/second
1594603751,1,0.001965,0.000000,0.000000,0.000000,events/second
1594603754,1,0.001954,0.000000,0.000000,0.000000,events/second
1594603757,1,0.001942,0.000000,0.000000,0.000000,events/second
1594603760,1,0.001931,0.000000,0.000000,0.000000,events/second
1594603763,1,0.001920,0.000000,0.000000,0.000000,events/second
1594603766,1,0.001909,0.000000,0.000000,0.000000,events/second
1594603769,1,0.001898,0.000000,0.000000,0.000000,events/second
1594603772,1,0.001887,0.000000,0.000000,0.000000,events/second
1594603775,1,0.001877,0.000000,0.000000,0.000000,events/second
1594603778,1,0.001866,0.000000,0.000000,0.000000,events/second
1594603781,1,0.001856,0.000000,0.000000,0.000000,events/second
1594603784,1,0.001846,0.000000,0.000000,0.000000,events/second
1594603787,1,0.001835,0.000000,0.000000,0.000000,events/second
1594603790,1,0.001825,0.000000,0.000000,0.000000,events/second
1594603793,1,0.001815,0.000000,0.000000,0.000000,events/second
1594603796,1,0.001805,0.000000,0.000000,0.000000,events/second
1594603799,1,0.001796,0.000000,0.000000,0.000000,events/second
1594603802,1,0.001786,0.000000,0.000000,0.000000,events/second
1594603805,1,0.001777,0.000000,0.000000,0.000000,events/second
1594603808,1,0.001767,0.000000,0.000000,0.000000,events/second
1594603811,1,0.001758,0.000000,0.000000,0.000000,events/second
1594603814,1,0.001749,0.000000,0.000000,0.000000,events/second
1594603817,1,0.001740,0.000000,0.000000,0.000000,events/second
1594603820,1,0.001731,0.000000,0.000000,0.000000,events/second
1594603823,1,0.001722,0.000000,0.000000,0.000000,events/second
1594603826,1,0.001713,0.000000,0.000000,0.000000,events/second
1594603829,1,0.001704,0.000000,0.000000,0.000000,events/second
1594603832,1,0.001695,0.000000,0.000000,0.000000,events/second
1594603835,1,0.001687,0.000000,0.000000,0.000000,events/second
1594603838,1,0.001678,0.000000,0.000000,0.000000,events/second
1594603841,1,0.001670,0.000000,0.000000,0.000000,events/second
1594603844,1,0.001662,0.000000,0.000000,0.000000,events/second
1594603847,1,0.001653,0.000000,0.000000,0.000000,events/second
1594603850,1,0.001645,0.000000,0.000000,0.000000,events/second
1594603853,1,0.001637,0.000000,0.000000,0.000000,events/second
1594603856,1,0.001629,0.000000,0.000000,0.000000,events/second
1594603859,1,0.001621,0.000000,0.000000,0.000000,events/second
1594603862,1,0.001613,0.000000,0.000000,0.000000,events/second
