t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,141,9.525473,0.000000,0.000000,0.000000,events/second
1594603259,142,8.318009,0.000000,0.000000,0.000000,events/second
1594603262,144,7.186763,0.000000,0.000000,0.000000,events/second
1594603265,144,6.258374,0.000000,0.000000,0.000000,events/second
1594603268,144,5.494744,0.000000,0.000000,0.000000,events/second
1594603271,144,4.941507,0.000000,0.000000,0.000000,events/second
1594603274,144,4.495611,0.000000,0.000000,0.000000,events/second
1594603277,144,4.108946,0.000000,0.000000,0.000000,events/second
1594603280,144,3.777058,0.000000,0.000000,0.000000,events/second
1594603283,144,3.513162,0.000000,0.000000,0.000000,events/second
1594603286,144,3.274982,0.000000,0.000000,0.000000,events/second
1594603289,144,2.909988,0.000000,0.000000,0.000000,events/second
1594603292,144,2.871108,0.000000,0.000000,0.000000,events/second
1594603295,144,2.713184,0.000000,0.000000,0.000000,events/second
1594603298,144,2.574440,0.000000,0.000000,0.000000,events/second
1594603301,144,2.442342,0.000000,0.000000,0.000000,events/second
1594603304,144,2.322690,0.000000,0.000000,0.000000,events/second
1594603307,144,2.217697,0.000000,0.000000,0.000000,events/second
1594603310,144,2.119894,0.000000,0.000000,0.000000,events/second
1594603313,144,2.019166,0.000000,0.000000,0.000000,events/second
1594603316,144,1.947371,0.000000,0.000000,0.000000,events/second
1594603319,144,1.871816,0.000000,0.000000,0.000000,events/second
1594603322,144,1.802393,0.000000,0.000000,0.000000,events/second
1594603325,144,1.737150,0.000000,0.000000,0.000000,events/second
1594603328,144,1.676525,0.000000,0.000000,0.000000,events/second
1594603331,144,1.619186,0.000000,0.000000,0.000000,events/second
1594603334,144,1.566744,0.000000,0.000000,0.000000,events/second
1594603337,144,1.516951,0.000000,0.000000,0.000000,events/second
1594603340,144,1.470823,0.000000,0.000000,0.000000,events/second
1594603343,144,1.427198,0.000000,0.000000,0.000000,events/second
1594603346,144,1.386102,0.000000,0.000000,0.000000,events/second
1594603349,144,1.347207,0.000000,0.000000,0.000000,events/second
1594603352,144,1.310304,0.000000,0.000000,0.000000,events/second
1594603355,144,1.275617,0.000000,0.000000,0.000000,events/second
1594603358,144,1.242607,0.000000,0.000000,0.000000,events/second
1594603361,144,1.210864,0.000000,0.000000,0.000000,events/second
1594603364,144,1.181006,0.000000,0.000000,0.000000,events/second
1594603367,144,1.152526,0.000000,0.000000,0.000000,events/second
1594603370,144,1.125633,0.000000,0.000000,0.000000,events/second
1594603373,144,1.100181,0.000000,0.000000,0.000000,events/second
1594603376,144,1.075548,0.000000,0.000000,0.000000,events/second
1594603379,144,1.051870,0.000000,0.000000,0.000000,events/second
1594603382,144,1.029334,0.000000,0.000000,0.000000,events/second
1594603385,144,1.007688,0.000000,0.000000,0.000000,events/second
1594603388,144,0.986825,0.000000,0.000000,0.000000,events/second
1594603391,144,0.967102,0.000000,0.000000,0.000000,events/second
1594603394,144,0.947932,0.000000,0.000000,0.000000,events/second
1594603397,144,0.929686,0.000000,0.000000,0.000000,events/second
1594603400,144,0.911858,0.000000,0.000000,0.000000,events/second
1594603403,145,0.901002,0.000000,0.000000,0.000000,events/second
1594603406,152,0.925389,0.000000,0.000000,0.000000,events/second
1594603409,154,0.922695,0.000000,0.000000,0.000000,events/second
1594603412,154,0.906422,0.000000,0.000000,0.000000,events/second
1594603415,154,0.890704,0.000000,0.000000,0.000000,events/second
1594603418,154,0.875269,0.000000,0.000000,0.000000,events/second
1594603421,154,0.860868,0.000000,0.000000,0.000000,events/second
1594603424,154,0.846594,0.000000,0.000000,0.000000,events/second
1594603427,154,0.832823,0.000000,0.000000,0.000000,events/second
1594603430,154,0.819637,0.000000,0.000000,0.000000,events/second
1594603433,154,0.806696,0.000000,0.000000,0.000000,events/second
1594603436,154,0.794261,0.000000,0.000000,0.000000,events/second
1594603439,154,0.782101,0.000000,0.000000,0.000000,events/second
1594603442,154,0.770379,0.000000,0.000000,0.000000,events/second
1594603445,154,0.758523,0.000000,0.000000,0.000000,events/second
1594603448,154,0.747799,0.000000,0.000000,0.000000,events/second
1594603451,154,0.737154,0.000000,0.000000,0.000000,events/second
1594603454,155,0.731456,0.000000,0.000000,0.000000,events/second
1594603457,166,0.772472,0.000000,0.000000,0.000000,events/second
1594603460,166,0.761853,0.000000,0.000000,0.000000,events/second
1594603463,166,0.751479,0.000000,0.000000,0.000000,events/second
1594603466,166,0.741424,0.000000,0.000000,0.000000,events/second
1594603469,166,0.731538,0.000000,0.000000,0.000000,events/second
1594603472,166,0.722067,0.000000,0.000000,0.000000,events/second
1594603475,166,0.712760,0.000000,0.000000,0.000000,events/second
1594603478,166,0.703659,0.000000,0.000000,0.000000,events/second
1594603481,166,0.694842,0.000000,0.000000,0.000000,events/second
1594603484,166,0.686232,0.000000,0.000000,0.000000,events/second
1594603487,166,0.677780,0.000000,0.000000,0.000000,events/second
1594603490,166,0.669627,0.000000,0.000000,0.000000,events/second
1594603493,166,0.661563,0.000000,0.000000,0.000000,events/second
