t,value
1594603256,-1
1594603259,-1
1594603262,-1
1594603265,-1
1594603268,-1
1594603271,-1
1594603274,-1
1594603277,-1
1594603280,-1
1594603283,-1
1594603286,-1
1594603289,-1
1594603292,-1
1594603295,-1
1594603298,-1
1594603301,-1
1594603304,-1
1594603307,-1
1594603310,-1
1594603313,-1
1594603316,-1
1594603319,-1
1594603322,-1
1594603325,-1
1594603328,-1
1594603331,-1
1594603334,-1
1594603337,-1
1594603340,-1
1594603343,-1
1594603346,-1
1594603349,-1
1594603352,-1
1594603355,-1
1594603358,-1
1594603361,-1
1594603364,-1
1594603367,-1
1594603370,-1
1594603373,-1
1594603376,-1
1594603379,-1
1594603382,-1
1594603385,-1
1594603388,-1
1594603391,-1
1594603394,-1
1594603397,-1
1594603400,-1
1594603403,-1
1594603406,-1
1594603409,-1
1594603412,-1
1594603415,-1
1594603418,-1
1594603421,-1
1594603424,-1
1594603427,-1
1594603430,-1
1594603433,-1
1594603436,-1
1594603439,-1
1594603442,-1
1594603445,-1
1594603448,-1
1594603451,-1
1594603454,-1
1594603457,-1
1594603460,-1
1594603463,-1
1594603466,-1
1594603469,-1
1594603472,-1
1594603475,-1
1594603478,-1
1594603481,-1
1594603484,-1
1594603487,-1
1594603490,-1
1594603493,-1
1594603496,-1
1594603499,-1
1594603502,-1
1594603505,-1
1594603508,-1
1594603511,-1
1594603514,-1
1594603517,-1
1594603520,-1
1594603523,-1
1594603526,-1
1594603529,-1
1594603532,-1
1594603535,-1
1594603538,-1
1594603541,-1
1594603544,-1
1594603547,-1
1594603550,-1
1594603553,-1
1594603556,-1
1594603559,-1
1594603562,-1
1594603565,-1
1594603568,-1
1594603571,-1
1594603574,-1
1594603577,-1
1594603580,-1
1594603583,-1
1594603586,-1
1594603589,-1
1594603592,-1
1594603595,-1
1594603598,-1
1594603601,-1
1594603604,-1
1594603607,-1
1594603610,-1
1594603613,-1
1594603616,-1
1594603619,-1
1594603622,-1
1594603625,-1
1594603628,-1
1594603631,-1
1594603634,-1
1594603637,-1
1594603640,-1
1594603643,-1
1594603646,-1
1594603649,-1
1594603652,-1
1594603655,-1
1594603658,-1
1594603661,-1
1594603664,-1
1594603667,-1
1594603670,-1
1594603673,-1
1594603676,-1
1594603679,-1
1594603682,-1
1594603685,-1
1594603688,-1
1594603691,-1
1594603694,-1
1594603697,-1
1594603700,-1
1594603703,-1
1594603706,-1
1594603709,-1
1594603712,-1
1594603715,-1
1594603718,-1
1594603721,-1
1594603724,-1
1594603727,-1
1594603730,-1
1594603733,-1
1594603736,-1
1594603739,-1
1594603742,-1
1594603745,-1
1594603748,-1
1594603751,-1
1594603754,-1
1594603757,-1
1594603760,-1
1594603763,-1
1594603766,-1
1594603769,-1
1594603772,-1
1594603775,-1
1594603778,-1
1594603781,-1
1594603784,-1
1594603787,-1
1594603790,-1
1594603793,-1
1594603796,-1
1594603799,-1
1594603802,-1
1594603805,-1
1594603808,-1
1594603811,-1
1594603814,-1
1594603817,-1
1594603820,-1
1594603823,-1
1594603826,-1
1594603829,-1
1594603832,-1
1594603835,-1
1594603838,-1
1594603841,-1
1594603844,-1
1594603847,-1
1594603850,-1
1594603853,-1
1594603856,-1
1594603859,-1
1594603862,-1
1594603865,-1
1594603868,-1
1594603871,-1
1594603874,-1
1594603877,-1
1594603880,-1
1594603883,-1
1594603886,-1
1594603889,-1
1594603892,-1
1594603895,-1
1594603898,-1
1594603901,-1
1594603904,-1
1594603907,-1
1594603910,-1
1594603913,-1
1594603916,-1
1594603919,-1
1594603922,-1
1594603925,-1
1594603928,-1
1594603931,-1
1594603934,-1
1594603937,-1
1594603940,-1
1594603943,-1
1594603946,-1
1594603949,-1
1594603952,-1
1594603955,-1
1594603958,-1
1594603961,-1
1594603964,-1
1594603967,-1
1594603970,-1
1594603973,-1
1594603976,-1
1594603979,-1
1594603982,-1
1594603985,-1
1594603988,-1
1594603991,-1
1594603994,-1
1594603997,-1
1594604000,-1
1594604003,-1
1594604006,-1
1594604009,-1
1594604012,-1
1594604015,-1
1594604018,-1
1594604021,-1
1594604024,-1
1594604027,-1
1594604030,-1
1594604033,-1
1594604036,-1
1594604039,-1
1594604042,-1
1594604045,-1
1594604048,-1
1594604051,-1
1594604054,-1
1594604057,-1
1594604060,-1
1594604063,-1
1594604066,-1
1594604069,-1
1594604072,-1
1594604075,-1
1594604078,-1
1594604081,-1
1594604084,-1
1594604087,-1
1594604090,-1
1594604093,-1
1594604096,-1
1594604099,-1
1594604102,-1
1594604105,-1
1594604108,-1
1594604111,-1
1594604114,-1
1594604117,-1
1594604120,-1
1594604123,-1
1594604126,-1
1594604129,-1
1594604132,-1
1594604135,-1
1594604138,-1
1594604141,-1
