t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,10,2.503718,0.000000,0.000000,0.000000,events/second
1594603259,10,1.610118,0.000000,0.000000,0.000000,events/second
1594603262,10,1.089305,0.000000,0.000000,0.000000,events/second
1594603265,11,0.905402,0.000000,0.000000,0.000000,events/second
1594603268,12,0.781277,0.000000,0.000000,0.000000,events/second
1594603271,12,0.656252,0.000000,0.000000,0.000000,events/second
1594603274,14,0.661294,0.000000,0.000000,0.000000,events/second
1594603277,14,0.578811,0.000000,0.000000,0.000000,events/second
1594603280,14,0.513522,0.000000,0.000000,0.000000,events/second
1594603283,14,0.464696,0.000000,0.000000,0.000000,events/second
1594603286,14,0.422867,0.000000,0.000000,0.000000,events/second
1594603289,14,0.362487,0.000000,0.000000,0.000000,events/second
1594603292,14,0.356297,0.000000,0.000000,0.000000,events/second
1594603295,14,0.331646,0.000000,0.000000,0.000000,events/second
1594603298,14,0.310599,0.000000,0.000000,0.000000,events/second
1594603301,14,0.291070,0.000000,0.000000,0.000000,events/second
1594603304,14,0.273756,0.000000,0.000000,0.000000,events/second
1594603307,14,0.258927,0.000000,0.000000,0.000000,events/second
1594603310,14,0.245334,0.000000,0.000000,0.000000,events/second
1594603313,14,0.231566,0.000000,0.000000,0.000000,events/second
1594603316,14,0.221928,0.000000,0.000000,0.000000,events/second
1594603319,14,0.211904,0.000000,0.000000,0.000000,events/second
1594603322,14,0.202809,0.000000,0.000000,0.000000,events/second
1594603325,14,0.194359,0.000000,0.000000,0.000000,events/second
1594603328,14,0.186595,0.000000,0.000000,0.000000,events/second
1594603331,14,0.179322,0.000000,0.000000,0.000000,events/second
1594603334,14,0.172737,0.000000,0.000000,0.000000,events/second
1594603337,14,0.166539,0.000000,0.000000,0.000000,events/second
1594603340,14,0.160844,0.000000,0.000000,0.000000,events/second
1594603343,14,0.155496,0.000000,0.000000,0.000000,events/second
1594603346,14,0.150497,0.000000,0.000000,0.000000,events/second
1594603349,14,0.145795,0.000000,0.000000,0.000000,events/second
1594603352,14,0.141364,0.000000,0.000000,0.000000,events/second
1594603355,14,0.137224,0.000000,0.000000,0.000000,events/second
1594603358,14,0.133306,0.000000,0.000000,0.000000,events/second
1594603361,14,0.129558,0.000000,0.000000,0.000000,events/second
1594603364,14,0.126051,0.000000,0.000000,0.000000,events/second
1594603367,14,0.122721,0.000000,0.000000,0.000000,events/second
1594603370,14,0.119592,0.000000,0.000000,0.000000,events/second
1594603373,14,0.116643,0.000000,0.000000,0.000000,events/second
1594603376,14,0.113800,0.000000,0.000000,0.000000,events/second
1594603379,14,0.111080,0.000000,0.000000,0.000000,events/second
1594603382,14,0.108499,0.000000,0.000000,0.000000,events/second
1594603385,14,0.106030,0.000000,0.000000,0.000000,events/second
1594603388,14,0.103658,0.000000,0.000000,0.000000,events/second
1594603391,14,0.101424,0.000000,0.000000,0.000000,events/second
1594603394,14,0.099258,0.000000,0.000000,0.000000,events/second
1594603397,14,0.097204,0.000000,0.000000,0.000000,events/second
1594603400,14,0.095201,0.000000,0.000000,0.000000,events/second
1594603403,14,0.093290,0.000000,0.000000,0.000000,events/second
1594603406,14,0.091269,0.000000,0.000000,0.000000,events/second
1594603409,14,0.089721,0.000000,0.000000,0.000000,events/second
1594603412,14,0.088031,0.000000,0.000000,0.000000,events/second
1594603415,14,0.086402,0.000000,0.000000,0.000000,events/second
1594603418,14,0.084801,0.000000,0.000000,0.000000,events/second
1594603421,14,0.083321,0.000000,0.000000,0.000000,events/second
1594603424,14,0.081851,0.000000,0.000000,0.000000,events/second
1594603427,14,0.080437,0.000000,0.000000,0.000000,events/second
1594603430,14,0.079085,0.000000,0.000000,0.000000,events/second
1594603433,14,0.077761,0.000000,0.000000,0.000000,events/second
1594603436,14,0.076491,0.000000,0.000000,0.000000,events/second
1594603439,14,0.075252,0.000000,0.000000,0.000000,events/second
1594603442,14,0.074059,0.000000,0.000000,0.000000,events/second
1594603445,14,0.072844,0.000000,0.000000,0.000000,events/second
1594603448,14,0.071766,0.000000,0.000000,0.000000,events/second
1594603451,14,0.070690,0.000000,0.000000,0.000000,events/second
1594603454,14,0.069637,0.000000,0.000000,0.000000,events/second
1594603457,14,0.068616,0.000000,0.000000,0.000000,events/second
1594603460,14,0.067624,0.000000,0.000000,0.000000,events/second
1594603463,14,0.066656,0.000000,0.000000,0.000000,events/second
1594603466,14,0.065718,0.000000,0.000000,0.000000,events/second
1594603469,14,0.064798,0.000000,0.000000,0.000000,events/second
1594603472,14,0.063918,0.000000,0.000000,0.000000,events/second
1594603475,14,0.063053,0.000000,0.000000,0.000000,events/second
1594603478,14,0.062209,0.000000,0.000000,0.000000,events/second
1594603481,14,0.061393,0.000000,0.000000,0.000000,events/second
1594603484,15,0.064925,0.000000,0.000000,0.000000,events/second
1594603487,15,0.064088,0.000000,0.000000,0.000000,events/second
1594603490,15,0.063282,0.000000,0.000000,0.000000,events/second
1594603493,15,0.062485,0.000000,0.000000,0.000000,events/second
1594603496,15,0.061718,0.000000,0.000000,0.000000,events/second
1594603499,15,0.060964,0.000000,0.000000,0.000000,events/second
1594603502,15,0.060231,0.000000,0.000000,0.000000,events/second
1594603505,15,0.059515,0.000000,0.000000,0.000000,events/second
1594603508,15,0.058811,0.000000,0.000000,0.000000,events/second
1594603511,15,0.058127,0.000000,0.000000,0.000000,events/second
1594603514,15,0.057467,0.000000,0.000000,0.000000,events/second
1594603517,15,0.056811,0.000000,0.000000,0.000000,events/second
1594603520,15,0.056165,0.000000,0.000000,0.000000,events/second
1594603523,15,0.055550,0.000000,0.000000,0.000000,events/second
1594603526,15,0.054938,0.000000,0.000000,0.000000,events/second
1594603529,15,0.054344,0.000000,0.000000,0.000000,events/second
1594603532,15,0.053757,0.000000,0.000000,0.000000,events/second
1594603535,15,0.053188,0.000000,0.000000,0.000000,events/second
1594603538,15,0.052625,0.000000,0.000000,0.000000,events/second
1594603541,15,0.052075,0.000000,0.000000,0.000000,events/second
1594603544,15,0.051539,0.000000,0.000000,0.000000,events/second
1594603547,15,0.050993,0.000000,0.000000,0.000000,events/second
1594603550,15,0.050497,0.000000,0.000000,0.000000,events/second
1594603553,15,0.049992,0.000000,0.000000,0.000000,events/second
1594603556,15,0.049499,0.000000,0.000000,0.000000,events/second
1594603559,15,0.049015,0.000000,0.000000,0.000000,events/second
1594603562,15,0.048541,0.000000,0.000000,0.000000,events/second
1594603565,15,0.048074,0.000000,0.000000,0.000000,events/second
1594603568,15,0.047605,0.000000,0.000000,0.000000,events/second
1594603571,15,0.047164,0.000000,0.000000,0.000000,events/second
1594603574,15,0.046725,0.000000,0.000000,0.000000,events/second
1594603577,15,0.046294,0.000000,0.000000,0.000000,events/second
1594603580,15,0.045867,0.000000,0.000000,0.000000,events/second
1594603583,15,0.045452,0.000000,0.000000,0.000000,events/second
1594603586,15,0.045043,0.000000,0.000000,0.000000,events/second
1594603589,15,0.044638,0.000000,0.000000,0.000000,events/second
1594603592,15,0.044243,0.000000,0.000000,0.000000,events/second
1594603595,15,0.043856,0.000000,0.000000,0.000000,events/second
1594603598,15,0.043476,0.000000,0.000000,0.000000,events/second
1594603601,15,0.043094,0.000000,0.000000,0.000000,events/second
1594603604,15,0.042732,0.000000,0.000000,0.000000,events/second
1594603607,15,0.042370,0.000000,0.000000,0.000000,events/second
1594603610,15,0.042015,0.000000,0.000000,0.000000,events/second
1594603613,15,0.041664,0.000000,0.000000,0.000000,events/second
1594603616,15,0.041321,0.000000,0.000000,0.000000,events/second
1594603619,15,0.040980,0.000000,0.000000,0.000000,events/second
1594603622,15,0.040635,0.000000,0.000000,0.000000,events/second
1594603625,15,0.040318,0.000000,0.000000,0.000000,events/second
1594603628,15,0.039996,0.000000,0.000000,0.000000,events/second
1594603631,15,0.039680,0.000000,0.000000,0.000000,events/second
1594603634,15,0.039367,0.000000,0.000000,0.000000,events/second
1594603637,15,0.039057,0.000000,0.000000,0.000000,events/second
1594603640,15,0.038756,0.000000,0.000000,0.000000,events/second
1594603643,15,0.038460,0.000000,0.000000,0.000000,events/second
1594603646,15,0.038158,0.000000,0.000000,0.000000,events/second
1594603649,15,0.037873,0.000000,0.000000,0.000000,events/second
1594603652,15,0.037590,0.000000,0.000000,0.000000,events/second
1594603655,15,0.037311,0.000000,0.000000,0.000000,events/second
1594603658,15,0.037033,0.000000,0.000000,0.000000,events/second
1594603661,15,0.036760,0.000000,0.000000,0.000000,events/second
1594603664,15,0.036493,0.000000,0.000000,0.000000,events/second
1594603667,15,0.036230,0.000000,0.000000,0.000000,events/second
1594603670,15,0.035968,0.000000,0.000000,0.000000,events/second
1594603673,15,0.035711,0.000000,0.000000,0.000000,events/second
1594603676,15,0.035458,0.000000,0.000000,0.000000,events/second
1594603679,15,0.035208,0.000000,0.000000,0.000000,events/second
1594603682,15,0.034961,0.000000,0.000000,0.000000,events/second
1594603685,15,0.034719,0.000000,0.000000,0.000000,events/second
1594603688,15,0.034481,0.000000,0.000000,0.000000,events/second
1594603691,15,0.034245,0.000000,0.000000,0.000000,events/second
1594603694,15,0.034011,0.000000,0.000000,0.000000,events/second
1594603697,15,0.033783,0.000000,0.000000,0.000000,events/second
1594603700,15,0.033556,0.000000,0.000000,0.000000,events/second
1594603703,15,0.033330,0.000000,0.000000,0.000000,events/second
1594603706,15,0.033111,0.000000,0.000000,0.000000,events/second
1594603709,15,0.032892,0.000000,0.000000,0.000000,events/second
1594603712,15,0.032677,0.000000,0.000000,0.000000,events/second
1594603715,15,0.032465,0.000000,0.000000,0.000000,events/second
1594603718,15,0.032257,0.000000,0.000000,0.000000,events/second
1594603721,15,0.032050,0.000000,0.000000,0.000000,events/second
1594603724,15,0.031845,0.000000,0.000000,0.000000,events/second
1594603727,15,0.031644,0.000000,0.000000,0.000000,events/second
1594603730,15,0.031445,0.000000,0.000000,0.000000,events/second
1594603733,15,0.031248,0.000000,0.000000,0.000000,events/second
1594603736,15,0.031055,0.000000,0.000000,0.000000,events/second
1594603739,15,0.030862,0.000000,0.000000,0.000000,events/second
1594603742,15,0.030673,0.000000,0.000000,0.000000,events/second
1594603745,15,0.030485,0.000000,0.000000,0.000000,events/second
1594603748,15,0.030299,0.000000,0.000000,0.000000,events/second
1594603751,15,0.030119,0.000000,0.000000,0.000000,events/second
1594603754,15,0.029939,0.000000,0.000000,0.000000,events/second
1594603757,15,0.029761,0.000000,0.000000,0.000000,events/second
1594603760,15,0.029584,0.000000,0.000000,0.000000,events/second
1594603763,15,0.029410,0.000000,0.000000,0.000000,events/second
1594603766,15,0.029235,0.000000,0.000000,0.000000,events/second
1594603769,15,0.029067,0.000000,0.000000,0.000000,events/second
1594603772,15,0.028900,0.000000,0.000000,0.000000,events/second
1594603775,15,0.028733,0.000000,0.000000,0.000000,events/second
1594603778,15,0.028570,0.000000,0.000000,0.000000,events/second
1594603781,15,0.028408,0.000000,0.000000,0.000000,events/second
1594603784,15,0.028247,0.000000,0.000000,0.000000,events/second
1594603787,15,0.028089,0.000000,0.000000,0.000000,events/second
1594603790,15,0.027932,0.000000,0.000000,0.000000,events/second
1594603793,15,0.027772,0.000000,0.000000,0.000000,events/second
1594603796,15,0.027621,0.000000,0.000000,0.000000,events/second
1594603799,15,0.027469,0.000000,0.000000,0.000000,events/second
1594603802,15,0.027321,0.000000,0.000000,0.000000,events/second
1594603805,15,0.027172,0.000000,0.000000,0.000000,events/second
1594603808,15,0.027026,0.000000,0.000000,0.000000,events/second
1594603811,15,0.026881,0.000000,0.000000,0.000000,events/second
1594603814,15,0.026736,0.000000,0.000000,0.000000,events/second
1594603817,15,0.026594,0.000000,0.000000,0.000000,events/second
1594603820,15,0.026453,0.000000,0.000000,0.000000,events/second
1594603823,15,0.026314,0.000000,0.000000,0.000000,events/second
1594603826,15,0.026176,0.000000,0.000000,0.000000,events/second
1594603829,15,0.026040,0.000000,0.000000,0.000000,events/second
1594603832,15,0.025906,0.000000,0.000000,0.000000,events/second
1594603835,15,0.025772,0.000000,0.000000,0.000000,events/second
1594603838,15,0.025639,0.000000,0.000000,0.000000,events/second
1594603841,15,0.025509,0.000000,0.000000,0.000000,events/second
1594603844,15,0.025379,0.000000,0.000000,0.000000,events/second
1594603847,15,0.025250,0.000000,0.000000,0.000000,events/second
1594603850,15,0.025124,0.000000,0.000000,0.000000,events/second
1594603853,15,0.024999,0.000000,0.000000,0.000000,events/second
1594603856,15,0.024874,0.000000,0.000000,0.000000,events/second
1594603859,15,0.024751,0.000000,0.000000,0.000000,events/second
1594603862,15,0.024629,0.000000,0.000000,0.000000,events/second
1594603865,15,0.024508,0.000000,0.000000,0.000000,events/second
1594603868,15,0.024388,0.000000,0.000000,0.000000,events/second
1594603871,15,0.024270,0.000000,0.000000,0.000000,events/second
1594603874,15,0.024153,0.000000,0.000000,0.000000,events/second
1594603877,15,0.024037,0.000000,0.000000,0.000000,events/second
1594603880,15,0.023920,0.000000,0.000000,0.000000,events/second
1594603883,15,0.023808,0.000000,0.000000,0.000000,events/second
1594603886,15,0.023695,0.000000,0.000000,0.000000,events/second
1594603889,15,0.023583,0.000000,0.000000,0.000000,events/second
1594603892,15,0.023457,0.000000,0.000000,0.000000,events/second
1594603895,15,0.023363,0.000000,0.000000,0.000000,events/second
1594603898,15,0.023255,0.000000,0.000000,0.000000,events/second
1594603901,15,0.023144,0.000000,0.000000,0.000000,events/second
1594603904,15,0.023036,0.000000,0.000000,0.000000,events/second
1594603907,15,0.022934,0.000000,0.000000,0.000000,events/second
1594603910,15,0.022828,0.000000,0.000000,0.000000,events/second
1594603913,15,0.022726,0.000000,0.000000,0.000000,events/second
1594603916,15,0.022623,0.000000,0.000000,0.000000,events/second
1594603919,15,0.022522,0.000000,0.000000,0.000000,events/second
1594603922,15,0.022420,0.000000,0.000000,0.000000,events/second
1594603925,15,0.022319,0.000000,0.000000,0.000000,events/second
1594603928,15,0.022221,0.000000,0.000000,0.000000,events/second
1594603931,15,0.022123,0.000000,0.000000,0.000000,events/second
1594603934,15,0.022026,0.000000,0.000000,0.000000,events/second
1594603937,15,0.021929,0.000000,0.000000,0.000000,events/second
1594603940,15,0.021832,0.000000,0.000000,0.000000,events/second
1594603943,15,0.021737,0.000000,0.000000,0.000000,events/second
1594603946,15,0.021644,0.000000,0.000000,0.000000,events/second
1594603949,15,0.021549,0.000000,0.000000,0.000000,events/second
1594603952,15,0.021458,0.000000,0.000000,0.000000,events/second
1594603955,15,0.021367,0.000000,0.000000,0.000000,events/second
1594603958,15,0.021276,0.000000,0.000000,0.000000,events/second
1594603961,15,0.021186,0.000000,0.000000,0.000000,events/second
1594603964,15,0.021097,0.000000,0.000000,0.000000,events/second
1594603967,15,0.021008,0.000000,0.000000,0.000000,events/second
1594603970,15,0.020919,0.000000,0.000000,0.000000,events/second
1594603973,15,0.020833,0.000000,0.000000,0.000000,events/second
1594603976,15,0.020744,0.000000,0.000000,0.000000,events/second
1594603979,15,0.020659,0.000000,0.000000,0.000000,events/second
1594603982,15,0.020574,0.000000,0.000000,0.000000,events/second
1594603985,15,0.020491,0.000000,0.000000,0.000000,events/second
1594603988,15,0.020406,0.000000,0.000000,0.000000,events/second
1594603991,15,0.020324,0.000000,0.000000,0.000000,events/second
1594603994,15,0.020242,0.000000,0.000000,0.000000,events/second
1594603997,15,0.020161,0.000000,0.000000,0.000000,events/second
1594604000,15,0.020080,0.000000,0.000000,0.000000,events/second
1594604003,15,0.019998,0.000000,0.000000,0.000000,events/second
1594604006,15,0.019919,0.000000,0.000000,0.000000,events/second
1594604009,15,0.019840,0.000000,0.000000,0.000000,events/second
1594604012,15,0.019761,0.000000,0.000000,0.000000,events/second
1594604015,15,0.019684,0.000000,0.000000,0.000000,events/second
1594604018,15,0.019607,0.000000,0.000000,0.000000,events/second
1594604021,15,0.019528,0.000000,0.000000,0.000000,events/second
1594604024,15,0.019452,0.000000,0.000000,0.000000,events/second
1594604027,15,0.019376,0.000000,0.000000,0.000000,events/second
1594604030,15,0.019302,0.000000,0.000000,0.000000,events/second
1594604033,16,0.020511,0.000000,0.000000,0.000000,events/second
1594604036,16,0.020427,0.000000,0.000000,0.000000,events/second
1594604039,16,0.020354,0.000000,0.000000,0.000000,events/second
1594604042,16,0.020277,0.000000,0.000000,0.000000,events/second
1594604045,16,0.020200,0.000000,0.000000,0.000000,events/second
1594604048,16,0.020125,0.000000,0.000000,0.000000,events/second
1594604051,16,0.020048,0.000000,0.000000,0.000000,events/second
1594604054,16,0.019974,0.000000,0.000000,0.000000,events/second
1594604057,16,0.019900,0.000000,0.000000,0.000000,events/second
1594604060,16,0.019826,0.000000,0.000000,0.000000,events/second
1594604063,16,0.019752,0.000000,0.000000,0.000000,events/second
1594604066,16,0.019679,0.000000,0.000000,0.000000,events/second
1594604069,16,0.019607,0.000000,0.000000,0.000000,events/second
1594604072,16,0.019535,0.000000,0.000000,0.000000,events/second
1594604075,16,0.019464,0.000000,0.000000,0.000000,events/second
1594604078,16,0.019393,0.000000,0.000000,0.000000,events/second
1594604081,16,0.019323,0.000000,0.000000,0.000000,events/second
1594604084,16,0.019253,0.000000,0.000000,0.000000,events/second
1594604087,16,0.019183,0.000000,0.000000,0.000000,events/second
1594604090,16,0.019115,0.000000,0.000000,0.000000,events/second
1594604093,16,0.019047,0.000000,0.000000,0.000000,events/second
1594604096,16,0.018978,0.000000,0.000000,0.000000,events/second
1594604099,16,0.018912,0.000000,0.000000,0.000000,events/second
1594604102,16,0.018845,0.000000,0.000000,0.000000,events/second
1594604105,16,0.018779,0.000000,0.000000,0.000000,events/second
1594604108,16,0.018712,0.000000,0.000000,0.000000,events/second
1594604111,16,0.018647,0.000000,0.000000,0.000000,events/second
1594604114,16,0.018582,0.000000,0.000000,0.000000,events/second
1594604117,16,0.018517,0.000000,0.000000,0.000000,events/second
1594604120,16,0.018451,0.000000,0.000000,0.000000,events/second
1594604123,16,0.018390,0.000000,0.000000,0.000000,events/second
1594604126,16,0.018327,0.000000,0.000000,0.000000,events/second
1594604129,16,0.018264,0.000000,0.000000,0.000000,events/second
1594604132,16,0.018201,0.000000,0.000000,0.000000,events/second
1594604135,16,0.018139,0.000000,0.000000,0.000000,events/second
1594604138,16,0.018078,0.000000,0.000000,0.000000,events/second
1594604141,16,0.018017,0.000000,0.000000,0.000000,events/second
1594604144,16,0.017957,0.000000,0.000000,0.000000,events/second
1594604147,16,0.017896,0.000000,0.000000,0.000000,events/second
1594604150,16,0.017837,0.000000,0.000000,0.000000,events/second
1594604153,16,0.017776,0.000000,0.000000,0.000000,events/second
1594604156,16,0.017718,0.000000,0.000000,0.000000,events/second
1594604159,16,0.017659,0.000000,0.000000,0.000000,events/second
1594604162,16,0.017601,0.000000,0.000000,0.000000,events/second
1594604165,16,0.017543,0.000000,0.000000,0.000000,events/second
1594604168,16,0.017483,0.000000,0.000000,0.000000,events/second
1594604171,16,0.017428,0.000000,0.000000,0.000000,events/second
1594604174,16,0.017372,0.000000,0.000000,0.000000,events/second
1594604177,16,0.017315,0.000000,0.000000,0.000000,events/second
1594604180,16,0.017259,0.000000,0.000000,0.000000,events/second
1594604183,16,0.017203,0.000000,0.000000,0.000000,events/second
1594604186,16,0.017147,0.000000,0.000000,0.000000,events/second
1594604189,16,0.017092,0.000000,0.000000,0.000000,events/second
1594604192,16,0.017038,0.000000,0.000000,0.000000,events/second
1594604195,16,0.016984,0.000000,0.000000,0.000000,events/second
1594604198,16,0.016931,0.000000,0.000000,0.000000,events/second
