t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1594603256,145,36.189712,0.000000,0.000000,0.000000,events/second
1594603259,145,23.330985,0.000000,0.000000,0.000000,events/second
1594603262,145,15.784816,0.000000,0.000000,0.000000,events/second
1594603265,187,15.385041,0.000000,0.000000,0.000000,events/second
1594603268,236,15.360986,0.000000,0.000000,0.000000,events/second
1594603271,236,12.899102,0.000000,0.000000,0.000000,events/second
1594603274,323,15.254859,0.000000,0.000000,0.000000,events/second
1594603277,323,13.351673,0.000000,0.000000,0.000000,events/second
1594603280,323,11.846494,0.000000,0.000000,0.000000,events/second
1594603283,323,10.719472,0.000000,0.000000,0.000000,events/second
1594603286,323,9.755448,0.000000,0.000000,0.000000,events/second
1594603289,323,8.362578,0.000000,0.000000,0.000000,events/second
1594603292,323,8.219748,0.000000,0.000000,0.000000,events/second
1594603295,323,7.650964,0.000000,0.000000,0.000000,events/second
1594603298,323,7.165471,0.000000,0.000000,0.000000,events/second
1594603301,323,6.714989,0.000000,0.000000,0.000000,events/second
1594603304,323,6.315441,0.000000,0.000000,0.000000,events/second
1594603307,323,5.973545,0.000000,0.000000,0.000000,events/second
1594603310,323,5.659879,0.000000,0.000000,0.000000,events/second
1594603313,323,5.342279,0.000000,0.000000,0.000000,events/second
1594603316,323,5.119967,0.000000,0.000000,0.000000,events/second
1594603319,323,4.888752,0.000000,0.000000,0.000000,events/second
1594603322,323,4.678939,0.000000,0.000000,0.000000,events/second
1594603325,323,4.483979,0.000000,0.000000,0.000000,events/second
1594603328,323,4.304892,0.000000,0.000000,0.000000,events/second
1594603331,323,4.137053,0.000000,0.000000,0.000000,events/second
1594603334,323,3.985174,0.000000,0.000000,0.000000,events/second
1594603337,323,3.842179,0.000000,0.000000,0.000000,events/second
1594603340,323,3.710796,0.000000,0.000000,0.000000,events/second
1594603343,323,3.587421,0.000000,0.000000,0.000000,events/second
1594603346,323,3.472102,0.000000,0.000000,0.000000,events/second
1594603349,323,3.363628,0.000000,0.000000,0.000000,events/second
1594603352,323,3.261407,0.000000,0.000000,0.000000,events/second
1594603355,323,3.165884,0.000000,0.000000,0.000000,events/second
1594603358,323,3.075488,0.000000,0.000000,0.000000,events/second
1594603361,323,2.989024,0.000000,0.000000,0.000000,events/second
1594603364,323,2.908110,0.000000,0.000000,0.000000,events/second
1594603367,323,2.831305,0.000000,0.000000,0.000000,events/second
1594603370,323,2.759100,0.000000,0.000000,0.000000,events/second
1594603373,323,2.691071,0.000000,0.000000,0.000000,events/second
1594603376,323,2.625490,0.000000,0.000000,0.000000,events/second
1594603379,323,2.562724,0.000000,0.000000,0.000000,events/second
1594603382,323,2.503179,0.000000,0.000000,0.000000,events/second
1594603385,323,2.446214,0.000000,0.000000,0.000000,events/second
1594603388,323,2.391489,0.000000,0.000000,0.000000,events/second
1594603391,323,2.339954,0.000000,0.000000,0.000000,events/second
1594603394,323,2.289996,0.000000,0.000000,0.000000,events/second
1594603397,323,2.242594,0.000000,0.000000,0.000000,events/second
1594603400,323,2.196372,0.000000,0.000000,0.000000,events/second
1594603403,323,2.152304,0.000000,0.000000,0.000000,events/second
1594603406,323,2.105669,0.000000,0.000000,0.000000,events/second
1594603409,323,2.069959,0.000000,0.000000,0.000000,events/second
1594603412,323,2.030967,0.000000,0.000000,0.000000,events/second
1594603415,323,1.993387,0.000000,0.000000,0.000000,events/second
1594603418,323,1.956454,0.000000,0.000000,0.000000,events/second
1594603421,323,1.922300,0.000000,0.000000,0.000000,events/second
1594603424,323,1.888401,0.000000,0.000000,0.000000,events/second
1594603427,323,1.855747,0.000000,0.000000,0.000000,events/second
1594603430,323,1.824577,0.000000,0.000000,0.000000,events/second
1594603433,323,1.794031,0.000000,0.000000,0.000000,events/second
1594603436,323,1.764740,0.000000,0.000000,0.000000,events/second
1594603439,323,1.736142,0.000000,0.000000,0.000000,events/second
1594603442,323,1.708624,0.000000,0.000000,0.000000,events/second
1594603445,323,1.680559,0.000000,0.000000,0.000000,events/second
1594603448,323,1.655722,0.000000,0.000000,0.000000,events/second
1594603451,323,1.630892,0.000000,0.000000,0.000000,events/second
1594603454,323,1.606603,0.000000,0.000000,0.000000,events/second
1594603457,323,1.583028,0.000000,0.000000,0.000000,events/second
1594603460,323,1.560171,0.000000,0.000000,0.000000,events/second
1594603463,323,1.537830,0.000000,0.000000,0.000000,events/second
1594603466,323,1.516204,0.000000,0.000000,0.000000,events/second
1594603469,323,1.494971,0.000000,0.000000,0.000000,events/second
1594603472,323,1.474653,0.000000,0.000000,0.000000,events/second
1594603475,323,1.454720,0.000000,0.000000,0.000000,events/second
1594603478,323,1.435246,0.000000,0.000000,0.000000,events/second
1594603481,323,1.416402,0.000000,0.000000,0.000000,events/second
1594603484,343,1.484595,0.000000,0.000000,0.000000,events/second
1594603487,343,1.465461,0.000000,0.000000,0.000000,events/second
1594603490,343,1.447024,0.000000,0.000000,0.000000,events/second
1594603493,343,1.428811,0.000000,0.000000,0.000000,events/second
1594603496,343,1.411273,0.000000,0.000000,0.000000,events/second
1594603499,343,1.394021,0.000000,0.000000,0.000000,events/second
1594603502,343,1.377265,0.000000,0.000000,0.000000,events/second
1594603505,343,1.360903,0.000000,0.000000,0.000000,events/second
1594603508,343,1.344797,0.000000,0.000000,0.000000,events/second
1594603511,343,1.329170,0.000000,0.000000,0.000000,events/second
1594603514,343,1.314064,0.000000,0.000000,0.000000,events/second
1594603517,343,1.299057,0.000000,0.000000,0.000000,events/second
1594603520,343,1.284304,0.000000,0.000000,0.000000,events/second
1594603523,343,1.270237,0.000000,0.000000,0.000000,events/second
1594603526,343,1.256234,0.000000,0.000000,0.000000,events/second
1594603529,343,1.242652,0.000000,0.000000,0.000000,events/second
1594603532,343,1.229236,0.000000,0.000000,0.000000,events/second
1594603535,343,1.216227,0.000000,0.000000,0.000000,events/second
1594603538,343,1.203352,0.000000,0.000000,0.000000,events/second
1594603541,343,1.190773,0.000000,0.000000,0.000000,events/second
1594603544,343,1.178522,0.000000,0.000000,0.000000,events/second
1594603547,343,1.166025,0.000000,0.000000,0.000000,events/second
1594603550,343,1.154682,0.000000,0.000000,0.000000,events/second
1594603553,343,1.143135,0.000000,0.000000,0.000000,events/second
1594603556,343,1.131872,0.000000,0.000000,0.000000,events/second
1594603559,343,1.120809,0.000000,0.000000,0.000000,events/second
1594603562,343,1.109961,0.000000,0.000000,0.000000,events/second
1594603565,343,1.099290,0.000000,0.000000,0.000000,events/second
1594603568,343,1.088557,0.000000,0.000000,0.000000,events/second
1594603571,343,1.078477,0.000000,0.000000,0.000000,events/second
1594603574,343,1.068441,0.000000,0.000000,0.000000,events/second
1594603577,343,1.058571,0.000000,0.000000,0.000000,events/second
1594603580,343,1.048829,0.000000,0.000000,0.000000,events/second
1594603583,343,1.039333,0.000000,0.000000,0.000000,events/second
1594603586,343,1.029967,0.000000,0.000000,0.000000,events/second
1594603589,343,1.020727,0.000000,0.000000,0.000000,events/second
1594603592,343,1.011692,0.000000,0.000000,0.000000,events/second
1594603595,343,1.002823,0.000000,0.000000,0.000000,events/second
1594603598,343,0.994144,0.000000,0.000000,0.000000,events/second
1594603601,343,0.985411,0.000000,0.000000,0.000000,events/second
1594603604,343,0.977140,0.000000,0.000000,0.000000,events/second
1594603607,343,0.968860,0.000000,0.000000,0.000000,events/second
1594603610,343,0.960726,0.000000,0.000000,0.000000,events/second
1594603613,343,0.952703,0.000000,0.000000,0.000000,events/second
1594603616,343,0.944859,0.000000,0.000000,0.000000,events/second
1594603619,343,0.937062,0.000000,0.000000,0.000000,events/second
1594603622,343,0.929188,0.000000,0.000000,0.000000,events/second
1594603625,343,0.921933,0.000000,0.000000,0.000000,events/second
1594603628,343,0.914572,0.000000,0.000000,0.000000,events/second
1594603631,343,0.907335,0.000000,0.000000,0.000000,events/second
1594603634,343,0.900187,0.000000,0.000000,0.000000,events/second
1594603637,343,0.893103,0.000000,0.000000,0.000000,events/second
1594603640,343,0.886227,0.000000,0.000000,0.000000,events/second
1594603643,343,0.879447,0.000000,0.000000,0.000000,events/second
1594603646,343,0.872549,0.000000,0.000000,0.000000,events/second
1594603649,343,0.866022,0.000000,0.000000,0.000000,events/second
1594603652,343,0.859558,0.000000,0.000000,0.000000,events/second
1594603655,343,0.853177,0.000000,0.000000,0.000000,events/second
1594603658,343,0.846817,0.000000,0.000000,0.000000,events/second
1594603661,343,0.840581,0.000000,0.000000,0.000000,events/second
1594603664,343,0.834467,0.000000,0.000000,0.000000,events/second
1594603667,343,0.828454,0.000000,0.000000,0.000000,events/second
1594603670,343,0.822460,0.000000,0.000000,0.000000,events/second
1594603673,343,0.816591,0.000000,0.000000,0.000000,events/second
1594603676,343,0.810805,0.000000,0.000000,0.000000,events/second
1594603679,343,0.805088,0.000000,0.000000,0.000000,events/second
1594603682,343,0.799447,0.000000,0.000000,0.000000,events/second
1594603685,343,0.793902,0.000000,0.000000,0.000000,events/second
1594603688,343,0.788457,0.000000,0.000000,0.000000,events/second
1594603691,343,0.783074,0.000000,0.000000,0.000000,events/second
1594603694,343,0.777720,0.000000,0.000000,0.000000,events/second
1594603697,343,0.772496,0.000000,0.000000,0.000000,events/second
