t,value
1594603256,1073741824
1594603259,1073741824
1594603262,1073741824
1594603265,1073741824
1594603268,1073741824
1594603271,1073741824
1594603274,1073741824
1594603277,1073741824
1594603280,1073741824
1594603283,1073741824
1594603286,1073741824
1594603289,1073741824
1594603292,1073741824
1594603295,1073741824
1594603298,1073741824
1594603301,1073741824
1594603304,1073741824
1594603307,1073741824
1594603310,1073741824
1594603313,1073741824
1594603316,1073741824
1594603319,1073741824
1594603322,1073741824
1594603325,1073741824
1594603328,1073741824
1594603331,1073741824
1594603334,1073741824
1594603337,1073741824
1594603340,1073741824
1594603343,1073741824
1594603346,1073741824
1594603349,1073741824
1594603352,1073741824
1594603355,1073741824
1594603358,1073741824
1594603361,1073741824
1594603364,1073741824
1594603367,1073741824
1594603370,1073741824
1594603373,1073741824
1594603376,1073741824
1594603379,1073741824
1594603382,1073741824
1594603385,1073741824
1594603388,1073741824
1594603391,1073741824
1594603394,1073741824
1594603397,1073741824
1594603400,1073741824
1594603403,1073741824
1594603406,1073741824
1594603409,1073741824
1594603412,1073741824
1594603415,1073741824
1594603418,1073741824
1594603421,1073741824
1594603424,1073741824
1594603427,1073741824
1594603430,1073741824
1594603433,1073741824
1594603436,1073741824
1594603439,1073741824
1594603442,1073741824
1594603445,1073741824
1594603448,1073741824
1594603451,1073741824
1594603454,1073741824
1594603457,1073741824
1594603460,1073741824
1594603463,1073741824
1594603466,1073741824
1594603469,1073741824
1594603472,1073741824
1594603475,1073741824
1594603478,1073741824
1594603481,1073741824
1594603484,1073741824
1594603487,1073741824
1594603490,1073741824
1594603493,1073741824
1594603496,1073741824
1594603499,1073741824
1594603502,1073741824
1594603505,1073741824
1594603508,1073741824
1594603511,1073741824
1594603514,1073741824
1594603517,1073741824
1594603520,1073741824
1594603523,1073741824
1594603526,1073741824
1594603529,1073741824
1594603532,1073741824
1594603535,1073741824
1594603538,1073741824
1594603541,1073741824
1594603544,1073741824
1594603547,1073741824
1594603550,1073741824
1594603553,1073741824
1594603556,1073741824
1594603559,1073741824
1594603562,1073741824
1594603565,1073741824
1594603568,1073741824
1594603571,1073741824
1594603574,1073741824
1594603577,1073741824
1594603580,1073741824
1594603583,1073741824
1594603586,1073741824
1594603589,1073741824
1594603592,1073741824
1594603595,1073741824
1594603598,1073741824
1594603601,1073741824
1594603604,1073741824
1594603607,1073741824
1594603610,1073741824
1594603613,1073741824
1594603616,1073741824
1594603619,1073741824
1594603622,1073741824
1594603625,1073741824
1594603628,1073741824
1594603631,1073741824
1594603634,1073741824
