t,value
1594603256,173540144
1594603259,216531760
1594603262,280494896
1594603265,79217664
1594603268,103566848
1594603271,178015744
1594603274,296165376
1594603277,113188864
1594603280,114237440
1594603283,115286016
1594603286,116334592
1594603289,117383168
1594603292,117383168
1594603295,118431744
1594603298,119480320
1594603301,121577472
1594603304,132063232
1594603307,133111808
1594603310,133111808
1594603313,142548992
1594603316,143597568
1594603319,144646144
1594603322,145694720
1594603325,146743296
1594603328,146743296
1594603331,147791872
1594603334,148840448
1594603337,149889024
1594603340,149889024
1594603343,150937600
1594603346,151986176
1594603349,153034752
1594603352,153034752
1594603355,154083328
1594603358,155131904
1594603361,156180480
1594603364,165617664
1594603367,165617664
1594603370,166666240
1594603373,175054848
1594603376,175054848
1594603379,176103424
1594603382,177152000
1594603385,178200576
1594603388,178200576
1594603391,179249152
1594603394,180297728
1594603397,181346304
1594603400,181346304
1594603403,198123520
1594603406,273620992
1594603409,280961024
1594603412,280961024
1594603415,282009600
1594603418,283058176
1594603421,284106752
1594603424,292495360
1594603427,293543936
1594603430,294592512
1594603433,302981120
1594603436,302981120
1594603439,304029696
1594603442,305078272
1594603445,305078272
1594603448,306126848
1594603451,307175424
1594603454,308224000
1594603457,316612608
1594603460,317661184
1594603463,318709760
1594603466,318709760
1594603469,319758336
1594603472,320806912
1594603475,321855488
1594603478,321855488
1594603481,322904064
1594603484,63540656
1594603487,64589232
1594603490,64589232
1594603493,72977840
1594603496,74026416
1594603499,75074992
1594603502,75074992
1594603505,76123568
1594603508,77172144
1594603511,78220720
1594603514,78220720
1594603517,79269296
1594603520,80317872
1594603523,81366448
1594603526,81366448
1594603529,82415024
1594603532,83463600
1594603535,83463600
1594603538,84512176
1594603541,85560752
1594603544,94997936
1594603547,96046512
1594603550,96046512
1594603553,104435120
1594603556,105483696
1594603559,105483696
1594603562,106532272
1594603565,107580848
1594603568,107580848
1594603571,108629424
1594603574,109678000
1594603577,109678000
1594603580,110726576
1594603583,111775152
1594603586,112823728
1594603589,112823728
1594603592,113872304
1594603595,114920880
1594603598,115969456
1594603601,115969456
1594603604,126455216
1594603607,126455216
1594603610,127503792
1594603613,134843824
1594603616,135892400
1594603619,136940976
1594603622,136940976
1594603625,137989552
1594603628,139038128
1594603631,140086704
1594603634,140086704
1594603637,141135280
1594603640,142183856
1594603643,143232432
1594603646,143232432
1594603649,144281008
1594603652,145329584
1594603655,145329584
1594603658,146378160
1594603661,147426736
1594603664,156863920
1594603667,156863920
1594603670,157912496
1594603673,166301104
1594603676,166301104
1594603679,167349680
1594603682,168398256
1594603685,169446832
1594603688,169446832
1594603691,170495408
1594603694,171543984
1594603697,172592560
1594603700,173641136
1594603703,173641136
1594603706,174689712
1594603709,175738288
1594603712,175738288
1594603715,176786864
1594603718,177835440
1594603721,178884016
1594603724,187272624
1594603727,188321200
1594603730,189369776
1594603733,196709808
1594603736,197758384
1594603739,198806960
1594603742,198806960
1594603745,199855536
1594603748,200904112
1594603751,201952688
1594603754,201952688
1594603757,203001264
1594603760,204049840
1594603763,205098416
1594603766,205098416
1594603769,206146992
1594603772,207195568
1594603775,207195568
1594603778,208244144
1594603781,209292720
1594603784,218729904
1594603787,218729904
1594603790,219778480
1594603793,227118512
1594603796,228167088
1594603799,229215664
1594603802,229215664
1594603805,230264240
1594603808,231312816
1594603811,232361392
1594603814,232361392
1594603817,233409968
1594603820,234458544
1594603823,235507120
1594603826,235507120
1594603829,236555696
1594603832,237604272
1594603835,238652848
1594603838,238652848
1594603841,239701424
1594603844,249138608
1594603847,249138608
1594603850,250187184
1594603853,258575792
1594603856,259624368
1594603859,259624368
1594603862,260672944
1594603865,261721520
1594603868,261721520
1594603871,262770096
1594603874,263818672
