t,value
1594603256,9978
1594603259,10298
1594603262,10298
1594603265,10477
1594603268,10515
1594603271,10559
1594603274,18435
1594603277,18435
1594603280,18435
1594603283,18435
1594603286,18435
1594603289,18577
1594603292,18577
1594603295,18577
1594603298,18577
1594603301,18577
1594603304,18577
1594603307,18577
1594603310,18577
1594603313,17954
1594603316,17954
1594603319,17954
1594603322,17954
1594603325,17954
1594603328,17954
1594603331,17954
1594603334,17954
1594603337,17954
1594603340,17954
1594603343,17954
1594603346,17954
1594603349,17954
1594603352,17954
1594603355,17954
1594603358,17954
1594603361,17954
1594603364,17954
1594603367,17954
1594603370,17954
1594603373,17954
1594603376,17954
1594603379,17954
1594603382,17954
1594603385,17954
1594603388,17954
1594603391,17954
1594603394,17954
1594603397,17954
1594603400,17954
1594603403,17954
1594603406,19569
1594603409,19569
1594603412,19569
1594603415,19569
1594603418,19569
1594603421,19569
1594603424,19569
1594603427,19569
1594603430,19569
1594603433,19569
1594603436,19569
1594603439,19569
1594603442,19569
1594603445,19569
1594603448,19569
1594603451,19569
1594603454,19569
1594603457,20659
1594603460,20659
1594603463,20659
1594603466,20659
1594603469,20659
1594603472,20659
1594603475,20659
1594603478,20659
1594603481,20659
1594603484,20659
1594603487,20659
1594603490,20659
1594603493,20659
1594603496,20659
1594603499,20659
1594603502,20659
1594603505,20659
1594603508,20659
1594603511,20659
1594603514,20659
1594603517,20659
1594603520,20659
1594603523,20659
1594603526,20659
1594603529,20659
1594603532,20659
1594603535,20659
1594603538,20659
1594603541,20659
1594603544,20659
1594603547,20659
1594603550,20659
1594603553,20659
1594603556,20659
1594603559,20659
1594603562,20659
1594603565,20659
1594603568,20659
1594603571,20659
1594603574,20659
1594603577,20659
1594603580,20659
1594603583,20659
1594603586,20659
1594603589,20659
1594603592,20659
1594603595,20659
1594603598,20659
1594603601,20659
1594603604,20659
1594603607,20659
1594603610,20659
1594603613,20659
1594603616,20659
1594603619,20659
1594603622,20659
1594603625,20659
1594603628,20659
1594603631,20659
1594603634,20659
1594603637,20659
1594603640,20659
1594603643,20659
1594603646,20659
1594603649,20659
1594603652,20659
1594603655,20659
1594603658,20659
1594603661,20659
1594603664,20659
1594603667,20659
1594603670,20659
1594603673,20659
1594603676,20659
1594603679,20659
1594603682,20659
1594603685,20659
1594603688,20659
1594603691,20659
1594603694,20659
1594603697,20659
1594603700,20659
1594603703,20659
1594603706,20659
1594603709,20659
1594603712,20659
1594603715,20659
1594603718,20659
1594603721,20659
1594603724,20659
1594603727,20659
1594603730,20659
1594603733,20659
1594603736,20659
1594603739,20659
1594603742,20659
1594603745,20659
1594603748,20659
1594603751,20659
1594603754,20659
1594603757,20659
1594603760,20659
1594603763,20659
1594603766,20659
1594603769,20659
1594603772,20659
1594603775,20659
1594603778,20659
1594603781,20659
1594603784,20659
1594603787,20659
1594603790,20659
1594603793,20659
1594603796,20659
1594603799,20659
1594603802,20659
1594603805,20659
1594603808,20659
1594603811,20659
1594603814,20659
1594603817,20659
1594603820,20659
1594603823,20659
1594603826,20659
1594603829,20659
1594603832,20659
1594603835,20659
1594603838,20659
1594603841,20659
1594603844,20659
1594603847,20659
1594603850,20659
1594603853,20659
1594603856,20659
1594603859,20659
1594603862,20659
1594603865,20659
1594603868,20659
1594603871,20659
1594603874,20659
1594603877,20659
1594603880,20659
1594603883,20659
1594603886,20659
1594603889,20659
1594603892,20659
1594603895,20659
1594603898,20659
1594603901,20659
1594603904,20659
1594603907,20659
1594603910,20659
1594603913,20659
1594603916,20659
1594603919,20659
1594603922,20659
1594603925,20659
1594603928,20659
1594603931,20659
1594603934,20659
1594603937,20659
1594603940,20659
1594603943,20659
1594603946,20659
1594603949,20659
1594603952,20659
1594603955,20659
1594603958,20659
1594603961,20659
1594603964,20659
1594603967,20659
1594603970,20659
1594603973,20659
1594603976,20659
1594603979,20659
1594603982,20659
1594603985,20659
1594603988,20659
1594603991,20659
1594603994,20659
1594603997,20659
1594604000,20659
1594604003,20659
1594604006,20659
1594604009,20659
1594604012,20659
1594604015,20659
1594604018,20659
1594604021,20659
1594604024,20659
1594604027,20659
1594604030,20659
1594604033,20659
1594604036,20659
1594604039,20659
1594604042,20659
1594604045,20659
1594604048,20659
1594604051,20659
1594604054,20659
1594604057,20659
1594604060,20659
1594604063,20659
1594604066,20659
1594604069,20659
1594604072,20659
1594604075,20659
1594604078,20659
1594604081,20659
1594604084,20659
1594604087,20659
1594604090,20659
1594604093,20659
1594604096,20659
1594604099,20659
1594604102,20659
1594604105,20659
1594604108,20659
1594604111,20659
1594604114,20659
1594604117,20659
1594604120,20659
1594604123,20659
1594604126,20659
1594604129,20659
1594604132,20659
1594604135,20659
1594604138,20659
1594604141,20659
1594604144,20659
1594604147,20659
1594604150,20659
1594604153,20659
1594604156,20659
1594604159,20659
1594604162,20659
1594604165,20659
1594604168,20659
1594604171,20659
1594604174,20659
1594604177,20659
1594604180,20659
1594604183,20659
1594604186,20659
1594604189,20659
1594604192,20659
1594604195,20659
1594604198,20659
1594604201,20659
1594604204,20659
1594604207,20659
1594604210,20659
1594604213,20659
1594604216,20659
1594604219,20659
1594604222,20659
1594604225,20659
1594604228,20659
1594604231,20659
1594604234,20659
1594604237,20659
1594604240,20659
1594604243,20659
1594604246,20659
1594604249,20659
1594604252,20659
1594604255,20659
1594604258,20659
1594604261,20659
1594604264,20659
1594604267,20659
1594604270,20659
1594604273,20659
1594604276,20659
1594604279,20659
1594604282,20659
1594604285,20659
1594604288,20659
1594604291,20659
1594604294,20659
1594604297,20659
1594604300,20659
1594604303,20857
1594604306,20857
1594604309,20857
1594604312,20857
1594604315,20857
1594604318,20857
1594604321,20857
1594604324,20857
1594604327,20857
1594604330,20857
1594604333,20857
1594604336,20857
1594604339,20857
1594604342,20857
1594604345,20857
1594604348,20857
1594604351,20857
1594604354,20857
1594604357,20857
1594604360,20857
1594604363,20857
1594604366,20857
1594604369,20857
1594604372,20857
1594604375,20857
1594604378,20857
1594604381,20857
1594604384,20857
1594604387,20857
1594604390,20857
1594604393,20857
1594604396,20857
1594604399,20857
1594604402,20857
1594604405,20857
1594604408,20857
1594604411,20857
1594604414,20857
1594604417,20857
1594604420,20857
1594604423,20857
1594604426,20857
1594604429,20857
1594604432,20857
1594604435,20857
1594604438,20857
1594604441,20857
1594604444,20857
1594604447,20857
1594604450,20857
1594604453,20857
1594604456,20857
1594604459,20857
1594604462,20857
1594604465,20857
1594604468,20857
1594604471,20857
1594604474,20857
1594604477,20857
1594604480,20857
1594604483,20857
1594604486,20857
1594604489,20857
1594604492,20857
1594604495,20857
1594604498,20857
1594604501,20857
1594604504,20857
1594604507,20857
1594604510,20857
1594604513,20857
1594604516,20857
1594604519,20857
1594604522,20857
1594604525,20857
1594604528,20857
1594604531,20857
1594604534,20857
1594604537,20857
1594604540,20857
1594604543,20857
1594604546,20857
1594604549,20857
1594604552,20857
1594604555,20857
1594604558,20857
1594604561,20857
1594604564,20857
1594604567,20857
1594604570,20857
1594604573,20857
1594604576,20857
1594604579,20857
1594604582,20857
1594604585,20857
1594604588,20857
1594604591,20857
1594604594,20857
1594604597,20857
1594604600,20857
1594604603,20857
1594604606,20857
1594604609,20857
1594604612,20857
1594604615,20857
1594604618,20857
1594604621,20857
1594604624,20857
1594604627,20858
1594604630,20858
1594604633,20858
1594604636,20858
1594604639,20858
1594604642,20858
1594604645,20858
1594604648,20858
1594604651,20858
1594604654,20858
1594604657,20858
1594604660,20858
1594604663,20858
1594604666,20858
1594604669,20858
1594604672,20858
1594604675,20858
1594604678,20858
1594604681,20858
1594604684,20858
1594604687,20858
1594604690,20858
1594604693,20858
1594604696,20858
1594604699,20858
1594604702,20858
1594604705,20858
1594604708,20858
1594604711,20858
1594604714,20858
1594604717,20858
1594604720,20858
1594604723,20858
1594604726,20858
1594604729,20858
1594604732,20858
1594604735,20858
1594604738,20858
1594604741,20858
1594604744,20858
1594604747,20858
1594604750,20858
1594604753,20858
1594604756,20858
1594604759,20858
1594604762,20858
1594604765,20858
1594604768,20858
1594604771,20858
1594604774,20858
1594604777,20858
1594604780,20858
1594604783,20858
1594604786,20858
1594604789,20858
1594604792,20858
1594604795,20858
1594604798,20858
1594604801,20858
1594604804,20858
1594604807,20858
1594604810,20858
1594604813,20858
1594604816,20858
1594604819,20858
1594604822,20858
1594604825,20858
1594604828,20858
1594604831,20858
1594604834,20858
1594604837,20858
1594604840,20858
1594604843,20858
1594604846,20858
1594604849,20858
1594604852,20858
1594604855,20858
1594604858,20858
1594604861,20858
1594604864,20858
1594604867,20858
1594604870,20858
1594604873,20858
1594604876,20858
1594604879,20858
1594604882,20858
1594604885,20858
1594604888,20858
1594604891,20858
1594604894,20858
1594604897,20858
1594604900,20858
1594604903,20858
1594604906,20858
1594604909,20858
1594604912,20858
1594604915,20858
1594604918,20858
1594604921,20858
1594604924,20858
1594604927,20858
1594604930,20858
1594604933,20858
1594604936,20858
1594604939,20858
1594604942,20858
1594604945,20858
1594604948,20858
1594604951,20858
1594604954,20858
1594604957,20858
1594604960,20858
1594604963,20858
1594604966,20858
1594604969,20858
1594604972,20858
1594604975,20858
1594604978,20858
1594604981,20858
1594604984,20858
1594604987,20858
1594604990,20858
1594604993,20858
1594604996,20858
1594604999,20858
1594605002,20858
1594605005,20858
1594605008,20858
1594605011,20858
1594605014,20858
1594605017,20858
1594605020,20858
1594605023,20858
1594605026,20858
1594605029,20858
1594605032,20858
1594605035,20858
1594605038,20858
1594605041,20858
1594605044,20858
1594605047,20858
1594605050,20858
1594605053,20858
1594605056,20858
1594605059,20858
1594605062,20858
1594605065,20858
1594605068,20858
1594605071,20858
1594605074,20858
1594605077,20858
1594605080,20858
1594605083,20858
1594605086,20858
1594605089,20858
1594605092,20858
1594605095,20858
1594605098,20858
1594605101,20858
1594605104,20858
1594605107,20858
1594605110,20858
1594605113,20858
1594605116,20858
1594605119,20858
1594605122,20858
1594605125,20858
1594605128,20858
1594605131,20858
1594605134,20858
1594605137,20858
1594605140,20858
1594605143,20858
1594605146,20858
1594605149,20858
1594605152,20858
1594605155,20858
1594605158,20858
1594605161,20858
1594605164,20858
1594605167,20858
1594605170,20858
1594605173,20858
1594605176,20858
1594605179,20858
1594605182,20858
1594605185,20858
1594605188,20858
1594605191,20858
1594605194,20858
1594605197,20858
1594605200,20858
1594605203,20858
1594605206,20858
1594605209,20858
1594605212,20858
1594605215,20858
1594605218,20858
1594605221,20858
1594605224,20858
1594605227,20858
1594605230,20858
1594605233,20858
1594605236,20858
1594605239,20858
1594605242,20858
1594605245,20858
1594605248,20858
1594605251,20858
1594605254,20858
1594605257,20858
1594605260,20858
1594605263,20858
1594605266,20858
1594605269,20858
1594605272,20858
1594605275,20858
1594605278,20858
1594605281,20858
1594605284,20858
1594605287,20858
1594605290,20858
1594605293,20858
1594605296,20858
1594605299,20858
1594605302,20858
1594605305,20858
1594605308,20858
1594605311,20858
1594605314,20858
1594605317,20858
1594605320,20858
1594605323,20858
1594605326,20858
1594605329,20858
1594605332,20858
1594605335,20858
1594605338,20858
1594605341,20858
1594605344,20858
1594605347,20858
1594605350,20858
1594605353,20858
1594605356,20858
1594605359,20858
1594605362,20858
1594605365,20858
1594605368,20858
1594605371,20858
1594605374,20858
1594605377,20858
1594605380,20858
1594605383,20858
1594605386,20858
1594605389,20858
1594605392,20858
1594605395,20858
1594605398,20858
1594605401,20858
1594605404,20858
1594605407,20858
1594605410,20858
1594605413,20858
1594605416,20858
1594605419,20858
1594605422,20858
1594605425,20858
1594605428,20858
1594605431,20858
1594605434,20858
1594605437,20858
1594605440,20858
1594605443,20858
1594605446,20858
1594605449,20858
1594605452,20858
1594605455,20858
1594605458,20858
1594605461,20858
1594605464,20858
1594605467,20858
1594605470,20858
1594605473,20858
1594605476,20858
1594605479,20858
1594605482,20858
1594605485,20858
1594605488,20858
1594605491,20858
1594605494,20858
1594605497,20858
1594605500,20858
1594605503,20858
1594605506,20858
1594605509,20858
1594605512,20858
1594605515,20858
1594605518,20858
1594605521,20858
1594605524,20858
1594605527,20858
1594605530,20858
1594605533,20858
1594605536,20858
1594605539,20858
1594605542,20858
1594605545,20858
1594605548,20858
1594605551,20858
1594605554,20858
1594605557,20858
1594605560,20858
1594605563,20858
1594605566,20858
1594605569,20858
1594605572,20858
1594605575,20858
1594605578,20858
1594605581,20858
1594605584,20858
1594605587,20858
1594605590,20858
1594605593,20858
1594605596,20858
1594605599,20858
1594605602,20858
1594605605,20858
1594605608,20858
1594605611,20858
1594605614,20858
1594605617,20858
1594605620,20858
1594605623,20858
1594605626,20858
1594605629,20858
1594605632,20858
1594605635,20858
1594605638,20858
1594605641,20858
1594605644,20858
1594605647,20858
1594605650,20858
1594605653,20858
1594605656,20858
1594605659,20858
1594605662,20858
1594605665,20858
1594605668,20858
1594605671,20858
1594605674,20858
1594605677,20858
1594605680,20858
1594605683,20858
1594605686,20858
1594605689,20858
1594605692,20858
1594605695,20858
1594605698,20858
1594605701,20858
1594605704,20858
1594605707,20858
1594605710,20858
1594605713,20858
1594605716,20858
1594605719,20858
1594605722,20858
1594605725,20858
1594605728,20858
1594605731,20858
1594605734,20858
1594605737,20858
1594605740,20858
1594605743,20858
1594605746,20858
1594605749,20858
1594605752,20858
1594605755,20858
1594605758,20858
1594605761,20858
1594605764,20858
1594605767,20858
1594605770,20858
1594605773,20858
1594605776,20858
1594605779,20858
1594605782,20858
1594605785,20858
1594605788,20858
1594605791,20858
1594605794,20858
1594605797,20858
1594605800,20858
1594605803,20858
1594605806,20858
1594605809,20858
1594605812,20858
1594605815,20858
1594605818,20858
1594605821,20858
1594605824,20858
1594605827,20858
1594605830,20858
1594605833,20858
1594605836,20858
1594605839,20858
1594605842,20858
1594605845,20858
1594605848,20858
1594605851,20858
1594605854,20858
1594605857,20858
1594605860,20858
1594605863,20858
1594605866,20858
1594605869,20858
1594605872,20858
1594605875,20858
1594605878,20858
1594605881,20858
1594605884,20858
1594605887,20858
1594605890,20858
1594605893,20858
1594605896,20858
1594605899,20858
1594605902,20858
1594605905,20858
1594605908,20858
1594605911,20858
1594605914,20858
1594605917,20858
1594605920,20858
1594605923,20858
1594605926,20858
1594605929,20858
1594605932,20858
1594605935,20858
1594605938,20858
1594605941,20858
1594605944,20858
1594605947,20858
1594605950,20858
1594605953,20858
1594605956,20858
1594605959,20858
1594605962,20858
1594605965,20858
1594605968,20858
1594605971,20858
1594605974,20858
1594605977,20858
1594605980,20858
1594605983,20858
1594605986,20858
1594605989,20858
1594605992,20858
1594605995,20858
1594605998,20858
1594606001,20858
1594606004,20858
1594606007,20858
1594606010,20858
1594606013,20858
1594606016,20858
1594606019,20858
1594606022,20858
1594606025,20858
1594606028,20858
1594606031,20858
1594606034,20858
1594606037,20858
1594606040,20858
1594606043,20858
1594606046,20858
1594606049,20858
1594606052,20858
1594606055,20858
1594606058,20858
1594606061,20858
1594606064,20858
1594606067,20858
1594606070,20858
1594606073,20858
1594606076,20858
1594606079,20858
1594606082,20858
1594606085,20858
1594606088,20858
1594606091,20858
1594606094,20858
1594606097,20858
1594606100,20858
1594606103,20858
1594606106,21050
