t,value
1594603256,10
1594603259,12
1594603262,12
1594603265,12
1594603268,12
1594603271,12
1594603274,12
1594603277,12
1594603280,12
1594603283,12
1594603286,12
1594603289,13
1594603292,13
1594603295,13
1594603298,13
1594603301,13
1594603304,13
1594603307,13
1594603310,13
1594603313,11
1594603316,11
1594603319,11
1594603322,11
1594603325,11
1594603328,11
1594603331,11
1594603334,11
1594603337,11
1594603340,11
1594603343,11
1594603346,11
1594603349,11
1594603352,11
1594603355,11
1594603358,11
1594603361,11
1594603364,11
1594603367,11
1594603370,11
1594603373,11
1594603376,11
1594603379,11
1594603382,11
1594603385,11
1594603388,11
1594603391,11
1594603394,11
1594603397,11
1594603400,11
1594603403,11
1594603406,14
1594603409,14
1594603412,14
1594603415,14
1594603418,14
1594603421,14
1594603424,14
1594603427,14
1594603430,14
1594603433,14
1594603436,14
1594603439,14
1594603442,14
1594603445,14
1594603448,14
1594603451,14
1594603454,14
1594603457,15
1594603460,15
1594603463,15
1594603466,15
1594603469,15
1594603472,15
1594603475,15
1594603478,15
1594603481,15
1594603484,15
1594603487,15
1594603490,15
1594603493,15
1594603496,15
1594603499,15
1594603502,15
1594603505,15
1594603508,15
1594603511,15
1594603514,15
1594603517,15
1594603520,15
1594603523,15
1594603526,15
1594603529,15
1594603532,15
1594603535,15
1594603538,15
1594603541,15
1594603544,15
1594603547,15
1594603550,15
1594603553,15
1594603556,15
1594603559,15
1594603562,15
1594603565,15
1594603568,15
1594603571,15
1594603574,15
1594603577,15
1594603580,15
1594603583,15
1594603586,15
1594603589,15
1594603592,15
1594603595,15
1594603598,15
1594603601,15
1594603604,15
1594603607,15
1594603610,15
1594603613,15
1594603616,15
1594603619,15
1594603622,15
1594603625,15
1594603628,15
1594603631,15
1594603634,15
1594603637,15
1594603640,15
1594603643,15
1594603646,15
1594603649,15
1594603652,15
1594603655,15
1594603658,15
1594603661,15
1594603664,15
1594603667,15
1594603670,15
1594603673,15
1594603676,15
1594603679,15
1594603682,15
1594603685,15
1594603688,15
1594603691,15
1594603694,15
1594603697,15
1594603700,15
1594603703,15
1594603706,15
1594603709,15
1594603712,15
1594603715,15
1594603718,15
1594603721,15
1594603724,15
1594603727,15
1594603730,15
1594603733,15
1594603736,15
1594603739,15
1594603742,15
1594603745,15
1594603748,15
1594603751,15
1594603754,15
1594603757,15
1594603760,15
1594603763,15
1594603766,15
1594603769,15
1594603772,15
1594603775,15
1594603778,15
1594603781,15
1594603784,15
1594603787,15
1594603790,15
1594603793,15
1594603796,15
1594603799,15
1594603802,15
1594603805,15
1594603808,15
1594603811,15
1594603814,15
1594603817,15
1594603820,15
1594603823,15
1594603826,15
1594603829,15
1594603832,15
1594603835,15
1594603838,15
1594603841,15
1594603844,15
1594603847,15
1594603850,15
1594603853,15
1594603856,15
1594603859,15
1594603862,15
1594603865,15
1594603868,15
1594603871,15
1594603874,15
1594603877,15
1594603880,15
1594603883,15
1594603886,15
1594603889,15
