t,value
1594603256,9979
1594603259,10299
1594603262,10299
1594603265,10478
1594603268,10516
1594603271,10560
1594603274,18436
1594603277,18436
1594603280,18436
1594603283,18436
1594603286,18436
1594603289,18578
1594603292,18578
1594603295,18578
1594603298,18578
1594603301,18578
1594603304,18578
1594603307,18578
1594603310,18578
1594603313,17955
1594603316,17955
1594603319,17955
1594603322,17955
1594603325,17955
1594603328,17955
1594603331,17955
1594603334,17955
1594603337,17955
1594603340,17955
1594603343,17955
1594603346,17955
1594603349,17955
1594603352,17955
1594603355,17955
1594603358,17955
1594603361,17955
1594603364,17955
1594603367,17955
1594603370,17955
1594603373,17955
1594603376,17955
1594603379,17955
1594603382,17955
1594603385,17955
1594603388,17955
1594603391,17955
1594603394,17955
1594603397,17955
1594603400,17955
1594603403,17955
1594603406,19570
1594603409,19570
1594603412,19570
1594603415,19570
1594603418,19570
1594603421,19570
1594603424,19570
1594603427,19570
1594603430,19570
1594603433,19570
1594603436,19570
1594603439,19570
1594603442,19570
1594603445,19570
1594603448,19570
1594603451,19570
1594603454,19570
1594603457,20660
1594603460,20660
1594603463,20660
1594603466,20660
1594603469,20660
1594603472,20660
1594603475,20660
1594603478,20660
1594603481,20660
1594603484,20660
1594603487,20660
1594603490,20660
1594603493,20660
1594603496,20660
1594603499,20660
1594603502,20660
1594603505,20660
1594603508,20660
1594603511,20660
1594603514,20660
1594603517,20660
1594603520,20660
1594603523,20660
1594603526,20660
1594603529,20660
1594603532,20660
1594603535,20660
1594603538,20660
1594603541,20660
1594603544,20660
1594603547,20660
1594603550,20660
1594603553,20660
1594603556,20660
1594603559,20660
1594603562,20660
1594603565,20660
1594603568,20660
1594603571,20660
1594603574,20660
1594603577,20660
1594603580,20660
1594603583,20660
1594603586,20660
1594603589,20660
1594603592,20660
1594603595,20660
1594603598,20660
1594603601,20660
1594603604,20660
1594603607,20660
1594603610,20660
1594603613,20660
1594603616,20660
1594603619,20660
1594603622,20660
1594603625,20660
1594603628,20660
1594603631,20660
1594603634,20660
1594603637,20660
1594603640,20660
1594603643,20660
1594603646,20660
1594603649,20660
1594603652,20660
1594603655,20660
1594603658,20660
1594603661,20660
1594603664,20660
1594603667,20660
1594603670,20660
1594603673,20660
1594603676,20660
1594603679,20660
1594603682,20660
1594603685,20660
1594603688,20660
1594603691,20660
1594603694,20660
1594603697,20660
1594603700,20660
1594603703,20660
1594603706,20660
1594603709,20660
1594603712,20660
1594603715,20660
1594603718,20660
1594603721,20660
1594603724,20660
1594603727,20660
1594603730,20660
1594603733,20660
1594603736,20660
1594603739,20660
1594603742,20660
1594603745,20660
1594603748,20660
1594603751,20660
1594603754,20660
1594603757,20660
1594603760,20660
1594603763,20660
1594603766,20660
1594603769,20660
1594603772,20660
1594603775,20660
1594603778,20660
1594603781,20660
1594603784,20660
1594603787,20660
1594603790,20660
1594603793,20660
1594603796,20660
1594603799,20660
1594603802,20660
1594603805,20660
1594603808,20660
1594603811,20660
1594603814,20660
1594603817,20660
1594603820,20660
1594603823,20660
1594603826,20660
1594603829,20660
1594603832,20660
1594603835,20660
1594603838,20660
1594603841,20660
1594603844,20660
1594603847,20660
1594603850,20660
1594603853,20660
1594603856,20660
1594603859,20660
1594603862,20660
1594603865,20660
1594603868,20660
1594603871,20660
1594603874,20660
1594603877,20660
1594603880,20660
1594603883,20660
1594603886,20660
1594603889,20660
1594603892,20660
1594603895,20660
1594603898,20660
1594603901,20660
1594603904,20660
1594603907,20660
1594603910,20660
1594603913,20660
1594603916,20660
1594603919,20660
1594603922,20660
1594603925,20660
1594603928,20660
1594603931,20660
1594603934,20660
1594603937,20660
1594603940,20660
1594603943,20660
1594603946,20660
1594603949,20660
1594603952,20660
1594603955,20660
1594603958,20660
1594603961,20660
1594603964,20660
1594603967,20660
1594603970,20660
1594603973,20660
1594603976,20660
1594603979,20660
1594603982,20660
1594603985,20660
1594603988,20660
1594603991,20660
1594603994,20660
1594603997,20660
1594604000,20660
1594604003,20660
1594604006,20660
1594604009,20660
1594604012,20660
1594604015,20660
1594604018,20660
1594604021,20660
1594604024,20660
1594604027,20660
1594604030,20660
1594604033,20660
1594604036,20660
1594604039,20660
1594604042,20660
1594604045,20660
1594604048,20660
1594604051,20660
1594604054,20660
1594604057,20660
1594604060,20660
1594604063,20660
1594604066,20660
1594604069,20660
1594604072,20660
1594604075,20660
1594604078,20660
1594604081,20660
1594604084,20660
1594604087,20660
1594604090,20660
1594604093,20660
1594604096,20660
1594604099,20660
1594604102,20660
1594604105,20660
1594604108,20660
1594604111,20660
1594604114,20660
1594604117,20660
1594604120,20660
1594604123,20660
1594604126,20660
1594604129,20660
1594604132,20660
1594604135,20660
1594604138,20660
1594604141,20660
1594604144,20660
1594604147,20660
1594604150,20660
1594604153,20660
1594604156,20660
1594604159,20660
1594604162,20660
1594604165,20660
1594604168,20660
1594604171,20660
1594604174,20660
1594604177,20660
1594604180,20660
1594604183,20660
1594604186,20660
1594604189,20660
1594604192,20660
1594604195,20660
1594604198,20660
1594604201,20660
1594604204,20660
1594604207,20660
1594604210,20660
1594604213,20660
1594604216,20660
1594604219,20660
1594604222,20660
1594604225,20660
1594604228,20660
1594604231,20660
1594604234,20660
1594604237,20660
1594604240,20660
1594604243,20660
1594604246,20660
1594604249,20660
1594604252,20660
1594604255,20660
1594604258,20660
1594604261,20660
1594604264,20660
1594604267,20660
1594604270,20660
1594604273,20660
1594604276,20660
1594604279,20660
1594604282,20660
1594604285,20660
1594604288,20660
1594604291,20660
1594604294,20660
1594604297,20660
1594604300,20660
