t,value
1594603256,1429376
1594603259,1447040
1594603262,1453184
1594603265,1464576
1594603268,1495808
1594603271,1495808
1594603274,1495808
1594603277,1497856
1594603280,1497856
1594603283,1497856
1594603286,1497856
1594603289,1497856
1594603292,1497856
1594603295,1497856
1594603298,1497856
1594603301,1497856
1594603304,1497856
1594603307,1497856
1594603310,1497856
1594603313,1497856
1594603316,1497856
1594603319,1497856
1594603322,1497856
1594603325,1497856
1594603328,1497856
1594603331,1497856
1594603334,1497856
1594603337,1497856
1594603340,1497856
1594603343,1497856
1594603346,1497856
1594603349,1497856
1594603352,1497856
1594603355,1497856
1594603358,1497856
1594603361,1497856
1594603364,1497856
1594603367,1497856
1594603370,1497856
1594603373,1497856
1594603376,1497856
1594603379,1497856
1594603382,1497856
1594603385,1497856
1594603388,1497856
1594603391,1497856
1594603394,1497856
1594603397,1497856
1594603400,1497856
1594603403,1501696
1594603406,1509632
1594603409,1509632
1594603412,1509632
1594603415,1509632
1594603418,1509632
1594603421,1509632
1594603424,1509632
1594603427,1509632
1594603430,1509632
1594603433,1509632
1594603436,1509632
1594603439,1509632
1594603442,1509632
1594603445,1509632
1594603448,1509632
1594603451,1509632
1594603454,1509632
1594603457,1509632
1594603460,1509632
1594603463,1509632
1594603466,1509632
1594603469,1509632
1594603472,1509632
1594603475,1509632
1594603478,1509632
1594603481,1509632
1594603484,1509632
1594603487,1509632
1594603490,1509632
1594603493,1509632
1594603496,1509632
1594603499,1509632
1594603502,1509632
1594603505,1509632
1594603508,1509632
1594603511,1509632
1594603514,1509632
1594603517,1509632
1594603520,1509632
1594603523,1509632
1594603526,1509632
1594603529,1509632
1594603532,1509632
1594603535,1509632
1594603538,1509632
1594603541,1509632
1594603544,1509632
1594603547,1509632
1594603550,1509632
1594603553,1509632
1594603556,1509632
1594603559,1509632
1594603562,1521536
1594603565,1509632
1594603568,1509632
1594603571,1509632
1594603574,1509632
1594603577,1509632
1594603580,1509632
1594603583,1509632
1594603586,1509632
1594603589,1509632
1594603592,1509632
1594603595,1509632
1594603598,1509632
1594603601,1509632
1594603604,1509632
1594603607,1509632
1594603610,1509632
1594603613,1509632
1594603616,1509632
1594603619,1509632
1594603622,1509632
1594603625,1509632
1594603628,1509632
1594603631,1509632
1594603634,1509632
1594603637,1509632
1594603640,1509632
1594603643,1509632
1594603646,1509632
1594603649,1509632
1594603652,1509632
1594603655,1509632
1594603658,1509632
1594603661,1509632
1594603664,1509632
1594603667,1509632
1594603670,1509632
1594603673,1509632
1594603676,1509632
1594603679,1509632
1594603682,1509632
1594603685,1509632
1594603688,1509632
1594603691,1509632
1594603694,1509632
1594603697,1509632
1594603700,1509632
1594603703,1509632
1594603706,1509632
1594603709,1509632
1594603712,1509632
1594603715,1509632
1594603718,1509632
1594603721,1509632
1594603724,1509632
1594603727,1509632
1594603730,1509632
1594603733,1509632
1594603736,1509632
1594603739,1509632
1594603742,1509632
1594603745,1509632
1594603748,1509632
1594603751,1509632
1594603754,1509632
1594603757,1509632
1594603760,1509632
1594603763,1509632
1594603766,1509632
1594603769,1509632
1594603772,1509632
1594603775,1509632
1594603778,1509632
1594603781,1509632
1594603784,1509632
1594603787,1509632
1594603790,1509632
1594603793,1509632
1594603796,1509632
1594603799,1509632
1594603802,1509632
1594603805,1509632
1594603808,1509632
1594603811,1509632
1594603814,1509632
1594603817,1509632
1594603820,1509632
1594603823,1509632
1594603826,1509632
1594603829,1509632
1594603832,1509632
1594603835,1509632
1594603838,1509632
1594603841,1509632
1594603844,1509632
1594603847,1509632
1594603850,1509632
1594603853,1509632
1594603856,1509632
1594603859,1509632
1594603862,1509632
1594603865,1509632
1594603868,1509632
1594603871,1509632
1594603874,1509632
1594603877,1509632
1594603880,1509632
1594603883,1509632
1594603886,1509632
1594603889,1509632
1594603892,1509632
1594603895,1509632
1594603898,1509632
1594603901,1509632
1594603904,1509632
1594603907,1509632
1594603910,1509632
1594603913,1509632
1594603916,1509632
1594603919,1509632
1594603922,1509632
1594603925,1509632
1594603928,1509632
1594603931,1509632
1594603934,1509632
1594603937,1509632
1594603940,1509632
1594603943,1509632
1594603946,1509632
1594603949,1509632
1594603952,1509632
1594603955,1509632
1594603958,1509632
1594603961,1509632
1594603964,1509632
1594603967,1509632
1594603970,1509632
1594603973,1509632
1594603976,1509632
1594603979,1509632
1594603982,1509632
1594603985,1509632
1594603988,1509632
1594603991,1509632
1594603994,1509632
1594603997,1509632
1594604000,1509632
1594604003,1509632
1594604006,1509632
1594604009,1509632
1594604012,1509632
1594604015,1509632
1594604018,1509632
1594604021,1509632
1594604024,1509632
1594604027,1509632
1594604030,1509632
1594604033,1509632
1594604036,1509632
1594604039,1509632
1594604042,1509632
1594604045,1509632
1594604048,1509632
1594604051,1509632
1594604054,1509632
1594604057,1509632
1594604060,1509632
1594604063,1509632
1594604066,1509632
1594604069,1509632
1594604072,1509632
1594604075,1509632
1594604078,1509632
1594604081,1509632
1594604084,1509632
1594604087,1509632
1594604090,1509632
1594604093,1509632
1594604096,1509632
1594604099,1509632
1594604102,1509632
1594604105,1509632
1594604108,1509632
1594604111,1509632
1594604114,1509632
1594604117,1509632
1594604120,1509632
1594604123,1509632
1594604126,1509632
1594604129,1509632
1594604132,1509632
1594604135,1509632
1594604138,1509632
1594604141,1509632
1594604144,1509632
1594604147,1509632
1594604150,1509632
1594604153,1509632
1594604156,1509632
1594604159,1509632
1594604162,1509632
1594604165,1509632
1594604168,1509632
1594604171,1509632
1594604174,1509632
1594604177,1509632
1594604180,1509632
1594604183,1509632
1594604186,1509632
1594604189,1509632
1594604192,1509632
1594604195,1509632
1594604198,1509632
1594604201,1509632
1594604204,1509632
1594604207,1509632
1594604210,1509632
1594604213,1509632
1594604216,1509632
1594604219,1509632
1594604222,1509632
1594604225,1509632
1594604228,1509632
1594604231,1509632
1594604234,1509632
1594604237,1509632
1594604240,1509632
1594604243,1509632
1594604246,1509632
1594604249,1509632
1594604252,1509632
1594604255,1509632
1594604258,1509632
1594604261,1509632
1594604264,1509632
1594604267,1509632
1594604270,1509632
1594604273,1509632
1594604276,1509632
1594604279,1509632
1594604282,1509632
1594604285,1509632
1594604288,1509632
1594604291,1509632
1594604294,1509632
1594604297,1509632
1594604300,1509632
1594604303,1512832
1594604306,1512832
1594604309,1512832
1594604312,1512832
1594604315,1512832
1594604318,1512832
1594604321,1512832
1594604324,1512832
1594604327,1512832
1594604330,1512832
1594604333,1512832
1594604336,1512832
1594604339,1512832
1594604342,1512832
1594604345,1512832
1594604348,1512832
1594604351,1512832
1594604354,1512832
1594604357,1512832
1594604360,1512832
1594604363,1512832
1594604366,1512832
1594604369,1512832
1594604372,1512832
1594604375,1512832
1594604378,1512832
1594604381,1512832
1594604384,1512832
1594604387,1512832
1594604390,1512832
1594604393,1512832
1594604396,1512832
1594604399,1512832
1594604402,1512832
1594604405,1512832
1594604408,1512832
1594604411,1512832
1594604414,1512832
1594604417,1512832
1594604420,1512832
1594604423,1512832
1594604426,1512832
1594604429,1512832
1594604432,1512832
1594604435,1512832
1594604438,1512832
1594604441,1512832
1594604444,1512832
1594604447,1512832
1594604450,1512832
1594604453,1512832
1594604456,1512832
1594604459,1512832
1594604462,1512832
1594604465,1512832
1594604468,1512832
1594604471,1512832
1594604474,1512832
1594604477,1512832
1594604480,1512832
1594604483,1512832
1594604486,1512832
1594604489,1512832
1594604492,1512832
1594604495,1512832
1594604498,1512832
1594604501,1512832
1594604504,1512832
1594604507,1512832
1594604510,1512832
1594604513,1512832
1594604516,1512832
1594604519,1512832
1594604522,1512832
1594604525,1512832
1594604528,1512832
1594604531,1512832
1594604534,1512832
1594604537,1512832
1594604540,1512832
1594604543,1512832
1594604546,1512832
1594604549,1512832
1594604552,1512832
1594604555,1512832
1594604558,1512832
1594604561,1512832
1594604564,1512832
1594604567,1512832
1594604570,1512832
1594604573,1512832
1594604576,1512832
1594604579,1512832
1594604582,1512832
1594604585,1512832
1594604588,1512832
1594604591,1512832
1594604594,1512832
1594604597,1512832
1594604600,1512832
1594604603,1512832
1594604606,1512832
1594604609,1512832
1594604612,1512832
1594604615,1512832
1594604618,1512832
1594604621,1512832
1594604624,1512832
1594604627,1512832
1594604630,1512832
1594604633,1512832
1594604636,1512832
1594604639,1512832
1594604642,1512832
1594604645,1512832
1594604648,1512832
1594604651,1512832
1594604654,1512832
1594604657,1512832
1594604660,1512832
1594604663,1512832
1594604666,1512832
1594604669,1512832
1594604672,1512832
1594604675,1512832
1594604678,1512832
1594604681,1512832
1594604684,1512832
1594604687,1512832
1594604690,1512832
1594604693,1512832
1594604696,1512832
1594604699,1512832
1594604702,1512832
1594604705,1512832
1594604708,1512832
1594604711,1512832
1594604714,1512832
1594604717,1512832
1594604720,1512832
1594604723,1512832
1594604726,1512832
1594604729,1512832
1594604732,1512832
1594604735,1512832
1594604738,1512832
1594604741,1512832
1594604744,1512832
1594604747,1512832
1594604750,1512832
1594604753,1512832
1594604756,1512832
1594604759,1512832
1594604762,1512832
1594604765,1512832
1594604768,1512832
1594604771,1512832
1594604774,1512832
1594604777,1512832
1594604780,1512832
1594604783,1512832
1594604786,1512832
1594604789,1512832
1594604792,1512832
1594604795,1512832
1594604798,1512832
1594604801,1512832
1594604804,1512832
1594604807,1512832
1594604810,1512832
1594604813,1512832
1594604816,1512832
1594604819,1512832
1594604822,1512832
1594604825,1512832
1594604828,1512832
1594604831,1512832
1594604834,1512832
1594604837,1512832
1594604840,1512832
1594604843,1512832
1594604846,1512832
1594604849,1512832
1594604852,1512832
1594604855,1512832
1594604858,1512832
1594604861,1512832
1594604864,1512832
1594604867,1512832
1594604870,1512832
1594604873,1512832
1594604876,1512832
1594604879,1512832
1594604882,1512832
1594604885,1512832
1594604888,1512832
1594604891,1512832
1594604894,1512832
1594604897,1512832
1594604900,1512832
1594604903,1512832
1594604906,1512832
1594604909,1512832
1594604912,1512832
1594604915,1512832
1594604918,1512832
1594604921,1512832
1594604924,1512832
1594604927,1512832
1594604930,1512832
1594604933,1512832
1594604936,1512832
1594604939,1512832
1594604942,1512832
1594604945,1512832
1594604948,1512832
1594604951,1512832
1594604954,1512832
1594604957,1512832
1594604960,1512832
1594604963,1512832
1594604966,1512832
1594604969,1512832
1594604972,1512832
1594604975,1512832
1594604978,1512832
1594604981,1512832
1594604984,1512832
1594604987,1512832
1594604990,1512832
1594604993,1512832
1594604996,1512832
1594604999,1512832
1594605002,1512832
1594605005,1512832
1594605008,1512832
1594605011,1512832
1594605014,1512832
1594605017,1512832
1594605020,1512832
1594605023,1512832
1594605026,1512832
1594605029,1512832
1594605032,1512832
1594605035,1512832
1594605038,1512832
1594605041,1512832
1594605044,1512832
1594605047,1512832
1594605050,1512832
1594605053,1512832
1594605056,1512832
1594605059,1512832
1594605062,1512832
1594605065,1512832
1594605068,1512832
1594605071,1512832
1594605074,1512832
1594605077,1512832
1594605080,1512832
1594605083,1512832
1594605086,1512832
1594605089,1512832
1594605092,1512832
1594605095,1512832
1594605098,1512832
1594605101,1512832
1594605104,1512832
1594605107,1512832
1594605110,1512832
1594605113,1512832
1594605116,1512832
1594605119,1512832
1594605122,1512832
1594605125,1512832
1594605128,1512832
1594605131,1512832
1594605134,1512832
1594605137,1512832
1594605140,1512832
1594605143,1512832
1594605146,1512832
1594605149,1512832
1594605152,1512832
1594605155,1512832
1594605158,1512832
1594605161,1512832
1594605164,1512832
1594605167,1512832
1594605170,1512832
1594605173,1512832
1594605176,1512832
1594605179,1512832
1594605182,1512832
1594605185,1512832
1594605188,1512832
1594605191,1512832
1594605194,1512832
1594605197,1512832
1594605200,1512832
1594605203,1512832
1594605206,1512832
1594605209,1512832
1594605212,1512832
1594605215,1512832
1594605218,1512832
1594605221,1512832
1594605224,1512832
1594605227,1512832
1594605230,1512832
1594605233,1512832
1594605236,1512832
1594605239,1512832
1594605242,1512832
1594605245,1512832
1594605248,1512832
1594605251,1512832
1594605254,1512832
1594605257,1512832
1594605260,1512832
1594605263,1512832
1594605266,1512832
1594605269,1512832
1594605272,1512832
1594605275,1512832
1594605278,1512832
1594605281,1512832
1594605284,1512832
1594605287,1512832
1594605290,1512832
1594605293,1512832
1594605296,1512832
1594605299,1512832
1594605302,1512832
1594605305,1512832
1594605308,1512832
1594605311,1512832
1594605314,1512832
1594605317,1512832
1594605320,1512832
1594605323,1512832
1594605326,1512832
1594605329,1512832
1594605332,1512832
1594605335,1512832
1594605338,1512832
1594605341,1512832
1594605344,1512832
1594605347,1512832
1594605350,1512832
1594605353,1512832
1594605356,1512832
1594605359,1512832
1594605362,1512832
1594605365,1512832
1594605368,1512832
1594605371,1512832
1594605374,1512832
1594605377,1512832
1594605380,1512832
1594605383,1512832
1594605386,1512832
1594605389,1512832
1594605392,1512832
1594605395,1512832
1594605398,1512832
1594605401,1512832
1594605404,1512832
1594605407,1512832
1594605410,1512832
1594605413,1512832
1594605416,1512832
1594605419,1512832
1594605422,1512832
1594605425,1512832
1594605428,1512832
1594605431,1512832
1594605434,1512832
1594605437,1512832
1594605440,1512832
1594605443,1512832
1594605446,1512832
1594605449,1512832
1594605452,1512832
1594605455,1512832
1594605458,1512832
1594605461,1512832
1594605464,1512832
1594605467,1512832
1594605470,1512832
1594605473,1512832
1594605476,1512832
1594605479,1512832
1594605482,1512832
1594605485,1512832
1594605488,1512832
1594605491,1512832
1594605494,1512832
1594605497,1512832
1594605500,1512832
1594605503,1512832
1594605506,1512832
1594605509,1512832
1594605512,1512832
1594605515,1512832
1594605518,1512832
1594605521,1512832
1594605524,1512832
1594605527,1512832
1594605530,1512832
1594605533,1512832
1594605536,1512832
1594605539,1512832
1594605542,1512832
1594605545,1512832
1594605548,1512832
1594605551,1512832
1594605554,1512832
1594605557,1512832
1594605560,1512832
1594605563,1512832
1594605566,1512832
1594605569,1512832
1594605572,1512832
1594605575,1512832
1594605578,1512832
1594605581,1512832
1594605584,1512832
1594605587,1512832
1594605590,1512832
1594605593,1512832
1594605596,1512832
1594605599,1512832
1594605602,1512832
1594605605,1512832
1594605608,1512832
1594605611,1512832
1594605614,1512832
1594605617,1512832
1594605620,1512832
1594605623,1512832
1594605626,1512832
1594605629,1512832
1594605632,1512832
1594605635,1512832
1594605638,1512832
1594605641,1512832
1594605644,1512832
1594605647,1512832
1594605650,1512832
1594605653,1512832
1594605656,1512832
1594605659,1512832
1594605662,1512832
1594605665,1512832
1594605668,1512832
1594605671,1512832
1594605674,1512832
1594605677,1512832
1594605680,1512832
1594605683,1512832
1594605686,1512832
1594605689,1512832
1594605692,1512832
1594605695,1512832
1594605698,1512832
1594605701,1512832
1594605704,1512832
1594605707,1512832
1594605710,1512832
1594605713,1512832
1594605716,1512832
1594605719,1512832
1594605722,1512832
1594605725,1512832
1594605728,1512832
1594605731,1512832
1594605734,1512832
1594605737,1512832
1594605740,1512832
1594605743,1512832
1594605746,1512832
1594605749,1512832
1594605752,1512832
1594605755,1512832
1594605758,1512832
1594605761,1512832
1594605764,1512832
1594605767,1512832
1594605770,1512832
1594605773,1512832
1594605776,1512832
1594605779,1512832
1594605782,1512832
1594605785,1512832
1594605788,1512832
1594605791,1512832
1594605794,1512832
1594605797,1512832
1594605800,1512832
1594605803,1512832
1594605806,1512832
1594605809,1512832
1594605812,1512832
1594605815,1512832
1594605818,1512832
1594605821,1512832
1594605824,1512832
1594605827,1512832
1594605830,1512832
1594605833,1512832
1594605836,1512832
1594605839,1512832
1594605842,1512832
1594605845,1512832
1594605848,1512832
1594605851,1512832
1594605854,1512832
1594605857,1512832
1594605860,1512832
1594605863,1512832
1594605866,1512832
1594605869,1512832
1594605872,1512832
1594605875,1512832
1594605878,1512832
1594605881,1512832
1594605884,1512832
1594605887,1512832
1594605890,1512832
1594605893,1512832
1594605896,1512832
1594605899,1512832
1594605902,1512832
1594605905,1512832
1594605908,1512832
1594605911,1512832
1594605914,1512832
1594605917,1512832
1594605920,1512832
1594605923,1512832
1594605926,1512832
1594605929,1512832
1594605932,1512832
1594605935,1512832
1594605938,1512832
1594605941,1512832
1594605944,1512832
1594605947,1512832
1594605950,1512832
1594605953,1512832
1594605956,1512832
1594605959,1512832
1594605962,1512832
1594605965,1512832
1594605968,1512832
1594605971,1512832
1594605974,1512832
1594605977,1512832
1594605980,1512832
1594605983,1512832
1594605986,1512832
1594605989,1512832
1594605992,1512832
1594605995,1512832
1594605998,1512832
1594606001,1512832
1594606004,1512832
1594606007,1512832
1594606010,1512832
1594606013,1512832
1594606016,1512832
1594606019,1512832
1594606022,1512832
1594606025,1512832
1594606028,1512832
1594606031,1512832
1594606034,1512832
1594606037,1512832
1594606040,1512832
1594606043,1512832
1594606046,1512832
1594606049,1512832
1594606052,1512832
1594606055,1512832
1594606058,1512832
1594606061,1512832
1594606064,1512832
1594606067,1512832
1594606070,1512832
1594606073,1512832
1594606076,1512832
1594606079,1512832
1594606082,1512832
1594606085,1512832
1594606088,1512832
1594606091,1512832
1594606094,1512832
1594606097,1512832
1594606100,1512832
1594606103,1518464
