t,value
1594603256,4224256
1594603259,4228992
1594603262,4622976
1594603265,4921088
1594603268,5369728
1594603271,6292480
1594603274,7136128
1594603277,7615872
1594603280,7619328
1594603283,7650816
1594603286,7660416
1594603289,7672576
1594603292,7676672
1594603295,7716992
1594603298,7724160
1594603301,7730304
1594603304,7764096
1594603307,7808000
1594603310,7811200
1594603313,7817856
1594603316,7916544
1594603319,7333376
1594603322,7343232
1594603325,7344000
1594603328,7376640
1594603331,7378432
1594603334,7421184
1594603337,7447424
1594603340,7478016
1594603343,7490688
1594603346,7522688
1594603349,7524992
1594603352,7539584
1594603355,7577344
1594603358,7577344
1594603361,7577344
1594603364,7602944
1594603367,7602944
1594603370,7602944
1594603373,7625984
1594603376,7625984
1594603379,7628672
1594603382,7631744
1594603385,7632896
1594603388,7632896
1594603391,7634048
1594603394,7636352
1594603397,7640448
1594603400,7640448
1594603403,7701376
1594603406,8412160
1594603409,8512768
1594603412,8513792
1594603415,8515968
1594603418,8517504
1594603421,8521088
1594603424,8535680
1594603427,8542592
1594603430,8542592
1594603433,8587264
1594603436,8588288
1594603439,8591744
1594603442,8591744
1594603445,8594560
1594603448,8625408
1594603451,8625408
1594603454,8644352
1594603457,8818176
1594603460,8818176
1594603463,8818176
1594603466,8825344
1594603469,8841728
1594603472,8842496
1594603475,8842496
1594603478,8842496
1594603481,8842496
1594603484,8851840
1594603487,8852480
1594603490,8853760
1594603493,8860672
1594603496,8889600
1594603499,8896256
1594603502,8897280
1594603505,8902528
1594603508,8902528
1594603511,8915840
1594603514,8920832
1594603517,8921472
1594603520,8921472
1594603523,8921472
1594603526,8921472
1594603529,8921472
1594603532,8921472
1594603535,8921472
1594603538,8921472
1594603541,8921472
1594603544,8663680
1594603547,8672000
1594603550,8677760
1594603553,8677760
1594603556,8677760
1594603559,8677760
1594603562,8679040
1594603565,8679040
1594603568,8679040
1594603571,8679040
1594603574,8679040
1594603577,8685440
1594603580,8685440
1594603583,8685440
1594603586,8685440
1594603589,8685440
1594603592,8685440
1594603595,8685440
1594603598,8685440
1594603601,8685440
1594603604,8689792
1594603607,8689792
1594603610,8689792
1594603613,8694144
1594603616,8695040
1594603619,8695040
1594603622,8695040
1594603625,8695040
1594603628,8695040
1594603631,8696320
1594603634,8696320
1594603637,8696320
