t,value
1594603256,14052224
1594603259,13963648
1594603262,14866816
1594603265,15354496
1594603268,17075584
1594603271,21168768
1594603274,23190912
1594603277,25831168
1594603280,25835264
1594603283,25835264
1594603286,25842048
1594603289,25867136
1594603292,25868672
1594603295,25872256
1594603298,25873408
1594603301,25894528
1594603304,26081920
1594603307,26104832
1594603310,26119168
1594603313,26177152
1594603316,26194944
1594603319,24414848
1594603322,24416384
1594603325,24418176
1594603328,24418176
1594603331,24434176
1594603334,24448512
1594603337,24465152
1594603340,24497920
1594603343,24499456
1594603346,24501376
1594603349,24506240
1594603352,24512640
1594603355,24515328
1594603358,24515328
1594603361,24515328
1594603364,24593536
1594603367,24593536
1594603370,24593536
1594603373,24633728
1594603376,24649472
1594603379,24669824
1594603382,24680704
1594603385,24690048
1594603388,24702592
1594603391,24702592
1594603394,24702592
1594603397,24702592
1594603400,24702592
1594603403,25072384
1594603406,27454720
1594603409,27080576
1594603412,27089152
1594603415,27092608
1594603418,27119232
1594603421,27140096
1594603424,27154688
1594603427,27154688
1594603430,27154688
1594603433,27227392
1594603436,27231744
1594603439,27231744
1594603442,27234048
1594603445,27246080
1594603448,27272704
1594603451,27272704
1594603454,27371264
1594603457,28102400
1594603460,28102400
1594603463,28102400
1594603466,28102400
1594603469,28102400
1594603472,28145920
1594603475,28145920
1594603478,28145920
1594603481,28145920
1594603484,28166016
1594603487,28166016
1594603490,28166016
1594603493,28191744
1594603496,28193536
1594603499,28193536
1594603502,28208128
1594603505,28209536
1594603508,28213504
1594603511,28213504
1594603514,28241024
1594603517,28241024
1594603520,28241024
1594603523,28246272
1594603526,28247936
1594603529,28247936
1594603532,28247936
1594603535,28247936
1594603538,28247936
1594603541,28247936
1594603544,25566080
1594603547,25566080
1594603550,25566080
1594603553,25587968
1594603556,25587968
1594603559,25589632
1594603562,25589632
1594603565,25591936
1594603568,25615232
1594603571,25615232
1594603574,25615232
1594603577,25615232
1594603580,25615232
1594603583,25615232
1594603586,25615232
1594603589,25618176
1594603592,25618176
1594603595,25618176
1594603598,25618176
1594603601,25618176
1594603604,25510528
1594603607,25510528
1594603610,25510528
1594603613,25518336
1594603616,25518336
1594603619,25518336
1594603622,25519872
1594603625,25522688
1594603628,25522688
1594603631,25527808
1594603634,25530752
1594603637,25609984
1594603640,25632512
1594603643,25632512
1594603646,25632512
1594603649,25632512
1594603652,25635840
1594603655,25643648
1594603658,25643648
1594603661,25643648
1594603664,25672064
1594603667,25672064
1594603670,25672064
1594603673,25672064
1594603676,25672064
1594603679,25672064
1594603682,25672064
1594603685,25672064
1594603688,25672064
1594603691,25672064
1594603694,25672064
1594603697,25673088
1594603700,25673088
1594603703,25673088
1594603706,25673088
1594603709,25673088
1594603712,25673088
1594603715,25673088
