t,value
1594603256,9831960
1594603259,10601648
1594603262,11909352
1594603265,14072792
1594603268,15508032
1594603271,15699720
1594603274,15800704
1594603277,15910032
1594603280,15910032
1594603283,15910032
1594603286,15910032
1594603289,15910032
1594603292,15910032
1594603295,15910584
1594603298,15910584
1594603301,15910584
1594603304,15914736
1594603307,15914736
1594603310,15914736
1594603313,15914736
1594603316,15914736
1594603319,15914736
1594603322,15914736
1594603325,15914736
1594603328,15914736
1594603331,15914736
1594603334,15914736
1594603337,15914736
1594603340,15914736
1594603343,15914736
1594603346,15914736
1594603349,15914736
1594603352,15914736
1594603355,15914736
1594603358,15914736
1594603361,15914736
1594603364,15914736
1594603367,15914736
1594603370,15914736
1594603373,15914736
1594603376,15914736
1594603379,15914736
1594603382,15914736
1594603385,15914736
1594603388,15914736
1594603391,15914736
1594603394,15914736
1594603397,15914736
1594603400,15914736
1594603403,16102480
1594603406,17036968
1594603409,17054712
1594603412,17054712
1594603415,17054712
1594603418,17054712
1594603421,17055264
1594603424,17055264
1594603427,17055264
1594603430,17055264
1594603433,17055264
1594603436,17055264
1594603439,17055264
1594603442,17055264
1594603445,17055264
1594603448,17055264
1594603451,17055264
1594603454,17055816
1594603457,17055816
1594603460,17055816
1594603463,17055816
1594603466,17055816
1594603469,17055816
1594603472,17055816
1594603475,17055816
1594603478,17055816
1594603481,17055816
1594603484,17055816
1594603487,17055816
1594603490,17055816
1594603493,17055816
1594603496,17055816
1594603499,17055816
1594603502,17055816
1594603505,17055816
1594603508,17055816
1594603511,17055816
1594603514,17055816
1594603517,17055816
1594603520,17055816
1594603523,17055816
1594603526,17055816
1594603529,17055816
1594603532,17055816
1594603535,17055816
1594603538,17055816
1594603541,17055816
1594603544,17055816
1594603547,17055816
1594603550,17055816
1594603553,17056824
1594603556,17056824
1594603559,17056824
1594603562,17056824
1594603565,17056824
1594603568,17056824
1594603571,17056824
1594603574,17056824
1594603577,17056824
1594603580,17056824
1594603583,17056824
1594603586,17056824
1594603589,17056824
1594603592,17056824
1594603595,17056824
1594603598,17056824
1594603601,17056824
1594603604,17056824
1594603607,17056824
1594603610,17056824
1594603613,17056824
1594603616,17056824
1594603619,17056824
1594603622,17056824
1594603625,17056824
1594603628,17056824
1594603631,17056824
1594603634,17056824
1594603637,17056824
1594603640,17056824
1594603643,17056824
1594603646,17056824
1594603649,17056824
1594603652,17056824
1594603655,17056824
1594603658,17056824
1594603661,17056824
1594603664,17056824
1594603667,17056824
1594603670,17056824
1594603673,17057376
1594603676,17057376
1594603679,17057376
1594603682,17057376
1594603685,17057376
1594603688,17057376
1594603691,17057376
1594603694,17057376
1594603697,17057376
1594603700,17057376
1594603703,17057376
1594603706,17057376
1594603709,17057376
1594603712,17057376
1594603715,17057376
1594603718,17057376
1594603721,17057376
1594603724,17057376
1594603727,17057376
1594603730,17057376
1594603733,17057376
1594603736,17057376
1594603739,17057376
1594603742,17057376
1594603745,17057376
1594603748,17057376
1594603751,17057376
1594603754,17057376
1594603757,17057376
1594603760,17057376
1594603763,17057376
1594603766,17057376
1594603769,17057376
1594603772,17057376
1594603775,17057376
1594603778,17057376
1594603781,17057376
1594603784,17057376
1594603787,17057376
1594603790,17057376
1594603793,17057376
1594603796,17057376
1594603799,17057376
1594603802,17057376
1594603805,17057376
1594603808,17057376
1594603811,17057376
1594603814,17057376
1594603817,17057376
1594603820,17057376
1594603823,17057376
1594603826,17057376
1594603829,17057376
1594603832,17057376
1594603835,17057376
1594603838,17057376
1594603841,17057376
