t,value
1594603256,137363456
1594603259,179306496
1594603262,243269632
1594603265,31457280
1594603268,56623104
1594603271,130023424
1594603274,240123904
1594603277,60817408
1594603280,60817408
1594603283,61865984
1594603286,62914560
1594603289,63963136
1594603292,63963136
1594603295,65011712
1594603298,66060288
1594603301,68157440
1594603304,78643200
1594603307,79691776
1594603310,79691776
1594603313,89128960
1594603316,90177536
1594603319,91226112
1594603322,92274688
1594603325,93323264
1594603328,93323264
1594603331,94371840
1594603334,95420416
1594603337,96468992
1594603340,96468992
1594603343,97517568
1594603346,98566144
1594603349,99614720
1594603352,99614720
1594603355,100663296
1594603358,101711872
1594603361,102760448
1594603364,112197632
1594603367,112197632
1594603370,113246208
1594603373,121634816
1594603376,121634816
1594603379,122683392
1594603382,123731968
1594603385,124780544
1594603388,124780544
1594603391,125829120
1594603394,126877696
1594603397,127926272
1594603400,127926272
1594603403,144703488
1594603406,220200960
1594603409,227540992
1594603412,227540992
1594603415,228589568
1594603418,229638144
1594603421,230686720
1594603424,239075328
1594603427,240123904
1594603430,241172480
1594603433,249561088
1594603436,249561088
1594603439,250609664
1594603442,251658240
1594603445,251658240
1594603448,252706816
1594603451,253755392
1594603454,254803968
1594603457,263192576
1594603460,264241152
1594603463,265289728
1594603466,265289728
1594603469,266338304
1594603472,267386880
1594603475,268435456
1594603478,268435456
1594603481,269484032
1594603484,6291456
1594603487,7340032
1594603490,7340032
1594603493,15728640
1594603496,16777216
1594603499,17825792
1594603502,17825792
1594603505,18874368
1594603508,19922944
1594603511,20971520
1594603514,20971520
1594603517,22020096
1594603520,23068672
1594603523,24117248
1594603526,24117248
1594603529,25165824
1594603532,26214400
1594603535,27262976
1594603538,27262976
1594603541,28311552
1594603544,37748736
1594603547,38797312
1594603550,38797312
1594603553,47185920
1594603556,48234496
1594603559,48234496
1594603562,49283072
1594603565,50331648
1594603568,50331648
1594603571,51380224
1594603574,52428800
1594603577,53477376
1594603580,53477376
1594603583,54525952
1594603586,55574528
1594603589,55574528
1594603592,56623104
1594603595,57671680
1594603598,58720256
1594603601,58720256
1594603604,69206016
1594603607,69206016
1594603610,70254592
1594603613,77594624
1594603616,78643200
1594603619,79691776
1594603622,79691776
1594603625,80740352
1594603628,81788928
1594603631,82837504
1594603634,82837504
1594603637,83886080
1594603640,84934656
1594603643,85983232
1594603646,85983232
1594603649,87031808
1594603652,88080384
1594603655,89128960
1594603658,89128960
1594603661,90177536
1594603664,99614720
1594603667,99614720
1594603670,100663296
1594603673,109051904
1594603676,110100480
1594603679,110100480
1594603682,111149056
1594603685,112197632
1594603688,112197632
1594603691,113246208
1594603694,114294784
1594603697,115343360
1594603700,116391936
1594603703,116391936
1594603706,117440512
1594603709,118489088
1594603712,118489088
1594603715,119537664
1594603718,120586240
1594603721,121634816
1594603724,130023424
1594603727,131072000
1594603730,132120576
1594603733,139460608
1594603736,140509184
1594603739,141557760
1594603742,141557760
1594603745,142606336
1594603748,143654912
1594603751,144703488
1594603754,144703488
1594603757,145752064
1594603760,146800640
1594603763,147849216
1594603766,147849216
1594603769,148897792
1594603772,149946368
1594603775,149946368
1594603778,150994944
1594603781,152043520
1594603784,161480704
1594603787,161480704
1594603790,162529280
1594603793,169869312
1594603796,170917888
1594603799,171966464
1594603802,173015040
1594603805,173015040
1594603808,174063616
1594603811,175112192
1594603814,175112192
1594603817,176160768
1594603820,177209344
1594603823,178257920
1594603826,178257920
1594603829,179306496
1594603832,180355072
1594603835,181403648
1594603838,181403648
1594603841,182452224
1594603844,191889408
1594603847,191889408
1594603850,193986560
1594603853,201326592
1594603856,202375168
1594603859,202375168
1594603862,203423744
1594603865,204472320
1594603868,205520896
1594603871,205520896
1594603874,206569472
1594603877,207618048
1594603880,207618048
1594603883,208666624
1594603886,209715200
1594603889,210763776
1594603892,210763776
1594603895,211812352
1594603898,212860928
1594603901,213909504
1594603904,223346688
1594603907,223346688
1594603910,224395264
1594603913,231735296
1594603916,232783872
1594603919,233832448
1594603922,234881024
1594603925,234881024
1594603928,235929600
1594603931,236978176
1594603934,236978176
1594603937,238026752
1594603940,239075328
1594603943,240123904
1594603946,240123904
1594603949,241172480
1594603952,242221056
1594603955,243269632
1594603958,243269632
1594603961,244318208
1594603964,253755392
1594603967,254803968
1594603970,254803968
1594603973,263192576
1594603976,264241152
1594603979,264241152
1594603982,265289728
1594603985,266338304
1594603988,266338304
1594603991,267386880
1594603994,268435456
1594603997,269484032
1594604000,269484032
1594604003,270532608
1594604006,271581184
1594604009,271581184
1594604012,272629760
1594604015,273678336
1594604018,274726912
1594604021,274726912
1594604024,284164096
1594604027,285212672
1594604030,286261248
1594604033,4194304
1594604036,5242880
1594604039,6291456
1594604042,7340032
1594604045,8388608
1594604048,9437184
1594604051,9437184
1594604054,10485760
1594604057,11534336
1594604060,12582912
1594604063,12582912
1594604066,13631488
1594604069,14680064
1594604072,15728640
1594604075,15728640
1594604078,16777216
1594604081,17825792
1594604084,27262976
1594604087,27262976
1594604090,28311552
1594604093,35651584
1594604096,36700160
1594604099,37748736
1594604102,37748736
1594604105,38797312
1594604108,39845888
1594604111,39845888
1594604114,40894464
1594604117,41943040
1594604120,42991616
1594604123,42991616
1594604126,44040192
1594604129,45088768
1594604132,46137344
1594604135,46137344
1594604138,47185920
1594604141,48234496
1594604144,57671680
1594604147,57671680
1594604150,58720256
1594604153,67108864
1594604156,68157440
1594604159,68157440
1594604162,69206016
1594604165,70254592
1594604168,70254592
1594604171,71303168
1594604174,72351744
1594604177,73400320
1594604180,73400320
1594604183,74448896
1594604186,75497472
1594604189,76546048
1594604192,76546048
1594604195,77594624
1594604198,78643200
1594604201,79691776
1594604204,88080384
1594604207,89128960
1594604210,90177536
1594604213,97517568
1594604216,98566144
1594604219,99614720
1594604222,99614720
1594604225,100663296
1594604228,101711872
1594604231,101711872
1594604234,102760448
1594604237,103809024
1594604240,104857600
1594604243,104857600
1594604246,105906176
1594604249,106954752
1594604252,106954752
1594604255,108003328
1594604258,109051904
1594604261,110100480
1594604264,119537664
1594604267,120586240
1594604270,120586240
1594604273,127926272
1594604276,128974848
1594604279,130023424
1594604282,131072000
1594604285,131072000
1594604288,132120576
1594604291,133169152
1594604294,134217728
1594604297,134217728
1594604300,135266304
1594604303,145752064
1594604306,146800640
1594604309,147849216
1594604312,148897792
1594604315,149946368
1594604318,149946368
1594604321,150994944
1594604324,160432128
1594604327,161480704
1594604330,161480704
1594604333,169869312
1594604336,169869312
1594604339,170917888
1594604342,171966464
1594604345,171966464
1594604348,173015040
1594604351,174063616
1594604354,175112192
1594604357,175112192
1594604360,176160768
1594604363,177209344
1594604366,177209344
1594604369,178257920
1594604372,179306496
1594604375,180355072
1594604378,180355072
1594604381,181403648
1594604384,190840832
1594604387,191889408
1594604390,192937984
1594604393,200278016
1594604396,201326592
1594604399,202375168
1594604402,203423744
1594604405,203423744
1594604408,204472320
1594604411,205520896
1594604414,206569472
1594604417,206569472
1594604420,207618048
1594604423,208666624
1594604426,209715200
1594604429,209715200
1594604432,210763776
1594604435,211812352
1594604438,211812352
1594604441,212860928
1594604444,222298112
1594604447,223346688
1594604450,224395264
1594604453,231735296
1594604456,232783872
1594604459,233832448
1594604462,233832448
1594604465,234881024
1594604468,235929600
1594604471,236978176
1594604474,236978176
1594604477,238026752
1594604480,239075328
1594604483,240123904
1594604486,240123904
1594604489,241172480
1594604492,242221056
1594604495,242221056
1594604498,243269632
1594604501,244318208
1594604504,253755392
1594604507,253755392
1594604510,254803968
1594604513,263192576
1594604516,263192576
1594604519,264241152
1594604522,265289728
1594604525,266338304
1594604528,266338304
1594604531,267386880
1594604534,268435456
1594604537,268435456
1594604540,269484032
1594604543,270532608
1594604546,271581184
1594604549,271581184
1594604552,272629760
1594604555,273678336
1594604558,273678336
1594604561,274726912
1594604564,284164096
1594604567,285212672
1594604570,285212672
1594604573,293601280
1594604576,294649856
1594604579,295698432
1594604582,296747008
1594604585,296747008
1594604588,297795584
1594604591,298844160
1594604594,298844160
1594604597,299892736
1594604600,300941312
1594604603,301989888
1594604606,303038464
1594604609,303038464
1594604612,304087040
1594604615,305135616
1594604618,306184192
1594604621,306184192
1594604624,7340032
1594604627,16777216
1594604630,16777216
1594604633,25165824
1594604636,25165824
1594604639,26214400
1594604642,27262976
1594604645,28311552
1594604648,28311552
1594604651,29360128
1594604654,30408704
1594604657,31457280
1594604660,32505856
1594604663,32505856
1594604666,33554432
1594604669,34603008
1594604672,35651584
1594604675,35651584
1594604678,36700160
1594604681,37748736
1594604684,46137344
1594604687,47185920
1594604690,48234496
1594604693,56623104
1594604696,57671680
1594604699,57671680
1594604702,58720256
1594604705,59768832
1594604708,59768832
1594604711,60817408
1594604714,61865984
1594604717,62914560
1594604720,63963136
1594604723,63963136
1594604726,65011712
1594604729,66060288
1594604732,66060288
1594604735,67108864
1594604738,68157440
1594604741,69206016
1594604744,77594624
1594604747,78643200
1594604750,78643200
1594604753,87031808
1594604756,88080384
1594604759,89128960
1594604762,89128960
1594604765,90177536
1594604768,91226112
1594604771,92274688
1594604774,92274688
1594604777,93323264
1594604780,94371840
1594604783,95420416
1594604786,95420416
1594604789,96468992
1594604792,97517568
1594604795,97517568
1594604798,98566144
1594604801,99614720
1594604804,109051904
1594604807,109051904
1594604810,110100480
1594604813,118489088
1594604816,118489088
1594604819,119537664
1594604822,120586240
1594604825,120586240
1594604828,121634816
1594604831,122683392
1594604834,122683392
1594604837,123731968
1594604840,124780544
1594604843,125829120
1594604846,126877696
1594604849,126877696
1594604852,127926272
1594604855,128974848
1594604858,128974848
1594604861,130023424
1594604864,139460608
1594604867,140509184
1594604870,141557760
1594604873,148897792
1594604876,149946368
1594604879,149946368
1594604882,150994944
1594604885,152043520
1594604888,153092096
1594604891,153092096
1594604894,154140672
1594604897,155189248
1594604900,156237824
1594604903,156237824
1594604906,157286400
1594604909,158334976
1594604912,158334976
1594604915,159383552
1594604918,160432128
1594604921,161480704
1594604924,170917888
1594604927,170917888
1594604930,171966464
1594604933,179306496
1594604936,180355072
1594604939,181403648
1594604942,181403648
1594604945,182452224
1594604948,183500800
1594604951,184549376
1594604954,184549376
1594604957,185597952
1594604960,186646528
1594604963,186646528
1594604966,187695104
1594604969,188743680
1594604972,189792256
1594604975,190840832
1594604978,190840832
1594604981,191889408
1594604984,201326592
1594604987,202375168
1594604990,202375168
1594604993,210763776
1594604996,210763776
1594604999,211812352
1594605002,212860928
1594605005,212860928
1594605008,213909504
1594605011,214958080
1594605014,216006656
1594605017,216006656
1594605020,217055232
1594605023,218103808
1594605026,218103808
1594605029,219152384
1594605032,220200960
1594605035,221249536
1594605038,222298112
1594605041,222298112
1594605044,231735296
1594605047,232783872
1594605050,233832448
1594605053,241172480
1594605056,242221056
1594605059,243269632
1594605062,243269632
1594605065,244318208
1594605068,245366784
1594605071,246415360
