t,value
1594603256,19399472
1594603259,19399472
1594603262,19399472
1594603265,20497408
1594603268,27020800
1594603271,28069376
1594603274,45555712
1594603277,47128576
1594603280,47128576
1594603283,47128576
1594603286,47128576
1594603289,47128576
1594603292,47128576
1594603295,47128576
1594603298,47128576
1594603301,47128576
1594603304,47128576
1594603307,47128576
1594603310,47128576
1594603313,47128576
1594603316,47128576
1594603319,47128576
1594603322,47128576
1594603325,47128576
1594603328,47128576
1594603331,47128576
1594603334,47128576
1594603337,47128576
1594603340,47128576
1594603343,47128576
1594603346,47128576
1594603349,47128576
1594603352,47128576
1594603355,47128576
1594603358,47128576
1594603361,47128576
1594603364,47128576
1594603367,47128576
1594603370,47128576
1594603373,47128576
1594603376,47128576
1594603379,47128576
1594603382,47128576
1594603385,47128576
1594603388,47128576
1594603391,47128576
1594603394,47128576
1594603397,47128576
1594603400,47128576
1594603403,47128576
1594603406,47128576
1594603409,47128576
1594603412,47128576
1594603415,47128576
1594603418,47128576
1594603421,47128576
1594603424,47128576
1594603427,47128576
1594603430,47128576
1594603433,47128576
1594603436,47128576
1594603439,47128576
1594603442,47128576
1594603445,47128576
1594603448,47128576
1594603451,47128576
1594603454,47128576
1594603457,47128576
1594603460,47128576
1594603463,47128576
1594603466,47128576
1594603469,47128576
1594603472,47128576
1594603475,47128576
1594603478,47128576
1594603481,47128576
1594603484,46763440
1594603487,46763440
1594603490,46763440
1594603493,46763440
1594603496,46763440
1594603499,46763440
1594603502,46763440
1594603505,46763440
1594603508,46763440
1594603511,46763440
1594603514,46763440
1594603517,46763440
1594603520,46763440
1594603523,46763440
1594603526,46763440
1594603529,46763440
1594603532,46763440
1594603535,46763440
1594603538,46763440
1594603541,46763440
1594603544,46763440
1594603547,46763440
1594603550,46763440
1594603553,46763440
1594603556,46763440
1594603559,46763440
1594603562,46763440
1594603565,46763440
1594603568,46763440
1594603571,46763440
1594603574,46763440
1594603577,46763440
1594603580,46763440
1594603583,46763440
1594603586,46763440
1594603589,46763440
1594603592,46763440
1594603595,46763440
1594603598,46763440
1594603601,46763440
1594603604,46763440
1594603607,46763440
1594603610,46763440
1594603613,46763440
1594603616,46763440
1594603619,46763440
1594603622,46763440
1594603625,46763440
1594603628,46763440
1594603631,46763440
1594603634,46763440
1594603637,46763440
1594603640,46763440
1594603643,46763440
1594603646,46763440
1594603649,46763440
1594603652,46763440
1594603655,46763440
1594603658,46763440
1594603661,46763440
1594603664,46763440
1594603667,46763440
1594603670,46763440
1594603673,46763440
1594603676,46763440
1594603679,46763440
1594603682,46763440
1594603685,46763440
1594603688,46763440
1594603691,46763440
1594603694,46763440
1594603697,46763440
1594603700,46763440
1594603703,46763440
1594603706,46763440
1594603709,46763440
1594603712,46763440
1594603715,46763440
1594603718,46763440
1594603721,46763440
1594603724,46763440
1594603727,46763440
1594603730,46763440
1594603733,46763440
1594603736,46763440
1594603739,46763440
1594603742,46763440
1594603745,46763440
1594603748,46763440
1594603751,46763440
1594603754,46763440
1594603757,46763440
1594603760,46763440
1594603763,46763440
1594603766,46763440
1594603769,46763440
1594603772,46763440
1594603775,46763440
1594603778,46763440
1594603781,46763440
1594603784,46763440
1594603787,46763440
1594603790,46763440
1594603793,46763440
1594603796,46763440
1594603799,46763440
1594603802,46763440
1594603805,46763440
1594603808,46763440
1594603811,46763440
1594603814,46763440
1594603817,46763440
1594603820,46763440
1594603823,46763440
1594603826,46763440
1594603829,46763440
1594603832,46763440
1594603835,46763440
1594603838,46763440
1594603841,46763440
1594603844,46763440
1594603847,46763440
1594603850,46763440
1594603853,46763440
1594603856,46763440
1594603859,46763440
1594603862,46763440
1594603865,46763440
1594603868,46763440
1594603871,46763440
1594603874,46763440
1594603877,46763440
1594603880,46763440
1594603883,46763440
1594603886,46763440
1594603889,46763440
1594603892,46763440
1594603895,46763440
1594603898,46763440
1594603901,46763440
1594603904,46763440
1594603907,46763440
1594603910,46763440
1594603913,46763440
1594603916,46763440
1594603919,46763440
1594603922,46763440
1594603925,46763440
1594603928,46763440
1594603931,46763440
1594603934,46763440
1594603937,46763440
1594603940,46763440
1594603943,46763440
1594603946,46763440
1594603949,46763440
1594603952,46763440
1594603955,46763440
1594603958,46763440
1594603961,46763440
1594603964,46763440
1594603967,46763440
1594603970,46763440
1594603973,46763440
1594603976,46763440
1594603979,46763440
1594603982,46763440
1594603985,46763440
1594603988,46763440
1594603991,46763440
1594603994,46763440
1594603997,46763440
1594604000,46763440
1594604003,46763440
1594604006,46763440
1594604009,46763440
1594604012,46763440
1594604015,46763440
1594604018,46763440
1594604021,46763440
1594604024,46763440
1594604027,46763440
1594604030,46763440
1594604033,46597608
1594604036,46597608
1594604039,46597608
1594604042,46597608
1594604045,46597608
1594604048,46597608
1594604051,46597608
1594604054,46597608
1594604057,46597608
1594604060,46597608
1594604063,46597608
1594604066,46597608
1594604069,46597608
1594604072,46597608
1594604075,46597608
1594604078,46597608
1594604081,46597608
1594604084,46597608
1594604087,46597608
1594604090,46597608
1594604093,46597608
1594604096,46597608
1594604099,46597608
1594604102,46597608
1594604105,46597608
1594604108,46597608
1594604111,46597608
1594604114,46597608
1594604117,46597608
1594604120,46597608
1594604123,46597608
1594604126,46597608
1594604129,46597608
1594604132,46597608
1594604135,46597608
1594604138,46597608
1594604141,46597608
1594604144,46597608
1594604147,46597608
1594604150,46597608
1594604153,46597608
1594604156,46597608
1594604159,46597608
1594604162,46597608
1594604165,46597608
1594604168,46597608
1594604171,46597608
1594604174,46597608
1594604177,46597608
1594604180,46597608
1594604183,46597608
1594604186,46597608
1594604189,46597608
1594604192,46597608
1594604195,46597608
1594604198,46597608
1594604201,46597608
1594604204,46597608
1594604207,46597608
1594604210,46597608
1594604213,46597608
1594604216,46597608
1594604219,46597608
1594604222,46597608
1594604225,46597608
1594604228,46597608
1594604231,46597608
1594604234,46597608
1594604237,46597608
1594604240,46597608
1594604243,46597608
1594604246,46597608
1594604249,46597608
1594604252,46597608
1594604255,46597608
1594604258,46597608
1594604261,46597608
1594604264,46597608
1594604267,46597608
1594604270,46597608
1594604273,46597608
1594604276,46597608
1594604279,46597608
1594604282,46597608
