t,value
1594603256,17825792
1594603259,17825792
1594603262,17825792
1594603265,27262976
1594603268,20971520
1594603271,20971520
1594603274,10485760
1594603277,6291456
1594603280,6291456
1594603283,6291456
1594603286,6291456
1594603289,6291456
1594603292,6291456
1594603295,6291456
1594603298,6291456
1594603301,6291456
1594603304,6291456
1594603307,6291456
1594603310,6291456
1594603313,6291456
1594603316,6291456
1594603319,6291456
1594603322,6291456
1594603325,6291456
1594603328,6291456
1594603331,6291456
1594603334,6291456
1594603337,6291456
1594603340,6291456
1594603343,6291456
1594603346,6291456
1594603349,6291456
1594603352,6291456
1594603355,6291456
1594603358,6291456
1594603361,6291456
1594603364,6291456
1594603367,6291456
1594603370,6291456
1594603373,6291456
1594603376,6291456
1594603379,6291456
1594603382,6291456
1594603385,6291456
1594603388,6291456
1594603391,6291456
1594603394,6291456
1594603397,6291456
1594603400,6291456
1594603403,6291456
1594603406,6291456
1594603409,6291456
1594603412,6291456
1594603415,6291456
1594603418,6291456
1594603421,6291456
1594603424,6291456
1594603427,6291456
1594603430,6291456
1594603433,6291456
1594603436,6291456
1594603439,6291456
1594603442,6291456
1594603445,6291456
1594603448,6291456
1594603451,6291456
1594603454,6291456
1594603457,6291456
1594603460,6291456
1594603463,6291456
1594603466,6291456
1594603469,6291456
1594603472,6291456
1594603475,6291456
1594603478,6291456
1594603481,6291456
1594603484,10485760
1594603487,10485760
1594603490,10485760
1594603493,10485760
1594603496,10485760
1594603499,10485760
1594603502,10485760
1594603505,10485760
1594603508,10485760
1594603511,10485760
1594603514,10485760
1594603517,10485760
1594603520,10485760
1594603523,10485760
1594603526,10485760
1594603529,10485760
1594603532,10485760
1594603535,10485760
1594603538,10485760
1594603541,10485760
1594603544,10485760
1594603547,10485760
1594603550,10485760
1594603553,10485760
1594603556,10485760
1594603559,10485760
1594603562,10485760
1594603565,10485760
1594603568,10485760
1594603571,10485760
1594603574,10485760
1594603577,10485760
1594603580,10485760
1594603583,10485760
1594603586,10485760
1594603589,10485760
1594603592,10485760
1594603595,10485760
1594603598,10485760
1594603601,10485760
1594603604,10485760
1594603607,10485760
1594603610,10485760
1594603613,10485760
1594603616,10485760
1594603619,10485760
1594603622,10485760
1594603625,10485760
1594603628,10485760
1594603631,10485760
1594603634,10485760
1594603637,10485760
1594603640,10485760
1594603643,10485760
1594603646,10485760
1594603649,10485760
1594603652,10485760
1594603655,10485760
1594603658,10485760
1594603661,10485760
1594603664,10485760
1594603667,10485760
1594603670,10485760
1594603673,10485760
1594603676,10485760
1594603679,10485760
1594603682,10485760
1594603685,10485760
1594603688,10485760
1594603691,10485760
1594603694,10485760
1594603697,10485760
1594603700,10485760
1594603703,10485760
1594603706,10485760
1594603709,10485760
1594603712,10485760
1594603715,10485760
1594603718,10485760
1594603721,10485760
1594603724,10485760
1594603727,10485760
1594603730,10485760
1594603733,10485760
1594603736,10485760
1594603739,10485760
1594603742,10485760
1594603745,10485760
1594603748,10485760
1594603751,10485760
1594603754,10485760
1594603757,10485760
1594603760,10485760
1594603763,10485760
1594603766,10485760
1594603769,10485760
1594603772,10485760
1594603775,10485760
1594603778,10485760
1594603781,10485760
1594603784,10485760
1594603787,10485760
1594603790,10485760
1594603793,10485760
1594603796,10485760
1594603799,10485760
1594603802,10485760
1594603805,10485760
1594603808,10485760
1594603811,10485760
1594603814,10485760
1594603817,10485760
1594603820,10485760
1594603823,10485760
1594603826,10485760
1594603829,10485760
1594603832,10485760
1594603835,10485760
1594603838,10485760
1594603841,10485760
1594603844,10485760
1594603847,10485760
1594603850,10485760
1594603853,10485760
1594603856,10485760
1594603859,10485760
1594603862,10485760
1594603865,10485760
1594603868,10485760
1594603871,10485760
1594603874,10485760
1594603877,10485760
1594603880,10485760
1594603883,10485760
1594603886,10485760
1594603889,10485760
1594603892,10485760
1594603895,10485760
1594603898,10485760
1594603901,10485760
1594603904,10485760
1594603907,10485760
1594603910,10485760
1594603913,10485760
1594603916,10485760
1594603919,10485760
1594603922,10485760
1594603925,10485760
1594603928,10485760
1594603931,10485760
1594603934,10485760
1594603937,10485760
1594603940,10485760
1594603943,10485760
1594603946,10485760
1594603949,10485760
1594603952,10485760
1594603955,10485760
1594603958,10485760
1594603961,10485760
1594603964,10485760
1594603967,10485760
1594603970,10485760
1594603973,10485760
1594603976,10485760
1594603979,10485760
1594603982,10485760
1594603985,10485760
1594603988,10485760
1594603991,10485760
1594603994,10485760
1594603997,10485760
1594604000,10485760
1594604003,10485760
1594604006,10485760
1594604009,10485760
1594604012,10485760
1594604015,10485760
1594604018,10485760
1594604021,10485760
1594604024,10485760
1594604027,10485760
