t,value
1594603256,72994968
1594603259,78905256
1594603262,84855256
1594603265,98123984
1594603268,106679088
1594603271,108385696
1594603274,109233288
1594603277,110467120
1594603280,110468176
1594603283,110468176
1594603286,110469464
1594603289,110474208
1594603292,110474704
1594603295,110482080
1594603298,110482520
1594603301,110488136
1594603304,110549560
1594603307,110553824
1594603310,110556768
1594603313,110570864
1594603316,110573136
1594603319,110574816
1594603322,110575256
1594603325,110575696
1594603328,110575696
1594603331,110578032
1594603334,110579480
1594603337,110586840
1594603340,110597992
1594603343,110598432
1594603346,110598896
1594603349,110600656
1594603352,110602728
1594603355,110603192
1594603358,110603192
1594603361,110603192
1594603364,110615120
1594603367,110615120
1594603370,110615120
1594603373,110621752
1594603376,110624624
1594603379,110624624
1594603382,110627624
1594603385,110630360
1594603388,110633936
1594603391,110633936
1594603394,110633936
1594603397,110633936
1594603400,110633936
1594603403,112176760
1594603406,116222368
1594603409,116374880
1594603412,116377136
1594603415,116378768
1594603418,116380960
1594603421,116390904
1594603424,116393952
1594603427,116393952
1594603430,116393952
1594603433,116410288
1594603436,116411192
1594603439,116411192
1594603442,116413616
1594603445,116417168
1594603448,116427376
1594603451,116427376
1594603454,116461064
1594603457,116673184
1594603460,116673184
1594603463,116673184
1594603466,116673184
1594603469,116673184
1594603472,116681504
1594603475,116681504
1594603478,116681504
1594603481,116681504
1594603484,116688848
1594603487,116688848
1594603490,116688848
1594603493,116697632
1594603496,116697632
1594603499,116697632
1594603502,116700560
1594603505,116701016
1594603508,116702712
1594603511,116702712
1594603514,116712832
1594603517,116713312
1594603520,116713312
1594603523,116714208
1594603526,116714624
1594603529,116714624
1594603532,116714624
1594603535,116714624
1594603538,116714624
1594603541,116714624
1594603544,116716408
1594603547,116716408
1594603550,116716408
1594603553,116722856
1594603556,116722856
1594603559,116723232
1594603562,116723232
1594603565,116723728
1594603568,116733768
1594603571,116733768
1594603574,116733768
1594603577,116733768
1594603580,116733768
1594603583,116733768
1594603586,116733768
1594603589,116734240
1594603592,116734240
1594603595,116734240
1594603598,116734240
1594603601,116734240
1594603604,116734240
1594603607,116734240
1594603610,116734240
1594603613,116736416
1594603616,116736416
1594603619,116736416
1594603622,116736832
1594603625,116737760
1594603628,116737760
1594603631,116739200
1594603634,116740200
1594603637,116776632
1594603640,116784528
1594603643,116784528
1594603646,116784528
1594603649,116784528
1594603652,116784528
1594603655,116784992
1594603658,116784992
1594603661,116784992
1594603664,116798072
1594603667,116798072
1594603670,116798072
1594603673,116802144
1594603676,116802144
1594603679,116802144
1594603682,116802144
1594603685,116802144
1594603688,116802144
1594603691,116802144
1594603694,116802144
1594603697,116802504
1594603700,116802504
1594603703,116802504
1594603706,116802504
1594603709,116802504
1594603712,116802504
1594603715,116802504
1594603718,116802504
1594603721,116802504
1594603724,116802584
1594603727,116802584
1594603730,116802584
1594603733,116802584
1594603736,116802584
1594603739,116803040
1594603742,116803040
1594603745,116803040
1594603748,116803480
1594603751,116803480
1594603754,116803936
1594603757,116803936
1594603760,116803936
1594603763,116803936
1594603766,116804376
1594603769,116804376
1594603772,116804376
1594603775,116805736
1594603778,116805736
1594603781,116805736
1594603784,116805736
1594603787,116805736
1594603790,116805736
1594603793,116805736
1594603796,116805736
1594603799,116805736
1594603802,116805736
1594603805,116805736
1594603808,116805736
1594603811,116805736
1594603814,116805736
1594603817,116805736
1594603820,116805736
1594603823,116805736
1594603826,116805736
1594603829,116806512
1594603832,116806512
1594603835,116806512
1594603838,116806512
1594603841,116806512
1594603844,116806512
1594603847,116806512
1594603850,116807480
1594603853,116807480
1594603856,116807936
1594603859,116807936
1594603862,116807936
1594603865,116807936
1594603868,116807936
1594603871,116807936
1594603874,116808688
1594603877,116808688
1594603880,116808688
1594603883,116808688
1594603886,116808688
1594603889,116808688
1594603892,116809648
1594603895,116809648
1594603898,116809648
1594603901,116809648
1594603904,116809648
1594603907,116809648
1594603910,116809648
1594603913,116809648
1594603916,116810608
1594603919,116810608
1594603922,116810608
1594603925,116810608
1594603928,116810608
1594603931,116810608
