t,value
1594603256,0
1594603259,0
1594603262,0
1594603265,0
1594603268,0
1594603271,0
1594603274,0
1594603277,0
1594603280,0
1594603283,0
1594603286,0
1594603289,1027
1594603292,1272
1594603295,2039
1594603298,2039
1594603301,2039
1594603304,2039
1594603307,2039
1594603310,2039
1594603313,2142
1594603316,2142
1594603319,2142
1594603322,2142
1594603325,2142
1594603328,2142
1594603331,2142
1594603334,2142
1594603337,2142
1594603340,2142
1594603343,2142
1594603346,2142
1594603349,2142
1594603352,2142
1594603355,2142
1594603358,2142
1594603361,2142
1594603364,2142
1594603367,2142
1594603370,2142
1594603373,2142
1594603376,2142
1594603379,2142
1594603382,2142
1594603385,2142
1594603388,2142
1594603391,2142
1594603394,2142
1594603397,2142
1594603400,2142
1594603403,2142
1594603406,2142
1594603409,2142
1594603412,2142
1594603415,2142
1594603418,2142
1594603421,2142
1594603424,2142
1594603427,2142
1594603430,2142
1594603433,2142
1594603436,2142
1594603439,2142
1594603442,2142
1594603445,2142
1594603448,2142
1594603451,2142
1594603454,2142
1594603457,2264
1594603460,2264
1594603463,2264
1594603466,2264
1594603469,2264
1594603472,2264
1594603475,2264
1594603478,2264
1594603481,2264
1594603484,2264
1594603487,2264
1594603490,2264
1594603493,2264
1594603496,2264
1594603499,2264
1594603502,2264
1594603505,2264
1594603508,2264
1594603511,2264
1594603514,2264
1594603517,2264
1594603520,2264
1594603523,2264
1594603526,2264
1594603529,2264
1594603532,2264
1594603535,2264
1594603538,2264
1594603541,2264
1594603544,2264
1594603547,2264
1594603550,2264
1594603553,2264
1594603556,2264
1594603559,2264
1594603562,2264
1594603565,2264
1594603568,2264
1594603571,2264
1594603574,2264
1594603577,2264
1594603580,2264
1594603583,2264
1594603586,2264
1594603589,2264
1594603592,2264
1594603595,2264
1594603598,2264
1594603601,2264
1594603604,2264
1594603607,2264
1594603610,2264
1594603613,2264
1594603616,2264
1594603619,2264
1594603622,2264
1594603625,2264
1594603628,2264
1594603631,2264
1594603634,2264
1594603637,2264
1594603640,2264
1594603643,2264
1594603646,2264
1594603649,2264
1594603652,2264
1594603655,2264
1594603658,2264
1594603661,2264
1594603664,2264
1594603667,2264
1594603670,2264
1594603673,2264
1594603676,2264
1594603679,2264
1594603682,2264
1594603685,2264
1594603688,2264
1594603691,2264
1594603694,2264
1594603697,2264
1594603700,2264
1594603703,2264
1594603706,2264
1594603709,2264
1594603712,2264
1594603715,2264
1594603718,2264
1594603721,2264
1594603724,2264
1594603727,2264
1594603730,2264
1594603733,2264
1594603736,2264
1594603739,2264
1594603742,2264
1594603745,2264
1594603748,2264
1594603751,2264
1594603754,2264
1594603757,2264
1594603760,2264
1594603763,2264
1594603766,2264
1594603769,2264
1594603772,2264
1594603775,2264
1594603778,2264
1594603781,2264
1594603784,2264
1594603787,2264
1594603790,2264
1594603793,2264
1594603796,2264
1594603799,2264
1594603802,2264
1594603805,2264
1594603808,2264
1594603811,2264
1594603814,2264
1594603817,2264
1594603820,2264
1594603823,2264
1594603826,2264
1594603829,2264
1594603832,2264
1594603835,2264
1594603838,2264
1594603841,2264
1594603844,2264
1594603847,2264
1594603850,2264
1594603853,2264
1594603856,2264
1594603859,2264
1594603862,2264
1594603865,2264
1594603868,2264
1594603871,2264
1594603874,2264
1594603877,2264
1594603880,2264
1594603883,2264
1594603886,2264
1594603889,2264
1594603892,2264
1594603895,2264
1594603898,2264
1594603901,2264
1594603904,2264
1594603907,2264
1594603910,2264
1594603913,2264
1594603916,2264
1594603919,2264
1594603922,2264
1594603925,2264
1594603928,2264
1594603931,2264
1594603934,2264
1594603937,2264
1594603940,2264
1594603943,2264
1594603946,2264
1594603949,2264
1594603952,2264
1594603955,2264
1594603958,2264
1594603961,2264
1594603964,2264
1594603967,2264
1594603970,2264
1594603973,2264
1594603976,2264
1594603979,2264
1594603982,2264
1594603985,2264
1594603988,2264
1594603991,2264
1594603994,2264
1594603997,2264
1594604000,2264
1594604003,2264
1594604006,2264
1594604009,2264
1594604012,2264
1594604015,2264
1594604018,2264
1594604021,2264
1594604024,2264
1594604027,2264
1594604030,2264
1594604033,2264
1594604036,2264
1594604039,2264
1594604042,2264
1594604045,2264
1594604048,2264
1594604051,2264
1594604054,2264
1594604057,2264
1594604060,2264
1594604063,2264
1594604066,2264
1594604069,2264
1594604072,2264
1594604075,2264
1594604078,2264
1594604081,2264
1594604084,2264
1594604087,2264
1594604090,2264
1594604093,2264
1594604096,2264
1594604099,2264
1594604102,2264
1594604105,2264
1594604108,2264
1594604111,2264
1594604114,2264
1594604117,2264
1594604120,2264
1594604123,2264
1594604126,2264
1594604129,2264
1594604132,2264
1594604135,2264
1594604138,2264
1594604141,2264
1594604144,2264
1594604147,2264
1594604150,2264
1594604153,2264
1594604156,2264
1594604159,2264
1594604162,2264
1594604165,2264
1594604168,2264
1594604171,2264
1594604174,2264
1594604177,2264
1594604180,2264
1594604183,2264
1594604186,2264
1594604189,2264
1594604192,2264
1594604195,2264
1594604198,2264
1594604201,2264
1594604204,2264
1594604207,2264
1594604210,2264
1594604213,2264
1594604216,2264
1594604219,2264
1594604222,2264
1594604225,2264
1594604228,2264
1594604231,2264
1594604234,2264
1594604237,2264
1594604240,2264
1594604243,2264
1594604246,2264
1594604249,2264
1594604252,2264
1594604255,2264
1594604258,2264
1594604261,2264
1594604264,2264
1594604267,2264
1594604270,2264
1594604273,2264
1594604276,2264
1594604279,2264
1594604282,2264
1594604285,2264
1594604288,2264
1594604291,2264
1594604294,2264
1594604297,2264
1594604300,2264
1594604303,2264
1594604306,2264
1594604309,2264
1594604312,2264
1594604315,2264
1594604318,2264
1594604321,2264
1594604324,2264
1594604327,2264
1594604330,2264
1594604333,2264
1594604336,2264
1594604339,2264
1594604342,2264
1594604345,2264
1594604348,2264
1594604351,2264
1594604354,2264
1594604357,2264
1594604360,2264
1594604363,2264
1594604366,2264
1594604369,2264
1594604372,2264
1594604375,2264
1594604378,2264
1594604381,2264
1594604384,2264
1594604387,2264
1594604390,2264
1594604393,2264
1594604396,2264
1594604399,2264
1594604402,2264
1594604405,2264
1594604408,2264
1594604411,2264
1594604414,2264
1594604417,2264
1594604420,2264
1594604423,2264
1594604426,2264
1594604429,2264
1594604432,2264
1594604435,2264
1594604438,2264
1594604441,2264
1594604444,2264
1594604447,2264
1594604450,2264
1594604453,2264
1594604456,2264
1594604459,2264
1594604462,2264
1594604465,2264
1594604468,2264
1594604471,2264
1594604474,2264
1594604477,2264
1594604480,2264
1594604483,2264
1594604486,2264
1594604489,2264
1594604492,2264
1594604495,2264
1594604498,2264
1594604501,2264
1594604504,2264
1594604507,2264
1594604510,2264
1594604513,2264
1594604516,2264
1594604519,2370
1594604522,2370
1594604525,2370
1594604528,2370
1594604531,2370
1594604534,2370
1594604537,2370
1594604540,2370
1594604543,2370
1594604546,2370
1594604549,2370
1594604552,2370
1594604555,2370
1594604558,2370
1594604561,2370
1594604564,2370
1594604567,2370
1594604570,2370
1594604573,2370
1594604576,2370
1594604579,2370
1594604582,2370
1594604585,2370
1594604588,2370
1594604591,2370
1594604594,2370
1594604597,2370
1594604600,2370
1594604603,2370
1594604606,2370
1594604609,2370
1594604612,2370
1594604615,2370
1594604618,2370
1594604621,2370
1594604624,2370
1594604627,2370
1594604630,2370
1594604633,2370
1594604636,2370
1594604639,2370
1594604642,2370
1594604645,2370
1594604648,2370
1594604651,2370
1594604654,2370
1594604657,2370
1594604660,2370
1594604663,2370
1594604666,2370
1594604669,2370
1594604672,2370
1594604675,2370
1594604678,2370
1594604681,2370
1594604684,2370
1594604687,2370
1594604690,2370
1594604693,2370
1594604696,2370
1594604699,2370
1594604702,2370
1594604705,2370
1594604708,2370
1594604711,2370
1594604714,2370
1594604717,2370
1594604720,2370
1594604723,2370
1594604726,2370
1594604729,2370
1594604732,2370
1594604735,2370
1594604738,2370
1594604741,2370
1594604744,2370
1594604747,2370
1594604750,2370
1594604753,2370
1594604756,2370
1594604759,2370
1594604762,2370
1594604765,2370
1594604768,2370
1594604771,2370
1594604774,2370
1594604777,2370
1594604780,2471
1594604783,2471
1594604786,2471
1594604789,2471
1594604792,2471
1594604795,2471
1594604798,2471
1594604801,2471
1594604804,2471
1594604807,2471
1594604810,2471
1594604813,2471
1594604816,2471
1594604819,2471
1594604822,2471
1594604825,2471
1594604828,2471
1594604831,2471
1594604834,2471
1594604837,2471
1594604840,2471
1594604843,2471
1594604846,2471
1594604849,2471
1594604852,2471
1594604855,2471
1594604858,2471
1594604861,2471
1594604864,2471
1594604867,2471
1594604870,2471
1594604873,2471
1594604876,2471
1594604879,2471
1594604882,2471
1594604885,2471
1594604888,2471
1594604891,2471
1594604894,2471
1594604897,2471
1594604900,2471
1594604903,2471
1594604906,2471
1594604909,2471
1594604912,2471
1594604915,2471
1594604918,2471
1594604921,2471
1594604924,2471
1594604927,2471
1594604930,2471
1594604933,2471
1594604936,2471
1594604939,2471
1594604942,2471
1594604945,2471
1594604948,2471
1594604951,2471
1594604954,2471
1594604957,2471
1594604960,2471
1594604963,2471
1594604966,2471
1594604969,2471
1594604972,2471
1594604975,2471
1594604978,2471
1594604981,2471
1594604984,2471
1594604987,2471
1594604990,2471
1594604993,2471
1594604996,2471
1594604999,2471
1594605002,2471
1594605005,2471
1594605008,2471
1594605011,2471
1594605014,2471
1594605017,2471
1594605020,2471
1594605023,2471
1594605026,2471
1594605029,2471
1594605032,2471
1594605035,2471
1594605038,2471
1594605041,2471
1594605044,2471
1594605047,2471
1594605050,2471
1594605053,2471
1594605056,2471
1594605059,2471
1594605062,2471
1594605065,2471
1594605068,2471
1594605071,2471
1594605074,2471
1594605077,2471
1594605080,2471
1594605083,2471
1594605086,2471
1594605089,2471
1594605092,2471
1594605095,2471
1594605098,2471
1594605101,2471
1594605104,2806
1594605107,2954
1594605110,2954
1594605113,3063
1594605116,3063
1594605119,3063
1594605122,3063
1594605125,3063
1594605128,3063
1594605131,3063
1594605134,3063
1594605137,3063
1594605140,3063
1594605143,3063
1594605146,3063
1594605149,3063
1594605152,3063
1594605155,3063
1594605158,3063
1594605161,3063
1594605164,3063
1594605167,3063
1594605170,3063
1594605173,3063
1594605176,3063
1594605179,3063
1594605182,3063
1594605185,3063
1594605188,3063
1594605191,3063
1594605194,3063
1594605197,3063
1594605200,3063
1594605203,3063
1594605206,3063
1594605209,3063
1594605212,3063
1594605215,3063
1594605218,3063
1594605221,3063
1594605224,3063
1594605227,3063
1594605230,3063
1594605233,3063
1594605236,3063
1594605239,3063
1594605242,3063
1594605245,3063
1594605248,3063
1594605251,3063
1594605254,3063
1594605257,3063
1594605260,3063
1594605263,3063
1594605266,3063
1594605269,3063
1594605272,3063
1594605275,3063
1594605278,3063
1594605281,3063
1594605284,3063
1594605287,3063
1594605290,3063
1594605293,3063
1594605296,3063
1594605299,3063
1594605302,3063
1594605305,3063
1594605308,3063
1594605311,3063
1594605314,3063
1594605317,3063
1594605320,3063
1594605323,3063
1594605326,3063
1594605329,3063
1594605332,3063
1594605335,3063
1594605338,3063
1594605341,3063
1594605344,3063
1594605347,3063
1594605350,3063
1594605353,3063
1594605356,3063
1594605359,3063
1594605362,3063
1594605365,3063
1594605368,3063
1594605371,3063
1594605374,3063
1594605377,3063
1594605380,3063
1594605383,3063
1594605386,3063
1594605389,3063
1594605392,3063
1594605395,3063
1594605398,3063
1594605401,3063
1594605404,3063
1594605407,3063
1594605410,3063
1594605413,3063
1594605416,3063
1594605419,3063
1594605422,3063
1594605425,3063
1594605428,3063
1594605431,3063
1594605434,3063
1594605437,3063
1594605440,3063
1594605443,3063
1594605446,3063
1594605449,3063
1594605452,3063
1594605455,3063
1594605458,3063
1594605461,3063
1594605464,3063
1594605467,3063
1594605470,3063
1594605473,3063
1594605476,3063
1594605479,3063
1594605482,3063
1594605485,3063
1594605488,3063
1594605491,3063
1594605494,3063
1594605497,3063
1594605500,3063
1594605503,3063
1594605506,3063
1594605509,3063
1594605512,3063
1594605515,3063
1594605518,3063
1594605521,3063
1594605524,3063
1594605527,3063
1594605530,3063
1594605533,3063
1594605536,3063
1594605539,3063
1594605542,3063
1594605545,3063
1594605548,3063
1594605551,3063
1594605554,3063
1594605557,3063
1594605560,3063
1594605563,3063
1594605566,3063
1594605569,3063
1594605572,3063
1594605575,3063
1594605578,3063
1594605581,3063
1594605584,3063
1594605587,3063
1594605590,3063
1594605593,3063
1594605596,3063
1594605599,3063
1594605602,3063
1594605605,3063
1594605608,3063
1594605611,3063
1594605614,3063
1594605617,3063
1594605620,3063
1594605623,3063
1594605626,3063
1594605629,3063
1594605632,3063
1594605635,3063
1594605638,3063
1594605641,3063
1594605644,3063
1594605647,3063
1594605650,3063
1594605653,3063
1594605656,3063
1594605659,3063
1594605662,3063
1594605665,3063
1594605668,3063
1594605671,3063
1594605674,3063
1594605677,3063
1594605680,3063
1594605683,3063
1594605686,3063
1594605689,3063
1594605692,3063
1594605695,3063
1594605698,3063
1594605701,3063
1594605704,3063
1594605707,3063
1594605710,3063
1594605713,3063
1594605716,3063
1594605719,3063
1594605722,3063
1594605725,3063
1594605728,3063
1594605731,3063
1594605734,3063
1594605737,3063
1594605740,3063
1594605743,3063
1594605746,3063
1594605749,3063
1594605752,3063
1594605755,3063
1594605758,3063
1594605761,3063
1594605764,3063
1594605767,3063
1594605770,3063
1594605773,3063
1594605776,3063
1594605779,3063
1594605782,3063
1594605785,3063
1594605788,3063
1594605791,3063
1594605794,3063
1594605797,3063
1594605800,3063
1594605803,3063
1594605806,3063
1594605809,3063
1594605812,3063
1594605815,3063
1594605818,3063
1594605821,3063
1594605824,3063
1594605827,3063
1594605830,3063
1594605833,3063
1594605836,3063
1594605839,3063
1594605842,3063
1594605845,3063
1594605848,3063
1594605851,3063
1594605854,3063
1594605857,3063
1594605860,3063
1594605863,3063
1594605866,3063
1594605869,3063
1594605872,3063
1594605875,3063
1594605878,3063
1594605881,3063
