t,value
1594603256,46
1594603259,51
1594603262,52
1594603265,52
1594603268,52
1594603271,53
1594603274,53
1594603277,53
1594603280,53
1594603283,53
1594603286,53
1594603289,53
1594603292,53
1594603295,53
1594603298,53
1594603301,53
1594603304,54
1594603307,54
1594603310,54
1594603313,51
1594603316,48
1594603319,48
1594603322,48
1594603325,48
1594603328,48
1594603331,48
1594603334,48
1594603337,48
1594603340,48
1594603343,48
1594603346,48
1594603349,48
1594603352,48
1594603355,48
1594603358,48
1594603361,48
1594603364,47
1594603367,47
1594603370,47
1594603373,47
1594603376,47
1594603379,47
1594603382,47
1594603385,47
1594603388,47
1594603391,47
1594603394,47
1594603397,47
1594603400,47
1594603403,50
1594603406,53
1594603409,54
1594603412,54
1594603415,54
1594603418,54
1594603421,54
1594603424,54
1594603427,54
1594603430,54
1594603433,54
1594603436,54
1594603439,54
1594603442,54
1594603445,54
1594603448,54
1594603451,54
1594603454,54
1594603457,54
1594603460,54
1594603463,54
1594603466,54
1594603469,54
1594603472,54
1594603475,54
1594603478,54
1594603481,54
1594603484,54
1594603487,54
1594603490,54
1594603493,54
1594603496,54
1594603499,54
1594603502,54
1594603505,54
1594603508,54
1594603511,54
1594603514,54
1594603517,52
1594603520,52
1594603523,52
1594603526,52
1594603529,52
1594603532,52
1594603535,52
1594603538,52
1594603541,52
1594603544,52
1594603547,52
1594603550,52
1594603553,52
1594603556,52
1594603559,52
1594603562,52
1594603565,52
1594603568,52
1594603571,52
1594603574,52
1594603577,50
1594603580,50
1594603583,50
1594603586,50
1594603589,50
1594603592,50
1594603595,50
1594603598,50
1594603601,50
1594603604,50
1594603607,50
1594603610,50
1594603613,50
1594603616,50
1594603619,50
1594603622,50
1594603625,50
1594603628,50
1594603631,50
1594603634,50
1594603637,50
1594603640,50
1594603643,50
1594603646,50
1594603649,50
1594603652,50
1594603655,50
1594603658,50
1594603661,50
1594603664,50
1594603667,50
1594603670,50
1594603673,50
1594603676,50
1594603679,50
1594603682,50
1594603685,50
1594603688,50
1594603691,50
1594603694,50
1594603697,50
1594603700,50
1594603703,50
1594603706,50
1594603709,50
1594603712,50
1594603715,50
1594603718,50
1594603721,50
1594603724,50
1594603727,50
1594603730,50
1594603733,50
1594603736,50
1594603739,50
1594603742,50
1594603745,50
1594603748,50
1594603751,50
1594603754,50
1594603757,50
1594603760,50
1594603763,50
1594603766,50
1594603769,50
1594603772,50
1594603775,50
1594603778,50
1594603781,50
1594603784,50
1594603787,50
1594603790,50
1594603793,50
1594603796,50
1594603799,50
1594603802,50
1594603805,50
1594603808,50
1594603811,50
1594603814,50
1594603817,50
1594603820,50
1594603823,50
1594603826,50
1594603829,50
1594603832,50
1594603835,50
1594603838,50
1594603841,50
1594603844,50
1594603847,50
1594603850,50
1594603853,50
1594603856,50
1594603859,50
1594603862,50
1594603865,50
1594603868,50
1594603871,50
1594603874,50
1594603877,50
1594603880,50
1594603883,50
1594603886,50
1594603889,50
1594603892,50
1594603895,50
1594603898,50
1594603901,50
1594603904,50
1594603907,50
1594603910,50
1594603913,50
1594603916,50
1594603919,50
1594603922,50
1594603925,50
1594603928,50
1594603931,50
1594603934,50
1594603937,50
1594603940,50
1594603943,50
1594603946,50
1594603949,50
1594603952,50
1594603955,50
1594603958,50
1594603961,50
1594603964,50
1594603967,50
1594603970,50
1594603973,50
1594603976,50
1594603979,50
1594603982,50
1594603985,50
1594603988,50
1594603991,50
1594603994,50
1594603997,50
1594604000,50
1594604003,50
1594604006,50
1594604009,50
1594604012,50
1594604015,50
1594604018,50
1594604021,50
1594604024,50
1594604027,50
1594604030,50
1594604033,50
1594604036,50
