t,value
1594603256,52
1594603259,57
1594603262,58
1594603265,58
1594603268,58
1594603271,59
1594603274,59
1594603277,59
1594603280,59
1594603283,59
1594603286,59
1594603289,59
1594603292,59
1594603295,59
1594603298,59
1594603301,59
1594603304,60
1594603307,60
1594603310,60
1594603313,57
1594603316,54
1594603319,54
1594603322,54
1594603325,54
1594603328,54
1594603331,54
1594603334,54
1594603337,54
1594603340,54
1594603343,54
1594603346,54
1594603349,54
1594603352,54
1594603355,54
1594603358,54
1594603361,54
1594603364,53
1594603367,53
1594603370,53
1594603373,53
1594603376,53
1594603379,53
1594603382,53
1594603385,53
1594603388,53
1594603391,53
1594603394,53
1594603397,53
1594603400,53
1594603403,56
1594603406,59
1594603409,60
1594603412,60
1594603415,60
1594603418,60
1594603421,60
1594603424,60
1594603427,60
1594603430,60
1594603433,60
1594603436,60
1594603439,60
1594603442,60
1594603445,60
1594603448,60
1594603451,60
1594603454,60
1594603457,60
1594603460,60
1594603463,60
1594603466,60
1594603469,60
1594603472,60
1594603475,60
1594603478,60
1594603481,60
1594603484,60
1594603487,60
1594603490,60
1594603493,60
1594603496,60
1594603499,60
1594603502,60
1594603505,60
1594603508,60
1594603511,60
1594603514,60
1594603517,58
1594603520,58
1594603523,58
1594603526,58
1594603529,58
1594603532,58
1594603535,58
1594603538,58
1594603541,58
1594603544,58
1594603547,58
1594603550,58
1594603553,58
1594603556,58
1594603559,58
1594603562,58
1594603565,58
1594603568,58
1594603571,58
1594603574,58
1594603577,56
1594603580,56
1594603583,56
1594603586,56
1594603589,56
1594603592,56
1594603595,56
1594603598,56
1594603601,56
1594603604,56
1594603607,56
1594603610,56
1594603613,56
1594603616,56
1594603619,56
1594603622,56
1594603625,56
1594603628,56
1594603631,56
1594603634,56
1594603637,56
1594603640,56
1594603643,56
1594603646,56
1594603649,56
1594603652,56
1594603655,56
1594603658,56
1594603661,56
1594603664,56
1594603667,56
1594603670,56
1594603673,56
1594603676,56
1594603679,56
1594603682,56
1594603685,56
1594603688,56
1594603691,56
1594603694,56
1594603697,56
1594603700,56
1594603703,56
1594603706,56
1594603709,56
1594603712,56
1594603715,56
1594603718,56
1594603721,56
1594603724,56
1594603727,56
1594603730,56
1594603733,56
1594603736,56
1594603739,56
1594603742,56
1594603745,56
1594603748,56
1594603751,56
1594603754,56
1594603757,56
1594603760,56
1594603763,56
1594603766,56
1594603769,56
1594603772,56
1594603775,56
1594603778,56
1594603781,56
1594603784,56
1594603787,56
1594603790,56
1594603793,56
1594603796,56
1594603799,56
1594603802,56
1594603805,56
1594603808,56
1594603811,56
1594603814,56
1594603817,56
1594603820,56
1594603823,56
1594603826,56
1594603829,56
1594603832,56
1594603835,56
1594603838,56
1594603841,56
1594603844,56
1594603847,56
1594603850,56
1594603853,56
1594603856,56
1594603859,56
1594603862,56
1594603865,56
1594603868,56
1594603871,56
1594603874,56
1594603877,56
1594603880,56
1594603883,56
1594603886,56
1594603889,56
1594603892,56
1594603895,56
1594603898,56
1594603901,56
1594603904,56
1594603907,56
1594603910,56
1594603913,56
1594603916,56
1594603919,56
1594603922,56
1594603925,56
1594603928,56
1594603931,56
1594603934,56
1594603937,56
1594603940,56
1594603943,56
1594603946,56
1594603949,56
1594603952,56
1594603955,56
1594603958,56
1594603961,56
1594603964,56
1594603967,56
1594603970,56
1594603973,56
1594603976,56
1594603979,56
1594603982,56
1594603985,56
1594603988,56
1594603991,56
1594603994,56
1594603997,56
1594604000,56
1594604003,56
1594604006,56
1594604009,56
1594604012,56
1594604015,56
1594604018,56
1594604021,56
1594604024,56
1594604027,56
1594604030,56
1594604033,56
1594604036,56
1594604039,56
1594604042,56
1594604045,56
1594604048,56
1594604051,56
1594604054,56
1594604057,56
1594604060,56
1594604063,56
1594604066,56
1594604069,56
1594604072,56
1594604075,56
1594604078,56
1594604081,56
1594604084,56
1594604087,56
1594604090,56
1594604093,56
1594604096,56
1594604099,56
1594604102,56
1594604105,56
1594604108,56
1594604111,56
1594604114,56
1594604117,56
1594604120,56
1594604123,56
1594604126,56
1594604129,56
1594604132,56
1594604135,56
1594604138,56
1594604141,56
1594604144,56
1594604147,56
1594604150,56
1594604153,56
1594604156,56
1594604159,56
1594604162,56
1594604165,56
1594604168,56
1594604171,56
1594604174,56
1594604177,56
1594604180,56
1594604183,56
1594604186,56
1594604189,56
1594604192,56
1594604195,56
1594604198,56
1594604201,56
1594604204,56
1594604207,56
1594604210,56
1594604213,56
1594604216,56
1594604219,56
1594604222,56
1594604225,56
1594604228,56
1594604231,56
1594604234,56
1594604237,56
1594604240,56
1594604243,56
1594604246,56
1594604249,56
