t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,0
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,1
1597515650,17
1597515653,19
1597515656,20
1597515659,20
1597515662,20
1597515665,20
1597515668,20
1597515671,20
1597515674,20
1597515677,0
1597515680,0
1597515683,0
1597515686,0
1597515689,0
1597515692,0
1597515695,0
1597515698,0
1597515701,0
1597515704,0
1597515707,0
1597515710,5
1597515713,6
1597515716,6
1597515719,6
1597515722,6
1597515725,6
1597515728,5
1597515731,6
1597515734,6
1597515737,6
1597515740,6
1597515743,5
1597515746,10
1597515749,11
1597515752,11
1597515755,11
1597515758,10
1597515761,10
1597515764,10
1597515767,10
1597515770,10
1597515773,10
1597515776,11
1597515779,11
1597515782,11
1597515785,11
1597515788,11
1597515791,11
1597515794,11
1597515797,11
1597515800,11
1597515803,11
1597515806,11
1597515809,11
1597515812,11
1597515815,11
1597515818,11
1597515821,11
1597515824,11
1597515827,11
1597515830,11
1597515833,11
1597515836,11
1597515839,11
1597515842,11
1597515845,11
1597515848,11
1597515851,11
1597515854,11
1597515857,11
1597515860,11
1597515863,11
1597515866,0
1597515869,0
1597515872,0
1597515875,0
1597515878,0
1597515881,0
1597515884,0
1597515887,0
1597515890,0
1597515893,0
1597515896,0
1597515899,0
1597515902,0
1597515905,0
1597515908,0
1597515911,0
1597515914,0
1597515917,0
1597515920,0
1597515923,0
1597515926,0
1597515929,0
1597515932,0
1597515935,0
1597515938,0
1597515941,0
1597515944,0
1597515947,0
1597515950,0
1597515953,0
1597515956,0
1597515959,0
1597515962,0
1597515965,0
1597515968,0
1597515971,0
1597515974,0
1597515977,0
1597515980,0
1597515983,0
1597515986,0
1597515989,0
1597515992,16
1597515995,19
1597515998,20
1597516001,16
1597516004,20
1597516007,20
1597516010,20
1597516013,20
1597516016,20
1597516019,20
1597516022,20
1597516025,20
1597516028,20
1597516031,20
1597516034,20
1597516037,20
1597516040,20
1597516043,20
1597516046,20
1597516049,20
1597516052,20
1597516055,20
1597516058,20
1597516061,20
1597516064,20
1597516067,20
1597516070,20
1597516073,20
1597516076,20
1597516079,20
1597516082,20
1597516085,20
1597516088,20
1597516091,20
1597516094,20
1597516097,20
1597516100,20
1597516103,20
1597516106,20
1597516109,20
1597516112,20
1597516115,20
1597516118,20
1597516121,20
1597516124,20
1597516127,20
1597516130,20
1597516133,20
1597516136,20
1597516139,20
1597516142,20
1597516145,20
1597516148,20
1597516151,20
1597516154,20
1597516157,20
1597516160,20
1597516163,20
1597516166,20
1597516169,20
1597516172,20
1597516175,20
1597516178,20
1597516181,20
1597516184,20
1597516187,20
1597516190,20
1597516193,20
1597516196,20
1597516199,20
1597516202,20
1597516205,20
1597516208,20
1597516211,20
1597516214,20
1597516217,20
1597516220,20
1597516223,20
1597516226,20
1597516229,20
1597516232,20
1597516235,20
1597516238,20
1597516241,20
1597516244,20
1597516247,20
1597516250,20
1597516253,20
1597516256,20
1597516259,20
1597516262,20
1597516265,20
1597516268,20
1597516271,20
1597516274,20
1597516277,20
1597516280,20
1597516283,20
1597516286,20
1597516289,20
1597516292,20
1597516295,20
1597516298,20
1597516301,20
1597516304,20
1597516307,20
1597516310,20
1597516313,20
1597516316,20
1597516319,20
1597516322,20
1597516325,20
1597516328,20
1597516331,20
1597516334,20
1597516337,20
1597516340,20
1597516343,20
1597516346,20
1597516349,20
1597516352,20
1597516355,20
1597516358,20
1597516361,20
1597516364,20
1597516367,20
1597516370,20
1597516373,20
1597516376,20
1597516379,20
1597516382,20
1597516385,20
1597516388,20
1597516391,20
1597516394,20
1597516397,20
1597516400,20
1597516403,20
1597516406,20
1597516409,20
1597516412,20
1597516415,20
1597516418,20
1597516421,20
1597516424,20
1597516427,20
1597516430,20
1597516433,20
1597516436,20
1597516439,20
1597516442,19
1597516445,20
1597516448,20
1597516451,20
1597516454,20
1597516457,20
1597516460,20
1597516463,20
1597516466,20
1597516469,20
1597516472,20
1597516475,20
1597516478,20
1597516481,20
1597516484,20
1597516487,20
1597516490,20
1597516493,20
1597516496,20
1597516499,20
1597516502,20
1597516505,20
1597516508,20
1597516511,20
1597516514,20
1597516517,20
1597516520,20
1597516523,20
1597516526,20
1597516529,20
1597516532,20
1597516535,20
1597516538,20
1597516541,20
1597516544,20
1597516547,20
1597516550,20
1597516553,20
1597516556,20
1597516559,20
1597516562,20
1597516565,20
1597516568,20
1597516571,20
1597516574,20
1597516577,20
1597516580,20
1597516583,20
1597516586,20
1597516589,20
1597516592,20
1597516595,20
1597516598,20
1597516601,20
1597516604,20
1597516607,20
1597516610,20
1597516613,20
1597516616,20
1597516619,20
1597516622,20
1597516625,20
1597516628,20
1597516631,20
1597516634,20
1597516637,20
1597516640,20
1597516643,20
1597516646,20
1597516649,20
1597516652,20
1597516655,20
1597516658,20
1597516661,20
1597516664,20
1597516667,20
1597516670,20
1597516673,20
1597516676,20
1597516679,20
1597516682,20
1597516685,20
1597516688,20
1597516691,20
1597516694,20
1597516697,20
1597516700,20
1597516703,20
1597516706,20
1597516709,20
1597516712,20
1597516715,20
1597516718,20
1597516721,20
1597516724,20
1597516727,20
1597516730,20
1597516733,20
1597516736,20
1597516739,20
1597516742,20
1597516745,20
1597516748,20
1597516751,20
1597516754,20
1597516757,20
1597516760,20
1597516763,20
1597516766,20
1597516769,20
1597516772,20
1597516775,20
1597516778,20
1597516781,20
1597516784,20
1597516787,20
1597516790,20
1597516793,20
1597516796,20
1597516799,20
1597516802,20
1597516805,20
1597516808,20
1597516811,20
1597516814,20
1597516817,20
1597516820,20
1597516823,20
1597516826,20
1597516829,20
1597516832,20
1597516835,20
1597516838,20
1597516841,20
1597516844,20
1597516847,20
1597516850,20
1597516853,20
1597516856,20
1597516859,20
1597516862,20
1597516865,20
1597516868,20
1597516871,20
1597516874,20
1597516877,20
1597516880,20
1597516883,20
1597516886,20
1597516889,20
1597516892,20
1597516895,20
1597516898,20
1597516901,20
1597516904,20
1597516907,20
1597516910,20
1597516913,20
1597516916,20
1597516919,20
1597516922,20
1597516925,20
1597516928,20
1597516931,20
1597516934,20
1597516937,20
1597516940,20
1597516943,20
1597516946,20
1597516949,20
1597516952,20
1597516955,20
1597516958,20
1597516961,20
1597516964,20
1597516967,20
1597516970,20
1597516973,20
1597516976,20
1597516979,20
1597516982,20
1597516985,20
1597516988,20
1597516991,20
1597516994,20
1597516997,20
1597517000,20
1597517003,20
1597517006,20
1597517009,20
1597517012,20
1597517015,20
1597517018,20
1597517021,20
1597517024,20
1597517027,20
1597517030,20
1597517033,20
1597517036,20
1597517039,20
1597517042,20
1597517045,20
1597517048,20
1597517051,20
1597517054,20
1597517057,20
1597517060,20
1597517063,20
1597517066,20
1597517069,20
1597517072,20
1597517075,20
1597517078,20
1597517081,20
1597517084,20
1597517087,20
1597517090,20
1597517093,20
1597517096,20
1597517099,20
1597517102,20
1597517105,20
1597517108,20
1597517111,20
1597517114,20
1597517117,20
1597517120,20
1597517123,20
1597517126,20
1597517129,20
1597517132,20
1597517135,20
1597517138,20
1597517141,20
1597517144,20
1597517147,20
1597517150,20
1597517153,20
1597517156,20
1597517159,20
1597517162,20
1597517165,20
1597517168,20
1597517171,20
1597517174,20
1597517177,20
1597517180,20
1597517183,20
1597517186,20
1597517189,20
1597517192,20
1597517195,20
1597517198,20
1597517201,20
1597517204,20
1597517207,20
1597517210,20
1597517213,20
1597517216,20
1597517219,20
1597517222,20
1597517225,20
1597517228,20
1597517231,20
1597517234,20
1597517237,20
1597517240,20
1597517243,20
1597517246,20
1597517249,20
1597517252,20
1597517255,20
1597517258,20
1597517261,20
1597517264,20
1597517267,20
1597517270,20
1597517273,20
1597517276,20
1597517279,20
1597517282,20
1597517285,20
1597517288,20
1597517291,20
1597517294,20
1597517297,20
1597517300,20
1597517303,20
1597517306,20
1597517309,20
1597517312,20
1597517315,20
1597517318,20
1597517321,20
1597517324,20
1597517327,20
1597517330,20
1597517333,20
1597517336,20
1597517339,20
1597517342,20
1597517345,20
1597517348,20
1597517351,20
1597517354,20
1597517357,20
1597517360,20
1597517363,20
1597517366,20
1597517369,20
1597517372,20
1597517375,20
1597517378,20
1597517381,20
1597517384,20
1597517387,20
1597517390,20
1597517393,20
1597517396,20
1597517399,20
1597517402,20
1597517405,20
1597517408,20
1597517411,20
1597517414,20
1597517417,20
1597517420,20
1597517423,20
1597517426,20
1597517429,20
1597517432,20
1597517435,20
1597517438,20
1597517441,20
1597517444,20
1597517447,20
1597517450,20
1597517453,20
1597517456,20
1597517459,20
1597517462,20
1597517465,20
1597517468,20
1597517471,20
1597517474,20
1597517477,20
1597517480,20
1597517483,20
1597517486,20
1597517489,20
1597517492,20
1597517495,20
1597517498,20
1597517501,20
1597517504,20
1597517507,20
1597517510,20
1597517513,20
1597517516,20
1597517519,20
1597517522,20
1597517525,20
1597517528,20
1597517531,20
1597517534,20
1597517537,20
1597517540,20
1597517543,20
1597517546,20
1597517549,20
1597517552,20
1597517555,20
1597517558,20
1597517561,20
1597517564,20
1597517567,20
1597517570,20
1597517573,20
1597517576,20
1597517579,20
1597517582,20
1597517585,20
1597517588,20
1597517591,18
1597517594,20
1597517597,20
1597517600,20
1597517603,20
1597517606,20
1597517609,20
1597517612,20
1597517615,19
1597517618,20
1597517621,20
1597517624,20
1597517627,20
1597517630,20
1597517633,20
1597517636,20
1597517639,20
1597517642,20
1597517645,20
1597517648,20
1597517651,20
1597517654,20
1597517657,20
1597517660,20
1597517663,20
1597517666,20
1597517669,20
1597517672,20
1597517675,20
1597517678,20
1597517681,20
1597517684,20
1597517687,20
1597517690,20
1597517693,20
1597517696,20
1597517699,20
1597517702,20
1597517705,20
1597517708,20
1597517711,20
1597517714,20
1597517717,20
1597517720,20
1597517723,20
1597517726,20
1597517729,20
1597517732,20
1597517735,20
1597517738,20
1597517741,20
1597517744,20
1597517747,20
1597517750,20
1597517753,20
1597517756,20
1597517759,20
1597517762,20
1597517765,20
