t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,2,0.221830,0.000000,0.000000,0.000000,events/second
1597515524,2,0.166078,0.000000,0.000000,0.000000,events/second
1597515527,2,0.133220,0.000000,0.000000,0.000000,events/second
1597515530,2,0.111132,0.000000,0.000000,0.000000,events/second
1597515533,2,0.095165,0.000000,0.000000,0.000000,events/second
1597515536,2,0.083265,0.000000,0.000000,0.000000,events/second
1597515539,2,0.074038,0.000000,0.000000,0.000000,events/second
1597515542,2,0.066638,0.000000,0.000000,0.000000,events/second
1597515545,2,0.060596,0.000000,0.000000,0.000000,events/second
1597515548,2,0.055542,0.000000,0.000000,0.000000,events/second
1597515551,2,0.051290,0.000000,0.000000,0.000000,events/second
1597515554,2,0.047622,0.000000,0.000000,0.000000,events/second
1597515557,2,0.044445,0.000000,0.000000,0.000000,events/second
1597515560,2,0.041669,0.000000,0.000000,0.000000,events/second
1597515563,2,0.039191,0.000000,0.000000,0.000000,events/second
1597515566,2,0.037050,0.000000,0.000000,0.000000,events/second
1597515569,2,0.035086,0.000000,0.000000,0.000000,events/second
1597515572,2,0.033330,0.000000,0.000000,0.000000,events/second
1597515575,2,0.031734,0.000000,0.000000,0.000000,events/second
1597515578,2,0.030313,0.000000,0.000000,0.000000,events/second
1597515581,2,0.028979,0.000000,0.000000,0.000000,events/second
1597515584,2,0.027773,0.000000,0.000000,0.000000,events/second
1597515587,2,0.026662,0.000000,0.000000,0.000000,events/second
1597515590,2,0.025614,0.000000,0.000000,0.000000,events/second
1597515593,2,0.024653,0.000000,0.000000,0.000000,events/second
1597515596,2,0.023812,0.000000,0.000000,0.000000,events/second
1597515599,2,0.022986,0.000000,0.000000,0.000000,events/second
1597515602,2,0.022225,0.000000,0.000000,0.000000,events/second
1597515605,2,0.021508,0.000000,0.000000,0.000000,events/second
1597515608,2,0.020836,0.000000,0.000000,0.000000,events/second
1597515611,2,0.020199,0.000000,0.000000,0.000000,events/second
1597515614,2,0.019609,0.000000,0.000000,0.000000,events/second
1597515617,2,0.019039,0.000000,0.000000,0.000000,events/second
1597515620,2,0.018518,0.000000,0.000000,0.000000,events/second
1597515623,2,0.018020,0.000000,0.000000,0.000000,events/second
1597515626,2,0.017540,0.000000,0.000000,0.000000,events/second
1597515629,2,0.017091,0.000000,0.000000,0.000000,events/second
1597515632,2,0.016661,0.000000,0.000000,0.000000,events/second
1597515635,2,0.016256,0.000000,0.000000,0.000000,events/second
1597515638,2,0.015855,0.000000,0.000000,0.000000,events/second
1597515641,2,0.015504,0.000000,0.000000,0.000000,events/second
1597515644,2,0.015153,0.000000,0.000000,0.000000,events/second
1597515647,4,0.029611,0.000000,0.000000,0.000000,events/second
1597515650,22,0.159354,0.000000,0.000000,0.000000,events/second
1597515653,23,0.163126,0.000000,0.000000,0.000000,events/second
1597515656,23,0.159704,0.000000,0.000000,0.000000,events/second
1597515659,23,0.156461,0.000000,0.000000,0.000000,events/second
1597515662,23,0.153356,0.000000,0.000000,0.000000,events/second
1597515665,23,0.150308,0.000000,0.000000,0.000000,events/second
1597515668,23,0.147439,0.000000,0.000000,0.000000,events/second
1597515671,23,0.144646,0.000000,0.000000,0.000000,events/second
1597515674,23,0.141987,0.000000,0.000000,0.000000,events/second
