t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,6,0.665386,0.000000,0.000000,0.000000,events/second
1597515524,6,0.498176,0.000000,0.000000,0.000000,events/second
1597515527,23,1.531990,0.000000,0.000000,0.000000,events/second
1597515530,23,1.278066,0.000000,0.000000,0.000000,events/second
1597515533,23,1.094429,0.000000,0.000000,0.000000,events/second
1597515536,23,0.957521,0.000000,0.000000,0.000000,events/second
1597515539,23,0.851452,0.000000,0.000000,0.000000,events/second
1597515542,23,0.766350,0.000000,0.000000,0.000000,events/second
1597515545,23,0.696874,0.000000,0.000000,0.000000,events/second
1597515548,23,0.638734,0.000000,0.000000,0.000000,events/second
1597515551,23,0.589844,0.000000,0.000000,0.000000,events/second
1597515554,23,0.547658,0.000000,0.000000,0.000000,events/second
1597515557,23,0.511125,0.000000,0.000000,0.000000,events/second
1597515560,23,0.479206,0.000000,0.000000,0.000000,events/second
1597515563,23,0.450697,0.000000,0.000000,0.000000,events/second
1597515566,23,0.426080,0.000000,0.000000,0.000000,events/second
1597515569,23,0.403498,0.000000,0.000000,0.000000,events/second
1597515572,23,0.383302,0.000000,0.000000,0.000000,events/second
1597515575,23,0.364946,0.000000,0.000000,0.000000,events/second
1597515578,23,0.348606,0.000000,0.000000,0.000000,events/second
1597515581,23,0.333264,0.000000,0.000000,0.000000,events/second
1597515584,23,0.319388,0.000000,0.000000,0.000000,events/second
1597515587,23,0.306597,0.000000,0.000000,0.000000,events/second
1597515590,23,0.294560,0.000000,0.000000,0.000000,events/second
1597515593,23,0.283509,0.000000,0.000000,0.000000,events/second
1597515596,23,0.273839,0.000000,0.000000,0.000000,events/second
1597515599,23,0.264346,0.000000,0.000000,0.000000,events/second
1597515602,23,0.255586,0.000000,0.000000,0.000000,events/second
1597515605,23,0.247341,0.000000,0.000000,0.000000,events/second
1597515608,23,0.239612,0.000000,0.000000,0.000000,events/second
1597515611,23,0.232276,0.000000,0.000000,0.000000,events/second
1597515614,23,0.225506,0.000000,0.000000,0.000000,events/second
1597515617,23,0.218942,0.000000,0.000000,0.000000,events/second
1597515620,23,0.212956,0.000000,0.000000,0.000000,events/second
1597515623,23,0.207237,0.000000,0.000000,0.000000,events/second
1597515626,23,0.201706,0.000000,0.000000,0.000000,events/second
1597515629,23,0.196537,0.000000,0.000000,0.000000,events/second
1597515632,23,0.191601,0.000000,0.000000,0.000000,events/second
1597515635,23,0.186949,0.000000,0.000000,0.000000,events/second
1597515638,23,0.182291,0.000000,0.000000,0.000000,events/second
1597515641,23,0.178293,0.000000,0.000000,0.000000,events/second
1597515644,23,0.174255,0.000000,0.000000,0.000000,events/second
1597515647,28,0.207279,0.000000,0.000000,0.000000,events/second
1597515650,123,0.890928,0.000000,0.000000,0.000000,events/second
1597515653,132,0.936205,0.000000,0.000000,0.000000,events/second
1597515656,164,1.138752,0.000000,0.000000,0.000000,events/second
1597515659,184,1.251694,0.000000,0.000000,0.000000,events/second
1597515662,207,1.380206,0.000000,0.000000,0.000000,events/second
1597515665,207,1.352776,0.000000,0.000000,0.000000,events/second
1597515668,210,1.346192,0.000000,0.000000,0.000000,events/second
1597515671,210,1.320675,0.000000,0.000000,0.000000,events/second
1597515674,213,1.314934,0.000000,0.000000,0.000000,events/second
