t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,4,0.443564,0.000000,0.000000,0.000000,events/second
1597515524,4,0.332099,0.000000,0.000000,0.000000,events/second
1597515527,21,1.398762,0.000000,0.000000,0.000000,events/second
1597515530,21,1.166948,0.000000,0.000000,0.000000,events/second
1597515533,21,0.999276,0.000000,0.000000,0.000000,events/second
1597515536,21,0.874255,0.000000,0.000000,0.000000,events/second
1597515539,21,0.777419,0.000000,0.000000,0.000000,events/second
1597515542,21,0.699717,0.000000,0.000000,0.000000,events/second
1597515545,21,0.636283,0.000000,0.000000,0.000000,events/second
1597515548,21,0.583195,0.000000,0.000000,0.000000,events/second
1597515551,21,0.538558,0.000000,0.000000,0.000000,events/second
1597515554,21,0.500039,0.000000,0.000000,0.000000,events/second
1597515557,21,0.466683,0.000000,0.000000,0.000000,events/second
1597515560,21,0.437540,0.000000,0.000000,0.000000,events/second
1597515563,21,0.411508,0.000000,0.000000,0.000000,events/second
1597515566,21,0.389032,0.000000,0.000000,0.000000,events/second
1597515569,21,0.368407,0.000000,0.000000,0.000000,events/second
1597515572,21,0.349974,0.000000,0.000000,0.000000,events/second
1597515575,21,0.333212,0.000000,0.000000,0.000000,events/second
1597515578,21,0.318294,0.000000,0.000000,0.000000,events/second
1597515581,21,0.304286,0.000000,0.000000,0.000000,events/second
1597515584,21,0.291615,0.000000,0.000000,0.000000,events/second
1597515587,21,0.279935,0.000000,0.000000,0.000000,events/second
1597515590,21,0.268942,0.000000,0.000000,0.000000,events/second
1597515593,21,0.258857,0.000000,0.000000,0.000000,events/second
1597515596,21,0.250027,0.000000,0.000000,0.000000,events/second
1597515599,21,0.241360,0.000000,0.000000,0.000000,events/second
1597515602,21,0.233362,0.000000,0.000000,0.000000,events/second
1597515605,21,0.225834,0.000000,0.000000,0.000000,events/second
1597515608,21,0.218777,0.000000,0.000000,0.000000,events/second
1597515611,21,0.212078,0.000000,0.000000,0.000000,events/second
1597515614,21,0.205897,0.000000,0.000000,0.000000,events/second
1597515617,21,0.199904,0.000000,0.000000,0.000000,events/second
1597515620,21,0.194439,0.000000,0.000000,0.000000,events/second
1597515623,21,0.189217,0.000000,0.000000,0.000000,events/second
1597515626,21,0.184167,0.000000,0.000000,0.000000,events/second
1597515629,21,0.179443,0.000000,0.000000,0.000000,events/second
1597515632,21,0.174940,0.000000,0.000000,0.000000,events/second
1597515635,21,0.170693,0.000000,0.000000,0.000000,events/second
1597515638,21,0.166440,0.000000,0.000000,0.000000,events/second
1597515641,21,0.162790,0.000000,0.000000,0.000000,events/second
1597515644,21,0.159103,0.000000,0.000000,0.000000,events/second
1597515647,25,0.185071,0.000000,0.000000,0.000000,events/second
1597515650,119,0.861955,0.000000,0.000000,0.000000,events/second
1597515653,128,0.907836,0.000000,0.000000,0.000000,events/second
1597515656,161,1.117921,0.000000,0.000000,0.000000,events/second
1597515659,181,1.231284,0.000000,0.000000,0.000000,events/second
1597515662,204,1.360205,0.000000,0.000000,0.000000,events/second
1597515665,204,1.333172,0.000000,0.000000,0.000000,events/second
1597515668,207,1.326963,0.000000,0.000000,0.000000,events/second
1597515671,207,1.301805,0.000000,0.000000,0.000000,events/second
1597515674,210,1.296414,0.000000,0.000000,0.000000,events/second
