t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,2,0.560367,0.000000,0.000000,0.000000,events/second
1597515518,2,0.327682,0.000000,0.000000,0.000000,events/second
1597515521,2,0.221863,0.000000,0.000000,0.000000,events/second
1597515524,2,0.166099,0.000000,0.000000,0.000000,events/second
1597515527,2,0.133250,0.000000,0.000000,0.000000,events/second
1597515530,2,0.111167,0.000000,0.000000,0.000000,events/second
1597515533,2,0.095190,0.000000,0.000000,0.000000,events/second
1597515536,2,0.083277,0.000000,0.000000,0.000000,events/second
1597515539,2,0.074051,0.000000,0.000000,0.000000,events/second
1597515542,2,0.066650,0.000000,0.000000,0.000000,events/second
1597515545,2,0.060607,0.000000,0.000000,0.000000,events/second
1597515548,2,0.055549,0.000000,0.000000,0.000000,events/second
1597515551,2,0.051298,0.000000,0.000000,0.000000,events/second
1597515554,2,0.047628,0.000000,0.000000,0.000000,events/second
1597515557,2,0.044450,0.000000,0.000000,0.000000,events/second
1597515560,2,0.041675,0.000000,0.000000,0.000000,events/second
1597515563,2,0.039195,0.000000,0.000000,0.000000,events/second
1597515566,2,0.037054,0.000000,0.000000,0.000000,events/second
1597515569,2,0.035089,0.000000,0.000000,0.000000,events/second
1597515572,2,0.033333,0.000000,0.000000,0.000000,events/second
1597515575,2,0.031737,0.000000,0.000000,0.000000,events/second
1597515578,2,0.030316,0.000000,0.000000,0.000000,events/second
1597515581,2,0.028982,0.000000,0.000000,0.000000,events/second
1597515584,2,0.027775,0.000000,0.000000,0.000000,events/second
1597515587,2,0.026662,0.000000,0.000000,0.000000,events/second
1597515590,2,0.025615,0.000000,0.000000,0.000000,events/second
1597515593,2,0.024654,0.000000,0.000000,0.000000,events/second
1597515596,2,0.023813,0.000000,0.000000,0.000000,events/second
1597515599,2,0.022988,0.000000,0.000000,0.000000,events/second
1597515602,2,0.022226,0.000000,0.000000,0.000000,events/second
1597515605,2,0.021509,0.000000,0.000000,0.000000,events/second
1597515608,2,0.020837,0.000000,0.000000,0.000000,events/second
1597515611,2,0.020199,0.000000,0.000000,0.000000,events/second
1597515614,2,0.019610,0.000000,0.000000,0.000000,events/second
1597515617,2,0.019039,0.000000,0.000000,0.000000,events/second
1597515620,2,0.018519,0.000000,0.000000,0.000000,events/second
1597515623,2,0.018021,0.000000,0.000000,0.000000,events/second
1597515626,2,0.017540,0.000000,0.000000,0.000000,events/second
1597515629,2,0.017090,0.000000,0.000000,0.000000,events/second
1597515632,2,0.016662,0.000000,0.000000,0.000000,events/second
1597515635,2,0.016257,0.000000,0.000000,0.000000,events/second
1597515638,2,0.015852,0.000000,0.000000,0.000000,events/second
1597515641,2,0.015504,0.000000,0.000000,0.000000,events/second
1597515644,2,0.015153,0.000000,0.000000,0.000000,events/second
1597515647,2,0.014806,0.000000,0.000000,0.000000,events/second
1597515650,2,0.014487,0.000000,0.000000,0.000000,events/second
1597515653,2,0.014185,0.000000,0.000000,0.000000,events/second
1597515656,2,0.013888,0.000000,0.000000,0.000000,events/second
1597515659,2,0.013606,0.000000,0.000000,0.000000,events/second
1597515662,2,0.013336,0.000000,0.000000,0.000000,events/second
1597515665,2,0.013071,0.000000,0.000000,0.000000,events/second
1597515668,2,0.012821,0.000000,0.000000,0.000000,events/second
1597515671,2,0.012578,0.000000,0.000000,0.000000,events/second
1597515674,2,0.012347,0.000000,0.000000,0.000000,events/second
1597515677,2,0.012122,0.000000,0.000000,0.000000,events/second
1597515680,2,0.011906,0.000000,0.000000,0.000000,events/second
1597515683,2,0.011697,0.000000,0.000000,0.000000,events/second
1597515686,2,0.011494,0.000000,0.000000,0.000000,events/second
1597515689,2,0.011301,0.000000,0.000000,0.000000,events/second
1597515692,2,0.011112,0.000000,0.000000,0.000000,events/second
1597515695,2,0.010930,0.000000,0.000000,0.000000,events/second
1597515698,2,0.010755,0.000000,0.000000,0.000000,events/second
1597515701,2,0.010583,0.000000,0.000000,0.000000,events/second
1597515704,2,0.010418,0.000000,0.000000,0.000000,events/second
1597515707,2,0.010257,0.000000,0.000000,0.000000,events/second
1597515710,2,0.010096,0.000000,0.000000,0.000000,events/second
1597515713,2,0.009951,0.000000,0.000000,0.000000,events/second
1597515716,2,0.009805,0.000000,0.000000,0.000000,events/second
1597515719,2,0.009662,0.000000,0.000000,0.000000,events/second
1597515722,2,0.009525,0.000000,0.000000,0.000000,events/second
1597515725,2,0.009390,0.000000,0.000000,0.000000,events/second
1597515728,2,0.009259,0.000000,0.000000,0.000000,events/second
1597515731,2,0.009133,0.000000,0.000000,0.000000,events/second
1597515734,2,0.009010,0.000000,0.000000,0.000000,events/second
1597515737,2,0.008890,0.000000,0.000000,0.000000,events/second
1597515740,2,0.008772,0.000000,0.000000,0.000000,events/second
1597515743,2,0.008656,0.000000,0.000000,0.000000,events/second
1597515746,2,0.008547,0.000000,0.000000,0.000000,events/second
1597515749,2,0.008438,0.000000,0.000000,0.000000,events/second
1597515752,2,0.008334,0.000000,0.000000,0.000000,events/second
1597515755,2,0.008231,0.000000,0.000000,0.000000,events/second
1597515758,2,0.008130,0.000000,0.000000,0.000000,events/second
1597515761,2,0.008031,0.000000,0.000000,0.000000,events/second
1597515764,2,0.007936,0.000000,0.000000,0.000000,events/second
1597515767,2,0.007841,0.000000,0.000000,0.000000,events/second
1597515770,2,0.007749,0.000000,0.000000,0.000000,events/second
1597515773,2,0.007661,0.000000,0.000000,0.000000,events/second
1597515776,2,0.007577,0.000000,0.000000,0.000000,events/second
1597515779,2,0.007491,0.000000,0.000000,0.000000,events/second
1597515782,2,0.007408,0.000000,0.000000,0.000000,events/second
1597515785,2,0.007327,0.000000,0.000000,0.000000,events/second
1597515788,2,0.007247,0.000000,0.000000,0.000000,events/second
1597515791,2,0.007169,0.000000,0.000000,0.000000,events/second
1597515794,2,0.007093,0.000000,0.000000,0.000000,events/second
1597515797,2,0.007018,0.000000,0.000000,0.000000,events/second
1597515800,2,0.006943,0.000000,0.000000,0.000000,events/second
1597515803,2,0.006873,0.000000,0.000000,0.000000,events/second
1597515806,2,0.006803,0.000000,0.000000,0.000000,events/second
1597515809,2,0.006734,0.000000,0.000000,0.000000,events/second
1597515812,2,0.006667,0.000000,0.000000,0.000000,events/second
1597515815,2,0.006601,0.000000,0.000000,0.000000,events/second
1597515818,2,0.006536,0.000000,0.000000,0.000000,events/second
1597515821,2,0.006473,0.000000,0.000000,0.000000,events/second
1597515824,2,0.006410,0.000000,0.000000,0.000000,events/second
1597515827,2,0.006349,0.000000,0.000000,0.000000,events/second
1597515830,2,0.006290,0.000000,0.000000,0.000000,events/second
1597515833,2,0.006231,0.000000,0.000000,0.000000,events/second
1597515836,2,0.006173,0.000000,0.000000,0.000000,events/second
1597515839,2,0.006117,0.000000,0.000000,0.000000,events/second
1597515842,2,0.006061,0.000000,0.000000,0.000000,events/second
1597515845,2,0.006006,0.000000,0.000000,0.000000,events/second
1597515848,2,0.005953,0.000000,0.000000,0.000000,events/second
1597515851,2,0.005900,0.000000,0.000000,0.000000,events/second
1597515854,2,0.005848,0.000000,0.000000,0.000000,events/second
1597515857,2,0.005797,0.000000,0.000000,0.000000,events/second
1597515860,2,0.005747,0.000000,0.000000,0.000000,events/second
1597515863,2,0.005698,0.000000,0.000000,0.000000,events/second
1597515866,2,0.005650,0.000000,0.000000,0.000000,events/second
1597515869,2,0.005603,0.000000,0.000000,0.000000,events/second
1597515872,2,0.005556,0.000000,0.000000,0.000000,events/second
1597515875,2,0.005510,0.000000,0.000000,0.000000,events/second
1597515878,2,0.005465,0.000000,0.000000,0.000000,events/second
1597515881,2,0.005420,0.000000,0.000000,0.000000,events/second
1597515884,2,0.005377,0.000000,0.000000,0.000000,events/second
1597515887,2,0.005333,0.000000,0.000000,0.000000,events/second
1597515890,2,0.005289,0.000000,0.000000,0.000000,events/second
1597515893,2,0.005249,0.000000,0.000000,0.000000,events/second
1597515896,2,0.005209,0.000000,0.000000,0.000000,events/second
1597515899,2,0.005168,0.000000,0.000000,0.000000,events/second
1597515902,2,0.005129,0.000000,0.000000,0.000000,events/second
1597515905,2,0.005089,0.000000,0.000000,0.000000,events/second
1597515908,2,0.005051,0.000000,0.000000,0.000000,events/second
1597515911,2,0.005013,0.000000,0.000000,0.000000,events/second
1597515914,2,0.004975,0.000000,0.000000,0.000000,events/second
1597515917,2,0.004938,0.000000,0.000000,0.000000,events/second
1597515920,2,0.004902,0.000000,0.000000,0.000000,events/second
1597515923,2,0.004866,0.000000,0.000000,0.000000,events/second
1597515926,2,0.004831,0.000000,0.000000,0.000000,events/second
1597515929,2,0.004797,0.000000,0.000000,0.000000,events/second
1597515932,2,0.004762,0.000000,0.000000,0.000000,events/second
1597515935,2,0.004728,0.000000,0.000000,0.000000,events/second
1597515938,2,0.004695,0.000000,0.000000,0.000000,events/second
1597515941,2,0.004662,0.000000,0.000000,0.000000,events/second
1597515944,2,0.004630,0.000000,0.000000,0.000000,events/second
1597515947,2,0.004598,0.000000,0.000000,0.000000,events/second
1597515950,2,0.004566,0.000000,0.000000,0.000000,events/second
1597515953,2,0.004534,0.000000,0.000000,0.000000,events/second
1597515956,2,0.004505,0.000000,0.000000,0.000000,events/second
1597515959,2,0.004473,0.000000,0.000000,0.000000,events/second
1597515962,2,0.004445,0.000000,0.000000,0.000000,events/second
1597515965,2,0.004415,0.000000,0.000000,0.000000,events/second
1597515968,2,0.004386,0.000000,0.000000,0.000000,events/second
1597515971,2,0.004358,0.000000,0.000000,0.000000,events/second
1597515974,2,0.004329,0.000000,0.000000,0.000000,events/second
1597515977,2,0.004300,0.000000,0.000000,0.000000,events/second
1597515980,2,0.004274,0.000000,0.000000,0.000000,events/second
1597515983,2,0.004247,0.000000,0.000000,0.000000,events/second
1597515986,2,0.004219,0.000000,0.000000,0.000000,events/second
1597515989,2,0.004193,0.000000,0.000000,0.000000,events/second
1597515992,2,0.004167,0.000000,0.000000,0.000000,events/second
1597515995,2,0.004141,0.000000,0.000000,0.000000,events/second
1597515998,2,0.004115,0.000000,0.000000,0.000000,events/second
1597516001,2,0.004090,0.000000,0.000000,0.000000,events/second
1597516004,2,0.004065,0.000000,0.000000,0.000000,events/second
1597516007,2,0.004040,0.000000,0.000000,0.000000,events/second
1597516010,2,0.004015,0.000000,0.000000,0.000000,events/second
1597516013,2,0.003992,0.000000,0.000000,0.000000,events/second
1597516016,2,0.003968,0.000000,0.000000,0.000000,events/second
1597516019,2,0.003945,0.000000,0.000000,0.000000,events/second
1597516022,2,0.003922,0.000000,0.000000,0.000000,events/second
1597516025,2,0.003899,0.000000,0.000000,0.000000,events/second
1597516028,2,0.003876,0.000000,0.000000,0.000000,events/second
