t,value
1597515515,0
1597515518,16777216
1597515521,67108864
1597515524,67108864
1597515527,67108864
1597515530,67108864
1597515533,67108864
1597515536,67108864
1597515539,67108864
1597515542,67108864
1597515545,67108864
1597515548,67108864
1597515551,67108864
1597515554,67108864
1597515557,67108864
1597515560,67108864
1597515563,67108864
1597515566,67108864
1597515569,67108864
1597515572,67108864
1597515575,67108864
1597515578,67108864
1597515581,67108864
1597515584,67108864
1597515587,67108864
1597515590,67108864
1597515593,67108864
1597515596,67108864
1597515599,67108864
1597515602,67108864
1597515605,67108864
1597515608,67108864
1597515611,67108864
1597515614,67108864
1597515617,67108864
1597515620,67108864
1597515623,67108864
1597515626,67108864
1597515629,67108864
1597515632,67108864
1597515635,67108864
1597515638,67108864
1597515641,67108864
1597515644,67108864
1597515647,100663296
1597515650,134217728
1597515653,134217728
1597515656,134217728
1597515659,134217728
1597515662,134217728
1597515665,134217728
1597515668,134217728
1597515671,134217728
1597515674,134217728
1597515677,134217728
1597515680,134217728
1597515683,134217728
1597515686,134217728
1597515689,134217728
1597515692,134217728
1597515695,134217728
1597515698,134217728
1597515701,134217728
1597515704,134217728
1597515707,134217728
1597515710,134217728
1597515713,134217728
1597515716,134217728
1597515719,134217728
1597515722,134217728
1597515725,134217728
1597515728,134217728
1597515731,134217728
1597515734,134217728
1597515737,134217728
1597515740,134217728
1597515743,134217728
1597515746,134217728
1597515749,134217728
1597515752,134217728
1597515755,134217728
1597515758,134217728
1597515761,134217728
1597515764,134217728
1597515767,134217728
1597515770,134217728
1597515773,134217728
1597515776,134217728
1597515779,134217728
1597515782,134217728
1597515785,134217728
1597515788,134217728
1597515791,134217728
1597515794,134217728
1597515797,134217728
1597515800,134217728
1597515803,134217728
1597515806,134217728
1597515809,134217728
1597515812,134217728
1597515815,134217728
1597515818,134217728
1597515821,134217728
1597515824,134217728
1597515827,134217728
1597515830,134217728
1597515833,134217728
1597515836,134217728
1597515839,134217728
1597515842,134217728
1597515845,134217728
1597515848,134217728
1597515851,134217728
1597515854,134217728
1597515857,134217728
1597515860,134217728
1597515863,134217728
1597515866,134217728
1597515869,134217728
1597515872,134217728
1597515875,134217728
1597515878,134217728
1597515881,134217728
1597515884,134217728
1597515887,134217728
1597515890,134217728
1597515893,134217728
1597515896,134217728
1597515899,134217728
1597515902,134217728
1597515905,134217728
1597515908,134217728
1597515911,134217728
1597515914,134217728
1597515917,134217728
1597515920,134217728
1597515923,134217728
1597515926,134217728
1597515929,134217728
1597515932,134217728
1597515935,134217728
1597515938,134217728
1597515941,134217728
1597515944,134217728
1597515947,134217728
1597515950,134217728
1597515953,134217728
1597515956,134217728
1597515959,134217728
1597515962,134217728
1597515965,134217728
1597515968,134217728
1597515971,134217728
1597515974,134217728
1597515977,134217728
1597515980,134217728
1597515983,134217728
1597515986,134217728
1597515989,134217728
1597515992,134217728
1597515995,134217728
1597515998,134217728
1597516001,134217728
1597516004,134217728
1597516007,134217728
1597516010,134217728
1597516013,134217728
1597516016,134217728
1597516019,134217728
1597516022,134217728
1597516025,134217728
1597516028,134217728
1597516031,134217728
1597516034,134217728
1597516037,134217728
