t,value
1597515515,536870912
1597515518,536870912
1597515521,536870912
1597515524,536870912
1597515527,536870912
1597515530,536870912
1597515533,536870912
1597515536,536870912
1597515539,536870912
1597515542,536870912
1597515545,536870912
1597515548,536870912
1597515551,536870912
1597515554,536870912
1597515557,536870912
1597515560,536870912
1597515563,536870912
1597515566,536870912
1597515569,536870912
1597515572,536870912
1597515575,536870912
1597515578,536870912
1597515581,536870912
1597515584,536870912
1597515587,536870912
1597515590,536870912
1597515593,536870912
1597515596,536870912
1597515599,536870912
1597515602,536870912
1597515605,536870912
1597515608,536870912
1597515611,536870912
1597515614,536870912
1597515617,536870912
1597515620,536870912
1597515623,536870912
1597515626,536870912
1597515629,536870912
1597515632,536870912
1597515635,536870912
1597515638,536870912
1597515641,536870912
1597515644,536870912
1597515647,536870912
1597515650,536870912
1597515653,536870912
1597515656,536870912
1597515659,536870912
1597515662,536870912
1597515665,536870912
1597515668,536870912
1597515671,536870912
1597515674,536870912
1597515677,536870912
1597515680,536870912
1597515683,536870912
1597515686,536870912
1597515689,536870912
1597515692,536870912
1597515695,536870912
1597515698,536870912
1597515701,536870912
1597515704,536870912
1597515707,536870912
1597515710,536870912
1597515713,536870912
1597515716,536870912
1597515719,536870912
1597515722,536870912
1597515725,536870912
1597515728,536870912
1597515731,536870912
1597515734,536870912
1597515737,536870912
1597515740,536870912
1597515743,536870912
1597515746,536870912
1597515749,536870912
1597515752,536870912
1597515755,536870912
1597515758,536870912
1597515761,536870912
1597515764,536870912
1597515767,536870912
1597515770,536870912
1597515773,536870912
1597515776,536870912
1597515779,536870912
1597515782,536870912
1597515785,536870912
1597515788,536870912
1597515791,536870912
1597515794,536870912
1597515797,536870912
1597515800,536870912
1597515803,536870912
1597515806,536870912
1597515809,536870912
1597515812,536870912
1597515815,536870912
1597515818,536870912
1597515821,536870912
1597515824,536870912
1597515827,536870912
1597515830,536870912
1597515833,536870912
1597515836,536870912
1597515839,536870912
1597515842,536870912
1597515845,536870912
1597515848,536870912
1597515851,536870912
1597515854,536870912
1597515857,536870912
1597515860,536870912
1597515863,536870912
1597515866,536870912
1597515869,536870912
1597515872,536870912
1597515875,536870912
1597515878,536870912
1597515881,536870912
1597515884,536870912
1597515887,536870912
1597515890,536870912
1597515893,536870912
1597515896,536870912
1597515899,536870912
1597515902,536870912
1597515905,536870912
1597515908,536870912
1597515911,536870912
1597515914,536870912
1597515917,536870912
1597515920,536870912
1597515923,536870912
1597515926,536870912
1597515929,536870912
1597515932,536870912
1597515935,536870912
1597515938,536870912
1597515941,536870912
1597515944,536870912
1597515947,536870912
1597515950,536870912
1597515953,536870912
1597515956,536870912
1597515959,536870912
1597515962,536870912
1597515965,536870912
1597515968,536870912
1597515971,536870912
1597515974,536870912
1597515977,536870912
1597515980,536870912
1597515983,536870912
1597515986,536870912
1597515989,536870912
1597515992,536870912
1597515995,536870912
1597515998,536870912
1597516001,536870912
1597516004,536870912
1597516007,536870912
1597516010,536870912
1597516013,536870912
1597516016,536870912
1597516019,536870912
1597516022,536870912
1597516025,536870912
1597516028,536870912
1597516031,536870912
1597516034,536870912
1597516037,536870912
1597516040,536870912
1597516043,536870912
1597516046,536870912
1597516049,536870912
1597516052,536870912
1597516055,536870912
1597516058,536870912
1597516061,536870912
1597516064,536870912
1597516067,536870912
1597516070,536870912
1597516073,536870912
1597516076,536870912
1597516079,536870912
1597516082,536870912
1597516085,536870912
1597516088,536870912
1597516091,536870912
1597516094,536870912
1597516097,536870912
1597516100,536870912
1597516103,536870912
1597516106,536870912
1597516109,536870912
1597516112,536870912
1597516115,536870912
1597516118,536870912
1597516121,536870912
1597516124,536870912
1597516127,536870912
1597516130,536870912
1597516133,536870912
1597516136,536870912
1597516139,536870912
1597516142,536870912
1597516145,536870912
1597516148,536870912
1597516151,536870912
1597516154,536870912
1597516157,536870912
1597516160,536870912
1597516163,536870912
1597516166,536870912
1597516169,536870912
1597516172,536870912
1597516175,536870912
1597516178,536870912
1597516181,536870912
1597516184,536870912
1597516187,536870912
1597516190,536870912
1597516193,536870912
1597516196,536870912
1597516199,536870912
1597516202,536870912
1597516205,536870912
1597516208,536870912
1597516211,536870912
1597516214,536870912
1597516217,536870912
1597516220,536870912
1597516223,536870912
1597516226,536870912
1597516229,536870912
1597516232,536870912
1597516235,536870912
1597516238,536870912
1597516241,536870912
1597516244,536870912
1597516247,536870912
1597516250,536870912
1597516253,536870912
1597516256,536870912
1597516259,536870912
1597516262,536870912
1597516265,536870912
1597516268,536870912
1597516271,536870912
1597516274,536870912
1597516277,536870912
1597516280,536870912
1597516283,536870912
1597516286,536870912
1597516289,536870912
1597516292,536870912
1597516295,536870912
1597516298,536870912
1597516301,536870912
1597516304,536870912
1597516307,536870912
1597516310,536870912
1597516313,536870912
1597516316,536870912
1597516319,536870912
1597516322,536870912
1597516325,536870912
1597516328,536870912
1597516331,536870912
1597516334,536870912
1597516337,536870912
1597516340,536870912
1597516343,536870912
1597516346,536870912
1597516349,536870912
1597516352,536870912
1597516355,536870912
1597516358,536870912
1597516361,536870912
1597516364,536870912
1597516367,536870912
1597516370,536870912
1597516373,536870912
1597516376,536870912
1597516379,536870912
1597516382,536870912
1597516385,536870912
1597516388,536870912
1597516391,536870912
1597516394,536870912
1597516397,536870912
1597516400,536870912
1597516403,536870912
1597516406,536870912
1597516409,536870912
1597516412,536870912
1597516415,536870912
1597516418,536870912
1597516421,536870912
1597516424,536870912
1597516427,536870912
1597516430,536870912
1597516433,536870912
1597516436,536870912
1597516439,536870912
1597516442,536870912
1597516445,536870912
1597516448,536870912
1597516451,536870912
1597516454,536870912
1597516457,536870912
1597516460,536870912
1597516463,536870912
1597516466,536870912
1597516469,536870912
1597516472,536870912
1597516475,536870912
1597516478,536870912
1597516481,536870912
1597516484,536870912
1597516487,536870912
1597516490,536870912
1597516493,536870912
1597516496,536870912
1597516499,536870912
1597516502,536870912
1597516505,536870912
1597516508,536870912
1597516511,536870912
1597516514,536870912
1597516517,536870912
1597516520,536870912
1597516523,536870912
1597516526,536870912
1597516529,536870912
1597516532,536870912
1597516535,536870912
1597516538,536870912
1597516541,536870912
1597516544,536870912
1597516547,536870912
1597516550,536870912
1597516553,536870912
1597516556,536870912
1597516559,536870912
1597516562,536870912
1597516565,536870912
1597516568,536870912
1597516571,536870912
1597516574,536870912
1597516577,536870912
1597516580,536870912
1597516583,536870912
1597516586,536870912
1597516589,536870912
1597516592,536870912
1597516595,536870912
1597516598,536870912
1597516601,536870912
1597516604,536870912
1597516607,536870912
1597516610,536870912
1597516613,536870912
1597516616,536870912
1597516619,536870912
1597516622,536870912
1597516625,536870912
1597516628,536870912
1597516631,536870912
1597516634,536870912
1597516637,536870912
1597516640,536870912
1597516643,536870912
1597516646,536870912
1597516649,536870912
1597516652,536870912
1597516655,536870912
1597516658,536870912
1597516661,536870912
1597516664,536870912
1597516667,536870912
1597516670,536870912
1597516673,536870912
1597516676,536870912
1597516679,536870912
1597516682,536870912
1597516685,536870912
1597516688,536870912
1597516691,536870912
1597516694,536870912
1597516697,536870912
1597516700,536870912
1597516703,536870912
1597516706,536870912
1597516709,536870912
1597516712,536870912
1597516715,536870912
1597516718,536870912
1597516721,536870912
1597516724,536870912
1597516727,536870912
1597516730,536870912
1597516733,536870912
1597516736,536870912
1597516739,536870912
1597516742,536870912
1597516745,536870912
1597516748,536870912
1597516751,536870912
1597516754,536870912
1597516757,536870912
1597516760,536870912
1597516763,536870912
1597516766,536870912
1597516769,536870912
1597516772,536870912
1597516775,536870912
1597516778,536870912
1597516781,536870912
1597516784,536870912
1597516787,536870912
1597516790,536870912
1597516793,536870912
1597516796,536870912
1597516799,536870912
1597516802,536870912
1597516805,536870912
1597516808,536870912
1597516811,536870912
1597516814,536870912
1597516817,536870912
1597516820,536870912
1597516823,536870912
1597516826,536870912
1597516829,536870912
1597516832,536870912
1597516835,536870912
1597516838,536870912
1597516841,536870912
1597516844,536870912
1597516847,536870912
1597516850,536870912
1597516853,536870912
1597516856,536870912
1597516859,536870912
1597516862,536870912
1597516865,536870912
1597516868,536870912
1597516871,536870912
1597516874,536870912
1597516877,536870912
1597516880,536870912
1597516883,536870912
1597516886,536870912
1597516889,536870912
1597516892,536870912
1597516895,536870912
1597516898,536870912
1597516901,536870912
1597516904,536870912
1597516907,536870912
1597516910,536870912
1597516913,536870912
1597516916,536870912
1597516919,536870912
1597516922,536870912
1597516925,536870912
1597516928,536870912
1597516931,536870912
1597516934,536870912
1597516937,536870912
1597516940,536870912
1597516943,536870912
1597516946,536870912
1597516949,536870912
1597516952,536870912
1597516955,536870912
1597516958,536870912
1597516961,536870912
1597516964,536870912
1597516967,536870912
1597516970,536870912
1597516973,536870912
1597516976,536870912
1597516979,536870912
1597516982,536870912
1597516985,536870912
1597516988,536870912
1597516991,536870912
1597516994,536870912
1597516997,536870912
1597517000,536870912
1597517003,536870912
1597517006,536870912
1597517009,536870912
1597517012,536870912
1597517015,536870912
1597517018,536870912
1597517021,536870912
1597517024,536870912
1597517027,536870912
1597517030,536870912
1597517033,536870912
1597517036,536870912
