t,value
1597515515,4194304
1597515518,4194304
1597515521,4194304
1597515524,4194304
1597515527,4194304
1597515530,4194304
1597515533,4194304
1597515536,4194304
1597515539,4194304
1597515542,4194304
1597515545,4194304
1597515548,4194304
1597515551,4194304
1597515554,4194304
1597515557,4194304
1597515560,4194304
1597515563,4194304
1597515566,4194304
1597515569,4194304
1597515572,4194304
1597515575,4194304
1597515578,4194304
1597515581,4194304
1597515584,4194304
1597515587,4194304
1597515590,4194304
1597515593,4194304
1597515596,4194304
1597515599,4194304
1597515602,4194304
1597515605,4194304
1597515608,4194304
1597515611,4194304
1597515614,4194304
1597515617,4194304
1597515620,4194304
1597515623,4194304
1597515626,4194304
1597515629,4194304
1597515632,4194304
1597515635,4194304
1597515638,4194304
1597515641,4194304
1597515644,4194304
1597515647,4194304
1597515650,4194304
1597515653,4194304
1597515656,4194304
1597515659,4194304
1597515662,4194304
1597515665,4194304
1597515668,4194304
1597515671,4194304
1597515674,4194304
1597515677,4194304
1597515680,4194304
1597515683,4194304
1597515686,4194304
1597515689,4194304
1597515692,4194304
1597515695,4194304
1597515698,4194304
1597515701,4194304
1597515704,4194304
1597515707,4194304
1597515710,4194304
1597515713,4194304
1597515716,4194304
1597515719,4194304
1597515722,4194304
1597515725,4194304
1597515728,4194304
1597515731,4194304
1597515734,4194304
1597515737,4194304
1597515740,4194304
1597515743,4194304
1597515746,4194304
1597515749,4194304
1597515752,4194304
1597515755,4718592
1597515758,4718592
1597515761,4718592
1597515764,4718592
1597515767,6291456
1597515770,6291456
1597515773,6815744
1597515776,6815744
1597515779,6815744
1597515782,6815744
1597515785,6815744
1597515788,6815744
1597515791,6815744
1597515794,6815744
1597515797,6815744
1597515800,6815744
1597515803,6815744
1597515806,6815744
1597515809,6815744
1597515812,6815744
1597515815,6815744
1597515818,6815744
1597515821,6815744
1597515824,6815744
1597515827,6815744
1597515830,6815744
1597515833,6815744
1597515836,6815744
1597515839,6815744
1597515842,6815744
1597515845,6815744
1597515848,6815744
1597515851,6815744
1597515854,6815744
1597515857,6815744
1597515860,6815744
1597515863,6815744
1597515866,6815744
1597515869,6815744
1597515872,6815744
1597515875,6815744
1597515878,6815744
1597515881,6815744
1597515884,6815744
1597515887,6815744
1597515890,6815744
1597515893,6815744
1597515896,6815744
1597515899,6815744
1597515902,6815744
1597515905,6815744
1597515908,6815744
1597515911,6815744
1597515914,6815744
1597515917,6815744
1597515920,6815744
1597515923,6815744
1597515926,6815744
1597515929,6815744
1597515932,6815744
1597515935,6815744
1597515938,6815744
1597515941,6815744
1597515944,6815744
1597515947,6815744
1597515950,6815744
1597515953,6815744
1597515956,6815744
1597515959,6815744
1597515962,6815744
1597515965,6815744
1597515968,6815744
1597515971,6815744
1597515974,6815744
1597515977,6815744
1597515980,6815744
1597515983,6815744
1597515986,6815744
1597515989,6815744
1597515992,6815744
1597515995,6815744
1597515998,6815744
1597516001,6815744
1597516004,6815744
1597516007,6815744
1597516010,6815744
1597516013,6815744
1597516016,6815744
1597516019,6815744
1597516022,6815744
1597516025,6815744
1597516028,6815744
1597516031,6815744
1597516034,6815744
1597516037,6815744
1597516040,6815744
1597516043,6815744
1597516046,6815744
1597516049,6815744
1597516052,6815744
1597516055,6815744
1597516058,6815744
1597516061,6815744
1597516064,6815744
1597516067,6815744
1597516070,6815744
1597516073,6815744
1597516076,6815744
1597516079,6815744
1597516082,6815744
1597516085,6815744
1597516088,6815744
1597516091,6815744
1597516094,6815744
1597516097,6815744
1597516100,6815744
1597516103,6815744
1597516106,6815744
1597516109,6815744
1597516112,6815744
1597516115,6815744
1597516118,6815744
1597516121,6815744
1597516124,6815744
1597516127,6815744
1597516130,6815744
1597516133,6815744
1597516136,6815744
1597516139,6815744
1597516142,6815744
1597516145,6815744
1597516148,6815744
1597516151,6815744
1597516154,6815744
1597516157,6815744
1597516160,6815744
1597516163,6815744
1597516166,6815744
1597516169,6815744
1597516172,6815744
1597516175,6815744
1597516178,6815744
1597516181,6815744
1597516184,6815744
1597516187,6815744
1597516190,6815744
1597516193,6815744
1597516196,6815744
1597516199,6815744
1597516202,6815744
1597516205,6815744
1597516208,6815744
1597516211,6815744
1597516214,6815744
1597516217,6815744
1597516220,6815744
1597516223,6815744
1597516226,6815744
1597516229,6815744
1597516232,6815744
1597516235,6815744
1597516238,6815744
1597516241,6815744
1597516244,6815744
1597516247,6815744
1597516250,6815744
1597516253,6815744
1597516256,6815744
1597516259,6815744
1597516262,6815744
1597516265,6815744
1597516268,6815744
1597516271,6815744
1597516274,6815744
1597516277,6815744
1597516280,6815744
1597516283,6815744
1597516286,6815744
1597516289,6815744
1597516292,6815744
1597516295,6815744
1597516298,6815744
1597516301,6815744
1597516304,6815744
1597516307,6815744
1597516310,6815744
1597516313,6815744
1597516316,6815744
1597516319,6815744
1597516322,6815744
1597516325,6815744
1597516328,6815744
1597516331,6815744
1597516334,6815744
1597516337,6815744
1597516340,6815744
1597516343,6815744
1597516346,6815744
1597516349,6815744
1597516352,6815744
1597516355,6815744
1597516358,6815744
1597516361,6815744
1597516364,6815744
1597516367,6815744
1597516370,6815744
1597516373,6815744
1597516376,6815744
1597516379,6815744
1597516382,6815744
1597516385,6815744
1597516388,6815744
1597516391,6815744
1597516394,6815744
1597516397,6815744
1597516400,6815744
1597516403,6815744
1597516406,6815744
1597516409,6815744
1597516412,6815744
1597516415,6815744
1597516418,6815744
1597516421,6815744
1597516424,6815744
1597516427,6815744
1597516430,6815744
1597516433,6815744
1597516436,6815744
1597516439,6815744
1597516442,6815744
1597516445,6815744
1597516448,6815744
1597516451,6815744
1597516454,6815744
1597516457,6815744
1597516460,6815744
1597516463,6815744
1597516466,6815744
1597516469,6815744
1597516472,6815744
1597516475,6815744
1597516478,6815744
1597516481,6815744
1597516484,6815744
1597516487,6815744
1597516490,6815744
1597516493,6815744
1597516496,6815744
1597516499,6815744
1597516502,6815744
1597516505,6815744
1597516508,6815744
1597516511,6815744
1597516514,6815744
1597516517,6815744
1597516520,6815744
1597516523,6815744
1597516526,6815744
1597516529,6815744
1597516532,6815744
1597516535,6815744
1597516538,6815744
1597516541,6815744
1597516544,6815744
1597516547,6815744
1597516550,6815744
1597516553,6815744
1597516556,6815744
1597516559,6815744
1597516562,6815744
1597516565,6815744
1597516568,6815744
1597516571,6815744
1597516574,6815744
1597516577,6815744
1597516580,6815744
1597516583,6815744
1597516586,6815744
1597516589,6815744
1597516592,6815744
1597516595,6815744
1597516598,6815744
1597516601,6815744
1597516604,6815744
1597516607,6815744
1597516610,6815744
1597516613,6815744
1597516616,6815744
1597516619,6815744
1597516622,6815744
1597516625,6815744
1597516628,6815744
1597516631,6815744
1597516634,6815744
1597516637,6815744
1597516640,6815744
1597516643,6815744
1597516646,6815744
1597516649,6815744
1597516652,6815744
1597516655,6815744
1597516658,6815744
1597516661,6815744
1597516664,6815744
1597516667,6815744
1597516670,6815744
1597516673,6815744
1597516676,6815744
1597516679,6815744
1597516682,6815744
1597516685,6815744
1597516688,6815744
1597516691,6815744
1597516694,6815744
1597516697,6815744
1597516700,6815744
1597516703,6815744
1597516706,6815744
1597516709,6815744
1597516712,6815744
1597516715,6815744
1597516718,6815744
1597516721,6815744
1597516724,6815744
1597516727,6815744
1597516730,6815744
1597516733,6815744
1597516736,6815744
1597516739,6815744
1597516742,6815744
1597516745,6815744
1597516748,6815744
1597516751,6815744
1597516754,6815744
1597516757,6815744
1597516760,6815744
1597516763,6815744
1597516766,6815744
1597516769,6815744
1597516772,6815744
1597516775,6815744
1597516778,6815744
1597516781,6815744
1597516784,6815744
1597516787,6815744
1597516790,6815744
1597516793,6815744
1597516796,6815744
1597516799,6815744
1597516802,6815744
1597516805,6815744
1597516808,6815744
1597516811,6815744
1597516814,6815744
1597516817,6815744
1597516820,6815744
1597516823,6815744
1597516826,6815744
1597516829,6815744
1597516832,6815744
1597516835,6815744
1597516838,6815744
1597516841,6815744
1597516844,6815744
1597516847,6815744
1597516850,6815744
1597516853,6815744
1597516856,6815744
1597516859,6815744
1597516862,6815744
1597516865,6815744
1597516868,6815744
1597516871,6815744
1597516874,6815744
1597516877,6815744
1597516880,6815744
1597516883,6815744
1597516886,6815744
1597516889,6815744
1597516892,6815744
1597516895,6815744
1597516898,6815744
1597516901,6815744
1597516904,6815744
1597516907,6815744
1597516910,6815744
1597516913,6815744
1597516916,6815744
1597516919,6815744
1597516922,6815744
1597516925,6815744
1597516928,6815744
1597516931,6815744
1597516934,6815744
1597516937,6815744
1597516940,6815744
1597516943,6815744
1597516946,6815744
1597516949,6815744
1597516952,6815744
1597516955,6815744
1597516958,6815744
1597516961,6815744
1597516964,6815744
1597516967,6815744
1597516970,6815744
1597516973,6815744
1597516976,6815744
1597516979,6815744
1597516982,6815744
1597516985,6815744
1597516988,6815744
1597516991,6815744
1597516994,6815744
1597516997,6815744
1597517000,6815744
1597517003,6815744
1597517006,6815744
1597517009,6815744
1597517012,6815744
1597517015,6815744
1597517018,6815744
1597517021,6815744
1597517024,6815744
1597517027,6815744
1597517030,6815744
1597517033,6815744
1597517036,6815744
1597517039,6815744
1597517042,6815744
1597517045,6815744
1597517048,6815744
1597517051,6815744
1597517054,6815744
1597517057,6815744
1597517060,6815744
1597517063,6815744
1597517066,6815744
1597517069,6815744
1597517072,6815744
1597517075,6815744
1597517078,6815744
1597517081,6815744
1597517084,6815744
1597517087,6815744
1597517090,6815744
1597517093,6815744
1597517096,6815744
1597517099,6815744
1597517102,6815744
1597517105,6815744
1597517108,6815744
1597517111,6815744
1597517114,6815744
1597517117,6815744
1597517120,6815744
1597517123,6815744
1597517126,6815744
1597517129,6815744
1597517132,6815744
1597517135,6815744
1597517138,6815744
1597517141,6815744
1597517144,6815744
1597517147,6815744
1597517150,6815744
1597517153,6815744
1597517156,6815744
1597517159,6815744
1597517162,6815744
1597517165,6815744
1597517168,6815744
1597517171,6815744
1597517174,6815744
1597517177,6815744
1597517180,6815744
1597517183,6815744
1597517186,6815744
1597517189,6815744
1597517192,6815744
1597517195,6815744
1597517198,6815744
1597517201,6815744
1597517204,6815744
1597517207,6815744
1597517210,6815744
1597517213,6815744
1597517216,6815744
1597517219,6815744
1597517222,6815744
1597517225,6815744
1597517228,6815744
1597517231,6815744
1597517234,6815744
1597517237,6815744
1597517240,6815744
1597517243,6815744
1597517246,6815744
1597517249,6815744
1597517252,6815744
1597517255,6815744
1597517258,6815744
1597517261,6815744
1597517264,6815744
1597517267,6815744
1597517270,6815744
1597517273,6815744
1597517276,6815744
1597517279,6815744
1597517282,6815744
1597517285,6815744
1597517288,6815744
1597517291,6815744
1597517294,6815744
1597517297,6815744
1597517300,6815744
1597517303,6815744
1597517306,6815744
1597517309,6815744
1597517312,6815744
1597517315,6815744
1597517318,6815744
1597517321,6815744
