t,value
1597515515,229520
1597515518,229520
1597515521,229520
1597515524,229520
1597515527,230592
1597515530,230592
1597515533,230592
1597515536,230592
1597515539,230592
1597515542,230592
1597515545,230592
1597515548,230592
1597515551,230592
1597515554,230592
1597515557,230592
1597515560,230592
1597515563,230592
1597515566,230592
1597515569,230592
1597515572,230592
1597515575,230592
1597515578,230592
1597515581,230592
1597515584,230592
1597515587,230592
1597515590,230592
1597515593,230592
1597515596,230592
1597515599,230592
1597515602,230592
1597515605,230592
1597515608,230592
1597515611,230592
1597515614,230592
1597515617,230592
1597515620,230592
1597515623,230592
1597515626,230592
1597515629,230592
1597515632,230592
1597515635,230592
1597515638,230592
1597515641,230592
1597515644,230592
1597515647,230736
1597515650,233800
1597515653,234080
1597515656,234784
1597515659,235824
1597515662,236600
1597515665,236600
1597515668,236736
1597515671,236736
1597515674,236872
1597515677,236872
1597515680,236872
1597515683,236872
1597515686,236872
1597515689,236872
1597515692,236872
1597515695,236872
1597515698,236872
1597515701,236872
1597515704,236872
1597515707,236872
1597515710,239352
1597515713,239792
1597515716,239792
1597515719,239792
1597515722,239792
1597515725,239792
1597515728,240928
1597515731,241224
1597515734,241224
1597515737,241224
1597515740,241224
1597515743,241880
1597515746,245840
1597515749,250152
1597515752,251288
1597515755,253048
1597515758,253640
1597515761,253640
1597515764,254280
1597515767,255416
1597515770,257464
1597515773,259296
1597515776,261112
1597515779,261408
1597515782,261408
1597515785,261408
1597515788,261408
1597515791,262840
1597515794,262840
1597515797,262840
1597515800,262840
1597515803,262840
1597515806,262840
1597515809,262840
1597515812,264272
1597515815,264272
1597515818,264272
1597515821,264272
1597515824,264272
1597515827,264272
1597515830,265704
1597515833,265704
1597515836,265704
1597515839,265704
1597515842,265704
1597515845,265704
1597515848,265704
1597515851,267136
1597515854,267136
1597515857,267136
1597515860,267136
1597515863,267136
1597515866,267136
1597515869,267136
1597515872,267136
1597515875,267136
1597515878,267136
1597515881,267136
1597515884,267136
1597515887,267136
1597515890,267136
1597515893,267136
1597515896,267136
1597515899,267136
1597515902,267136
1597515905,267136
1597515908,267136
1597515911,267136
1597515914,267136
1597515917,267136
1597515920,267136
1597515923,267136
1597515926,267136
1597515929,267136
1597515932,267136
1597515935,267136
1597515938,267136
1597515941,267136
1597515944,267136
1597515947,267136
1597515950,267136
1597515953,267136
1597515956,267136
1597515959,267136
1597515962,267136
1597515965,267136
1597515968,267136
1597515971,267136
1597515974,267136
1597515977,267136
1597515980,267136
1597515983,267136
1597515986,267136
1597515989,267136
1597515992,271592
1597515995,274064
1597515998,274344
1597516001,276088
1597516004,277272
1597516007,277960
1597516010,279456
1597516013,279592
1597516016,279592
1597516019,279728
1597516022,279864
1597516025,279864
1597516028,280000
1597516031,280000
1597516034,280136
1597516037,280272
1597516040,280272
1597516043,280408
