t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,0
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,0
1597515650,0
1597515653,0
1597515656,0
1597515659,0
1597515662,0
1597515665,0
1597515668,0
1597515671,0
1597515674,0
1597515677,0
1597515680,0
1597515683,0
1597515686,0
1597515689,0
1597515692,0
1597515695,0
1597515698,0
1597515701,0
1597515704,0
1597515707,0
1597515710,0
1597515713,0
1597515716,0
1597515719,0
1597515722,0
1597515725,0
1597515728,0
1597515731,0
1597515734,0
1597515737,0
1597515740,0
1597515743,0
1597515746,0
1597515749,0
1597515752,0
1597515755,0
1597515758,0
1597515761,1204
1597515764,4138
1597515767,4138
1597515770,5713
1597515773,5714
1597515776,5728
1597515779,5728
1597515782,5728
1597515785,5728
1597515788,5728
1597515791,5728
1597515794,5728
1597515797,5728
1597515800,5728
1597515803,5728
1597515806,5728
1597515809,5728
1597515812,5728
1597515815,5728
1597515818,5728
1597515821,5728
1597515824,5728
1597515827,5728
1597515830,5728
1597515833,5728
1597515836,5728
1597515839,5728
1597515842,5728
1597515845,5728
1597515848,5728
1597515851,5728
1597515854,5728
1597515857,5728
1597515860,5728
1597515863,5728
1597515866,5728
1597515869,5728
1597515872,5728
1597515875,5728
1597515878,5728
1597515881,5728
1597515884,5728
1597515887,5728
1597515890,5728
1597515893,5728
1597515896,5728
1597515899,5728
1597515902,5728
1597515905,5728
1597515908,5728
1597515911,5728
1597515914,5728
1597515917,5728
1597515920,5728
1597515923,5728
1597515926,5728
1597515929,5728
1597515932,5728
1597515935,5728
1597515938,5728
1597515941,5728
1597515944,5728
1597515947,5728
1597515950,5728
1597515953,5728
1597515956,5728
1597515959,5728
1597515962,5728
1597515965,5728
1597515968,5728
1597515971,5728
1597515974,5728
1597515977,5728
1597515980,5728
1597515983,5728
1597515986,5728
1597515989,5728
1597515992,5728
1597515995,5728
1597515998,5728
1597516001,5728
1597516004,5728
1597516007,5728
1597516010,5728
1597516013,5728
1597516016,5728
1597516019,5728
1597516022,5728
1597516025,5728
1597516028,5728
1597516031,5728
1597516034,5728
1597516037,5728
1597516040,5728
1597516043,5728
1597516046,5728
1597516049,5728
1597516052,5728
1597516055,5728
1597516058,5728
1597516061,5728
1597516064,5728
1597516067,5728
1597516070,5728
1597516073,5728
1597516076,5728
1597516079,5728
1597516082,5728
1597516085,5728
1597516088,5728
1597516091,5728
1597516094,5728
1597516097,5728
1597516100,5728
1597516103,5728
1597516106,5728
1597516109,5728
1597516112,5728
1597516115,5728
1597516118,5728
1597516121,5728
1597516124,5728
1597516127,5728
1597516130,5728
1597516133,5728
1597516136,5728
1597516139,5728
1597516142,5728
1597516145,5728
1597516148,5728
1597516151,5728
1597516154,5728
1597516157,5728
1597516160,5728
1597516163,5728
1597516166,5728
1597516169,5728
1597516172,5728
1597516175,5728
1597516178,5728
1597516181,5728
1597516184,5728
1597516187,5728
1597516190,5728
1597516193,5728
1597516196,5728
1597516199,5728
1597516202,5728
1597516205,5728
1597516208,5728
1597516211,5728
1597516214,5728
1597516217,5728
1597516220,5728
1597516223,5728
1597516226,5728
1597516229,5728
1597516232,5728
1597516235,5728
1597516238,5728
1597516241,5728
1597516244,5728
1597516247,5728
1597516250,5728
1597516253,5728
1597516256,5728
1597516259,5728
1597516262,5728
1597516265,5728
1597516268,5728
1597516271,5728
1597516274,5728
1597516277,5728
1597516280,5728
1597516283,5728
1597516286,5728
1597516289,5728
1597516292,5728
1597516295,5728
1597516298,5728
1597516301,5728
1597516304,5728
1597516307,5728
1597516310,5728
1597516313,5728
1597516316,5728
1597516319,5728
1597516322,5728
1597516325,5728
1597516328,5728
1597516331,5728
1597516334,5728
1597516337,5728
1597516340,5728
1597516343,5728
1597516346,5728
1597516349,5728
1597516352,5728
1597516355,5728
1597516358,5728
1597516361,5728
1597516364,5728
1597516367,5728
1597516370,5728
1597516373,5728
1597516376,5728
1597516379,5728
1597516382,5728
1597516385,5728
1597516388,5728
1597516391,5728
1597516394,5728
1597516397,5728
1597516400,5728
1597516403,5728
1597516406,5728
1597516409,5728
1597516412,5728
1597516415,5728
1597516418,5728
1597516421,5728
1597516424,5728
1597516427,5728
1597516430,5728
1597516433,5728
1597516436,5728
1597516439,5728
1597516442,5728
1597516445,5728
1597516448,5728
1597516451,5728
1597516454,5728
1597516457,5728
1597516460,5728
1597516463,5728
1597516466,5728
1597516469,5728
1597516472,5728
1597516475,5728
1597516478,5728
1597516481,5728
1597516484,5728
1597516487,5728
1597516490,5728
1597516493,5728
1597516496,5728
1597516499,5728
1597516502,5728
1597516505,5728
1597516508,5728
1597516511,5728
1597516514,5728
1597516517,5728
1597516520,5728
1597516523,5728
1597516526,5728
1597516529,5728
1597516532,5728
1597516535,5728
1597516538,5728
1597516541,5728
1597516544,5728
1597516547,5728
1597516550,5728
1597516553,5728
1597516556,5728
1597516559,5728
1597516562,5728
1597516565,5728
1597516568,5728
1597516571,5728
1597516574,5728
1597516577,5728
1597516580,5728
1597516583,5728
1597516586,5728
1597516589,5728
1597516592,5728
1597516595,5728
1597516598,5728
1597516601,5728
1597516604,5728
1597516607,5728
1597516610,5728
1597516613,5728
1597516616,5728
1597516619,5728
1597516622,5728
1597516625,5728
1597516628,5728
1597516631,5728
1597516634,5728
1597516637,5728
1597516640,5728
1597516643,5728
1597516646,5728
1597516649,5728
1597516652,5728
1597516655,5728
1597516658,5728
1597516661,5728
1597516664,5728
1597516667,5728
1597516670,5728
1597516673,5728
1597516676,5728
1597516679,5728
1597516682,5728
1597516685,5728
1597516688,5728
1597516691,5728
1597516694,5728
1597516697,5728
1597516700,5728
1597516703,5728
1597516706,5728
1597516709,5728
1597516712,5728
1597516715,5728
1597516718,5728
1597516721,5728
1597516724,5728
1597516727,5728
1597516730,5728
1597516733,5728
1597516736,5728
1597516739,5728
1597516742,5728
1597516745,5728
1597516748,5728
1597516751,5728
1597516754,5728
1597516757,5728
1597516760,5728
1597516763,5728
1597516766,5728
1597516769,5728
1597516772,5728
1597516775,5728
1597516778,5728
1597516781,5728
1597516784,5728
1597516787,5728
1597516790,5728
1597516793,5728
1597516796,5728
1597516799,5728
1597516802,5728
1597516805,5728
1597516808,5728
1597516811,5728
1597516814,5728
1597516817,5728
1597516820,5728
1597516823,5728
1597516826,5728
1597516829,5728
1597516832,5728
1597516835,5728
1597516838,5728
1597516841,5728
1597516844,5728
1597516847,5728
1597516850,5728
1597516853,5728
1597516856,5728
1597516859,5728
1597516862,5728
1597516865,5728
1597516868,5728
1597516871,5728
1597516874,5728
1597516877,5728
1597516880,5728
1597516883,5728
1597516886,5728
1597516889,5728
1597516892,5728
1597516895,5728
1597516898,5728
1597516901,5728
1597516904,5728
1597516907,5728
1597516910,5728
1597516913,5728
1597516916,5728
1597516919,5728
1597516922,5728
1597516925,5728
1597516928,5728
1597516931,5728
1597516934,5728
1597516937,5728
1597516940,5728
1597516943,5728
1597516946,5728
1597516949,5728
1597516952,5728
1597516955,5728
1597516958,5728
1597516961,5728
1597516964,5728
1597516967,5728
1597516970,5728
1597516973,5728
1597516976,5728
1597516979,5728
1597516982,5728
1597516985,5728
1597516988,5728
1597516991,5728
1597516994,5728
1597516997,5728
1597517000,5728
1597517003,5728
1597517006,5728
1597517009,5728
1597517012,5728
1597517015,5728
1597517018,5728
1597517021,5728
1597517024,5728
1597517027,5728
1597517030,5728
1597517033,5728
1597517036,5728
1597517039,5728
1597517042,5728
1597517045,5728
1597517048,5728
1597517051,5728
1597517054,5728
1597517057,5728
1597517060,5728
1597517063,5728
1597517066,5728
1597517069,5728
1597517072,5728
1597517075,5728
1597517078,5728
1597517081,5728
1597517084,5728
1597517087,5728
1597517090,5728
1597517093,5728
1597517096,5728
1597517099,5728
1597517102,5728
1597517105,5728
1597517108,5728
1597517111,5728
1597517114,5728
1597517117,5728
1597517120,5728
1597517123,5728
1597517126,5728
1597517129,5728
1597517132,5728
1597517135,5728
1597517138,5728
1597517141,5728
1597517144,5728
1597517147,5728
1597517150,5728
1597517153,5728
1597517156,5728
1597517159,5728
1597517162,5728
1597517165,5728
1597517168,5728
1597517171,5728
1597517174,5728
1597517177,5728
1597517180,5728
1597517183,5728
1597517186,5728
1597517189,5728
1597517192,5728
1597517195,5728
1597517198,5728
1597517201,5728
1597517204,5728
1597517207,5728
1597517210,5728
1597517213,5728
1597517216,5728
1597517219,5728
1597517222,5728
1597517225,5728
1597517228,5728
1597517231,5728
1597517234,5728
1597517237,5728
1597517240,5728
1597517243,5728
1597517246,5728
1597517249,5728
1597517252,5728
1597517255,5728
1597517258,5728
1597517261,5728
1597517264,5728
1597517267,5728
1597517270,5728
1597517273,5728
1597517276,5728
1597517279,5728
1597517282,5728
1597517285,5728
1597517288,5728
1597517291,5728
1597517294,5728
1597517297,5728
1597517300,5728
1597517303,5728
1597517306,5728
1597517309,5728
1597517312,5728
1597517315,5728
1597517318,5728
1597517321,5728
1597517324,5728
1597517327,5728
1597517330,5728
1597517333,5728
1597517336,5728
1597517339,5728
1597517342,5728
1597517345,5728
1597517348,5728
1597517351,5728
1597517354,5728
1597517357,5728
1597517360,5728
1597517363,5728
1597517366,5728
1597517369,5728
1597517372,5728
1597517375,5728
1597517378,5728
1597517381,5728
1597517384,5728
1597517387,5728
1597517390,5728
1597517393,5728
1597517396,5728
1597517399,5728
1597517402,5728
1597517405,5728
1597517408,5728
1597517411,5728
1597517414,5728
1597517417,5728
1597517420,5728
1597517423,5728
1597517426,5728
1597517429,5728
1597517432,5728
1597517435,5728
1597517438,5728
1597517441,5728
1597517444,5728
1597517447,5728
1597517450,5728
1597517453,5728
1597517456,5728
1597517459,5728
1597517462,5728
1597517465,5728
1597517468,5728
1597517471,5728
1597517474,5728
1597517477,5728
1597517480,5728
1597517483,5728
1597517486,5728
1597517489,5728
1597517492,5728
1597517495,5728
1597517498,5728
1597517501,5728
1597517504,5728
1597517507,5728
1597517510,5728
1597517513,5728
