t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,0
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,0
1597515650,0
1597515653,0
1597515656,0
1597515659,0
1597515662,0
1597515665,0
1597515668,0
1597515671,0
1597515674,0
1597515677,0
1597515680,0
1597515683,0
1597515686,0
1597515689,0
1597515692,0
1597515695,0
1597515698,0
1597515701,0
1597515704,0
1597515707,0
1597515710,0
1597515713,0
1597515716,0
1597515719,0
1597515722,0
1597515725,0
1597515728,0
1597515731,0
1597515734,0
1597515737,0
1597515740,0
1597515743,0
1597515746,0
1597515749,0
1597515752,0
1597515755,33
1597515758,44
1597515761,44
1597515764,10488
1597515767,10488
1597515770,12290
1597515773,12290
1597515776,12290
1597515779,12290
1597515782,12290
1597515785,12290
1597515788,12290
1597515791,12290
1597515794,12290
1597515797,12290
1597515800,12290
1597515803,12290
1597515806,12290
1597515809,12290
1597515812,12290
1597515815,12290
1597515818,12290
1597515821,12290
1597515824,12290
1597515827,12290
1597515830,12290
1597515833,12290
1597515836,12290
1597515839,12290
1597515842,12290
1597515845,12290
1597515848,12290
1597515851,12290
1597515854,12290
1597515857,12290
1597515860,12290
1597515863,12290
1597515866,12290
1597515869,12290
1597515872,12290
1597515875,12290
1597515878,12290
1597515881,12290
1597515884,12290
1597515887,12290
1597515890,12290
1597515893,12290
1597515896,12290
1597515899,12290
1597515902,12290
1597515905,12290
1597515908,12290
1597515911,12290
1597515914,12290
1597515917,12290
1597515920,12290
1597515923,12290
1597515926,12290
1597515929,12290
1597515932,12290
1597515935,12290
1597515938,12290
1597515941,12290
1597515944,12290
1597515947,12290
1597515950,12290
1597515953,12290
1597515956,12290
1597515959,12290
1597515962,12290
1597515965,12290
1597515968,12290
1597515971,12290
1597515974,12290
1597515977,12290
1597515980,12290
1597515983,12290
1597515986,12290
1597515989,12290
1597515992,12290
1597515995,12290
1597515998,12290
1597516001,12290
1597516004,12290
1597516007,12290
1597516010,12290
1597516013,12290
1597516016,12290
1597516019,12290
1597516022,12290
1597516025,12290
1597516028,12290
1597516031,12290
1597516034,12290
1597516037,12290
1597516040,12290
1597516043,12290
1597516046,12290
1597516049,12290
1597516052,12290
1597516055,12290
1597516058,12290
1597516061,12290
1597516064,12290
1597516067,12290
1597516070,12290
1597516073,12290
1597516076,12290
1597516079,12290
1597516082,12290
1597516085,12290
1597516088,12290
1597516091,12290
1597516094,12290
1597516097,12290
1597516100,12290
1597516103,12290
1597516106,12290
1597516109,12290
1597516112,12290
1597516115,12290
1597516118,12290
1597516121,12290
1597516124,12290
1597516127,12290
1597516130,12290
1597516133,12290
1597516136,12290
1597516139,12290
1597516142,12290
1597516145,12290
1597516148,12290
1597516151,12290
1597516154,12290
1597516157,12290
1597516160,12290
1597516163,12290
1597516166,12290
1597516169,12290
1597516172,12290
1597516175,12290
1597516178,12290
1597516181,12290
1597516184,12290
1597516187,12290
1597516190,12290
1597516193,12290
1597516196,12290
1597516199,12290
1597516202,12290
1597516205,12290
1597516208,12290
1597516211,12290
1597516214,12290
1597516217,12290
1597516220,12290
1597516223,12290
1597516226,12290
1597516229,12290
1597516232,12290
1597516235,12290
1597516238,12290
1597516241,12290
1597516244,12290
1597516247,12290
1597516250,12290
1597516253,12290
1597516256,12290
1597516259,12290
1597516262,12290
1597516265,12290
1597516268,12290
1597516271,12290
1597516274,12290
1597516277,12290
1597516280,12290
1597516283,12290
1597516286,12290
1597516289,12290
1597516292,12290
1597516295,12290
1597516298,12290
1597516301,12290
1597516304,12290
1597516307,12290
1597516310,12290
1597516313,12290
1597516316,12290
1597516319,12290
1597516322,12290
1597516325,12290
1597516328,12290
1597516331,12290
1597516334,12290
1597516337,12290
1597516340,12290
1597516343,12290
1597516346,12290
1597516349,12290
1597516352,12290
1597516355,12290
1597516358,12290
1597516361,12290
1597516364,12290
1597516367,12290
1597516370,12290
1597516373,12290
1597516376,12290
1597516379,12290
1597516382,12290
1597516385,12290
1597516388,12290
1597516391,12290
1597516394,12290
1597516397,12290
1597516400,12290
1597516403,12290
1597516406,12290
1597516409,12290
1597516412,12290
1597516415,12290
1597516418,12290
1597516421,12290
1597516424,12290
1597516427,12290
1597516430,12290
1597516433,12290
1597516436,12290
1597516439,12290
1597516442,12290
1597516445,12290
1597516448,12290
1597516451,12290
1597516454,12290
1597516457,12290
1597516460,12290
1597516463,12290
1597516466,12290
1597516469,12290
1597516472,12290
1597516475,12290
1597516478,12290
1597516481,12290
1597516484,12290
1597516487,12290
1597516490,12290
1597516493,12290
1597516496,12290
1597516499,12290
1597516502,12290
1597516505,12290
1597516508,12290
1597516511,12290
1597516514,12290
1597516517,12290
1597516520,12290
1597516523,12290
1597516526,12290
1597516529,12290
1597516532,12290
1597516535,12290
1597516538,12290
1597516541,12290
1597516544,12290
1597516547,12290
1597516550,12290
1597516553,12290
1597516556,12290
1597516559,12290
1597516562,12290
1597516565,12290
1597516568,12290
1597516571,12290
1597516574,12290
1597516577,12290
1597516580,12290
1597516583,12290
1597516586,12290
1597516589,12290
1597516592,12290
1597516595,12290
1597516598,12290
1597516601,12290
1597516604,12290
1597516607,12290
1597516610,12290
1597516613,12290
1597516616,12290
1597516619,12290
1597516622,12290
1597516625,12290
1597516628,12290
1597516631,12290
1597516634,12290
1597516637,12290
1597516640,12290
1597516643,12290
1597516646,12290
1597516649,12290
1597516652,12290
1597516655,12290
1597516658,12290
1597516661,12290
1597516664,12290
1597516667,12290
1597516670,12290
1597516673,12290
1597516676,12290
1597516679,12290
1597516682,12290
1597516685,12290
1597516688,12290
1597516691,12290
1597516694,12290
1597516697,12290
1597516700,12290
1597516703,12290
1597516706,12290
1597516709,12290
1597516712,12290
1597516715,12290
1597516718,12290
1597516721,12290
1597516724,12290
1597516727,12290
1597516730,12290
1597516733,12290
1597516736,12290
1597516739,12290
1597516742,12290
1597516745,12290
1597516748,12290
1597516751,12290
1597516754,12290
1597516757,12290
1597516760,12290
1597516763,12290
1597516766,12290
1597516769,12290
1597516772,12290
1597516775,12290
1597516778,12290
1597516781,12290
1597516784,12290
1597516787,12290
1597516790,12290
1597516793,12290
1597516796,12290
1597516799,12290
1597516802,12290
1597516805,12290
1597516808,12290
1597516811,12290
1597516814,12290
1597516817,12290
1597516820,12290
1597516823,12290
1597516826,12290
1597516829,12290
1597516832,12290
1597516835,12290
1597516838,12290
1597516841,12290
1597516844,12290
1597516847,12290
1597516850,12290
1597516853,12290
1597516856,12290
1597516859,12290
1597516862,12290
1597516865,12290
1597516868,12290
1597516871,12290
1597516874,12290
1597516877,12290
1597516880,12290
1597516883,12290
1597516886,12290
1597516889,12290
1597516892,12290
1597516895,12290
1597516898,12290
1597516901,12290
1597516904,12290
1597516907,12290
1597516910,12290
1597516913,12290
1597516916,12290
1597516919,12290
1597516922,12290
1597516925,12290
1597516928,12290
1597516931,12290
1597516934,12290
1597516937,12290
1597516940,12290
1597516943,12290
1597516946,12290
1597516949,12290
1597516952,12290
1597516955,12290
1597516958,12290
1597516961,12290
1597516964,12290
1597516967,12290
1597516970,12290
1597516973,12290
1597516976,12290
1597516979,12290
1597516982,12290
1597516985,12290
1597516988,12290
1597516991,12290
1597516994,12290
1597516997,12290
1597517000,12290
1597517003,12290
1597517006,12290
1597517009,12290
1597517012,12290
1597517015,12290
1597517018,12290
1597517021,12290
1597517024,12290
1597517027,12290
1597517030,12290
1597517033,12290
1597517036,12290
1597517039,12290
1597517042,12290
1597517045,12290
1597517048,12290
1597517051,12290
1597517054,12290
1597517057,12290
1597517060,12290
1597517063,12290
1597517066,12290
1597517069,12290
1597517072,12290
1597517075,12290
1597517078,12290
1597517081,12290
1597517084,12290
1597517087,12290
1597517090,12290
1597517093,12290
1597517096,12290
1597517099,12290
1597517102,12290
1597517105,12290
1597517108,12290
1597517111,12290
1597517114,12290
1597517117,12290
1597517120,12290
1597517123,12290
1597517126,12290
1597517129,12290
1597517132,12290
1597517135,12290
1597517138,12290
1597517141,12290
1597517144,12290
1597517147,12290
1597517150,12290
1597517153,12290
1597517156,12290
1597517159,12290
1597517162,12290
1597517165,12290
1597517168,12290
1597517171,12290
1597517174,12290
1597517177,12290
1597517180,12290
1597517183,12290
1597517186,12290
1597517189,12290
1597517192,12290
1597517195,12290
1597517198,12290
1597517201,12290
1597517204,12290
1597517207,12290
1597517210,12290
1597517213,12290
1597517216,12290
1597517219,12290
1597517222,12290
1597517225,12290
1597517228,12290
1597517231,12290
1597517234,12290
1597517237,12290
1597517240,12290
1597517243,12290
1597517246,12290
1597517249,12290
1597517252,12290
1597517255,12290
1597517258,12290
1597517261,12290
1597517264,12290
1597517267,12290
1597517270,12290
1597517273,12290
1597517276,12290
1597517279,12290
1597517282,12290
1597517285,12290
1597517288,12290
1597517291,12290
1597517294,12290
1597517297,12290
1597517300,12290
1597517303,12290
1597517306,12290
1597517309,12290
1597517312,12290
1597517315,12290
1597517318,12290
1597517321,12290
1597517324,12290
1597517327,12290
1597517330,12290
1597517333,12290
1597517336,12290
1597517339,12290
1597517342,12290
1597517345,12290
1597517348,12290
1597517351,12290
1597517354,12290
1597517357,12290
1597517360,12290
1597517363,12290
1597517366,12290
1597517369,12290
1597517372,12290
1597517375,12290
1597517378,12290
1597517381,12290
1597517384,12290
1597517387,12290
1597517390,12290
1597517393,12290
1597517396,12290
1597517399,12290
1597517402,12290
1597517405,12290
1597517408,12290
1597517411,12290
1597517414,12290
1597517417,12290
1597517420,12290
1597517423,12290
1597517426,12290
1597517429,12290
1597517432,12290
1597517435,12290
1597517438,12290
1597517441,12290
1597517444,12290
1597517447,12290
1597517450,12290
1597517453,12290
1597517456,12290
1597517459,12290
1597517462,12290
1597517465,12290
1597517468,12290
1597517471,12290
1597517474,12290
1597517477,12290
1597517480,12290
1597517483,12290
1597517486,12290
1597517489,12290
1597517492,12290
1597517495,12290
1597517498,12290
1597517501,12290
1597517504,12290
1597517507,12290
1597517510,12290
1597517513,12290
