t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,0
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,0
1597515650,0
1597515653,0
1597515656,0
1597515659,0
1597515662,0
1597515665,0
1597515668,0
1597515671,0
1597515674,0
1597515677,0
1597515680,0
1597515683,0
1597515686,0
1597515689,0
1597515692,0
1597515695,0
1597515698,0
1597515701,0
1597515704,0
1597515707,0
1597515710,0
1597515713,0
1597515716,0
1597515719,0
1597515722,0
1597515725,0
1597515728,0
1597515731,0
1597515734,0
1597515737,0
1597515740,0
1597515743,0
1597515746,0
1597515749,0
1597515752,0
1597515755,0
1597515758,0
1597515761,1201
1597515764,4221
1597515767,4221
1597515770,8454
1597515773,8948
1597515776,12569
1597515779,12569
1597515782,12569
1597515785,12569
1597515788,12569
1597515791,12569
1597515794,12569
1597515797,12569
1597515800,12569
1597515803,12569
1597515806,12569
1597515809,12569
1597515812,12569
1597515815,12569
1597515818,12569
1597515821,12569
1597515824,12569
1597515827,12569
1597515830,12569
1597515833,12569
1597515836,12569
1597515839,12569
1597515842,12569
1597515845,12569
1597515848,12569
1597515851,12569
1597515854,12569
1597515857,12569
1597515860,12569
1597515863,12569
1597515866,12569
1597515869,12569
1597515872,12569
1597515875,12569
1597515878,12569
1597515881,12569
1597515884,12569
1597515887,12569
1597515890,12569
1597515893,12569
1597515896,12569
1597515899,12569
1597515902,12569
1597515905,12569
1597515908,12569
1597515911,12569
1597515914,12569
1597515917,12569
1597515920,12569
1597515923,12569
1597515926,12569
1597515929,12569
1597515932,12569
1597515935,12569
1597515938,12569
1597515941,12569
1597515944,12569
1597515947,12569
1597515950,12569
1597515953,12569
1597515956,12569
1597515959,12569
1597515962,12569
1597515965,12569
1597515968,12569
1597515971,12569
1597515974,12569
1597515977,12569
1597515980,12569
1597515983,12569
1597515986,12569
1597515989,12569
1597515992,12569
1597515995,12569
1597515998,12569
1597516001,12569
1597516004,12569
1597516007,12569
1597516010,12569
1597516013,12569
1597516016,12569
1597516019,12569
1597516022,12569
1597516025,12569
1597516028,12569
1597516031,12569
1597516034,12569
1597516037,12569
1597516040,12569
1597516043,12569
1597516046,12569
1597516049,12569
1597516052,12569
1597516055,12569
1597516058,12569
1597516061,12569
1597516064,12569
1597516067,12569
1597516070,12569
1597516073,12569
1597516076,12569
1597516079,12569
1597516082,12569
1597516085,12569
1597516088,12569
1597516091,12569
1597516094,12569
1597516097,12569
1597516100,12569
1597516103,12569
1597516106,12569
1597516109,12569
1597516112,12569
1597516115,12569
1597516118,12569
1597516121,12569
1597516124,12569
1597516127,12569
1597516130,12569
1597516133,12569
1597516136,12569
1597516139,12569
1597516142,12569
1597516145,12569
1597516148,12569
1597516151,12569
1597516154,12569
1597516157,12569
1597516160,12569
1597516163,12569
1597516166,12569
1597516169,12569
1597516172,12569
1597516175,12569
1597516178,12569
1597516181,12569
1597516184,12569
1597516187,12569
1597516190,12569
1597516193,12569
1597516196,12569
1597516199,12569
1597516202,12569
1597516205,12569
1597516208,12569
1597516211,12569
1597516214,12569
1597516217,12569
1597516220,12569
1597516223,12569
1597516226,12569
1597516229,12569
1597516232,12569
1597516235,12569
1597516238,12569
1597516241,12569
1597516244,12569
1597516247,12569
1597516250,12569
1597516253,12569
1597516256,12569
1597516259,12569
1597516262,12569
1597516265,12569
1597516268,12569
1597516271,12569
1597516274,12569
1597516277,12569
1597516280,12569
1597516283,12569
1597516286,12569
1597516289,12569
1597516292,12569
1597516295,12569
1597516298,12569
1597516301,12569
1597516304,12569
1597516307,12569
1597516310,12569
1597516313,12569
1597516316,12569
1597516319,12569
1597516322,12569
1597516325,12569
1597516328,12569
1597516331,12569
1597516334,12569
1597516337,12569
1597516340,12569
1597516343,12569
1597516346,12569
1597516349,12569
1597516352,12569
1597516355,12569
1597516358,12569
1597516361,12569
1597516364,12569
1597516367,12569
1597516370,12569
1597516373,12569
1597516376,12569
1597516379,12569
1597516382,12569
1597516385,12569
1597516388,12569
1597516391,12569
1597516394,12569
1597516397,12569
1597516400,12569
1597516403,12569
1597516406,12569
1597516409,12569
1597516412,12569
1597516415,12569
1597516418,12569
1597516421,12569
1597516424,12569
1597516427,12569
1597516430,12569
1597516433,12569
1597516436,12569
1597516439,12569
1597516442,12569
1597516445,12569
1597516448,12569
1597516451,12569
1597516454,12569
1597516457,12569
1597516460,12569
1597516463,12569
1597516466,12569
1597516469,12569
1597516472,12569
1597516475,12569
1597516478,12569
1597516481,12569
1597516484,12569
1597516487,12569
1597516490,12569
1597516493,12569
1597516496,12569
1597516499,12569
1597516502,12569
1597516505,12569
1597516508,12569
1597516511,12569
1597516514,12569
1597516517,12569
1597516520,12569
1597516523,12569
1597516526,12569
1597516529,12569
1597516532,12569
1597516535,12569
1597516538,12569
1597516541,12569
1597516544,12569
1597516547,12569
1597516550,12569
1597516553,12569
1597516556,12569
1597516559,12569
1597516562,12569
1597516565,12569
1597516568,12569
1597516571,12569
1597516574,12569
1597516577,12569
1597516580,12569
1597516583,12569
1597516586,12569
1597516589,12569
1597516592,12569
1597516595,12569
1597516598,12569
1597516601,12569
1597516604,12569
1597516607,12569
1597516610,12569
1597516613,12569
1597516616,12569
1597516619,12569
1597516622,12569
1597516625,12569
1597516628,12569
1597516631,12569
1597516634,12569
1597516637,12569
1597516640,12569
1597516643,12569
1597516646,12569
1597516649,12569
1597516652,12569
1597516655,12569
1597516658,12569
1597516661,12569
1597516664,12569
1597516667,12569
1597516670,12569
1597516673,12569
1597516676,12569
1597516679,12569
1597516682,12569
1597516685,12569
1597516688,12569
1597516691,12569
1597516694,12569
1597516697,12569
1597516700,12569
1597516703,12569
1597516706,12569
1597516709,12569
1597516712,12569
1597516715,12569
1597516718,12569
1597516721,12569
1597516724,12569
1597516727,12569
1597516730,12569
1597516733,12569
1597516736,12569
1597516739,12569
1597516742,12569
1597516745,12569
1597516748,12569
1597516751,12569
1597516754,12569
1597516757,12569
1597516760,12569
1597516763,12569
1597516766,12569
1597516769,12569
1597516772,12569
1597516775,12569
1597516778,12569
1597516781,12569
1597516784,12569
1597516787,12569
1597516790,12569
1597516793,12569
1597516796,12569
1597516799,12569
1597516802,12569
1597516805,12569
1597516808,12569
1597516811,12569
1597516814,12569
1597516817,12569
1597516820,12569
1597516823,12569
1597516826,12569
1597516829,12569
1597516832,12569
1597516835,12569
1597516838,12569
1597516841,12569
1597516844,12569
1597516847,12569
1597516850,12569
1597516853,12569
1597516856,12569
1597516859,12569
1597516862,12569
1597516865,12569
1597516868,12569
1597516871,12569
1597516874,12569
1597516877,12569
1597516880,12569
1597516883,12569
1597516886,12569
1597516889,12569
1597516892,12569
1597516895,12569
1597516898,12569
1597516901,12569
1597516904,12569
1597516907,12569
1597516910,12569
1597516913,12569
1597516916,12569
1597516919,12569
1597516922,12569
1597516925,12569
1597516928,12569
1597516931,12569
1597516934,12569
1597516937,12569
1597516940,12569
1597516943,12569
1597516946,12569
1597516949,12569
1597516952,12569
1597516955,12569
1597516958,12569
1597516961,12569
1597516964,12569
1597516967,12569
1597516970,12569
1597516973,12569
1597516976,12569
1597516979,12569
1597516982,12569
1597516985,12569
1597516988,12569
1597516991,12569
1597516994,12569
1597516997,12569
1597517000,12569
1597517003,12569
1597517006,12569
1597517009,12569
1597517012,12569
1597517015,12569
1597517018,12569
1597517021,12569
1597517024,12569
1597517027,12569
1597517030,12569
1597517033,12569
1597517036,12569
1597517039,12569
1597517042,12569
1597517045,12569
1597517048,12569
1597517051,12569
1597517054,12569
1597517057,12569
1597517060,12569
1597517063,12569
1597517066,12569
1597517069,12569
1597517072,12569
1597517075,12569
1597517078,12569
1597517081,12569
1597517084,12569
1597517087,12569
1597517090,12569
1597517093,12569
1597517096,12569
1597517099,12569
1597517102,12569
1597517105,12569
1597517108,12569
1597517111,12569
1597517114,12569
1597517117,12569
1597517120,12569
1597517123,12569
1597517126,12569
1597517129,12569
1597517132,12569
1597517135,12569
1597517138,12569
1597517141,12569
1597517144,12569
1597517147,12569
1597517150,12569
1597517153,12569
1597517156,12569
1597517159,12569
1597517162,12569
1597517165,12569
1597517168,12569
1597517171,12569
1597517174,12569
1597517177,12569
1597517180,12569
1597517183,12569
1597517186,12569
1597517189,12569
1597517192,12569
1597517195,12569
1597517198,12569
1597517201,12569
1597517204,12569
1597517207,12569
1597517210,12569
1597517213,12569
1597517216,12569
1597517219,12569
1597517222,12569
1597517225,12569
1597517228,12569
1597517231,12569
1597517234,12569
1597517237,12569
1597517240,12569
1597517243,12569
1597517246,12569
1597517249,12569
1597517252,12569
1597517255,12569
1597517258,12569
1597517261,12569
1597517264,12569
1597517267,12569
1597517270,12569
1597517273,12569
1597517276,12569
1597517279,12569
1597517282,12569
1597517285,12569
1597517288,12569
1597517291,12569
1597517294,12569
1597517297,12569
1597517300,12569
1597517303,12569
1597517306,12569
1597517309,12569
1597517312,12569
1597517315,12569
1597517318,12569
1597517321,12569
1597517324,12569
1597517327,12569
1597517330,12569
1597517333,12569
1597517336,12569
1597517339,12569
1597517342,12569
1597517345,12569
1597517348,12569
1597517351,12569
1597517354,12569
1597517357,12569
1597517360,12569
1597517363,12569
1597517366,12569
1597517369,12569
1597517372,12569
1597517375,12569
1597517378,12569
1597517381,12569
1597517384,12569
1597517387,12569
1597517390,12569
1597517393,12569
1597517396,12569
1597517399,12569
1597517402,12569
1597517405,12569
1597517408,12569
1597517411,12569
1597517414,12569
1597517417,12569
1597517420,12569
1597517423,12569
1597517426,12569
1597517429,12569
1597517432,12569
1597517435,12569
1597517438,12569
1597517441,12569
1597517444,12569
1597517447,12569
1597517450,12569
1597517453,12569
1597517456,12569
1597517459,12569
1597517462,12569
1597517465,12569
1597517468,12569
1597517471,12569
1597517474,12569
1597517477,12569
1597517480,12569
1597517483,12569
1597517486,12569
1597517489,12569
1597517492,12569
1597517495,12569
1597517498,12569
1597517501,12569
1597517504,12569
1597517507,12569
1597517510,12569
1597517513,12569
