t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,0
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,0
1597515650,0
1597515653,0
1597515656,0
1597515659,0
1597515662,0
1597515665,0
1597515668,0
1597515671,0
1597515674,0
1597515677,0
1597515680,0
1597515683,0
1597515686,0
1597515689,0
1597515692,0
1597515695,0
1597515698,0
1597515701,0
1597515704,0
1597515707,0
1597515710,0
1597515713,0
1597515716,0
1597515719,0
1597515722,0
1597515725,0
1597515728,0
1597515731,0
1597515734,0
1597515737,0
1597515740,0
1597515743,0
1597515746,0
1597515749,0
1597515752,0
1597515755,0
1597515758,0
1597515761,0
1597515764,0
1597515767,4221
1597515770,4221
1597515773,8002
1597515776,12117
1597515779,12117
1597515782,12117
1597515785,12117
1597515788,12117
1597515791,12117
1597515794,12117
1597515797,12117
1597515800,12117
1597515803,12117
1597515806,12117
1597515809,12117
1597515812,12117
1597515815,12117
1597515818,12117
1597515821,12117
1597515824,12117
1597515827,12117
1597515830,12117
1597515833,12117
1597515836,12117
1597515839,12117
1597515842,12117
1597515845,12117
1597515848,12117
1597515851,12117
1597515854,12117
1597515857,12117
1597515860,12117
1597515863,12117
1597515866,12117
1597515869,12117
1597515872,12117
1597515875,12117
1597515878,12117
1597515881,12117
1597515884,12117
1597515887,12117
1597515890,12117
1597515893,12117
1597515896,12117
1597515899,12117
1597515902,12117
1597515905,12117
1597515908,12117
1597515911,12117
1597515914,12117
1597515917,12117
1597515920,12117
1597515923,12117
1597515926,12117
1597515929,12117
1597515932,12117
1597515935,12117
1597515938,12117
1597515941,12117
1597515944,12117
1597515947,12117
1597515950,12117
1597515953,12117
1597515956,12117
1597515959,12117
1597515962,12117
1597515965,12117
1597515968,12117
1597515971,12117
1597515974,12117
1597515977,12117
1597515980,12117
1597515983,12117
1597515986,12117
1597515989,12117
1597515992,12117
1597515995,12117
1597515998,12117
1597516001,12117
1597516004,12117
1597516007,12117
1597516010,12117
1597516013,12117
1597516016,12117
1597516019,12117
1597516022,12117
1597516025,12117
1597516028,12117
1597516031,12117
1597516034,12117
1597516037,12117
1597516040,12117
1597516043,12117
1597516046,12117
1597516049,12117
1597516052,12117
1597516055,12117
1597516058,12117
1597516061,12117
1597516064,12117
1597516067,12117
1597516070,12117
1597516073,12117
1597516076,12117
1597516079,12117
1597516082,12117
1597516085,12117
1597516088,12117
1597516091,12117
1597516094,12117
1597516097,12117
1597516100,12117
1597516103,12117
1597516106,12117
1597516109,12117
1597516112,12117
1597516115,12117
1597516118,12117
1597516121,12117
1597516124,12117
1597516127,12117
1597516130,12117
1597516133,12117
1597516136,12117
1597516139,12117
1597516142,12117
1597516145,12117
1597516148,12117
1597516151,12117
1597516154,12117
1597516157,12117
1597516160,12117
1597516163,12117
1597516166,12117
1597516169,12117
1597516172,12117
1597516175,12117
1597516178,12117
1597516181,12117
1597516184,12117
1597516187,12117
1597516190,12117
1597516193,12117
1597516196,12117
1597516199,12117
1597516202,12117
1597516205,12117
1597516208,12117
1597516211,12117
1597516214,12117
1597516217,12117
1597516220,12117
1597516223,12117
1597516226,12117
1597516229,12117
1597516232,12117
1597516235,12117
1597516238,12117
1597516241,12117
1597516244,12117
1597516247,12117
1597516250,12117
1597516253,12117
1597516256,12117
1597516259,12117
1597516262,12117
1597516265,12117
1597516268,12117
1597516271,12117
1597516274,12117
1597516277,12117
1597516280,12117
1597516283,12117
1597516286,12117
1597516289,12117
1597516292,12117
1597516295,12117
1597516298,12117
1597516301,12117
1597516304,12117
1597516307,12117
1597516310,12117
1597516313,12117
1597516316,12117
1597516319,12117
1597516322,12117
1597516325,12117
1597516328,12117
1597516331,12117
1597516334,12117
1597516337,12117
1597516340,12117
1597516343,12117
1597516346,12117
1597516349,12117
1597516352,12117
1597516355,12117
1597516358,12117
1597516361,12117
1597516364,12117
1597516367,12117
1597516370,12117
1597516373,12117
1597516376,12117
1597516379,12117
1597516382,12117
1597516385,12117
1597516388,12117
1597516391,12117
1597516394,12117
1597516397,12117
1597516400,12117
1597516403,12117
1597516406,12117
1597516409,12117
1597516412,12117
1597516415,12117
1597516418,12117
1597516421,12117
1597516424,12117
1597516427,12117
1597516430,12117
1597516433,12117
1597516436,12117
1597516439,12117
1597516442,12117
1597516445,12117
1597516448,12117
1597516451,12117
1597516454,12117
1597516457,12117
1597516460,12117
1597516463,12117
1597516466,12117
1597516469,12117
1597516472,12117
1597516475,12117
1597516478,12117
1597516481,12117
1597516484,12117
1597516487,12117
1597516490,12117
1597516493,12117
1597516496,12117
1597516499,12117
1597516502,12117
1597516505,12117
1597516508,12117
1597516511,12117
1597516514,12117
1597516517,12117
1597516520,12117
1597516523,12117
1597516526,12117
1597516529,12117
1597516532,12117
1597516535,12117
1597516538,12117
1597516541,12117
1597516544,12117
1597516547,12117
1597516550,12117
1597516553,12117
1597516556,12117
1597516559,12117
1597516562,12117
1597516565,12117
1597516568,12117
1597516571,12117
1597516574,12117
1597516577,12117
1597516580,12117
1597516583,12117
1597516586,12117
1597516589,12117
1597516592,12117
1597516595,12117
1597516598,12117
1597516601,12117
1597516604,12117
1597516607,12117
1597516610,12117
1597516613,12117
1597516616,12117
1597516619,12117
1597516622,12117
1597516625,12117
1597516628,12117
1597516631,12117
1597516634,12117
1597516637,12117
1597516640,12117
1597516643,12117
1597516646,12117
1597516649,12117
1597516652,12117
1597516655,12117
1597516658,12117
1597516661,12117
1597516664,12117
1597516667,12117
1597516670,12117
1597516673,12117
1597516676,12117
1597516679,12117
1597516682,12117
1597516685,12117
1597516688,12117
1597516691,12117
1597516694,12117
1597516697,12117
1597516700,12117
1597516703,12117
1597516706,12117
1597516709,12117
1597516712,12117
1597516715,12117
1597516718,12117
1597516721,12117
1597516724,12117
1597516727,12117
1597516730,12117
1597516733,12117
1597516736,12117
1597516739,12117
1597516742,12117
1597516745,12117
1597516748,12117
1597516751,12117
1597516754,12117
1597516757,12117
1597516760,12117
1597516763,12117
1597516766,12117
1597516769,12117
1597516772,12117
1597516775,12117
1597516778,12117
1597516781,12117
1597516784,12117
1597516787,12117
1597516790,12117
1597516793,12117
1597516796,12117
1597516799,12117
1597516802,12117
1597516805,12117
1597516808,12117
1597516811,12117
1597516814,12117
1597516817,12117
1597516820,12117
1597516823,12117
1597516826,12117
1597516829,12117
1597516832,12117
1597516835,12117
1597516838,12117
1597516841,12117
1597516844,12117
1597516847,12117
1597516850,12117
1597516853,12117
1597516856,12117
1597516859,12117
1597516862,12117
1597516865,12117
1597516868,12117
1597516871,12117
1597516874,12117
1597516877,12117
1597516880,12117
1597516883,12117
1597516886,12117
1597516889,12117
1597516892,12117
1597516895,12117
1597516898,12117
1597516901,12117
1597516904,12117
1597516907,12117
1597516910,12117
1597516913,12117
1597516916,12117
1597516919,12117
1597516922,12117
1597516925,12117
1597516928,12117
1597516931,12117
1597516934,12117
1597516937,12117
1597516940,12117
1597516943,12117
1597516946,12117
1597516949,12117
1597516952,12117
1597516955,12117
1597516958,12117
1597516961,12117
1597516964,12117
1597516967,12117
1597516970,12117
1597516973,12117
1597516976,12117
1597516979,12117
1597516982,12117
1597516985,12117
1597516988,12117
1597516991,12117
1597516994,12117
1597516997,12117
1597517000,12117
1597517003,12117
1597517006,12117
1597517009,12117
1597517012,12117
1597517015,12117
1597517018,12117
1597517021,12117
1597517024,12117
1597517027,12117
1597517030,12117
1597517033,12117
1597517036,12117
1597517039,12117
1597517042,12117
1597517045,12117
1597517048,12117
1597517051,12117
1597517054,12117
1597517057,12117
1597517060,12117
1597517063,12117
1597517066,12117
1597517069,12117
1597517072,12117
1597517075,12117
1597517078,12117
1597517081,12117
1597517084,12117
1597517087,12117
1597517090,12117
1597517093,12117
1597517096,12117
1597517099,12117
1597517102,12117
1597517105,12117
1597517108,12117
1597517111,12117
1597517114,12117
1597517117,12117
1597517120,12117
1597517123,12117
1597517126,12117
1597517129,12117
1597517132,12117
1597517135,12117
1597517138,12117
1597517141,12117
1597517144,12117
1597517147,12117
1597517150,12117
1597517153,12117
1597517156,12117
1597517159,12117
1597517162,12117
1597517165,12117
1597517168,12117
1597517171,12117
1597517174,12117
1597517177,12117
1597517180,12117
1597517183,12117
1597517186,12117
1597517189,12117
1597517192,12117
1597517195,12117
1597517198,12117
1597517201,12117
1597517204,12117
1597517207,12117
1597517210,12117
1597517213,12117
1597517216,12117
1597517219,12117
1597517222,12117
1597517225,12117
1597517228,12117
1597517231,12117
1597517234,12117
1597517237,12117
1597517240,12117
1597517243,12117
1597517246,12117
1597517249,12117
1597517252,12117
1597517255,12117
1597517258,12117
1597517261,12117
1597517264,12117
1597517267,12117
1597517270,12117
1597517273,12117
1597517276,12117
1597517279,12117
1597517282,12117
1597517285,12117
1597517288,12117
1597517291,12117
1597517294,12117
1597517297,12117
1597517300,12117
1597517303,12117
1597517306,12117
1597517309,12117
1597517312,12117
1597517315,12117
1597517318,12117
1597517321,12117
1597517324,12117
1597517327,12117
1597517330,12117
1597517333,12117
1597517336,12117
1597517339,12117
1597517342,12117
1597517345,12117
1597517348,12117
1597517351,12117
1597517354,12117
1597517357,12117
1597517360,12117
1597517363,12117
1597517366,12117
1597517369,12117
1597517372,12117
1597517375,12117
1597517378,12117
1597517381,12117
1597517384,12117
1597517387,12117
1597517390,12117
1597517393,12117
1597517396,12117
1597517399,12117
1597517402,12117
1597517405,12117
1597517408,12117
1597517411,12117
1597517414,12117
1597517417,12117
1597517420,12117
1597517423,12117
1597517426,12117
1597517429,12117
1597517432,12117
1597517435,12117
1597517438,12117
1597517441,12117
1597517444,12117
1597517447,12117
1597517450,12117
1597517453,12117
1597517456,12117
1597517459,12117
1597517462,12117
1597517465,12117
1597517468,12117
1597517471,12117
1597517474,12117
1597517477,12117
1597517480,12117
1597517483,12117
1597517486,12117
1597517489,12117
1597517492,12117
1597517495,12117
1597517498,12117
1597517501,12117
1597517504,12117
1597517507,12117
1597517510,12117
1597517513,12117
