t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,1
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,0
1597515650,0
1597515653,0
1597515656,0
1597515659,0
1597515662,0
1597515665,0
1597515668,0
1597515671,0
1597515674,0
1597515677,0
1597515680,0
1597515683,0
1597515686,0
1597515689,0
1597515692,0
1597515695,0
1597515698,0
1597515701,0
1597515704,0
1597515707,0
1597515710,1
1597515713,0
1597515716,0
1597515719,0
1597515722,0
1597515725,0
1597515728,0
1597515731,0
1597515734,0
1597515737,0
1597515740,0
1597515743,1
1597515746,0
1597515749,0
1597515752,0
1597515755,0
1597515758,1
1597515761,0
1597515764,0
1597515767,1
1597515770,0
1597515773,0
1597515776,0
1597515779,0
1597515782,0
1597515785,0
1597515788,0
1597515791,0
1597515794,0
1597515797,0
1597515800,0
1597515803,0
1597515806,0
1597515809,0
1597515812,0
1597515815,0
1597515818,0
1597515821,0
1597515824,0
1597515827,0
1597515830,0
1597515833,0
1597515836,0
1597515839,0
1597515842,0
1597515845,0
1597515848,0
1597515851,0
1597515854,0
1597515857,0
1597515860,0
1597515863,0
1597515866,0
1597515869,0
1597515872,0
1597515875,0
1597515878,0
1597515881,0
1597515884,0
1597515887,0
1597515890,0
1597515893,0
1597515896,0
1597515899,0
1597515902,0
1597515905,0
1597515908,0
1597515911,0
1597515914,0
1597515917,0
1597515920,0
1597515923,0
1597515926,0
1597515929,0
1597515932,0
1597515935,0
1597515938,0
1597515941,0
1597515944,0
1597515947,0
1597515950,0
1597515953,0
1597515956,0
1597515959,0
1597515962,0
1597515965,0
1597515968,0
1597515971,0
1597515974,0
1597515977,0
1597515980,0
1597515983,0
1597515986,0
1597515989,0
1597515992,0
1597515995,0
1597515998,0
1597516001,4
1597516004,0
1597516007,0
1597516010,0
1597516013,0
1597516016,0
1597516019,0
1597516022,0
1597516025,0
1597516028,0
1597516031,0
1597516034,0
1597516037,0
1597516040,0
1597516043,0
1597516046,0
1597516049,0
1597516052,0
1597516055,0
1597516058,0
1597516061,0
1597516064,0
1597516067,0
1597516070,0
1597516073,0
1597516076,0
1597516079,0
1597516082,0
1597516085,0
1597516088,0
1597516091,0
1597516094,0
1597516097,0
1597516100,0
1597516103,0
1597516106,0
1597516109,0
1597516112,0
1597516115,0
1597516118,0
1597516121,0
1597516124,0
1597516127,0
1597516130,0
1597516133,0
1597516136,0
1597516139,0
1597516142,0
1597516145,0
1597516148,0
1597516151,0
1597516154,0
1597516157,0
1597516160,0
1597516163,0
1597516166,0
1597516169,0
1597516172,0
1597516175,0
1597516178,0
1597516181,0
1597516184,0
1597516187,0
1597516190,0
1597516193,0
1597516196,0
1597516199,0
1597516202,0
1597516205,0
1597516208,0
1597516211,0
1597516214,0
1597516217,0
1597516220,0
1597516223,0
1597516226,0
1597516229,0
1597516232,0
1597516235,0
1597516238,0
1597516241,0
1597516244,0
1597516247,0
1597516250,0
1597516253,0
1597516256,0
1597516259,0
1597516262,0
1597516265,0
1597516268,0
1597516271,0
1597516274,0
1597516277,0
1597516280,0
1597516283,0
1597516286,0
1597516289,0
1597516292,0
1597516295,0
1597516298,0
1597516301,0
1597516304,0
1597516307,0
1597516310,0
1597516313,0
1597516316,0
1597516319,0
1597516322,0
1597516325,0
1597516328,0
1597516331,0
1597516334,0
1597516337,0
1597516340,0
1597516343,0
1597516346,0
1597516349,0
1597516352,0
1597516355,0
1597516358,0
1597516361,0
1597516364,0
1597516367,0
1597516370,0
1597516373,0
1597516376,0
1597516379,0
1597516382,0
1597516385,0
1597516388,0
1597516391,0
1597516394,0
1597516397,0
1597516400,0
1597516403,0
1597516406,0
1597516409,0
1597516412,0
1597516415,0
1597516418,0
1597516421,0
1597516424,0
1597516427,0
1597516430,0
1597516433,0
1597516436,0
1597516439,0
1597516442,0
1597516445,0
1597516448,0
1597516451,0
1597516454,0
1597516457,0
1597516460,0
1597516463,0
1597516466,0
1597516469,0
1597516472,0
1597516475,0
1597516478,0
1597516481,0
1597516484,0
1597516487,0
1597516490,0
1597516493,0
1597516496,0
1597516499,0
1597516502,0
1597516505,0
1597516508,0
1597516511,0
1597516514,0
1597516517,0
1597516520,0
1597516523,0
1597516526,0
1597516529,0
1597516532,0
1597516535,0
1597516538,0
1597516541,0
1597516544,0
1597516547,0
1597516550,0
1597516553,0
1597516556,0
1597516559,0
1597516562,0
1597516565,0
1597516568,0
1597516571,0
1597516574,0
1597516577,0
1597516580,0
1597516583,0
1597516586,0
1597516589,0
1597516592,0
1597516595,0
1597516598,0
1597516601,0
1597516604,0
1597516607,0
1597516610,0
1597516613,0
1597516616,0
1597516619,0
1597516622,0
1597516625,0
1597516628,0
1597516631,0
1597516634,0
1597516637,0
1597516640,0
1597516643,0
1597516646,0
1597516649,0
1597516652,0
1597516655,0
1597516658,0
1597516661,0
1597516664,0
1597516667,0
1597516670,0
1597516673,0
1597516676,0
1597516679,0
1597516682,0
1597516685,0
1597516688,0
1597516691,0
1597516694,0
1597516697,0
1597516700,0
1597516703,0
1597516706,0
1597516709,0
1597516712,0
1597516715,0
1597516718,0
1597516721,0
1597516724,0
1597516727,0
1597516730,0
1597516733,0
1597516736,0
1597516739,0
1597516742,0
1597516745,0
1597516748,0
1597516751,0
1597516754,0
1597516757,0
1597516760,0
1597516763,0
1597516766,0
1597516769,0
1597516772,0
1597516775,0
1597516778,0
1597516781,0
1597516784,0
1597516787,0
1597516790,0
1597516793,0
1597516796,0
1597516799,0
1597516802,0
1597516805,0
1597516808,0
1597516811,0
1597516814,0
1597516817,0
1597516820,0
1597516823,0
1597516826,0
1597516829,0
1597516832,0
1597516835,0
1597516838,0
1597516841,0
1597516844,0
1597516847,0
1597516850,0
1597516853,0
1597516856,0
1597516859,0
1597516862,0
1597516865,0
1597516868,0
1597516871,0
1597516874,0
1597516877,0
1597516880,0
1597516883,0
1597516886,0
1597516889,0
1597516892,0
1597516895,0
1597516898,0
1597516901,0
1597516904,0
1597516907,0
1597516910,0
1597516913,0
1597516916,0
1597516919,0
1597516922,0
1597516925,0
1597516928,0
1597516931,0
1597516934,0
1597516937,0
1597516940,0
1597516943,0
1597516946,0
1597516949,0
1597516952,0
1597516955,0
1597516958,0
1597516961,0
1597516964,0
1597516967,0
1597516970,0
1597516973,0
1597516976,0
1597516979,0
1597516982,0
1597516985,0
1597516988,0
1597516991,0
1597516994,0
1597516997,0
1597517000,0
1597517003,0
1597517006,0
1597517009,0
1597517012,0
1597517015,0
1597517018,0
1597517021,0
1597517024,0
1597517027,0
1597517030,0
1597517033,0
1597517036,0
1597517039,0
1597517042,0
1597517045,0
1597517048,0
1597517051,0
1597517054,0
1597517057,0
1597517060,0
1597517063,0
1597517066,0
1597517069,0
1597517072,0
1597517075,0
1597517078,0
1597517081,0
1597517084,0
1597517087,0
1597517090,0
1597517093,0
1597517096,0
1597517099,0
1597517102,0
1597517105,0
1597517108,0
1597517111,0
1597517114,0
1597517117,0
1597517120,0
1597517123,0
1597517126,0
1597517129,0
1597517132,0
1597517135,0
1597517138,0
1597517141,0
1597517144,0
1597517147,0
1597517150,0
1597517153,0
1597517156,0
1597517159,0
1597517162,0
1597517165,0
1597517168,0
1597517171,0
1597517174,0
1597517177,0
1597517180,0
1597517183,0
1597517186,0
1597517189,0
1597517192,0
1597517195,0
1597517198,0
1597517201,0
1597517204,0
1597517207,0
1597517210,0
1597517213,0
1597517216,0
1597517219,0
1597517222,0
1597517225,0
1597517228,0
1597517231,0
1597517234,0
1597517237,0
1597517240,0
1597517243,0
1597517246,0
1597517249,0
1597517252,0
1597517255,0
1597517258,0
1597517261,0
1597517264,0
1597517267,0
1597517270,0
1597517273,0
1597517276,0
1597517279,0
1597517282,0
1597517285,0
1597517288,0
1597517291,0
1597517294,0
1597517297,0
1597517300,0
1597517303,0
1597517306,0
1597517309,0
1597517312,0
1597517315,0
1597517318,0
1597517321,0
1597517324,0
1597517327,0
1597517330,0
1597517333,0
1597517336,0
1597517339,0
1597517342,0
1597517345,0
1597517348,0
1597517351,0
1597517354,0
1597517357,0
1597517360,0
1597517363,0
1597517366,0
1597517369,0
1597517372,0
1597517375,0
1597517378,0
1597517381,0
1597517384,0
1597517387,0
1597517390,0
1597517393,0
1597517396,0
1597517399,0
1597517402,0
1597517405,0
1597517408,0
1597517411,0
1597517414,0
1597517417,0
1597517420,0
1597517423,0
1597517426,0
1597517429,0
1597517432,0
1597517435,0
1597517438,0
1597517441,0
1597517444,0
1597517447,0
1597517450,0
1597517453,0
1597517456,0
1597517459,0
1597517462,0
1597517465,0
1597517468,0
1597517471,0
1597517474,0
1597517477,0
1597517480,0
1597517483,0
1597517486,0
1597517489,0
1597517492,0
1597517495,0
1597517498,0
1597517501,0
1597517504,0
1597517507,0
1597517510,0
1597517513,0
1597517516,0
1597517519,0
1597517522,0
1597517525,0
1597517528,0
1597517531,0
1597517534,0
1597517537,0
1597517540,0
1597517543,0
1597517546,0
1597517549,0
1597517552,0
1597517555,0
1597517558,0
1597517561,0
1597517564,0
1597517567,0
1597517570,0
1597517573,0
1597517576,0
1597517579,0
1597517582,0
1597517585,0
1597517588,0
1597517591,1
1597517594,0
1597517597,0
1597517600,0
1597517603,0
1597517606,0
1597517609,0
1597517612,0
1597517615,1
1597517618,0
1597517621,0
1597517624,0
1597517627,0
1597517630,0
1597517633,0
1597517636,0
1597517639,0
1597517642,0
1597517645,0
1597517648,0
1597517651,0
1597517654,0
1597517657,0
1597517660,0
1597517663,0
1597517666,0
1597517669,0
1597517672,0
1597517675,0
1597517678,0
1597517681,0
1597517684,0
1597517687,0
1597517690,0
1597517693,0
1597517696,0
1597517699,0
1597517702,0
1597517705,0
1597517708,0
1597517711,0
1597517714,0
1597517717,0
1597517720,0
1597517723,0
1597517726,0
1597517729,0
1597517732,0
1597517735,0
1597517738,0
1597517741,0
1597517744,0
1597517747,0
1597517750,0
1597517753,0
1597517756,0
1597517759,0
1597517762,0
1597517765,0
