t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515518,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515521,0,0.000000,0.000000,0.000000,0.000000,events/second
1597515524,1,0.063621,0.000000,0.000000,0.000000,events/second
1597515527,1,0.053543,0.000000,0.000000,0.000000,events/second
1597515530,1,0.046181,0.000000,0.000000,0.000000,events/second
1597515533,1,0.040531,0.000000,0.000000,0.000000,events/second
1597515536,1,0.036123,0.000000,0.000000,0.000000,events/second
1597515539,1,0.032605,0.000000,0.000000,0.000000,events/second
1597515542,1,0.029701,0.000000,0.000000,0.000000,events/second
1597515545,1,0.027277,0.000000,0.000000,0.000000,events/second
1597515548,1,0.025209,0.000000,0.000000,0.000000,events/second
1597515551,1,0.023447,0.000000,0.000000,0.000000,events/second
1597515554,1,0.021904,0.000000,0.000000,0.000000,events/second
1597515557,1,0.020553,0.000000,0.000000,0.000000,events/second
1597515560,1,0.019360,0.000000,0.000000,0.000000,events/second
1597515563,1,0.018285,0.000000,0.000000,0.000000,events/second
1597515566,1,0.017350,0.000000,0.000000,0.000000,events/second
1597515569,1,0.016485,0.000000,0.000000,0.000000,events/second
1597515572,1,0.015707,0.000000,0.000000,0.000000,events/second
1597515575,1,0.014997,0.000000,0.000000,0.000000,events/second
1597515578,1,0.014361,0.000000,0.000000,0.000000,events/second
1597515581,1,0.013761,0.000000,0.000000,0.000000,events/second
1597515584,1,0.013215,0.000000,0.000000,0.000000,events/second
1597515587,1,0.012709,0.000000,0.000000,0.000000,events/second
1597515590,1,0.012230,0.000000,0.000000,0.000000,events/second
1597515593,1,0.011794,0.000000,0.000000,0.000000,events/second
1597515596,1,0.011409,0.000000,0.000000,0.000000,events/second
1597515599,1,0.011030,0.000000,0.000000,0.000000,events/second
1597515602,1,0.010679,0.000000,0.000000,0.000000,events/second
1597515605,1,0.010347,0.000000,0.000000,0.000000,events/second
1597515608,1,0.010036,0.000000,0.000000,0.000000,events/second
1597515611,1,0.009739,0.000000,0.000000,0.000000,events/second
1597515614,1,0.009465,0.000000,0.000000,0.000000,events/second
1597515617,1,0.009198,0.000000,0.000000,0.000000,events/second
1597515620,1,0.008956,0.000000,0.000000,0.000000,events/second
1597515623,1,0.008723,0.000000,0.000000,0.000000,events/second
1597515626,1,0.008497,0.000000,0.000000,0.000000,events/second
1597515629,1,0.008285,0.000000,0.000000,0.000000,events/second
1597515632,1,0.008084,0.000000,0.000000,0.000000,events/second
1597515635,1,0.007892,0.000000,0.000000,0.000000,events/second
1597515638,1,0.007699,0.000000,0.000000,0.000000,events/second
1597515641,1,0.007538,0.000000,0.000000,0.000000,events/second
1597515644,1,0.007372,0.000000,0.000000,0.000000,events/second
1597515647,1,0.007200,0.000000,0.000000,0.000000,events/second
1597515650,1,0.007056,0.000000,0.000000,0.000000,events/second
1597515653,1,0.006913,0.000000,0.000000,0.000000,events/second
1597515656,1,0.006771,0.000000,0.000000,0.000000,events/second
1597515659,2,0.013275,0.000000,0.000000,0.000000,events/second
1597515662,2,0.013018,0.000000,0.000000,0.000000,events/second
1597515665,2,0.012765,0.000000,0.000000,0.000000,events/second
1597515668,2,0.012527,0.000000,0.000000,0.000000,events/second
1597515671,2,0.012295,0.000000,0.000000,0.000000,events/second
1597515674,2,0.012074,0.000000,0.000000,0.000000,events/second
