t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,3325786,888443.932145,0.000000,0.000000,0.000000,events/second
1597515518,3325786,533712.996834,0.000000,0.000000,0.000000,events/second
1597515521,3325786,366551.627517,0.000000,0.000000,0.000000,events/second
1597515524,3325786,274734.457783,0.000000,0.000000,0.000000,events/second
1597515527,3325786,220835.329318,0.000000,0.000000,0.000000,events/second
1597515530,3325786,184427.539150,0.000000,0.000000,0.000000,events/second
1597515533,3325786,157978.852481,0.000000,0.000000,0.000000,events/second
1597515536,3325786,138191.319811,0.000000,0.000000,0.000000,events/second
1597515539,3325786,122954.560321,0.000000,0.000000,0.000000,events/second
1597515542,3325786,110678.597438,0.000000,0.000000,0.000000,events/second
1597515545,3325786,100662.010320,0.000000,0.000000,0.000000,events/second
1597515548,3325786,92256.610292,0.000000,0.000000,0.000000,events/second
1597515551,3325786,85214.856749,0.000000,0.000000,0.000000,events/second
1597515554,3325786,79124.938730,0.000000,0.000000,0.000000,events/second
1597515557,3325786,73847.078999,0.000000,0.000000,0.000000,events/second
1597515560,3325786,69241.940982,0.000000,0.000000,0.000000,events/second
1597515563,3325786,65121.519328,0.000000,0.000000,0.000000,events/second
1597515566,3325786,61570.994900,0.000000,0.000000,0.000000,events/second
1597515569,3325786,58302.582499,0.000000,0.000000,0.000000,events/second
1597515572,3325786,55387.796748,0.000000,0.000000,0.000000,events/second
1597515575,3325786,52741.344910,0.000000,0.000000,0.000000,events/second
1597515578,3325786,50381.551421,0.000000,0.000000,0.000000,events/second
1597515581,3325786,48164.417197,0.000000,0.000000,0.000000,events/second
1597515584,3325786,46157.641428,0.000000,0.000000,0.000000,events/second
1597515587,3325786,44303.925682,0.000000,0.000000,0.000000,events/second
1597515590,3325786,42558.593540,0.000000,0.000000,0.000000,events/second
1597515593,3325786,40970.936539,0.000000,0.000000,0.000000,events/second
1597515596,3325786,39579.563820,0.000000,0.000000,0.000000,events/second
1597515599,3325786,38208.838839,0.000000,0.000000,0.000000,events/second
1597515602,3325786,36943.523532,0.000000,0.000000,0.000000,events/second
1597515605,3325786,35752.302777,0.000000,0.000000,0.000000,events/second
1597515608,3325786,34635.095803,0.000000,0.000000,0.000000,events/second
1597515611,3325786,33572.277946,0.000000,0.000000,0.000000,events/second
1597515614,3325786,32596.993445,0.000000,0.000000,0.000000,events/second
1597515617,3325786,31641.732382,0.000000,0.000000,0.000000,events/second
1597515620,3325786,30782.325925,0.000000,0.000000,0.000000,events/second
1597515623,3325786,29957.168104,0.000000,0.000000,0.000000,events/second
1597515626,3325786,29157.673106,0.000000,0.000000,0.000000,events/second
1597515629,3325786,28407.166380,0.000000,0.000000,0.000000,events/second
1597515632,3325786,27695.016152,0.000000,0.000000,0.000000,events/second
1597515635,3325786,27018.709230,0.000000,0.000000,0.000000,events/second
1597515638,3325786,26336.934420,0.000000,0.000000,0.000000,events/second
1597515641,3325786,25771.144638,0.000000,0.000000,0.000000,events/second
1597515644,3325786,25189.328541,0.000000,0.000000,0.000000,events/second
1597515647,3325786,24586.487425,0.000000,0.000000,0.000000,events/second
1597515650,3325786,24080.531051,0.000000,0.000000,0.000000,events/second
1597515653,3325786,23580.619042,0.000000,0.000000,0.000000,events/second
1597515656,3325786,23086.315259,0.000000,0.000000,0.000000,events/second
1597515659,3325786,22617.381477,0.000000,0.000000,0.000000,events/second
1597515662,3325786,22169.781516,0.000000,0.000000,0.000000,events/second
1597515665,3325786,21729.595492,0.000000,0.000000,0.000000,events/second
1597515668,3325786,21314.804146,0.000000,0.000000,0.000000,events/second
