t,value
1597515515,0.0
1597515518,1.0
1597515521,1.0
1597515524,1.0
1597515527,1.0
1597515530,1.0
1597515533,1.0
1597515536,1.0
1597515539,1.0
1597515542,1.0
1597515545,1.0
1597515548,1.0
1597515551,1.0
1597515554,1.0
1597515557,1.0
1597515560,1.0
1597515563,1.0
1597515566,1.0
1597515569,1.0
1597515572,1.0
1597515575,1.0
1597515578,1.0
1597515581,1.0
1597515584,1.0
1597515587,1.0
1597515590,1.0
1597515593,1.0
1597515596,1.0
1597515599,1.0
1597515602,1.0
1597515605,1.0
1597515608,1.0
1597515611,1.0
1597515614,1.0
1597515617,1.0
1597515620,1.0
1597515623,1.0
1597515626,1.0
1597515629,1.0
1597515632,1.0
1597515635,1.0
1597515638,1.0
1597515641,1.0
1597515644,1.0
1597515647,1.0
1597515650,1.0
1597515653,1.0
1597515656,1.0
1597515659,1.0
1597515662,1.0
1597515665,1.0
1597515668,1.0
1597515671,1.0
1597515674,1.0
1597515677,1.0
1597515680,1.0
1597515683,1.0
1597515686,1.0
1597515689,1.0
1597515692,1.0
1597515695,1.0
1597515698,1.0
1597515701,1.0
1597515704,1.0
1597515707,1.0
1597515710,1.0
1597515713,1.0
1597515716,1.0
1597515719,1.0
1597515722,1.0
1597515725,1.0
1597515728,1.0
1597515731,1.0
1597515734,1.0
1597515737,1.0
1597515740,1.0
1597515743,1.0
1597515746,1.0
1597515749,1.0
1597515752,1.0
1597515755,0.9941972920696325
1597515758,0.9947368421052631
1597515761,0.9933993399339934
1597515764,0.9933993399339934
1597515767,0.9935031274838442
1597515770,0.9935152288641302
1597515773,0.9973661494876165
1597515776,0.9980920687742652
1597515779,0.9980920687742652
1597515782,0.9980922098569157
1597515785,0.9980922098569157
1597515788,0.9980918712234951
1597515791,0.9980921252098293
1597515794,0.9980920687742652
1597515797,0.998092040555231
1597515800,0.9980917583189722
1597515803,0.9980931968515576
1597515806,0.9980918853356211
1597515809,0.998090133838683
1597515812,0.9981152714748186
1597515815,0.9981152714748186
1597515818,0.9981213434613138
1597515821,0.9981213434613138
1597515824,0.9993448576001198
1597515827,0.9993448576001198
1597515830,0.9993446490595714
1597515833,0.9995598010300656
1597515836,1.0
1597515839,1.0
1597515842,1.0
1597515845,1.0
1597515848,1.0
1597515851,1.0
1597515854,1.0
1597515857,1.0
1597515860,1.0
1597515863,1.0
1597515866,1.0
1597515869,1.0
1597515872,1.0
1597515875,1.0
1597515878,1.0
1597515881,1.0
1597515884,1.0
1597515887,1.0
1597515890,1.0
1597515893,1.0
1597515896,1.0
1597515899,1.0
1597515902,1.0
1597515905,1.0
1597515908,1.0
1597515911,1.0
1597515914,1.0
1597515917,1.0
1597515920,1.0
1597515923,1.0
1597515926,1.0
1597515929,1.0
1597515932,1.0
1597515935,1.0
1597515938,1.0
1597515941,1.0
1597515944,1.0
1597515947,1.0
1597515950,1.0
1597515953,1.0
1597515956,1.0
1597515959,1.0
1597515962,1.0
1597515965,1.0
1597515968,1.0
1597515971,1.0
1597515974,1.0
1597515977,1.0
1597515980,1.0
1597515983,1.0
1597515986,1.0
1597515989,1.0
1597515992,1.0
1597515995,1.0
1597515998,1.0
1597516001,1.0
1597516004,1.0
1597516007,1.0
1597516010,1.0
1597516013,1.0
1597516016,1.0
1597516019,1.0
1597516022,1.0
1597516025,1.0
1597516028,1.0
1597516031,1.0
1597516034,1.0
1597516037,1.0
1597516040,1.0
1597516043,1.0
1597516046,1.0
1597516049,1.0
1597516052,1.0
1597516055,1.0
1597516058,1.0
1597516061,1.0
1597516064,1.0
1597516067,1.0
1597516070,1.0
1597516073,1.0
1597516076,1.0
1597516079,1.0
1597516082,1.0
1597516085,1.0
1597516088,1.0
1597516091,1.0
1597516094,1.0
1597516097,1.0
1597516100,1.0
1597516103,1.0
1597516106,1.0
1597516109,1.0
1597516112,1.0
1597516115,1.0
1597516118,1.0
1597516121,1.0
1597516124,1.0
1597516127,1.0
1597516130,1.0
1597516133,1.0
1597516136,1.0
1597516139,1.0
1597516142,1.0
1597516145,1.0
1597516148,1.0
1597516151,1.0
1597516154,1.0
1597516157,1.0
1597516160,1.0
1597516163,1.0
1597516166,1.0
1597516169,1.0
1597516172,1.0
1597516175,1.0
1597516178,1.0
1597516181,1.0
1597516184,1.0
1597516187,1.0
1597516190,1.0
1597516193,1.0
1597516196,1.0
1597516199,1.0
1597516202,1.0
1597516205,1.0
1597516208,1.0
1597516211,1.0
1597516214,1.0
1597516217,1.0
1597516220,1.0
1597516223,1.0
1597516226,1.0
1597516229,1.0
1597516232,1.0
1597516235,1.0
1597516238,1.0
1597516241,1.0
1597516244,1.0
1597516247,1.0
1597516250,1.0
1597516253,1.0
1597516256,1.0
1597516259,1.0
1597516262,1.0
1597516265,1.0
1597516268,1.0
1597516271,1.0
1597516274,1.0
1597516277,1.0
1597516280,1.0
1597516283,1.0
1597516286,1.0
1597516289,1.0
1597516292,1.0
1597516295,1.0
1597516298,1.0
1597516301,1.0
1597516304,1.0
1597516307,1.0
1597516310,1.0
1597516313,1.0
1597516316,1.0
1597516319,1.0
1597516322,1.0
1597516325,1.0
1597516328,1.0
1597516331,1.0
1597516334,1.0
1597516337,1.0
1597516340,1.0
1597516343,1.0
1597516346,1.0
1597516349,1.0
1597516352,1.0
1597516355,1.0
1597516358,1.0
1597516361,1.0
