t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,1568,415.437477,0.000000,0.000000,0.000000,events/second
1597515518,1570,251.242197,0.000000,0.000000,0.000000,events/second
1597515521,1628,179.107232,0.000000,0.000000,0.000000,events/second
1597515524,1630,134.468092,0.000000,0.000000,0.000000,events/second
1597515527,1641,108.846991,0.000000,0.000000,0.000000,events/second
1597515530,1643,91.043937,0.000000,0.000000,0.000000,events/second
1597515533,1645,78.088533,0.000000,0.000000,0.000000,events/second
1597515536,1647,68.396406,0.000000,0.000000,0.000000,events/second
1597515539,1649,60.933128,0.000000,0.000000,0.000000,events/second
1597515542,1651,54.918569,0.000000,0.000000,0.000000,events/second
1597515545,1653,50.011286,0.000000,0.000000,0.000000,events/second
1597515548,1655,45.891311,0.000000,0.000000,0.000000,events/second
1597515551,1657,42.442200,0.000000,0.000000,0.000000,events/second
1597515554,1659,39.457611,0.000000,0.000000,0.000000,events/second
1597515557,1661,36.870810,0.000000,0.000000,0.000000,events/second
1597515560,1663,34.613795,0.000000,0.000000,0.000000,events/second
1597515563,1778,34.805266,0.000000,0.000000,0.000000,events/second
1597515566,1792,33.167703,0.000000,0.000000,0.000000,events/second
1597515569,1794,31.441506,0.000000,0.000000,0.000000,events/second
1597515572,1896,31.568613,0.000000,0.000000,0.000000,events/second
1597515575,1898,30.092832,0.000000,0.000000,0.000000,events/second
1597515578,1900,28.776948,0.000000,0.000000,0.000000,events/second
1597515581,1902,27.539472,0.000000,0.000000,0.000000,events/second
1597515584,1904,26.420166,0.000000,0.000000,0.000000,events/second
1597515587,1906,25.385309,0.000000,0.000000,0.000000,events/second
1597515590,1908,24.408577,0.000000,0.000000,0.000000,events/second
1597515593,1910,23.524639,0.000000,0.000000,0.000000,events/second
1597515596,1912,22.750847,0.000000,0.000000,0.000000,events/second
1597515599,1914,21.985981,0.000000,0.000000,0.000000,events/second
1597515602,1916,21.280275,0.000000,0.000000,0.000000,events/second
1597515605,1918,20.615702,0.000000,0.000000,0.000000,events/second
1597515608,1920,19.992364,0.000000,0.000000,0.000000,events/second
1597515611,1922,19.398998,0.000000,0.000000,0.000000,events/second
1597515614,1924,18.855283,0.000000,0.000000,0.000000,events/second
1597515617,1926,18.321321,0.000000,0.000000,0.000000,events/second
1597515620,1928,17.842757,0.000000,0.000000,0.000000,events/second
1597515623,2055,18.508351,0.000000,0.000000,0.000000,events/second
1597515626,2057,18.031981,0.000000,0.000000,0.000000,events/second
1597515629,2059,17.584586,0.000000,0.000000,0.000000,events/second
1597515632,2161,17.992327,0.000000,0.000000,0.000000,events/second
1597515635,2163,17.569853,0.000000,0.000000,0.000000,events/second
1597515638,2165,17.142270,0.000000,0.000000,0.000000,events/second
1597515641,2167,16.790004,0.000000,0.000000,0.000000,events/second
1597515644,2169,16.426184,0.000000,0.000000,0.000000,events/second
1597515647,2171,16.047845,0.000000,0.000000,0.000000,events/second
1597515650,2173,15.732020,0.000000,0.000000,0.000000,events/second
1597515653,2180,15.455209,0.000000,0.000000,0.000000,events/second
1597515656,2252,15.631006,0.000000,0.000000,0.000000,events/second
1597515659,2258,15.354346,0.000000,0.000000,0.000000,events/second
1597515662,2270,15.130530,0.000000,0.000000,0.000000,events/second
1597515665,2272,14.843246,0.000000,0.000000,0.000000,events/second
1597515668,2274,14.572746,0.000000,0.000000,0.000000,events/second
