t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,66,17.460143,0.000000,0.000000,0.000000,events/second
1597515518,66,10.556481,0.000000,0.000000,0.000000,events/second
1597515521,66,7.258721,0.000000,0.000000,0.000000,events/second
1597515524,66,5.443248,0.000000,0.000000,0.000000,events/second
1597515527,66,4.376890,0.000000,0.000000,0.000000,events/second
1597515530,66,3.656754,0.000000,0.000000,0.000000,events/second
1597515533,66,3.132659,0.000000,0.000000,0.000000,events/second
1597515536,66,2.740514,0.000000,0.000000,0.000000,events/second
1597515539,66,2.438578,0.000000,0.000000,0.000000,events/second
1597515542,66,2.195218,0.000000,0.000000,0.000000,events/second
1597515545,66,1.996670,0.000000,0.000000,0.000000,events/second
1597515548,66,1.829976,0.000000,0.000000,0.000000,events/second
1597515551,66,1.690406,0.000000,0.000000,0.000000,events/second
1597515554,66,1.569649,0.000000,0.000000,0.000000,events/second
1597515557,66,1.464983,0.000000,0.000000,0.000000,events/second
1597515560,66,1.373657,0.000000,0.000000,0.000000,events/second
1597515563,66,1.291915,0.000000,0.000000,0.000000,events/second
1597515566,66,1.221522,0.000000,0.000000,0.000000,events/second
1597515569,66,1.156659,0.000000,0.000000,0.000000,events/second
1597515572,66,1.098857,0.000000,0.000000,0.000000,events/second
1597515575,66,1.046390,0.000000,0.000000,0.000000,events/second
1597515578,66,0.999581,0.000000,0.000000,0.000000,events/second
1597515581,66,0.955594,0.000000,0.000000,0.000000,events/second
1597515584,66,0.915792,0.000000,0.000000,0.000000,events/second
1597515587,66,0.878993,0.000000,0.000000,0.000000,events/second
1597515590,66,0.844292,0.000000,0.000000,0.000000,events/second
1597515593,66,0.812866,0.000000,0.000000,0.000000,events/second
1597515596,66,0.785309,0.000000,0.000000,0.000000,events/second
1597515599,66,0.758115,0.000000,0.000000,0.000000,events/second
1597515602,66,0.733017,0.000000,0.000000,0.000000,events/second
1597515605,66,0.709385,0.000000,0.000000,0.000000,events/second
1597515608,66,0.687220,0.000000,0.000000,0.000000,events/second
1597515611,66,0.666129,0.000000,0.000000,0.000000,events/second
1597515614,66,0.646787,0.000000,0.000000,0.000000,events/second
1597515617,66,0.627817,0.000000,0.000000,0.000000,events/second
1597515620,66,0.610786,0.000000,0.000000,0.000000,events/second
1597515623,66,0.594416,0.000000,0.000000,0.000000,events/second
1597515626,66,0.578554,0.000000,0.000000,0.000000,events/second
1597515629,66,0.563650,0.000000,0.000000,0.000000,events/second
1597515632,66,0.549498,0.000000,0.000000,0.000000,events/second
1597515635,66,0.536100,0.000000,0.000000,0.000000,events/second
1597515638,66,0.522566,0.000000,0.000000,0.000000,events/second
1597515641,66,0.511360,0.000000,0.000000,0.000000,events/second
1597515644,66,0.499818,0.000000,0.000000,0.000000,events/second
1597515647,66,0.487856,0.000000,0.000000,0.000000,events/second
1597515650,66,0.477814,0.000000,0.000000,0.000000,events/second
1597515653,66,0.467901,0.000000,0.000000,0.000000,events/second
1597515656,66,0.458094,0.000000,0.000000,0.000000,events/second
1597515659,66,0.448790,0.000000,0.000000,0.000000,events/second
1597515662,66,0.439911,0.000000,0.000000,0.000000,events/second
1597515665,66,0.431179,0.000000,0.000000,0.000000,events/second
1597515668,66,0.422949,0.000000,0.000000,0.000000,events/second
1597515671,66,0.414928,0.000000,0.000000,0.000000,events/second
1597515674,66,0.407314,0.000000,0.000000,0.000000,events/second
1597515677,66,0.399892,0.000000,0.000000,0.000000,events/second
1597515680,66,0.392777,0.000000,0.000000,0.000000,events/second
1597515683,66,0.385879,0.000000,0.000000,0.000000,events/second
1597515686,66,0.379183,0.000000,0.000000,0.000000,events/second
1597515689,66,0.372801,0.000000,0.000000,0.000000,events/second
1597515692,66,0.366575,0.000000,0.000000,0.000000,events/second
1597515695,66,0.360561,0.000000,0.000000,0.000000,events/second
1597515698,66,0.354796,0.000000,0.000000,0.000000,events/second
1597515701,66,0.349142,0.000000,0.000000,0.000000,events/second
1597515704,66,0.343684,0.000000,0.000000,0.000000,events/second
1597515707,66,0.338401,0.000000,0.000000,0.000000,events/second
1597515710,66,0.332993,0.000000,0.000000,0.000000,events/second
1597515713,66,0.328293,0.000000,0.000000,0.000000,events/second
1597515716,66,0.323489,0.000000,0.000000,0.000000,events/second
1597515719,66,0.318762,0.000000,0.000000,0.000000,events/second
1597515722,66,0.314243,0.000000,0.000000,0.000000,events/second
1597515725,66,0.309799,0.000000,0.000000,0.000000,events/second
1597515728,66,0.305445,0.000000,0.000000,0.000000,events/second
1597515731,66,0.301302,0.000000,0.000000,0.000000,events/second
1597515734,66,0.297253,0.000000,0.000000,0.000000,events/second
1597515737,66,0.293296,0.000000,0.000000,0.000000,events/second
1597515740,66,0.289418,0.000000,0.000000,0.000000,events/second
1597515743,66,0.285527,0.000000,0.000000,0.000000,events/second
1597515746,66,0.281989,0.000000,0.000000,0.000000,events/second
1597515749,66,0.278368,0.000000,0.000000,0.000000,events/second
1597515752,66,0.274951,0.000000,0.000000,0.000000,events/second
1597515755,69,0.283892,0.000000,0.000000,0.000000,events/second
1597515758,69,0.280438,0.000000,0.000000,0.000000,events/second
1597515761,70,0.281021,0.000000,0.000000,0.000000,events/second
1597515764,70,0.277665,0.000000,0.000000,0.000000,events/second
1597515767,254,0.995499,0.000000,0.000000,0.000000,events/second
1597515770,254,0.983746,0.000000,0.000000,0.000000,events/second
1597515773,304,1.164145,0.000000,0.000000,0.000000,events/second
1597515776,324,1.227172,0.000000,0.000000,0.000000,events/second
1597515779,324,1.213306,0.000000,0.000000,0.000000,events/second
